s,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SmEx15","SmEx25","SmEx35","SmEx45","LgEx15","LgEx25","LgEx35","LgEx45","Pine15","Pine25","Pine35","Pine45"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9921101E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9842202E-001, 2.9106594E+000, 1.5515630E+000, 9.0397149E-001, 5.5764518E-001, 2.0169070E+000, 1.0733070E+000, 6.2450516E-001, 3.8483072E-001, 2.5761869E+000, 1.3721197E+000, 7.9890489E-001, 4.9256857E-001
 5.9763303E-001, 2.9106594E+000, 1.5515630E+000, 9.0397149E-001, 5.5764518E-001, 2.0169070E+000, 1.0733070E+000, 6.2450516E-001, 3.8483072E-001, 2.5761869E+000, 1.3721197E+000, 7.9890489E-001, 4.9256857E-001
 7.9684404E-001, 7.4406020E+000, 3.9226585E+000, 2.2538120E+000, 1.3691396E+000, 4.4664213E+000, 2.3221412E+000, 1.3157836E+000, 7.8771693E-001, 5.9619346E+000, 3.1293034E+000, 1.7908894E+000, 1.0836731E+000
 9.9605505E-001, 7.4406020E+000, 3.9226585E+000, 2.2538120E+000, 1.3691396E+000, 4.4664213E+000, 2.3221412E+000, 1.3157836E+000, 7.8771693E-001, 5.9619346E+000, 3.1293034E+000, 1.7908894E+000, 1.0836731E+000
 1.1952661E+000, 1.1062294E+001, 5.8215405E+000, 3.3294671E+000, 2.0090656E+000, 6.4068550E+000, 3.3286704E+000, 1.8831996E+000, 1.1248616E+000, 8.9658365E+000, 4.6942761E+000, 2.6753222E+000, 1.6097481E+000
 1.3944771E+000, 1.1062294E+001, 5.8215405E+000, 3.3294671E+000, 2.0090656E+000, 6.4068550E+000, 3.3286704E+000, 1.8831996E+000, 1.1248616E+000, 8.9658365E+000, 4.6942761E+000, 2.6753222E+000, 1.6097481E+000
 1.5936881E+000, 1.5863731E+001, 8.6742615E+000, 5.1220045E+000, 3.1752423E+000, 1.0411234E+001, 5.7057340E+000, 3.3821252E+000, 2.1044246E+000, 1.3572880E+001, 7.3842250E+000, 4.3482644E+000, 2.6906083E+000
 1.7928991E+000, 1.5863731E+001, 8.6742615E+000, 5.1220045E+000, 3.1752423E+000, 1.0411234E+001, 5.7057340E+000, 3.3821252E+000, 2.1044246E+000, 1.3572880E+001, 7.3842250E+000, 4.3482644E+000, 2.6906083E+000
 1.9921101E+000, 2.3154829E+001, 1.3305046E+001, 8.1770816E+000, 5.2378159E+000, 1.5937522E+001, 9.1042836E+000, 5.5800019E+000, 3.5679184E+000, 2.0232604E+001, 1.1499434E+001, 7.0138275E+000, 4.4674931E+000
 2.1913211E+000, 2.3154829E+001, 1.3305046E+001, 8.1770816E+000, 5.2378159E+000, 1.5937522E+001, 9.1042836E+000, 5.5800019E+000, 3.5679184E+000, 2.0232604E+001, 1.1499434E+001, 7.0138275E+000, 4.4674931E+000
 2.3905321E+000, 2.9601281E+001, 1.7521944E+001, 1.1009890E+001, 7.1783026E+000, 2.0141568E+001, 1.1670526E+001, 7.2295518E+000, 4.6614249E+000, 2.6213421E+001, 1.5257789E+001, 9.4754400E+000, 6.1214059E+000
 2.5897431E+000, 2.9601281E+001, 1.7521944E+001, 1.1009890E+001, 7.1783026E+000, 2.0141568E+001, 1.1670526E+001, 7.2295518E+000, 4.6614249E+000, 2.6213421E+001, 1.5257789E+001, 9.4754400E+000, 6.1214059E+000
 2.7889541E+000, 3.5729719E+001, 2.1257164E+001, 1.3396712E+001, 8.7458043E+000, 2.5801680E+001, 1.4867909E+001, 9.1562326E+000, 5.8677300E+000, 3.2822327E+001, 1.9176612E+001, 1.1927675E+001, 7.7069606E+000
 2.9881651E+000, 3.5729719E+001, 2.1257164E+001, 1.3396712E+001, 8.7458043E+000, 2.5801680E+001, 1.4867909E+001, 9.1562326E+000, 5.8677300E+000, 3.2822327E+001, 1.9176612E+001, 1.1927675E+001, 7.7069606E+000
 3.1873762E+000, 4.2425436E+001, 2.4800458E+001, 1.5452802E+001, 1.0011734E+001, 3.1975486E+001, 1.8052944E+001, 1.0971197E+001, 6.9792380E+000, 4.0004306E+001, 2.3048939E+001, 1.4204910E+001, 9.1301629E+000
 3.3865872E+000, 4.2425436E+001, 2.4800458E+001, 1.5452802E+001, 1.0011734E+001, 3.1975486E+001, 1.8052944E+001, 1.0971197E+001, 6.9792380E+000, 4.0004306E+001, 2.3048939E+001, 1.4204910E+001, 9.1301629E+000
 3.5857982E+000, 4.7605482E+001, 2.7482258E+001, 1.6978628E+001, 1.0941585E+001, 3.7051073E+001, 2.0827160E+001, 1.2616811E+001, 8.0101575E+000, 4.6053507E+001, 2.6341085E+001, 1.6153077E+001, 1.0350888E+001
 3.7850092E+000, 4.7605482E+001, 2.7482258E+001, 1.6978628E+001, 1.0941585E+001, 3.7051073E+001, 2.0827160E+001, 1.2616811E+001, 8.0101575E+000, 4.6053507E+001, 2.6341085E+001, 1.6153077E+001, 1.0350888E+001
 3.9842202E+000, 5.1857631E+001, 2.9745367E+001, 1.8284984E+001, 1.1728223E+001, 4.2706611E+001, 2.3858056E+001, 1.4379009E+001, 9.0864503E+000, 5.1827951E+001, 2.9487031E+001, 1.8002420E+001, 1.1491782E+001
 4.1834312E+000, 5.1857631E+001, 2.9745367E+001, 1.8284984E+001, 1.1728223E+001, 4.2706611E+001, 2.3858056E+001, 1.4379009E+001, 9.0864503E+000, 5.1827951E+001, 2.9487031E+001, 1.8002420E+001, 1.1491782E+001
 4.3826422E+000, 5.5588316E+001, 3.1870519E+001, 1.9579952E+001, 1.2538877E+001, 4.8035998E+001, 2.6849988E+001, 1.6185908E+001, 1.0228596E+001, 5.7075366E+001, 3.2466211E+001, 1.9814946E+001, 1.2640623E+001
 4.5818532E+000, 5.5588316E+001, 3.1870519E+001, 1.9579952E+001, 1.2538877E+001, 4.8035998E+001, 2.6849988E+001, 1.6185908E+001, 1.0228596E+001, 5.7075366E+001, 3.2466211E+001, 1.9814946E+001, 1.2640623E+001
 4.7810642E+000, 5.8070489E+001, 3.3429036E+001, 2.0592231E+001, 1.3210781E+001, 5.2646122E+001, 2.9455971E+001, 1.7766477E+001, 1.1230524E+001, 6.1237466E+001, 3.4928465E+001, 2.1350980E+001, 1.3633613E+001
 4.9802752E+000, 5.8070489E+001, 3.3429036E+001, 2.0592231E+001, 1.3210781E+001, 5.2646122E+001, 2.9455971E+001, 1.7766477E+001, 1.1230524E+001, 6.1237466E+001, 3.4928465E+001, 2.1350980E+001, 1.3633613E+001
 5.1794862E+000, 5.9656186E+001, 3.4493172E+001, 2.1338146E+001, 1.3727410E+001, 5.7004715E+001, 3.1957054E+001, 1.9307016E+001, 1.2214929E+001, 6.4627619E+001, 3.6994458E+001, 2.2682139E+001, 1.4509308E+001
 5.3786973E+000, 5.9656186E+001, 3.4493172E+001, 2.1338146E+001, 1.3727410E+001, 5.7004715E+001, 3.1957054E+001, 1.9307016E+001, 1.2214929E+001, 6.4627619E+001, 3.6994458E+001, 2.2682139E+001, 1.4509308E+001
 5.5779083E+000, 6.0726029E+001, 3.5198213E+001, 2.1859611E+001, 1.4097373E+001, 6.0941123E+001, 3.4213742E+001, 2.0702880E+001, 1.3109934E+001, 6.7334729E+001, 3.8659901E+001, 2.3784331E+001, 1.5242396E+001
 5.7771193E+000, 6.0726029E+001, 3.5198213E+001, 2.1859611E+001, 1.4097373E+001, 6.0941123E+001, 3.4213742E+001, 2.0702880E+001, 1.3109934E+001, 6.7334729E+001, 3.8659901E+001, 2.3784331E+001, 1.5242396E+001
 5.9763303E+000, 6.1423345E+001, 3.5599293E+001, 2.2167643E+001, 1.4316188E+001, 6.4510017E+001, 3.6269515E+001, 2.1979194E+001, 1.3929656E+001, 6.9484692E+001, 3.9982601E+001, 2.4664776E+001, 1.5834125E+001
 6.1755413E+000, 6.1423345E+001, 3.5599293E+001, 2.2167643E+001, 1.4316188E+001, 6.4510017E+001, 3.6269515E+001, 2.1979194E+001, 1.3929656E+001, 6.9484692E+001, 3.9982601E+001, 2.4664776E+001, 1.5834125E+001
 6.3747523E+000, 6.1965509E+001, 3.5831582E+001, 2.2330670E+001, 1.4423071E+001, 6.7783847E+001, 3.8158786E+001, 2.3153076E+001, 1.4683023E+001, 7.1234584E+001, 4.1036425E+001, 2.5366046E+001, 1.6304425E+001
 6.5739633E+000, 6.1965509E+001, 3.5831582E+001, 2.2330670E+001, 1.4423071E+001, 6.7783847E+001, 3.8158786E+001, 2.3153076E+001, 1.4683023E+001, 7.1234584E+001, 4.1036425E+001, 2.5366046E+001, 1.6304425E+001
 6.7731743E+000, 6.2409121E+001, 3.5983140E+001, 2.2412199E+001, 1.4464907E+001, 7.0758797E+001, 3.9891834E+001, 2.4234524E+001, 1.5380666E+001, 7.2656092E+001, 4.1886863E+001, 2.5929596E+001, 1.6677797E+001
 6.9723853E+000, 6.2409121E+001, 3.5983140E+001, 2.2412199E+001, 1.4464907E+001, 7.0758797E+001, 3.9891834E+001, 2.4234524E+001, 1.5380666E+001, 7.2656092E+001, 4.1886863E+001, 2.5929596E+001, 1.6677797E+001
