m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 1.868E+01, 3.578E+02
 3.000E-02, 2.339E+01, 4.141E+02
 5.000E-02, 2.843E+01, 4.621E+02
 7.000E-02, 3.355E+01, 5.037E+02
 9.000E-02, 3.829E+01, 5.375E+02
 1.100E-01, 4.230E+01, 5.634E+02
 1.300E-01, 4.555E+01, 5.831E+02
 1.500E-01, 4.819E+01, 5.983E+02
 1.700E-01, 5.040E+01, 6.103E+02
 1.900E-01, 5.230E+01, 6.200E+02
 2.100E-01, 5.384E+01, 6.277E+02
 2.300E-01, 5.510E+01, 6.337E+02
 2.500E-01, 5.611E+01, 6.383E+02
 2.700E-01, 5.691E+01, 6.419E+02
 2.900E-01, 5.753E+01, 6.445E+02
 3.100E-01, 5.800E+01, 6.465E+02
 3.300E-01, 5.830E+01, 6.476E+02
 3.500E-01, 5.844E+01, 6.479E+02
 3.700E-01, 5.842E+01, 6.475E+02
 3.900E-01, 5.823E+01, 6.463E+02
 4.100E-01, 5.791E+01, 6.444E+02
 4.300E-01, 5.744E+01, 6.418E+02
 4.500E-01, 5.686E+01, 6.386E+02
 4.700E-01, 5.616E+01, 6.348E+02
 4.900E-01, 5.534E+01, 6.303E+02
 5.100E-01, 5.440E+01, 6.252E+02
 5.300E-01, 5.337E+01, 6.194E+02
 5.500E-01, 5.223E+01, 6.130E+02
 5.700E-01, 5.099E+01, 6.060E+02
 5.900E-01, 4.969E+01, 5.984E+02
 6.100E-01, 4.834E+01, 5.904E+02
 6.300E-01, 4.697E+01, 5.820E+02
 6.500E-01, 4.554E+01, 5.731E+02
 6.700E-01, 4.409E+01, 5.638E+02
 6.900E-01, 4.263E+01, 5.542E+02
 7.100E-01, 4.114E+01, 5.441E+02
 7.300E-01, 3.967E+01, 5.338E+02
 7.500E-01, 3.819E+01, 5.232E+02
 7.700E-01, 3.672E+01, 5.122E+02
 7.900E-01, 3.526E+01, 5.010E+02
 8.100E-01, 3.381E+01, 4.896E+02
 8.300E-01, 3.237E+01, 4.778E+02
 8.500E-01, 3.096E+01, 4.659E+02
 8.700E-01, 2.958E+01, 4.539E+02
 8.900E-01, 2.823E+01, 4.417E+02
 9.100E-01, 2.692E+01, 4.294E+02
 9.300E-01, 2.564E+01, 4.170E+02
 9.500E-01, 2.440E+01, 4.045E+02
 9.700E-01, 2.320E+01, 3.920E+02
 9.900E-01, 2.204E+01, 3.796E+02
 1.010E+00, 2.093E+01, 3.673E+02
 1.030E+00, 1.986E+01, 3.549E+02
 1.050E+00, 1.884E+01, 3.428E+02
 1.070E+00, 1.787E+01, 3.307E+02
 1.090E+00, 1.693E+01, 3.189E+02
 1.110E+00, 1.605E+01, 3.073E+02
 1.130E+00, 1.520E+01, 2.959E+02
 1.150E+00, 1.440E+01, 2.848E+02
 1.170E+00, 1.365E+01, 2.740E+02
 1.190E+00, 1.294E+01, 2.636E+02
 1.210E+00, 1.226E+01, 2.535E+02
 1.230E+00, 1.162E+01, 2.436E+02
 1.250E+00, 1.100E+01, 2.341E+02
 1.270E+00, 1.041E+01, 2.248E+02
 1.290E+00, 9.864E+00, 2.159E+02
 1.310E+00, 9.345E+00, 2.074E+02
 1.330E+00, 8.858E+00, 1.993E+02
 1.350E+00, 8.399E+00, 1.915E+02
