m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 2.570E+01, 4.293E+02
 3.000E-02, 3.276E+01, 4.946E+02
 5.000E-02, 4.023E+01, 5.495E+02
 7.000E-02, 4.759E+01, 5.952E+02
 9.000E-02, 5.389E+01, 6.301E+02
 1.100E-01, 5.886E+01, 6.554E+02
 1.300E-01, 6.278E+01, 6.740E+02
 1.500E-01, 6.588E+01, 6.880E+02
 1.700E-01, 6.834E+01, 6.986E+02
 1.900E-01, 7.026E+01, 7.066E+02
 2.100E-01, 7.179E+01, 7.126E+02
 2.300E-01, 7.297E+01, 7.171E+02
 2.500E-01, 7.386E+01, 7.202E+02
 2.700E-01, 7.446E+01, 7.222E+02
 2.900E-01, 7.482E+01, 7.232E+02
 3.100E-01, 7.496E+01, 7.234E+02
 3.300E-01, 7.489E+01, 7.227E+02
 3.500E-01, 7.463E+01, 7.213E+02
 3.700E-01, 7.421E+01, 7.192E+02
 3.900E-01, 7.361E+01, 7.164E+02
 4.100E-01, 7.287E+01, 7.129E+02
 4.300E-01, 7.197E+01, 7.087E+02
 4.500E-01, 7.090E+01, 7.038E+02
 4.700E-01, 6.971E+01, 6.984E+02
 4.900E-01, 6.838E+01, 6.922E+02
 5.100E-01, 6.692E+01, 6.853E+02
 5.300E-01, 6.532E+01, 6.778E+02
 5.500E-01, 6.363E+01, 6.696E+02
 5.700E-01, 6.184E+01, 6.608E+02
 5.900E-01, 6.001E+01, 6.515E+02
 6.100E-01, 5.811E+01, 6.417E+02
 6.300E-01, 5.619E+01, 6.315E+02
 6.500E-01, 5.424E+01, 6.208E+02
 6.700E-01, 5.232E+01, 6.100E+02
 6.900E-01, 5.037E+01, 5.987E+02
 7.100E-01, 4.841E+01, 5.870E+02
 7.300E-01, 4.645E+01, 5.748E+02
 7.500E-01, 4.452E+01, 5.625E+02
 7.700E-01, 4.259E+01, 5.498E+02
 7.900E-01, 4.068E+01, 5.368E+02
 8.100E-01, 3.880E+01, 5.235E+02
 8.300E-01, 3.695E+01, 5.099E+02
 8.500E-01, 3.513E+01, 4.961E+02
 8.700E-01, 3.336E+01, 4.821E+02
 8.900E-01, 3.167E+01, 4.681E+02
 9.100E-01, 3.003E+01, 4.542E+02
 9.300E-01, 2.845E+01, 4.402E+02
 9.500E-01, 2.691E+01, 4.261E+02
 9.700E-01, 2.544E+01, 4.120E+02
 9.900E-01, 2.404E+01, 3.979E+02
 1.010E+00, 2.270E+01, 3.840E+02
 1.030E+00, 2.142E+01, 3.702E+02
 1.050E+00, 2.021E+01, 3.567E+02
