m,kW/m2,C
Height,Flux,Temp
 1.000E-02, 3.332E+01, 4.992E+02
 3.000E-02, 4.651E+01, 5.895E+02
 5.000E-02, 5.044E+01, 6.126E+02
 7.000E-02, 4.989E+01, 6.097E+02
 9.000E-02, 4.740E+01, 5.957E+02
 1.100E-01, 4.424E+01, 5.768E+02
 1.300E-01, 4.111E+01, 5.569E+02
 1.500E-01, 3.812E+01, 5.367E+02
 1.700E-01, 3.544E+01, 5.171E+02
 1.900E-01, 3.301E+01, 4.980E+02
 2.100E-01, 3.075E+01, 4.792E+02
 2.300E-01, 2.864E+01, 4.607E+02
 2.500E-01, 2.661E+01, 4.421E+02
 2.700E-01, 2.470E+01, 4.234E+02
 2.900E-01, 2.288E+01, 4.047E+02
 3.100E-01, 2.112E+01, 3.857E+02
 3.300E-01, 1.947E+01, 3.668E+02
 3.500E-01, 1.791E+01, 3.478E+02
 3.700E-01, 1.644E+01, 3.290E+02
 3.900E-01, 1.509E+01, 3.107E+02
 4.100E-01, 1.386E+01, 2.930E+02
 4.300E-01, 1.273E+01, 2.759E+02
 4.500E-01, 1.169E+01, 2.595E+02
 4.700E-01, 1.074E+01, 2.437E+02
 4.900E-01, 9.854E+00, 2.287E+02
 5.100E-01, 9.038E+00, 2.144E+02
 5.300E-01, 8.285E+00, 2.008E+02
 5.500E-01, 7.601E+00, 1.880E+02
 5.700E-01, 6.976E+00, 1.760E+02
 5.900E-01, 6.406E+00, 1.648E+02
 6.100E-01, 5.901E+00, 1.546E+02
 6.300E-01, 5.442E+00, 1.451E+02
 6.500E-01, 5.030E+00, 1.365E+02
 6.700E-01, 4.657E+00, 1.286E+02
 6.900E-01, 4.318E+00, 1.214E+02
 7.100E-01, 4.012E+00, 1.147E+02
 7.300E-01, 3.737E+00, 1.087E+02
 7.500E-01, 3.489E+00, 1.032E+02
 7.700E-01, 3.264E+00, 9.813E+01
 7.900E-01, 3.062E+00, 9.355E+01
 8.100E-01, 2.882E+00, 8.938E+01
 8.300E-01, 2.718E+00, 8.560E+01
 8.500E-01, 2.574E+00, 8.224E+01
 8.700E-01, 2.442E+00, 7.920E+01
 8.900E-01, 2.325E+00, 7.647E+01
 9.100E-01, 2.215E+00, 7.394E+01
 9.300E-01, 2.114E+00, 7.162E+01
 9.500E-01, 2.019E+00, 6.945E+01
 9.700E-01, 1.932E+00, 6.745E+01
 9.900E-01, 1.851E+00, 6.557E+01
 1.010E+00, 1.777E+00, 6.384E+01
 1.030E+00, 1.708E+00, 6.223E+01
 1.050E+00, 1.645E+00, 6.074E+01
 1.070E+00, 1.588E+00, 5.937E+01
 1.090E+00, 1.535E+00, 5.809E+01
 1.110E+00, 1.486E+00, 5.692E+01
 1.130E+00, 1.441E+00, 5.584E+01
 1.150E+00, 1.399E+00, 5.482E+01
 1.170E+00, 1.360E+00, 5.388E+01
 1.190E+00, 1.323E+00, 5.300E+01
 1.210E+00, 1.289E+00, 5.217E+01
 1.230E+00, 1.257E+00, 5.139E+01
 1.250E+00, 1.226E+00, 5.063E+01
 1.270E+00, 1.196E+00, 4.990E+01
 1.290E+00, 1.167E+00, 4.919E+01
 1.310E+00, 1.138E+00, 4.851E+01
 1.330E+00, 1.111E+00, 4.785E+01
 1.350E+00, 1.084E+00, 4.721E+01
 1.370E+00, 1.058E+00, 4.660E+01
 1.390E+00, 1.033E+00, 4.602E+01
 1.410E+00, 1.010E+00, 4.545E+01
 1.430E+00, 9.869E-01, 4.491E+01
 1.450E+00, 9.654E-01, 4.439E+01
 1.470E+00, 9.450E-01, 4.389E+01
 1.490E+00, 9.256E-01, 4.341E+01
 1.510E+00, 9.069E-01, 4.294E+01
 1.530E+00, 8.884E-01, 4.249E+01
 1.550E+00, 8.705E-01, 4.204E+01
 1.570E+00, 8.529E-01, 4.162E+01
 1.590E+00, 8.361E-01, 4.121E+01
 1.610E+00, 8.200E-01, 4.082E+01
 1.630E+00, 8.046E-01, 4.044E+01
 1.650E+00, 7.900E-01, 4.008E+01
 1.670E+00, 7.759E-01, 3.972E+01
 1.690E+00, 7.623E-01, 3.939E+01
 1.710E+00, 7.489E-01, 3.905E+01
 1.730E+00, 7.361E-01, 3.873E+01
