s,m,s,m,s,m,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,D_S_max,D_S_time,D_E_max,D_E_time,Height,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40
-1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
-9.8969367E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2584228E-004,-4.4523690E-004,-4.5491098E-004,-4.6592389E-004,-4.1724226E-004,-4.2195107E-004,-4.3048214E-004,-4.3694151E-004,-3.7932056E-004,-3.8074560E-004,-3.7880693E-004,-3.8490351E-004,-3.6580005E-004,-3.6544884E-004,-3.6728293E-004,-3.6769558E-004,-3.6642635E-004,-3.6353848E-004,-3.6249707E-004,-3.6234709E-004,-3.6282513E-004,-3.6304351E-004,-3.6152528E-004,-3.5960123E-004,-3.2898696E-004,-3.5237800E-004,-3.5178704E-004,-3.5470256E-004,-3.5688809E-004,-3.5701100E-004,-3.6851437E-004,-3.7103211E-004,-3.6883067E-004,-3.6526004E-004,-3.6476241E-004,-4.0405194E-004,-4.3166769E-004,-4.3713090E-004,-4.4067353E-004,-4.4144171E-004
-9.7938734E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2584228E-004,-4.4523690E-004,-4.5491098E-004,-4.6592389E-004,-4.1724226E-004,-4.2195107E-004,-4.3048214E-004,-4.3694151E-004,-3.7932056E-004,-3.8074560E-004,-3.7880693E-004,-3.8490351E-004,-3.6580005E-004,-3.6544884E-004,-3.6728293E-004,-3.6769558E-004,-3.6642635E-004,-3.6353848E-004,-3.6249707E-004,-3.6234709E-004,-3.6282513E-004,-3.6304351E-004,-3.6152528E-004,-3.5960123E-004,-3.2898696E-004,-3.5237800E-004,-3.5178704E-004,-3.5470256E-004,-3.5688809E-004,-3.5701100E-004,-3.6851437E-004,-3.7103211E-004,-3.6883067E-004,-3.6526004E-004,-3.6476241E-004,-4.0405194E-004,-4.3166769E-004,-4.3713090E-004,-4.4067353E-004,-4.4144171E-004
-9.6908101E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2201193E-004,-4.3631844E-004,-4.4040901E-004,-4.4568769E-004,-4.0764332E-004,-4.0922783E-004,-4.1174269E-004,-4.1359863E-004,-3.7486024E-004,-3.7302938E-004,-3.7004400E-004,-3.7437701E-004,-3.8947428E-004,-3.8831842E-004,-3.8963383E-004,-3.9039643E-004,-3.8958429E-004,-3.8678295E-004,-3.8516562E-004,-3.8409249E-004,-3.8330318E-004,-3.8174722E-004,-3.7849169E-004,-3.7603822E-004,-3.5627684E-004,-3.7966420E-004,-3.7865130E-004,-3.8126195E-004,-3.8443507E-004,-3.8616759E-004,-3.9125241E-004,-3.9332122E-004,-3.9097453E-004,-3.8818613E-004,-3.8835926E-004,-4.3388113E-004,-4.5113454E-004,-4.5576734E-004,-4.5966533E-004,-4.6172711E-004
-9.5877468E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2201193E-004,-4.3631844E-004,-4.4040901E-004,-4.4568769E-004,-4.0764332E-004,-4.0922783E-004,-4.1174269E-004,-4.1359863E-004,-3.7486024E-004,-3.7302938E-004,-3.7004400E-004,-3.7437701E-004,-3.8947428E-004,-3.8831842E-004,-3.8963383E-004,-3.9039643E-004,-3.8958429E-004,-3.8678295E-004,-3.8516562E-004,-3.8409249E-004,-3.8330318E-004,-3.8174722E-004,-3.7849169E-004,-3.7603822E-004,-3.5627684E-004,-3.7966420E-004,-3.7865130E-004,-3.8126195E-004,-3.8443507E-004,-3.8616759E-004,-3.9125241E-004,-3.9332122E-004,-3.9097453E-004,-3.8818613E-004,-3.8835926E-004,-4.3388113E-004,-4.5113454E-004,-4.5576734E-004,-4.5966533E-004,-4.6172711E-004
-9.4846835E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2201193E-004,-4.3631844E-004,-4.4040901E-004,-4.4568769E-004,-4.0764332E-004,-4.0922783E-004,-4.1174269E-004,-4.1359863E-004,-3.7486024E-004,-3.7302938E-004,-3.7004400E-004,-3.7437701E-004,-3.8947428E-004,-3.8831842E-004,-3.8963383E-004,-3.9039643E-004,-3.8958429E-004,-3.8678295E-004,-3.8516562E-004,-3.8409249E-004,-3.8330318E-004,-3.8174722E-004,-3.7849169E-004,-3.7603822E-004,-3.5627684E-004,-3.7966420E-004,-3.7865130E-004,-3.8126195E-004,-3.8443507E-004,-3.8616759E-004,-3.9125241E-004,-3.9332122E-004,-3.9097453E-004,-3.8818613E-004,-3.8835926E-004,-4.3388113E-004,-4.5113454E-004,-4.5576734E-004,-4.5966533E-004,-4.6172711E-004
-9.3816202E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1636195E-004,-4.2710066E-004,-4.2932588E-004,-4.3253419E-004,-4.0482389E-004,-4.0547960E-004,-4.0734979E-004,-4.0938860E-004,-3.8170236E-004,-3.7960728E-004,-3.7913383E-004,-3.8463455E-004,-4.1557064E-004,-4.1480773E-004,-4.1556801E-004,-4.1551219E-004,-4.1393448E-004,-4.1077513E-004,-4.0849521E-004,-4.0715209E-004,-4.0625336E-004,-4.0430816E-004,-4.0064299E-004,-3.9862794E-004,-3.8388583E-004,-4.1146628E-004,-4.1085334E-004,-4.1335057E-004,-4.1607787E-004,-4.1750163E-004,-4.1506974E-004,-4.1508171E-004,-4.1171409E-004,-4.0852066E-004,-4.0845089E-004,-4.6099185E-004,-4.7303346E-004,-4.7658299E-004,-4.8046363E-004,-4.8360514E-004
-9.2785569E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1636195E-004,-4.2710066E-004,-4.2932588E-004,-4.3253419E-004,-4.0482389E-004,-4.0547960E-004,-4.0734979E-004,-4.0938860E-004,-3.8170236E-004,-3.7960728E-004,-3.7913383E-004,-3.8463455E-004,-4.1557064E-004,-4.1480773E-004,-4.1556801E-004,-4.1551219E-004,-4.1393448E-004,-4.1077513E-004,-4.0849521E-004,-4.0715209E-004,-4.0625336E-004,-4.0430816E-004,-4.0064299E-004,-3.9862794E-004,-3.8388583E-004,-4.1146628E-004,-4.1085334E-004,-4.1335057E-004,-4.1607787E-004,-4.1750163E-004,-4.1506974E-004,-4.1508171E-004,-4.1171409E-004,-4.0852066E-004,-4.0845089E-004,-4.6099185E-004,-4.7303346E-004,-4.7658299E-004,-4.8046363E-004,-4.8360514E-004
-9.1754936E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1636195E-004,-4.2710066E-004,-4.2932588E-004,-4.3253419E-004,-4.0482389E-004,-4.0547960E-004,-4.0734979E-004,-4.0938860E-004,-3.8170236E-004,-3.7960728E-004,-3.7913383E-004,-3.8463455E-004,-4.1557064E-004,-4.1480773E-004,-4.1556801E-004,-4.1551219E-004,-4.1393448E-004,-4.1077513E-004,-4.0849521E-004,-4.0715209E-004,-4.0625336E-004,-4.0430816E-004,-4.0064299E-004,-3.9862794E-004,-3.8388583E-004,-4.1146628E-004,-4.1085334E-004,-4.1335057E-004,-4.1607787E-004,-4.1750163E-004,-4.1506974E-004,-4.1508171E-004,-4.1171409E-004,-4.0852066E-004,-4.0845089E-004,-4.6099185E-004,-4.7303346E-004,-4.7658299E-004,-4.8046363E-004,-4.8360514E-004
