s,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SmEx15","SmEx25","SmEx35","SmEx45","LgEx15","LgEx25","LgEx35","LgEx45","Pine15","Pine25","Pine35","Pine45"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9921101E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.9842202E-001, 2.4367177E+000, 1.2980690E+000, 7.5605213E-001, 4.6635475E-001, 2.0551430E+000, 1.0937994E+000, 6.3662587E-001, 3.9246219E-001, 1.5821341E+000, 8.4243182E-001, 4.9049290E-001, 3.0246123E-001
 5.9763303E-001, 2.4367177E+000, 1.2980690E+000, 7.5605213E-001, 4.6635475E-001, 2.0551430E+000, 1.0937994E+000, 6.3662587E-001, 3.9246219E-001, 1.5821341E+000, 8.4243182E-001, 4.9049290E-001, 3.0246123E-001
 7.9684404E-001, 6.7293460E+000, 3.5968695E+000, 2.1002528E+000, 1.2983307E+000, 3.7996620E+000, 2.0261528E+000, 1.1810312E+000, 7.2888640E-001, 4.5639576E+000, 2.4342912E+000, 1.4192482E+000, 8.7606058E-001
 9.9605505E-001, 6.7293460E+000, 3.5968695E+000, 2.1002528E+000, 1.2983307E+000, 3.7996620E+000, 2.0261528E+000, 1.1810312E+000, 7.2888640E-001, 4.5639576E+000, 2.4342912E+000, 1.4192482E+000, 8.7606058E-001
 1.1952661E+000, 1.0746952E+001, 5.7030030E+000, 3.2975875E+000, 2.0152380E+000, 6.1205237E+000, 3.2042437E+000, 1.8297556E+000, 1.1046891E+000, 7.7652160E+000, 4.1048164E+000, 2.3675692E+000, 1.4442477E+000
 1.3944771E+000, 1.0746952E+001, 5.7030030E+000, 3.2975875E+000, 2.0152380E+000, 6.1205237E+000, 3.2042437E+000, 1.8297556E+000, 1.1046891E+000, 7.7652160E+000, 4.1048164E+000, 2.3675692E+000, 1.4442477E+000
 1.5936881E+000, 1.6494548E+001, 8.9619291E+000, 5.2690856E+000, 3.2564385E+000, 1.0053970E+001, 5.4728782E+000, 3.2282635E+000, 2.0014943E+000, 1.2486609E+001, 6.7227821E+000, 3.9284270E+000, 2.4170217E+000
 1.7928991E+000, 1.6494548E+001, 8.9619291E+000, 5.2690856E+000, 3.2564385E+000, 1.0053970E+001, 5.4728782E+000, 3.2282635E+000, 2.0014943E+000, 1.2486609E+001, 6.7227821E+000, 3.9284270E+000, 2.4170217E+000
 1.9921101E+000, 2.2534130E+001, 1.2644373E+001, 7.6223451E+000, 4.8047553E+000, 1.3504360E+001, 7.4681515E+000, 4.4600352E+000, 2.7925599E+000, 1.7876062E+001, 9.8766641E+000, 5.8907238E+000, 3.6833637E+000
 2.1913211E+000, 2.2534130E+001, 1.2644373E+001, 7.6223451E+000, 4.8047553E+000, 1.3504360E+001, 7.4681515E+000, 4.4600352E+000, 2.7925599E+000, 1.7876062E+001, 9.8766641E+000, 5.8907238E+000, 3.6833637E+000
 2.3905321E+000, 2.8825532E+001, 1.6684764E+001, 1.0301313E+001, 6.6155319E+000, 1.8634721E+001, 1.0585733E+001, 6.4566962E+000, 4.1118779E+000, 2.3910708E+001, 1.3555516E+001, 8.2492278E+000, 5.2406665E+000
 2.5897431E+000, 2.8825532E+001, 1.6684764E+001, 1.0301313E+001, 6.6155319E+000, 1.8634721E+001, 1.0585733E+001, 6.4566962E+000, 4.1118779E+000, 2.3910708E+001, 1.3555516E+001, 8.2492278E+000, 5.2406665E+000
 2.7889541E+000, 3.6797797E+001, 2.1656817E+001, 1.3525897E+001, 8.7580620E+000, 2.4597833E+001, 1.4010506E+001, 8.5507590E+000, 5.4412756E+000, 3.1486359E+001, 1.8134214E+001, 1.1160199E+001, 7.1474908E+000
 2.9881651E+000, 3.6797797E+001, 2.1656817E+001, 1.3525897E+001, 8.7580620E+000, 2.4597833E+001, 1.4010506E+001, 8.5507590E+000, 5.4412756E+000, 3.1486359E+001, 1.8134214E+001, 1.1160199E+001, 7.1474908E+000
 3.1873762E+000, 4.3488367E+001, 2.5703426E+001, 1.6078564E+001, 1.0410179E+001, 2.9838638E+001, 1.7056716E+001, 1.0426548E+001, 6.6376983E+000, 3.8748221E+001, 2.2443463E+001, 1.3850808E+001, 8.8805676E+000
 3.3865872E+000, 4.3488367E+001, 2.5703426E+001, 1.6078564E+001, 1.0410179E+001, 2.9838638E+001, 1.7056716E+001, 1.0426548E+001, 6.6376983E+000, 3.8748221E+001, 2.2443463E+001, 1.3850808E+001, 8.8805676E+000
 3.5857982E+000, 4.8832658E+001, 2.8675000E+001, 1.7864300E+001, 1.1539461E+001, 3.5800896E+001, 2.0233819E+001, 1.2280724E+001, 7.7882675E+000, 4.5477690E+001, 2.6269305E+001, 1.6177343E+001, 1.0361558E+001
 3.7850092E+000, 4.8832658E+001, 2.8675000E+001, 1.7864300E+001, 1.1539461E+001, 3.5800896E+001, 2.0233819E+001, 1.2280724E+001, 7.7882675E+000, 4.5477690E+001, 2.6269305E+001, 1.6177343E+001, 1.0361558E+001
 3.9842202E+000, 5.3918426E+001, 3.1216508E+001, 1.9280195E+001, 1.2391650E+001, 4.1720225E+001, 2.3407381E+001, 1.4131271E+001, 8.9273921E+000, 5.2136964E+001, 2.9859533E+001, 1.8283661E+001, 1.1671887E+001
 4.1834312E+000, 5.3918426E+001, 3.1216508E+001, 1.9280195E+001, 1.2391650E+001, 4.1720225E+001, 2.3407381E+001, 1.4131271E+001, 8.9273921E+000, 5.2136964E+001, 2.9859533E+001, 1.8283661E+001, 1.1671887E+001
 4.3826422E+000, 5.7442009E+001, 3.3056038E+001, 2.0340181E+001, 1.3037632E+001, 4.6965821E+001, 2.6275850E+001, 1.5832364E+001, 9.9877139E+000, 5.7758576E+001, 3.2942428E+001, 2.0114606E+001, 1.2813762E+001
 4.5818532E+000, 5.7442009E+001, 3.3056038E+001, 2.0340181E+001, 1.3037632E+001, 4.6965821E+001, 2.6275850E+001, 1.5832364E+001, 9.9877139E+000, 5.7758576E+001, 3.2942428E+001, 2.0114606E+001, 1.2813762E+001
 4.7810642E+000, 5.9563022E+001, 3.4328912E+001, 2.1158241E+001, 1.3577811E+001, 5.1980600E+001, 2.9092898E+001, 1.7534426E+001, 1.1065733E+001, 6.2257225E+001, 3.5525539E+001, 2.1705592E+001, 1.3833598E+001
 4.9802752E+000, 5.9563022E+001, 3.4328912E+001, 2.1158241E+001, 1.3577811E+001, 5.1980600E+001, 2.9092898E+001, 1.7534426E+001, 1.1065733E+001, 6.2257225E+001, 3.5525539E+001, 2.1705592E+001, 1.3833598E+001
 5.1794862E+000, 6.0991641E+001, 3.5324884E+001, 2.1858947E+001, 1.4072482E+001, 5.6579404E+001, 3.1714086E+001, 1.9136996E+001, 1.2089508E+001, 6.5918709E+001, 3.7741828E+001, 2.3120995E+001, 1.4766554E+001
 5.3786973E+000, 6.0991641E+001, 3.5324884E+001, 2.1858947E+001, 1.4072482E+001, 5.6579404E+001, 3.1714086E+001, 1.9136996E+001, 1.2089508E+001, 6.5918709E+001, 3.7741828E+001, 2.3120995E+001, 1.4766554E+001
 5.5779083E+000, 6.1765959E+001, 3.5924133E+001, 2.2323391E+001, 1.4416527E+001, 6.0696639E+001, 3.4084234E+001, 2.0598807E+001, 1.3027544E+001, 6.8722608E+001, 3.9507299E+001, 2.4283229E+001, 1.5549013E+001
 5.7771193E+000, 6.1765959E+001, 3.5924133E+001, 2.2323391E+001, 1.4416527E+001, 6.0696639E+001, 3.4084234E+001, 2.0598807E+001, 1.3027544E+001, 6.8722608E+001, 3.9507299E+001, 2.4283229E+001, 1.5549013E+001
 5.9763303E+000, 6.2176237E+001, 3.6202332E+001, 2.2576850E+001, 1.4610798E+001, 6.4446050E+001, 3.6251005E+001, 2.1945575E+001, 1.3894190E+001, 7.0844091E+001, 4.0861968E+001, 2.5202414E+001, 1.6177878E+001
 6.1755413E+000, 6.2176237E+001, 3.6202332E+001, 2.2576850E+001, 1.4610798E+001, 6.4446050E+001, 3.6251005E+001, 2.1945575E+001, 1.3894190E+001, 7.0844091E+001, 4.0861968E+001, 2.5202414E+001, 1.6177878E+001
 6.3747523E+000, 6.2495499E+001, 3.6319346E+001, 2.2692101E+001, 1.4694081E+001, 6.7858280E+001, 3.8228019E+001, 2.3179565E+001, 1.4689054E+001, 7.2490697E+001, 4.1903855E+001, 2.5923601E+001, 1.6671097E+001
 6.5739633E+000, 6.2495499E+001, 3.6319346E+001, 2.2692101E+001, 1.4694081E+001, 6.7858280E+001, 3.8228019E+001, 2.3179565E+001, 1.4689054E+001, 7.2490697E+001, 4.1903855E+001, 2.5923601E+001, 1.6671097E+001
 6.7731743E+000, 6.2781452E+001, 3.6361510E+001, 2.2720358E+001, 1.4698042E+001, 7.0941758E+001, 4.0030175E+001, 2.4310707E+001, 1.5417751E+001, 7.3781083E+001, 4.2702544E+001, 2.6478268E+001, 1.7047421E+001
 6.9723853E+000, 6.2781452E+001, 3.6361510E+001, 2.2720358E+001, 1.4698042E+001, 7.0941758E+001, 4.0030175E+001, 2.4310707E+001, 1.5417751E+001, 7.3781083E+001, 4.2702544E+001, 2.6478268E+001, 1.7047421E+001
