m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
 6.5625000E-001, 2.2571733E+001, 2.2574221E+001, 2.2578251E+001, 2.2572094E+001, 2.2574203E+001, 2.2580362E+001, 2.2575019E+001, 2.2575751E+001, 2.2583016E+001, 2.2576969E+001, 2.2576729E+001, 2.2585366E+001, 2.2575031E+001, 2.2578117E+001, 2.2584300E+001, 2.2572143E+001, 2.2577903E+001, 2.2581164E+001, 6.5625000E-001, 4.8713769E-002, 4.8800400E-002, 4.8572612E-002, 4.8732354E-002, 4.8800296E-002, 4.8583210E-002, 4.8794393E-002, 4.8820224E-002, 4.8680866E-002, 4.8797467E-002, 4.8855963E-002, 4.8742276E-002, 4.8754082E-002, 4.8883024E-002, 4.8728776E-002, 4.8722264E-002, 4.8880849E-002, 4.8650347E-002
 7.1875000E-001, 2.2645484E+001, 2.2631209E+001, 2.2656890E+001, 2.2644726E+001, 2.2630259E+001, 2.2655872E+001, 2.2644353E+001, 2.2629930E+001, 2.2656215E+001, 2.2645468E+001, 2.2631689E+001, 2.2657966E+001, 2.2645002E+001, 2.2633979E+001, 2.2658529E+001, 2.2644457E+001, 2.2633563E+001, 2.2657632E+001, 7.1875000E-001, 5.0039682E-002, 4.9890913E-002, 4.9866355E-002, 5.0019783E-002, 4.9888525E-002, 4.9840867E-002, 4.9994492E-002, 4.9862348E-002, 4.9850091E-002, 5.0004850E-002, 4.9863262E-002, 4.9925524E-002, 5.0010921E-002, 4.9871462E-002, 4.9940286E-002, 5.0035210E-002, 4.9896949E-002, 4.9904199E-002
 7.8125000E-001, 2.2645484E+001, 2.2631209E+001, 2.2656890E+001, 2.2644726E+001, 2.2630259E+001, 2.2655872E+001, 2.2644353E+001, 2.2629930E+001, 2.2656215E+001, 2.2645468E+001, 2.2631689E+001, 2.2657966E+001, 2.2645002E+001, 2.2633979E+001, 2.2658529E+001, 2.2644457E+001, 2.2633563E+001, 2.2657632E+001, 7.8125000E-001, 5.0039682E-002, 4.9890913E-002, 4.9866355E-002, 5.0019783E-002, 4.9888525E-002, 4.9840867E-002, 4.9994492E-002, 4.9862348E-002, 4.9850091E-002, 5.0004850E-002, 4.9863262E-002, 4.9925524E-002, 5.0010921E-002, 4.9871462E-002, 4.9940286E-002, 5.0035210E-002, 4.9896949E-002, 4.9904199E-002
 8.4375000E-001, 2.2687631E+001, 2.2658471E+001, 2.2697519E+001, 2.2687391E+001, 2.2658440E+001, 2.2697871E+001, 2.2685979E+001, 2.2659018E+001, 2.2698171E+001, 2.2686607E+001, 2.2658973E+001, 2.2698406E+001, 2.2686682E+001, 2.2659604E+001, 2.2697500E+001, 2.2686387E+001, 2.2658911E+001, 2.2697250E+001, 8.4375000E-001, 5.0716646E-002, 5.0450009E-002, 5.0694963E-002, 5.0721929E-002, 5.0438553E-002, 5.0691217E-002, 5.0706175E-002, 5.0441450E-002, 5.0734144E-002, 5.0710430E-002, 5.0462499E-002, 5.0752827E-002, 5.0713401E-002, 5.0464507E-002, 5.0724446E-002, 5.0722768E-002, 5.0472220E-002, 5.0714909E-002
 9.0625000E-001, 2.2687631E+001, 2.2658471E+001, 2.2697519E+001, 2.2687391E+001, 2.2658440E+001, 2.2697871E+001, 2.2685979E+001, 2.2659018E+001, 2.2698171E+001, 2.2686607E+001, 2.2658973E+001, 2.2698406E+001, 2.2686682E+001, 2.2659604E+001, 2.2697500E+001, 2.2686387E+001, 2.2658911E+001, 2.2697250E+001, 9.0625000E-001, 5.0716646E-002, 5.0450009E-002, 5.0694963E-002, 5.0721929E-002, 5.0438553E-002, 5.0691217E-002, 5.0706175E-002, 5.0441450E-002, 5.0734144E-002, 5.0710430E-002, 5.0462499E-002, 5.0752827E-002, 5.0713401E-002, 5.0464507E-002, 5.0724446E-002, 5.0722768E-002, 5.0472220E-002, 5.0714909E-002
 9.6875000E-001, 2.2689011E+001, 2.2652948E+001, 2.2693329E+001, 2.2688951E+001, 2.2652978E+001, 2.2696044E+001, 2.2688304E+001, 2.2652597E+001, 2.2697242E+001, 2.2688492E+001, 2.2652066E+001, 2.2694810E+001, 2.2688884E+001, 2.2651780E+001, 2.2692587E+001, 2.2688848E+001, 2.2651987E+001, 2.2692115E+001, 9.6875000E-001, 5.0757939E-002, 5.0345381E-002, 5.0696206E-002, 5.0746795E-002, 5.0358810E-002, 5.0721256E-002, 5.0747059E-002, 5.0357312E-002, 5.0771139E-002, 5.0755069E-002, 5.0324015E-002, 5.0777178E-002, 5.0746303E-002, 5.0293287E-002, 5.0751562E-002, 5.0771425E-002, 5.0314928E-002, 5.0725161E-002
 1.0312500E+000, 2.2689011E+001, 2.2652948E+001, 2.2693329E+001, 2.2688951E+001, 2.2652978E+001, 2.2696044E+001, 2.2688304E+001, 2.2652597E+001, 2.2697242E+001, 2.2688492E+001, 2.2652066E+001, 2.2694810E+001, 2.2688884E+001, 2.2651780E+001, 2.2692587E+001, 2.2688848E+001, 2.2651987E+001, 2.2692115E+001, 1.0312500E+000, 5.0757939E-002, 5.0345381E-002, 5.0696206E-002, 5.0746795E-002, 5.0358810E-002, 5.0721256E-002, 5.0747059E-002, 5.0357312E-002, 5.0771139E-002, 5.0755069E-002, 5.0324015E-002, 5.0777178E-002, 5.0746303E-002, 5.0293287E-002, 5.0751562E-002, 5.0771425E-002, 5.0314928E-002, 5.0725161E-002
 1.0937500E+000, 2.2646040E+001, 2.2607796E+001, 2.2653171E+001, 2.2646978E+001, 2.2607954E+001, 2.2654963E+001, 2.2645586E+001, 2.2609086E+001, 2.2655824E+001, 2.2645917E+001, 2.2609080E+001, 2.2655345E+001, 2.2647124E+001, 2.2608027E+001, 2.2653461E+001, 2.2646796E+001, 2.2607413E+001, 2.2653316E+001, 1.0937500E+000, 5.0011911E-002, 4.9415570E-002, 5.0019852E-002, 4.9984178E-002, 4.9428963E-002, 5.0016799E-002, 4.9941016E-002, 4.9412709E-002, 5.0061945E-002, 4.9950391E-002, 4.9371643E-002, 5.0105280E-002, 4.9999161E-002, 4.9327357E-002, 5.0071072E-002, 5.0038957E-002, 4.9352950E-002, 5.0050413E-002
 1.1562500E+000, 2.2646040E+001, 2.2607796E+001, 2.2653171E+001, 2.2646978E+001, 2.2607954E+001, 2.2654963E+001, 2.2645586E+001, 2.2609086E+001, 2.2655824E+001, 2.2645917E+001, 2.2609080E+001, 2.2655345E+001, 2.2647124E+001, 2.2608027E+001, 2.2653461E+001, 2.2646796E+001, 2.2607413E+001, 2.2653316E+001, 1.1562500E+000, 5.0011911E-002, 4.9415570E-002, 5.0019852E-002, 4.9984178E-002, 4.9428963E-002, 5.0016799E-002, 4.9941016E-002, 4.9412709E-002, 5.0061945E-002, 4.9950391E-002, 4.9371643E-002, 5.0105280E-002, 4.9999161E-002, 4.9327357E-002, 5.0071072E-002, 5.0038957E-002, 4.9352950E-002, 5.0050413E-002
 1.2187500E+000, 2.2567300E+001, 2.2531659E+001, 2.2577086E+001, 2.2568743E+001, 2.2531532E+001, 2.2578153E+001, 2.2567570E+001, 2.2530300E+001, 2.2582209E+001, 2.2568325E+001, 2.2532004E+001, 2.2583306E+001, 2.2569108E+001, 2.2530275E+001, 2.2579892E+001, 2.2567077E+001, 2.2529887E+001, 2.2578984E+001, 1.2187500E+000, 4.8502397E-002, 4.8050435E-002, 4.8819664E-002, 4.8464577E-002, 4.8025041E-002, 4.8833853E-002, 4.8461408E-002, 4.7997335E-002, 4.8875816E-002, 4.8513101E-002, 4.8010540E-002, 4.8914937E-002, 4.8542116E-002, 4.8020284E-002, 4.8875578E-002, 4.8516964E-002, 4.7968035E-002, 4.8859838E-002
 1.2812500E+000, 2.2567300E+001, 2.2531659E+001, 2.2577086E+001, 2.2568743E+001, 2.2531532E+001, 2.2578153E+001, 2.2567570E+001, 2.2530300E+001, 2.2582209E+001, 2.2568325E+001, 2.2532004E+001, 2.2583306E+001, 2.2569108E+001, 2.2530275E+001, 2.2579892E+001, 2.2567077E+001, 2.2529887E+001, 2.2578984E+001, 1.2812500E+000, 4.8502397E-002, 4.8050435E-002, 4.8819664E-002, 4.8464577E-002, 4.8025041E-002, 4.8833853E-002, 4.8461408E-002, 4.7997335E-002, 4.8875816E-002, 4.8513101E-002, 4.8010540E-002, 4.8914937E-002, 4.8542116E-002, 4.8020284E-002, 4.8875578E-002, 4.8516964E-002, 4.7968035E-002, 4.8859838E-002
 1.3437500E+000, 2.2464235E+001, 2.2422699E+001, 2.2468244E+001, 2.2467950E+001, 2.2421550E+001, 2.2471769E+001, 2.2468089E+001, 2.2419333E+001, 2.2476327E+001, 2.2466032E+001, 2.2422142E+001, 2.2475438E+001, 2.2461966E+001, 2.2420202E+001, 2.2470618E+001, 2.2462601E+001, 2.2419329E+001, 2.2470383E+001, 1.3437500E+000, 4.6622908E-002, 4.6041171E-002, 4.6986686E-002, 4.6656735E-002, 4.6060074E-002, 4.7036346E-002, 4.6795971E-002, 4.6011302E-002, 4.7053797E-002, 4.6855208E-002, 4.6067909E-002, 4.7013324E-002, 4.6788051E-002, 4.6072362E-002, 4.6864872E-002, 4.6753656E-002, 4.6054416E-002, 4.6935814E-002
 1.4062500E+000, 2.2464235E+001, 2.2422699E+001, 2.2468244E+001, 2.2467950E+001, 2.2421550E+001, 2.2471769E+001, 2.2468089E+001, 2.2419333E+001, 2.2476327E+001, 2.2466032E+001, 2.2422142E+001, 2.2475438E+001, 2.2461966E+001, 2.2420202E+001, 2.2470618E+001, 2.2462601E+001, 2.2419329E+001, 2.2470383E+001, 1.4062500E+000, 4.6622908E-002, 4.6041171E-002, 4.6986686E-002, 4.6656735E-002, 4.6060074E-002, 4.7036346E-002, 4.6795971E-002, 4.6011302E-002, 4.7053797E-002, 4.6855208E-002, 4.6067909E-002, 4.7013324E-002, 4.6788051E-002, 4.6072362E-002, 4.6864872E-002, 4.6753656E-002, 4.6054416E-002, 4.6935814E-002
 1.4687500E+000, 2.2333618E+001, 2.2280263E+001, 2.2342431E+001, 2.2337993E+001, 2.2276287E+001, 2.2341526E+001, 2.2335565E+001, 2.2277647E+001, 2.2345892E+001, 2.2334218E+001, 2.2278395E+001, 2.2344049E+001, 2.2330228E+001, 2.2279304E+001, 2.2339927E+001, 2.2327525E+001, 2.2276974E+001, 2.2339315E+001, 1.4687500E+000, 4.4423912E-002, 4.3503151E-002, 4.4746314E-002, 4.4622289E-002, 4.3582241E-002, 4.4757035E-002, 4.4689106E-002, 4.3572913E-002, 4.4817668E-002, 4.4577395E-002, 4.3696939E-002, 4.4752702E-002, 4.4440801E-002, 4.3680134E-002, 4.4797952E-002, 4.4373128E-002, 4.3634495E-002, 4.4760705E-002
 1.5312500E+000, 2.2333618E+001, 2.2280263E+001, 2.2342431E+001, 2.2337993E+001, 2.2276287E+001, 2.2341526E+001, 2.2335565E+001, 2.2277647E+001, 2.2345892E+001, 2.2334218E+001, 2.2278395E+001, 2.2344049E+001, 2.2330228E+001, 2.2279304E+001, 2.2339927E+001, 2.2327525E+001, 2.2276974E+001, 2.2339315E+001, 1.5312500E+000, 4.4423912E-002, 4.3503151E-002, 4.4746314E-002, 4.4622289E-002, 4.3582241E-002, 4.4757035E-002, 4.4689106E-002, 4.3572913E-002, 4.4817668E-002, 4.4577395E-002, 4.3696939E-002, 4.4752702E-002, 4.4440801E-002, 4.3680134E-002, 4.4797952E-002, 4.4373128E-002, 4.3634495E-002, 4.4760705E-002
 1.5937500E+000, 2.2177558E+001, 2.2115032E+001, 2.2181096E+001, 2.2175328E+001, 2.2110392E+001, 2.2184097E+001, 2.2173262E+001, 2.2115196E+001, 2.2180765E+001, 2.2168439E+001, 2.2111242E+001, 2.2177016E+001, 2.2164981E+001, 2.2110182E+001, 2.2173219E+001, 2.2167314E+001, 2.2114165E+001, 2.2177219E+001, 1.5937500E+000, 4.1624323E-002, 4.0784748E-002, 4.2038741E-002, 4.1650782E-002, 4.0852733E-002, 4.1851028E-002, 4.1675327E-002, 4.0958000E-002, 4.1769552E-002, 4.1542850E-002, 4.0830990E-002, 4.1727870E-002, 4.1458692E-002, 4.0649292E-002, 4.1851261E-002, 4.1474658E-002, 4.0514794E-002, 4.2068590E-002
 1.6562500E+000, 2.2177558E+001, 2.2115032E+001, 2.2181096E+001, 2.2175328E+001, 2.2110392E+001, 2.2184097E+001, 2.2173262E+001, 2.2115196E+001, 2.2180765E+001, 2.2168439E+001, 2.2111242E+001, 2.2177016E+001, 2.2164981E+001, 2.2110182E+001, 2.2173219E+001, 2.2167314E+001, 2.2114165E+001, 2.2177219E+001, 1.6562500E+000, 4.1624323E-002, 4.0784748E-002, 4.2038741E-002, 4.1650782E-002, 4.0852733E-002, 4.1851028E-002, 4.1675327E-002, 4.0958000E-002, 4.1769552E-002, 4.1542850E-002, 4.0830990E-002, 4.1727870E-002, 4.1458692E-002, 4.0649292E-002, 4.1851261E-002, 4.1474658E-002, 4.0514794E-002, 4.2068590E-002
 1.7187500E+000, 2.1971696E+001, 2.1905528E+001, 2.1969599E+001, 2.1969349E+001, 2.1907762E+001, 2.1966372E+001, 2.1965798E+001, 2.1908320E+001, 2.1960502E+001, 2.1958101E+001, 2.1898462E+001, 2.1959954E+001, 2.1962894E+001, 2.1892863E+001, 2.1955780E+001, 2.1969338E+001, 2.1899463E+001, 2.1961899E+001, 1.7187500E+000, 3.9433127E-002, 3.8184963E-002, 3.9464598E-002, 3.9157473E-002, 3.8213599E-002, 3.9332283E-002, 3.8975749E-002, 3.8167163E-002, 3.9017562E-002, 3.8790952E-002, 3.7883168E-002, 3.8907665E-002, 3.8816580E-002, 3.7791184E-002, 3.8953727E-002, 3.9217047E-002, 3.7919226E-002, 3.9152715E-002
 1.7812500E+000, 2.1971696E+001, 2.1905528E+001, 2.1969599E+001, 2.1969349E+001, 2.1907762E+001, 2.1966372E+001, 2.1965798E+001, 2.1908320E+001, 2.1960502E+001, 2.1958101E+001, 2.1898462E+001, 2.1959954E+001, 2.1962894E+001, 2.1892863E+001, 2.1955780E+001, 2.1969338E+001, 2.1899463E+001, 2.1961899E+001, 1.7812500E+000, 3.9433127E-002, 3.8184963E-002, 3.9464598E-002, 3.9157473E-002, 3.8213599E-002, 3.9332283E-002, 3.8975749E-002, 3.8167163E-002, 3.9017562E-002, 3.8790952E-002, 3.7883168E-002, 3.8907665E-002, 3.8816580E-002, 3.7791184E-002, 3.8953727E-002, 3.9217047E-002, 3.7919226E-002, 3.9152715E-002
 1.8437500E+000, 2.1678590E+001, 2.1631162E+001, 2.1677113E+001, 2.1678235E+001, 2.1630190E+001, 2.1673855E+001, 2.1679870E+001, 2.1628711E+001, 2.1669930E+001, 2.1679314E+001, 2.1625344E+001, 2.1674086E+001, 2.1682461E+001, 2.1621496E+001, 2.1674905E+001, 2.1679721E+001, 2.1629653E+001, 2.1679997E+001, 1.8437500E+000, 2.9766377E-002, 2.9098153E-002, 2.9885552E-002, 2.9832529E-002, 2.9008642E-002, 2.9755841E-002, 2.9762676E-002, 2.8996595E-002, 2.9698625E-002, 2.9942613E-002, 2.8827330E-002, 2.9922595E-002, 3.0107148E-002, 2.8904013E-002, 2.9906186E-002, 2.9912840E-002, 2.9122196E-002, 2.9916159E-002
 1.9062500E+000, 2.1678590E+001, 2.1631162E+001, 2.1677113E+001, 2.1678235E+001, 2.1630190E+001, 2.1673855E+001, 2.1679870E+001, 2.1628711E+001, 2.1669930E+001, 2.1679314E+001, 2.1625344E+001, 2.1674086E+001, 2.1682461E+001, 2.1621496E+001, 2.1674905E+001, 2.1679721E+001, 2.1629653E+001, 2.1679997E+001, 1.9062500E+000, 2.9766377E-002, 2.9098153E-002, 2.9885552E-002, 2.9832529E-002, 2.9008642E-002, 2.9755841E-002, 2.9762676E-002, 2.8996595E-002, 2.9698625E-002, 2.9942613E-002, 2.8827330E-002, 2.9922595E-002, 3.0107148E-002, 2.8904013E-002, 2.9906186E-002, 2.9912840E-002, 2.9122196E-002, 2.9916159E-002
 1.9687500E+000, 2.0839295E+001, 2.0815581E+001, 2.0838556E+001, 2.0839118E+001, 2.0815095E+001, 2.0836927E+001, 2.0839935E+001, 2.0814356E+001, 2.0834965E+001, 2.0839657E+001, 2.0812672E+001, 2.0837043E+001, 2.0841231E+001, 2.0810748E+001, 2.0837452E+001, 2.0839860E+001, 2.0814827E+001, 2.0839998E+001, 1.9687500E+000, 1.4883188E-002, 1.4549077E-002, 1.4942776E-002, 1.4916264E-002, 1.4504321E-002, 1.4877920E-002, 1.4881338E-002, 1.4498298E-002, 1.4849312E-002, 1.4971307E-002, 1.4413665E-002, 1.4961297E-002, 1.5053574E-002, 1.4452006E-002, 1.4953093E-002, 1.4956420E-002, 1.4561098E-002, 1.4958079E-002
