s,kg/m3,m/s,kW/m2,kW/m2
Time,"RHO","U-VEL","NetHF0B","NetHF0T"
 0.0000000E+000, 1.1934192E+000, 4.5000000E-002, 0.0000000E+000, 0.0000000E+000
 2.0000639E+003, 1.1934339E+000, 4.2213910E-002, 2.4044622E-004, 2.4585737E-004
 4.0000311E+003, 1.1934410E+000, 3.9688578E-002, 3.0769409E-004, 2.9875699E-004
 6.0000097E+003, 1.1934335E+000, 3.8873916E-002, 3.5216203E-004, 3.4132358E-004
 8.0000381E+003, 1.1934205E+000, 4.0602954E-002, 3.9300094E-004, 3.7611509E-004
 1.0000064E+004, 1.1934170E+000, 4.2097268E-002, 4.2483891E-004, 4.1469331E-004
 1.2000023E+004, 1.1934213E+000, 4.2994564E-002, 4.4382975E-004, 4.4812911E-004
 1.4000048E+004, 1.1934188E+000, 4.3523404E-002, 4.5861742E-004, 4.6820034E-004
 1.6000030E+004, 1.1934194E+000, 4.3893335E-002, 4.7400732E-004, 4.7290135E-004
 1.8000052E+004, 1.1934173E+000, 4.4083581E-002, 4.8234150E-004, 4.7166653E-004
 2.0000000E+004, 1.1934205E+000, 4.4228369E-002, 4.9005577E-004, 4.9416143E-004
