m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
 9.0625000E-001, 2.0844216E+001, 2.0830125E+001, 2.0830444E+001, 2.0844661E+001, 2.0829939E+001, 2.0830686E+001, 2.0844939E+001, 2.0830178E+001, 2.0831119E+001, 2.0844400E+001, 2.0829936E+001, 2.0830850E+001, 2.0843945E+001, 2.0829564E+001, 2.0830720E+001, 2.0843718E+001, 2.0830262E+001, 2.0830948E+001, 9.0625000E-001, 5.0826994E-002, 5.0755155E-002, 5.0508985E-002, 5.0841603E-002, 5.0730369E-002, 5.0563472E-002, 5.0898162E-002, 5.0711035E-002, 5.0576491E-002, 5.0931311E-002, 5.0672221E-002, 5.0530381E-002, 5.0888214E-002, 5.0698182E-002, 5.0519119E-002, 5.0854474E-002, 5.0757512E-002, 5.0491649E-002
 9.6875000E-001, 2.0838163E+001, 2.0830356E+001, 2.0828133E+001, 2.0838555E+001, 2.0830457E+001, 2.0827910E+001, 2.0838865E+001, 2.0830818E+001, 2.0828086E+001, 2.0838658E+001, 2.0830392E+001, 2.0827993E+001, 2.0838227E+001, 2.0829951E+001, 2.0827948E+001, 2.0837520E+001, 2.0830345E+001, 2.0828189E+001, 9.6875000E-001, 5.0594899E-002, 5.0595617E-002, 5.0456471E-002, 5.0649888E-002, 5.0627365E-002, 5.0452088E-002, 5.0703177E-002, 5.0622792E-002, 5.0433456E-002, 5.0694955E-002, 5.0558563E-002, 5.0415366E-002, 5.0648975E-002, 5.0542070E-002, 5.0443959E-002, 5.0578236E-002, 5.0567421E-002, 5.0433504E-002
 1.0312500E+000, 2.0838163E+001, 2.0830356E+001, 2.0828133E+001, 2.0838555E+001, 2.0830457E+001, 2.0827910E+001, 2.0838865E+001, 2.0830818E+001, 2.0828086E+001, 2.0838658E+001, 2.0830392E+001, 2.0827993E+001, 2.0838227E+001, 2.0829951E+001, 2.0827948E+001, 2.0837520E+001, 2.0830345E+001, 2.0828189E+001, 1.0312500E+000, 5.0594899E-002, 5.0595617E-002, 5.0456471E-002, 5.0649888E-002, 5.0627365E-002, 5.0452088E-002, 5.0703177E-002, 5.0622792E-002, 5.0433456E-002, 5.0694955E-002, 5.0558563E-002, 5.0415366E-002, 5.0648975E-002, 5.0542070E-002, 5.0443959E-002, 5.0578236E-002, 5.0567421E-002, 5.0433504E-002
 1.0937500E+000, 2.0808817E+001, 2.0804810E+001, 2.0800436E+001, 2.0808991E+001, 2.0804989E+001, 2.0799554E+001, 2.0808944E+001, 2.0805489E+001, 2.0799774E+001, 2.0808575E+001, 2.0805411E+001, 2.0800036E+001, 2.0808133E+001, 2.0805195E+001, 2.0800427E+001, 2.0807513E+001, 2.0804949E+001, 2.0800496E+001, 1.0937500E+000, 4.9753975E-002, 4.9745752E-002, 4.9756029E-002, 4.9760817E-002, 4.9750543E-002, 4.9770225E-002, 4.9722338E-002, 4.9756345E-002, 4.9751853E-002, 4.9670381E-002, 4.9766584E-002, 4.9722162E-002, 4.9623289E-002, 4.9764417E-002, 4.9721984E-002, 4.9645971E-002, 4.9730153E-002, 4.9699201E-002
 1.1562500E+000, 2.0808817E+001, 2.0804810E+001, 2.0800436E+001, 2.0808991E+001, 2.0804989E+001, 2.0799554E+001, 2.0808944E+001, 2.0805489E+001, 2.0799774E+001, 2.0808575E+001, 2.0805411E+001, 2.0800036E+001, 2.0808133E+001, 2.0805195E+001, 2.0800427E+001, 2.0807513E+001, 2.0804949E+001, 2.0800496E+001, 1.1562500E+000, 4.9753975E-002, 4.9745752E-002, 4.9756029E-002, 4.9760817E-002, 4.9750543E-002, 4.9770225E-002, 4.9722338E-002, 4.9756345E-002, 4.9751853E-002, 4.9670381E-002, 4.9766584E-002, 4.9722162E-002, 4.9623289E-002, 4.9764417E-002, 4.9721984E-002, 4.9645971E-002, 4.9730153E-002, 4.9699201E-002
 1.2187500E+000, 2.0758902E+001, 2.0755905E+001, 2.0750114E+001, 2.0758584E+001, 2.0755969E+001, 2.0749097E+001, 2.0757955E+001, 2.0756812E+001, 2.0750121E+001, 2.0757532E+001, 2.0756945E+001, 2.0751106E+001, 2.0757000E+001, 2.0757034E+001, 2.0751449E+001, 2.0756780E+001, 2.0756173E+001, 2.0750544E+001, 1.2187500E+000, 4.8434425E-002, 4.8299104E-002, 4.8396440E-002, 4.8409665E-002, 4.8309483E-002, 4.8383592E-002, 4.8337661E-002, 4.8366091E-002, 4.8422539E-002, 4.8251592E-002, 4.8380044E-002, 4.8469630E-002, 4.8237421E-002, 4.8326047E-002, 4.8494761E-002, 4.8293606E-002, 4.8315315E-002, 4.8434607E-002
 1.2812500E+000, 2.0758902E+001, 2.0755905E+001, 2.0750114E+001, 2.0758584E+001, 2.0755969E+001, 2.0749097E+001, 2.0757955E+001, 2.0756812E+001, 2.0750121E+001, 2.0757532E+001, 2.0756945E+001, 2.0751106E+001, 2.0757000E+001, 2.0757034E+001, 2.0751449E+001, 2.0756780E+001, 2.0756173E+001, 2.0750544E+001, 1.2812500E+000, 4.8434425E-002, 4.8299104E-002, 4.8396440E-002, 4.8409665E-002, 4.8309483E-002, 4.8383592E-002, 4.8337661E-002, 4.8366091E-002, 4.8422539E-002, 4.8251592E-002, 4.8380044E-002, 4.8469630E-002, 4.8237421E-002, 4.8326047E-002, 4.8494761E-002, 4.8293606E-002, 4.8315315E-002, 4.8434607E-002
 1.3437500E+000, 2.0689270E+001, 2.0684285E+001, 2.0679478E+001, 2.0688432E+001, 2.0685009E+001, 2.0679507E+001, 2.0688761E+001, 2.0687246E+001, 2.0681478E+001, 2.0689260E+001, 2.0686788E+001, 2.0682539E+001, 2.0688087E+001, 2.0686034E+001, 2.0681271E+001, 2.0687829E+001, 2.0684421E+001, 2.0680346E+001, 1.3437500E+000, 4.6677705E-002, 4.6583614E-002, 4.6715446E-002, 4.6616527E-002, 4.6589286E-002, 4.6637280E-002, 4.6726975E-002, 4.6675909E-002, 4.6598255E-002, 4.6793205E-002, 4.6658621E-002, 4.6540577E-002, 4.6807176E-002, 4.6602519E-002, 4.6612907E-002, 4.6708652E-002, 4.6576668E-002, 4.6707217E-002
 1.4062500E+000, 2.0689270E+001, 2.0684285E+001, 2.0679478E+001, 2.0688432E+001, 2.0685009E+001, 2.0679507E+001, 2.0688761E+001, 2.0687246E+001, 2.0681478E+001, 2.0689260E+001, 2.0686788E+001, 2.0682539E+001, 2.0688087E+001, 2.0686034E+001, 2.0681271E+001, 2.0687829E+001, 2.0684421E+001, 2.0680346E+001, 1.4062500E+000, 4.6677705E-002, 4.6583614E-002, 4.6715446E-002, 4.6616527E-002, 4.6589286E-002, 4.6637280E-002, 4.6726975E-002, 4.6675909E-002, 4.6598255E-002, 4.6793205E-002, 4.6658621E-002, 4.6540577E-002, 4.6807176E-002, 4.6602519E-002, 4.6612907E-002, 4.6708652E-002, 4.6576668E-002, 4.6707217E-002
 1.4687500E+000, 2.0600205E+001, 2.0590806E+001, 2.0589525E+001, 2.0600052E+001, 2.0591914E+001, 2.0590366E+001, 2.0600338E+001, 2.0594179E+001, 2.0590962E+001, 2.0600942E+001, 2.0591698E+001, 2.0591008E+001, 2.0601331E+001, 2.0590653E+001, 2.0589367E+001, 2.0600383E+001, 2.0590393E+001, 2.0589658E+001, 1.4687500E+000, 4.4752497E-002, 4.4411774E-002, 4.4754716E-002, 4.4758312E-002, 4.4396429E-002, 4.4855378E-002, 4.4869667E-002, 4.4360873E-002, 4.4660030E-002, 4.4910849E-002, 4.4270431E-002, 4.4468068E-002, 4.4818527E-002, 4.4286856E-002, 4.4511014E-002, 4.4745669E-002, 4.4346091E-002, 4.4680497E-002
 1.5312500E+000, 2.0600205E+001, 2.0590806E+001, 2.0589525E+001, 2.0600052E+001, 2.0591914E+001, 2.0590366E+001, 2.0600338E+001, 2.0594179E+001, 2.0590962E+001, 2.0600942E+001, 2.0591698E+001, 2.0591008E+001, 2.0601331E+001, 2.0590653E+001, 2.0589367E+001, 2.0600383E+001, 2.0590393E+001, 2.0589658E+001, 1.5312500E+000, 4.4752497E-002, 4.4411774E-002, 4.4754716E-002, 4.4758312E-002, 4.4396429E-002, 4.4855378E-002, 4.4869667E-002, 4.4360873E-002, 4.4660030E-002, 4.4910849E-002, 4.4270431E-002, 4.4468068E-002, 4.4818527E-002, 4.4286856E-002, 4.4511014E-002, 4.4745669E-002, 4.4346091E-002, 4.4680497E-002
 1.5937500E+000, 2.0491206E+001, 2.0475476E+001, 2.0474612E+001, 2.0489075E+001, 2.0475947E+001, 2.0475127E+001, 2.0488306E+001, 2.0477181E+001, 2.0476253E+001, 2.0489719E+001, 2.0472996E+001, 2.0476334E+001, 2.0491928E+001, 2.0471850E+001, 2.0474828E+001, 2.0490911E+001, 2.0473429E+001, 2.0474809E+001, 1.5937500E+000, 4.2014808E-002, 4.1316700E-002, 4.1583351E-002, 4.1684415E-002, 4.1257552E-002, 4.1408672E-002, 4.1625895E-002, 4.1299147E-002, 4.1447425E-002, 4.1827193E-002, 4.1002125E-002, 4.1665279E-002, 4.2152610E-002, 4.0812934E-002, 4.1627154E-002, 4.1989570E-002, 4.1078576E-002, 4.1629893E-002
 1.6562500E+000, 2.0491206E+001, 2.0475476E+001, 2.0474612E+001, 2.0489075E+001, 2.0475947E+001, 2.0475127E+001, 2.0488306E+001, 2.0477181E+001, 2.0476253E+001, 2.0489719E+001, 2.0472996E+001, 2.0476334E+001, 2.0491928E+001, 2.0471850E+001, 2.0474828E+001, 2.0490911E+001, 2.0473429E+001, 2.0474809E+001, 1.6562500E+000, 4.2014808E-002, 4.1316700E-002, 4.1583351E-002, 4.1684415E-002, 4.1257552E-002, 4.1408672E-002, 4.1625895E-002, 4.1299147E-002, 4.1447425E-002, 4.1827193E-002, 4.1002125E-002, 4.1665279E-002, 4.2152610E-002, 4.0812934E-002, 4.1627154E-002, 4.1989570E-002, 4.1078576E-002, 4.1629893E-002
 1.7187500E+000, 2.0354510E+001, 2.0334597E+001, 2.0333130E+001, 2.0350972E+001, 2.0335711E+001, 2.0335131E+001, 2.0350091E+001, 2.0338633E+001, 2.0338329E+001, 2.0351824E+001, 2.0334048E+001, 2.0337007E+001, 2.0354689E+001, 2.0333116E+001, 2.0333098E+001, 2.0355132E+001, 2.0334443E+001, 2.0332500E+001, 1.7187500E+000, 3.9541138E-002, 3.8661343E-002, 3.8687448E-002, 3.9387334E-002, 3.8485329E-002, 3.8607102E-002, 3.9458816E-002, 3.8715148E-002, 3.8878935E-002, 3.9553897E-002, 3.8638046E-002, 3.8955482E-002, 3.9977638E-002, 3.8431542E-002, 3.8483273E-002, 3.9715801E-002, 3.8594098E-002, 3.8641683E-002
 1.7812500E+000, 2.0354510E+001, 2.0334597E+001, 2.0333130E+001, 2.0350972E+001, 2.0335711E+001, 2.0335131E+001, 2.0350091E+001, 2.0338633E+001, 2.0338329E+001, 2.0351824E+001, 2.0334048E+001, 2.0337007E+001, 2.0354689E+001, 2.0333116E+001, 2.0333098E+001, 2.0355132E+001, 2.0334443E+001, 2.0332500E+001, 1.7812500E+000, 3.9541138E-002, 3.8661343E-002, 3.8687448E-002, 3.9387334E-002, 3.8485329E-002, 3.8607102E-002, 3.9458816E-002, 3.8715148E-002, 3.8878935E-002, 3.9553897E-002, 3.8638046E-002, 3.8955482E-002, 3.9977638E-002, 3.8431542E-002, 3.8483273E-002, 3.9715801E-002, 3.8594098E-002, 3.8641683E-002
 1.8437500E+000, 2.0182839E+001, 2.0170605E+001, 2.0170983E+001, 2.0181140E+001, 2.0172479E+001, 2.0174248E+001, 2.0180134E+001, 2.0174164E+001, 2.0173314E+001, 2.0182212E+001, 2.0173881E+001, 2.0172117E+001, 2.0184080E+001, 2.0174893E+001, 2.0169521E+001, 2.0183812E+001, 2.0173734E+001, 2.0169872E+001, 1.8437500E+000, 3.0132535E-002, 2.9360695E-002, 2.8994832E-002, 3.0223536E-002, 2.9458793E-002, 2.9438981E-002, 3.0095593E-002, 2.9365245E-002, 2.9517801E-002, 3.0077203E-002, 2.8994820E-002, 2.9311745E-002, 3.0215988E-002, 2.9174356E-002, 2.9086956E-002, 3.0167980E-002, 2.9693118E-002, 2.8940873E-002
 1.9062500E+000, 2.0182839E+001, 2.0170605E+001, 2.0170983E+001, 2.0181140E+001, 2.0172479E+001, 2.0174248E+001, 2.0180134E+001, 2.0174164E+001, 2.0173314E+001, 2.0182212E+001, 2.0173881E+001, 2.0172117E+001, 2.0184080E+001, 2.0174893E+001, 2.0169521E+001, 2.0183812E+001, 2.0173734E+001, 2.0169872E+001, 1.9062500E+000, 3.0132535E-002, 2.9360695E-002, 2.8994832E-002, 3.0223536E-002, 2.9458793E-002, 2.9438981E-002, 3.0095593E-002, 2.9365245E-002, 2.9517801E-002, 3.0077203E-002, 2.8994820E-002, 2.9311745E-002, 3.0215988E-002, 2.9174356E-002, 2.9086956E-002, 3.0167980E-002, 2.9693118E-002, 2.8940873E-002
 1.9687500E+000, 2.0091420E+001, 2.0085302E+001, 2.0085491E+001, 2.0090570E+001, 2.0086239E+001, 2.0087124E+001, 2.0090067E+001, 2.0087082E+001, 2.0086657E+001, 2.0091106E+001, 2.0086941E+001, 2.0086059E+001, 2.0092040E+001, 2.0087447E+001, 2.0084760E+001, 2.0091906E+001, 2.0086867E+001, 2.0084936E+001, 1.9687500E+000, 1.5066268E-002, 1.4680348E-002, 1.4497416E-002, 1.5111768E-002, 1.4729396E-002, 1.4719491E-002, 1.5047797E-002, 1.4682623E-002, 1.4758901E-002, 1.5038602E-002, 1.4497410E-002, 1.4655872E-002, 1.5107994E-002, 1.4587178E-002, 1.4543478E-002, 1.5083990E-002, 1.4846559E-002, 1.4470437E-002
