m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s
T11-z,T11,T13,T15,T31,T33,T35,T51,T53,T55,T71,T73,T75,T91,T93,T95,T111,T113,T115,U11-z,U11,U13,U15,U31,U33,U35,U51,U53,U55,U71,U73,U75,U91,U93,U95,U111,U113,U115
 3.1250000E-002, 2.1576859E+001, 2.1576601E+001, 2.1566682E+001, 2.1574976E+001, 2.1573858E+001, 2.1566827E+001, 2.1576271E+001, 2.1571554E+001, 2.1568153E+001, 2.1577552E+001, 2.1573809E+001, 2.1574988E+001, 2.1576739E+001, 2.1576740E+001, 2.1575174E+001, 2.1576168E+001, 2.1574161E+001, 2.1569689E+001, 3.1250000E-002, 1.4972502E-002, 1.4800368E-002, 1.4886147E-002, 1.4964303E-002, 1.4634597E-002, 1.4803520E-002, 1.4916200E-002, 1.4582385E-002, 1.4940255E-002, 1.4976118E-002, 1.4726556E-002, 1.5211366E-002, 1.5050760E-002, 1.4818917E-002, 1.5192859E-002, 1.4998996E-002, 1.4837650E-002, 1.5000684E-002
 9.3750000E-002, 2.3228814E+001, 2.3224915E+001, 2.3208110E+001, 2.3225255E+001, 2.3219428E+001, 2.3207469E+001, 2.3226755E+001, 2.3215550E+001, 2.3211163E+001, 2.3227945E+001, 2.3218844E+001, 2.3224318E+001, 2.3225801E+001, 2.3225193E+001, 2.3225495E+001, 2.3227240E+001, 2.3221211E+001, 2.3215696E+001, 9.3750000E-002, 3.2324979E-002, 3.1945641E-002, 3.2092670E-002, 3.2224371E-002, 3.1625208E-002, 3.1970291E-002, 3.2094765E-002, 3.1537633E-002, 3.2196523E-002, 3.2158247E-002, 3.1772534E-002, 3.2683791E-002, 3.2273583E-002, 3.1954531E-002, 3.2691162E-002, 3.2312037E-002, 3.1950468E-002, 3.2361523E-002
 1.5625000E-001, 2.3379007E+001, 2.3368340E+001, 2.3357601E+001, 2.3375862E+001, 2.3362850E+001, 2.3355099E+001, 2.3375182E+001, 2.3360433E+001, 2.3360875E+001, 2.3373627E+001, 2.3361296E+001, 2.3373003E+001, 2.3370446E+001, 2.3368621E+001, 2.3375789E+001, 2.3377047E+001, 2.3366988E+001, 2.3368333E+001, 1.5625000E-001, 3.7084928E-002, 3.6635451E-002, 3.6733424E-002, 3.6815900E-002, 3.6337235E-002, 3.6696794E-002, 3.6619494E-002, 3.6283356E-002, 3.6828548E-002, 3.6570268E-002, 3.6411376E-002, 3.7205910E-002, 3.6617710E-002, 3.6587924E-002, 3.7302050E-002, 3.6940127E-002, 3.6500804E-002, 3.7081832E-002
 2.1875000E-001, 2.3507041E+001, 2.3493475E+001, 2.3488284E+001, 2.3506070E+001, 2.3488664E+001, 2.3484950E+001, 2.3504264E+001, 2.3486350E+001, 2.3489591E+001, 2.3501591E+001, 2.3485447E+001, 2.3499389E+001, 2.3497742E+001, 2.3492017E+001, 2.3505554E+001, 2.3504564E+001, 2.3492371E+001, 2.3499974E+001, 2.1875000E-001, 4.0033873E-002, 3.9611887E-002, 3.9796098E-002, 3.9813694E-002, 3.9406136E-002, 3.9801552E-002, 3.9642751E-002, 3.9325574E-002, 3.9858921E-002, 3.9516472E-002, 3.9364431E-002, 4.0068747E-002, 3.9507259E-002, 3.9523546E-002, 4.0221118E-002, 3.9853596E-002, 3.9450458E-002, 4.0110169E-002
 2.8125000E-001, 2.3612918E+001, 2.3600320E+001, 2.3600160E+001, 2.3615879E+001, 2.3596870E+001, 2.3597023E+001, 2.3614001E+001, 2.3593301E+001, 2.3597312E+001, 2.3611837E+001, 2.3591298E+001, 2.3603476E+001, 2.3607689E+001, 2.3595382E+001, 2.3614790E+001, 2.3609792E+001, 2.3597361E+001, 2.3610620E+001, 2.8125000E-001, 4.1171814E-002, 4.0874949E-002, 4.1280693E-002, 4.1217754E-002, 4.0831910E-002, 4.1284565E-002, 4.1164535E-002, 4.0664287E-002, 4.1287643E-002, 4.0996857E-002, 4.0631700E-002, 4.1272304E-002, 4.0942230E-002, 4.0761399E-002, 4.1448366E-002, 4.1052442E-002, 4.0799428E-002, 4.1446534E-002
 3.4375000E-001, 2.3708700E+001, 2.3695834E+001, 2.3699125E+001, 2.3712762E+001, 2.3693970E+001, 2.3697185E+001, 2.3711942E+001, 2.3690503E+001, 2.3695241E+001, 2.3710990E+001, 2.3688356E+001, 2.3698223E+001, 2.3706614E+001, 2.3689479E+001, 2.3708903E+001, 2.3705169E+001, 2.3692427E+001, 2.3707224E+001, 3.4375000E-001, 4.2523679E-002, 4.2292470E-002, 4.2716857E-002, 4.2665235E-002, 4.2321526E-002, 4.2726365E-002, 4.2678475E-002, 4.2176298E-002, 4.2690694E-002, 4.2575467E-002, 4.2131406E-002, 4.2567910E-002, 4.2509948E-002, 4.2222090E-002, 4.2712334E-002, 4.2459833E-002, 4.2288708E-002, 4.2795745E-002
 4.0625000E-001, 2.3794389E+001, 2.3780015E+001, 2.3785181E+001, 2.3796720E+001, 2.3779964E+001, 2.3785435E+001, 2.3798086E+001, 2.3777956E+001, 2.3783377E+001, 2.3799049E+001, 2.3776619E+001, 2.3783629E+001, 2.3794518E+001, 2.3774308E+001, 2.3787892E+001, 2.3790695E+001, 2.3777569E+001, 2.3789787E+001, 4.0625000E-001, 4.4089469E-002, 4.3864449E-002, 4.4104591E-002, 4.4156138E-002, 4.3874983E-002, 4.4126953E-002, 4.4184572E-002, 4.3861610E-002, 4.4068075E-002, 4.4252301E-002, 4.3863550E-002, 4.3955564E-002, 4.4210412E-002, 4.3905621E-002, 4.4013023E-002, 4.4075768E-002, 4.3918299E-002, 4.4157800E-002
 4.6875000E-001, 2.3869581E+001, 2.3854663E+001, 2.3861663E+001, 2.3872124E+001, 2.3855377E+001, 2.3862445E+001, 2.3874592E+001, 2.3854616E+001, 2.3860701E+001, 2.3876164E+001, 2.3853085E+001, 2.3860258E+001, 2.3872836E+001, 2.3849248E+001, 2.3861343E+001, 2.3867707E+001, 2.3852783E+001, 2.3864114E+001, 4.6875000E-001, 4.5399472E-002, 4.5159140E-002, 4.5348447E-002, 4.5429042E-002, 4.5158690E-002, 4.5354624E-002, 4.5476693E-002, 4.5210621E-002, 4.5305306E-002, 4.5600011E-002, 4.5218552E-002, 4.5232588E-002, 4.5577036E-002, 4.5237548E-002, 4.5245001E-002, 4.5425311E-002, 4.5236343E-002, 4.5384370E-002
 5.3125000E-001, 2.3934276E+001, 2.3919778E+001, 2.3928572E+001, 2.3938976E+001, 2.3920208E+001, 2.3928214E+001, 2.3941459E+001, 2.3920480E+001, 2.3927213E+001, 2.3942333E+001, 2.3917755E+001, 2.3928110E+001, 2.3941571E+001, 2.3914298E+001, 2.3929257E+001, 2.3936206E+001, 2.3918068E+001, 2.3930205E+001, 5.3125000E-001, 4.6453687E-002, 4.6176542E-002, 4.6448425E-002, 4.6483948E-002, 4.6172646E-002, 4.6409378E-002, 4.6554840E-002, 4.6223332E-002, 4.6402386E-002, 4.6618599E-002, 4.6196415E-002, 4.6398982E-002, 4.6609817E-002, 4.6217872E-002, 4.6408268E-002, 4.6508462E-002, 4.6242841E-002, 4.6475455E-002
