s,kg/m3,m/s,kW/m2,kW/m2
Time,"RHO","U-VEL","NetHF0B","NetHF0T"
 0.0000000E+000, 1.1934192E+000, 4.5000000E-002, 0.0000000E+000, 0.0000000E+000
 2.0000008E+003, 1.1934425E+000, 4.2242620E-002, 3.8955241E-004, 3.7282243E-004
 4.0000350E+003, 1.1934526E+000, 3.9735251E-002, 4.2825296E-004, 4.0126642E-004
 6.0000017E+003, 1.1934356E+000, 3.8811073E-002, 4.6320445E-004, 4.2032634E-004
 8.0000359E+003, 1.1934204E+000, 4.0590159E-002, 4.5970671E-004, 4.4362512E-004
 1.0000059E+004, 1.1934186E+000, 4.2069635E-002, 4.7600775E-004, 4.7604947E-004
 1.2000030E+004, 1.1934183E+000, 4.2981163E-002, 4.9590439E-004, 4.9277859E-004
 1.4000001E+004, 1.1934173E+000, 4.3478518E-002, 5.0214679E-004, 5.0230230E-004
 1.6000033E+004, 1.1934228E+000, 4.3798007E-002, 4.9132663E-004, 4.9679819E-004
 1.8000004E+004, 1.1934207E+000, 4.3988453E-002, 4.9965615E-004, 4.9745904E-004
 2.0000036E+004, 1.1934158E+000, 4.4141038E-002, 5.0642965E-004, 5.0556003E-004
 2.2000007E+004, 1.1934199E+000, 4.4298403E-002, 5.0936942E-004, 5.0096850E-004
 2.4000039E+004, 1.1934185E+000, 4.4379541E-002, 4.9757868E-004, 5.0728208E-004
 2.5000000E+004, 1.1934239E+000, 4.4456262E-002, 5.0147223E-004, 5.1318696E-004
