s,kg/m3,m/s,kW/m2,kW/m2
Time,"RHO","U-VEL","NetHF0B","NetHF0T"
 0.0000000E+000, 1.1934192E+000, 4.5000000E-002, 0.0000000E+000, 0.0000000E+000
 2.0000469E+003, 1.1934435E+000, 4.2197649E-002, 8.1649558E-003, 8.1406933E-003
 4.0000178E+003, 1.1934519E+000, 3.9640442E-002, 8.2133696E-003, 8.1713662E-003
 6.0000581E+003, 1.1934366E+000, 3.8847524E-002, 8.2420271E-003, 8.2027342E-003
 8.0000290E+003, 1.1934197E+000, 4.0515238E-002, 8.2302142E-003, 8.2183929E-003
 1.0000060E+004, 1.1934186E+000, 4.2061621E-002, 8.2524107E-003, 8.2515486E-003
 1.2000062E+004, 1.1934198E+000, 4.2985847E-002, 8.2566978E-003, 8.2624269E-003
 1.4000001E+004, 1.1934167E+000, 4.3599923E-002, 8.2646584E-003, 8.2738474E-003
 1.6000002E+004, 1.1934217E+000, 4.3947178E-002, 8.2715862E-003, 8.2721888E-003
 1.8000003E+004, 1.1934179E+000, 4.4215152E-002, 8.2758194E-003, 8.2677034E-003
 2.0000005E+004, 1.1934214E+000, 4.4298078E-002, 8.2764216E-003, 8.2734403E-003
 2.2000006E+004, 1.1934176E+000, 4.4365512E-002, 8.2682708E-003, 8.2809801E-003
 2.4000007E+004, 1.1934167E+000, 4.4433886E-002, 8.2729600E-003, 8.2760382E-003
 2.5000000E+004, 1.1934258E+000, 4.4463943E-002, 8.2782585E-003, 8.2554492E-003
