s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,"M1","M2","P1","P2","B","G1","G2","G3","G4","G5","G6","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8","TC9","TC10","TC11","TC12","TC13","TC14","TC15","TC16","TC17","TC18","TC19","HF1","HF2","HF3","HF4"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0782285E-001, 2.0782285E-001, 3.8690337E-004, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0283639E-007,-6.3751712E-007,-4.7858821E-007,-3.5343155E-007
 5.0020219E+000, 3.5258013E-003,-2.3222135E-003, 4.2484035E-002,-1.7907509E-002, 2.2831499E-005, 2.0351912E-001, 2.0782285E-001, 2.9326518E-003, 3.8690360E-004, 6.3682105E-010, 5.5102267E-015, 4.7356883E+000, 5.6687014E+000, 7.0589664E-001, 7.1248255E-001, 6.5431568E-001, 3.9267731E-001, 2.7647646E-001, 3.1758556E-001, 3.8054543E-001, 4.8421194E-001, 4.6284168E-001, 2.6867901E-001, 5.9910816E+000, 1.6485881E+000, 3.4661176E-001, 5.2126894E-001, 2.0009399E+001, 3.8466799E+001, 1.0765797E+002, 2.8790454E+001, 3.9393616E-001, 2.8657346E-001, 6.1897586E-001
 1.0001279E+001, 9.3942399E-003,-7.7023739E-003, 2.8709111E-001,-1.4623911E-001, 6.8428017E-005, 1.9073857E-001, 2.0762618E-001, 1.0492586E-002, 5.0324098E-004, 2.1101886E-008, 1.8543429E-011, 4.4003787E+001, 5.1225764E+001, 2.1305323E+001, 1.8122362E+001, 1.3578540E+001, 6.7245194E+000, 3.1019970E+000, 2.2524456E+000, 2.5379759E+000, 2.9850538E+000, 2.6598625E+000, 1.5218789E+000, 5.5065487E+001, 2.7662783E+001, 4.2451015E+000, 4.4054461E+000, 9.9633288E+001, 1.2359302E+002, 2.9053012E+002, 3.7530426E+001, 1.7685460E+000, 1.6844320E+000, 2.2468056E+000
 1.5001068E+001, 1.0641340E-002,-9.7327549E-003, 5.0030943E-001,-2.8238804E-001, 9.3735521E-005, 1.8037870E-001, 2.0763669E-001, 1.6620655E-002, 4.9701974E-004, 2.7430156E-008, 5.1050058E-013, 1.1178680E+002, 1.2519152E+002, 7.3848911E+001, 6.8894294E+001, 5.9794498E+001, 4.1739314E+001, 2.2062884E+001, 1.0833568E+001, 7.1623471E+000, 6.5619244E+000, 4.7968056E+000, 2.9591265E+000, 1.4516918E+002, 8.4700373E+001, 1.6820087E+001, 1.2137304E+001, 1.7693790E+002, 1.7377240E+002, 3.1290617E+002, 3.6228082E+001, 3.5386251E+000, 3.5712320E+000, 3.8248538E+000
 2.0001508E+001, 1.1014148E-002,-1.0509658E-002, 5.8680357E-001,-3.3576792E-001, 9.8802767E-005, 1.7979161E-001, 2.0750761E-001, 1.6967953E-002, 5.7337464E-004, 5.4963663E-009, 2.2816783E-013, 1.5144946E+002, 1.6721299E+002, 1.1705094E+002, 1.1225116E+002, 1.0469173E+002, 8.7217233E+001, 6.2286081E+001, 3.6581888E+001, 1.6121430E+001, 1.0820915E+001, 5.9054335E+000, 3.6737418E+000, 2.0386397E+002, 1.4201720E+002, 4.2076732E+001, 2.3657866E+001, 2.1154296E+002, 1.6558441E+002, 1.9018469E+002, 3.1855905E+001, 5.5024184E+000, 4.6925371E+000, 3.8467084E+000
 2.5002570E+001, 1.1135434E-002,-1.1031444E-002, 6.5821446E-001,-3.7920734E-001, 1.0387012E-004, 1.7648011E-001, 2.0742737E-001, 1.8926748E-002, 6.2083750E-004, 3.2470109E-008, 6.3087165E-013, 1.6342600E+002, 1.7728201E+002, 1.4656001E+002, 1.4075928E+002, 1.3555678E+002, 1.2260009E+002, 9.7608529E+001, 6.5663509E+001, 3.0356648E+001, 1.6034672E+001, 6.7873346E+000, 3.9228938E+000, 2.3839553E+002, 1.9604688E+002, 9.5135954E+001, 3.6626526E+001, 2.2160284E+002, 1.6032235E+002, 1.4546486E+002, 3.3714646E+001, 6.2502786E+000, 5.0488415E+000, 4.3622121E+000
 3.0002609E+001, 1.1254719E-002,-1.0817412E-002, 6.4741654E-001,-3.4481542E-001, 1.0893721E-004, 1.7588364E-001, 2.0751708E-001, 1.9279597E-002, 5.6777679E-004, 5.9938557E-009, 5.3655583E-013, 1.7749908E+002, 1.9628251E+002, 1.6180725E+002, 1.5423423E+002, 1.4864428E+002, 1.3701610E+002, 1.1452373E+002, 7.3496591E+001, 3.6266940E+001, 1.8044293E+001, 7.5405414E+000, 4.5642451E+000, 2.5030883E+002, 1.9711489E+002, 7.8665647E+001, 4.2558781E+001, 2.4794649E+002, 1.7044652E+002, 1.4457444E+002, 3.3216907E+001, 6.2523878E+000, 5.3456113E+000, 4.7227588E+000
 3.5001682E+001, 1.1518394E-002,-1.1624113E-002, 7.0083346E-001,-3.5499837E-001, 1.1400356E-004, 1.7361731E-001, 2.0748007E-001, 2.0620159E-002, 5.8966645E-004, 2.6844320E-008, 6.4266471E-013, 1.9130366E+002, 2.1109538E+002, 1.7402168E+002, 1.6663088E+002, 1.6149631E+002, 1.5022695E+002, 1.3064941E+002, 8.9943092E+001, 4.4245276E+001, 2.2238473E+001, 8.9382393E+000, 5.3175323E+000, 2.6693252E+002, 2.0748286E+002, 7.4054991E+001, 4.8176884E+001, 2.6048747E+002, 1.8627573E+002, 1.4431204E+002, 3.2819572E+001, 6.7157385E+000, 5.7769819E+000, 5.4328759E+000
 4.0000925E+001, 1.1405061E-002,-1.1117926E-002, 6.9273078E-001,-4.2356774E-001, 1.1906931E-004, 1.7213176E-001, 2.0734690E-001, 2.1498738E-002, 6.6843955E-004, 1.7607515E-007, 5.4329967E-013, 2.0227059E+002, 2.2315678E+002, 1.8216525E+002, 1.7546748E+002, 1.6987598E+002, 1.5559101E+002, 1.3378653E+002, 8.9993739E+001, 4.3360478E+001, 2.3127274E+001, 9.8203686E+000, 5.7950012E+000, 2.7262736E+002, 2.0596914E+002, 6.9882585E+001, 5.3837908E+001, 2.7375642E+002, 1.9914119E+002, 1.4241683E+002, 3.3251947E+001, 6.8839418E+000, 6.1047348E+000, 6.2315623E+000
 4.5000162E+001, 1.1584868E-002,-1.1284882E-002, 7.4079361E-001,-3.8576961E-001, 1.2413524E-004, 1.7312474E-001, 2.0750637E-001, 2.0911518E-002, 5.7410744E-004, 2.9889353E-008, 5.6727771E-013, 2.1289625E+002, 2.3368542E+002, 1.9127695E+002, 1.8563640E+002, 1.8017607E+002, 1.6805110E+002, 1.4267965E+002, 9.8356471E+001, 4.7762606E+001, 2.5243362E+001, 1.0377709E+001, 6.0014972E+000, 2.8424565E+002, 2.4210555E+002, 1.2926984E+002, 6.1479137E+001, 2.8039673E+002, 2.0795041E+002, 1.4753600E+002, 3.1924962E+001, 9.2775266E+000, 7.6920475E+000, 5.6243286E+000
 5.0001546E+001, 1.1573752E-002,-1.1204350E-002, 7.6626957E-001,-4.4427492E-001, 1.2920212E-004, 1.7052792E-001, 2.0759318E-001, 2.2447593E-002, 5.2275976E-004, 2.9098721E-008, 2.6610138E-013, 2.1925274E+002, 2.3874412E+002, 2.0283512E+002, 1.9522032E+002, 1.8846375E+002, 1.7671403E+002, 1.5723473E+002, 1.0894904E+002, 4.3970687E+001, 2.3052857E+001, 1.0015702E+001, 6.0347089E+000, 3.1864204E+002, 2.5990970E+002, 1.2249287E+002, 6.6478430E+001, 2.9143080E+002, 2.0264002E+002, 1.3839554E+002, 3.1473228E+001, 9.6990473E+000, 8.3827772E+000, 6.3037411E+000
