s,kg/s,kg/s,Pa,Pa,kg/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2
Time,"M1","M2","P1","P2","B","G1","G2","G3","G4","G5","G6","TC1","TC2","TC3","TC4","TC5","TC6","TC7","TC8","TC9","TC10","TC11","TC12","TC13","TC14","TC15","TC16","TC17","TC18","TC19","HF1","HF2","HF3","HF4"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0782285E-001, 2.0782285E-001, 3.8690337E-004, 3.8690337E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.3197654E-007,-6.6043130E-007,-4.9762164E-007,-3.7143124E-007
 5.0023704E+000, 7.9653446E-004,-4.8275394E-005, 3.1284079E-002,-6.5087204E-004, 1.1421469E-005, 2.0547729E-001, 2.0782285E-001, 1.7743539E-003, 3.8690342E-004, 4.1076996E-011, 1.7595297E-016, 1.8344883E+000, 2.2025102E+000, 2.4149729E-001, 1.6290091E-001, 1.0901818E-001, 9.7949766E-002, 1.0781845E-001, 1.4693881E-001, 1.8344483E-001, 2.4960237E-001, 2.4993670E-001, 1.4702359E-001, 2.9589087E+000, 5.4593225E-001, 1.4688485E-001, 2.5899033E-001, 1.2492541E+001, 2.3535589E+001, 6.3085301E+001, 2.5316190E+001, 1.6583008E-001, 1.0509259E-001, 3.4522204E-001
 1.0002567E+001, 2.3799593E-003,-6.3837021E-004, 3.8136525E-001, 1.5128745E-002, 3.4218277E-005, 1.9672863E-001, 2.0781863E-001, 6.9493582E-003, 3.8940042E-004, 3.6307437E-009, 1.2405761E-014, 2.2804520E+001, 2.6661857E+001, 1.0803407E+001, 9.3836964E+000, 8.5672269E+000, 7.8473254E+000, 6.1541506E+000, 2.5908804E+000, 1.5235155E+000, 1.7119334E+000, 1.5473522E+000, 9.0171886E-001, 3.0940359E+001, 1.3513471E+001, 2.5759004E+000, 1.8487339E+000, 7.1923356E+001, 1.1689038E+002, 3.0890153E+002, 3.2965452E+001, 6.6532988E-001, 6.7901129E-001, 1.3333117E+000
 1.5001364E+001, 3.1940342E-003,-1.3337965E-003, 8.7532918E-001, 1.4982766E-002, 5.7014740E-005, 1.8376666E-001, 2.0700782E-001, 1.4616617E-002, 8.6901056E-004, 1.9468863E-008, 1.1172267E-012, 7.1572638E+001, 7.9288144E+001, 4.9505857E+001, 4.5548896E+001, 4.1836252E+001, 3.9533042E+001, 3.4550046E+001, 2.6844639E+001, 1.7494132E+001, 9.1477363E+000, 3.5567599E+000, 2.1285228E+000, 9.3888132E+001, 5.3389436E+001, 2.2691330E+001, 6.1691298E+000, 1.5708726E+002, 2.1216178E+002, 4.5828737E+002, 3.4927254E+001, 1.4624437E+000, 1.8623432E+000, 3.0304435E+000
 2.0000870E+001, 3.4402030E-003,-2.0136283E-003, 1.2606712E+000,-5.3496167E-002, 7.9810906E-005, 1.6640922E-001, 2.0313861E-001, 2.4883800E-002, 3.1577302E-003, 1.1267240E-007, 2.8912423E-012, 1.4011258E+002, 1.4677849E+002, 1.1403241E+002, 1.0659515E+002, 1.0214666E+002, 9.8086332E+001, 9.1390269E+001, 7.5832141E+001, 5.7595001E+001, 2.8889399E+001, 8.1580152E+000, 4.0040163E+000, 1.8931602E+002, 1.2134165E+002, 6.6827187E+001, 1.5049720E+001, 2.5295707E+002, 3.0084697E+002, 4.9407598E+002, 3.1914029E+001, 2.4858026E+000, 3.6300565E+000, 5.3594505E+000
 2.5001997E+001, 3.4470723E-003,-2.6569003E-003, 1.4024066E+000,-2.0505393E-001, 9.3526432E-005, 1.4460660E-001, 1.9834049E-001, 3.7780208E-002, 5.9959141E-003, 3.9579310E-007, 3.3292252E-012, 2.1320759E+002, 2.2210119E+002, 1.8582416E+002, 1.7888097E+002, 1.7397767E+002, 1.6621392E+002, 1.6162994E+002, 1.4208897E+002, 1.1218207E+002, 5.3700253E+001, 1.3745226E+001, 5.8491134E+000, 2.7739797E+002, 2.0234258E+002, 1.3212547E+002, 2.9821092E+001, 3.3790556E+002, 3.5199828E+002, 5.3341651E+002, 3.2225122E+001, 3.9520477E+000, 5.5746139E+000, 7.5284725E+000
 3.0001396E+001, 3.4642444E-003,-2.9501793E-003, 1.5265379E+000,-3.3105786E-001, 9.8174575E-005, 1.3480142E-001, 1.9432286E-001, 4.3580521E-002, 8.3724261E-003, 5.9914965E-008, 2.9490327E-012, 2.6152416E+002, 2.7194103E+002, 2.3966523E+002, 2.3679972E+002, 2.3356763E+002, 2.2598390E+002, 2.2099062E+002, 2.0219289E+002, 1.6132416E+002, 8.6981716E+001, 2.0099767E+001, 6.9058746E+000, 3.3271839E+002, 2.6554570E+002, 1.8638263E+002, 4.8200857E+001, 3.6264899E+002, 3.1801431E+002, 3.8626342E+002, 3.0957575E+001, 5.1851201E+000, 6.8731533E+000, 7.5028488E+000
 3.5000250E+001, 3.3570804E-003,-2.9594147E-003, 1.4334552E+000,-4.2652634E-001, 1.0282137E-004, 1.2314495E-001, 1.9132369E-001, 5.0475224E-002, 1.0146499E-002, 3.8668024E-007, 4.2752704E-012, 2.8926990E+002, 3.0374677E+002, 2.6903328E+002, 2.6713508E+002, 2.6387743E+002, 2.5857616E+002, 2.5016869E+002, 2.3071074E+002, 1.9641712E+002, 1.1874685E+002, 2.6301751E+001, 8.6755274E+000, 3.6197583E+002, 3.0635455E+002, 2.1836259E+002, 6.8650321E+001, 3.9470904E+002, 3.4514371E+002, 3.6405365E+002, 2.9887132E+001, 6.3851735E+000, 8.6603043E+000, 8.9346819E+000
 4.0001647E+001, 3.4424751E-003,-3.2246701E-003, 1.5895821E+000,-3.9977868E-001, 1.0746896E-004, 1.1587769E-001, 1.8870911E-001, 5.4774021E-002, 1.1693074E-002, 3.2536086E-007, 3.8738921E-012, 3.0889997E+002, 3.2085262E+002, 2.9290231E+002, 2.9191539E+002, 2.9022309E+002, 2.8405532E+002, 2.7305608E+002, 2.4954998E+002, 2.1198987E+002, 1.3121630E+002, 2.9719704E+001, 9.6589370E+000, 4.0370994E+002, 3.5390667E+002, 2.4437588E+002, 8.7562548E+001, 3.9717594E+002, 3.2112314E+002, 3.3618328E+002, 3.0277362E+001, 6.5356406E+000, 8.8575263E+000, 9.4833436E+000
