s,C,C,C
Time,"Cable Temp","Shroud Temp","Conduit"
 0.000E+00, 3.100E+01, 3.100E+01, 3.100E+01
 1.506E+01, 3.097E+01, 7.161E+01, 3.106E+01
 3.000E+01, 3.125E+01, 1.516E+02, 3.175E+01
 4.501E+01, 3.135E+01, 2.316E+02, 3.357E+01
 6.003E+01, 3.168E+01, 3.073E+02, 3.723E+01
 7.501E+01, 3.226E+01, 3.250E+02, 4.230E+01
 9.001E+01, 3.298E+01, 3.250E+02, 4.745E+01
 1.050E+02, 3.392E+01, 3.250E+02, 5.256E+01
 1.200E+02, 3.493E+01, 3.250E+02, 5.760E+01
 1.350E+02, 3.589E+01, 3.250E+02, 6.257E+01
 1.500E+02, 3.667E+01, 3.250E+02, 6.741E+01
 1.650E+02, 3.767E+01, 3.250E+02, 7.221E+01
 1.800E+02, 3.843E+01, 3.250E+02, 7.691E+01
 1.950E+02, 3.919E+01, 3.250E+02, 8.153E+01
 2.100E+02, 4.053E+01, 3.250E+02, 8.610E+01
 2.250E+02, 4.163E+01, 3.250E+02, 9.058E+01
 2.400E+02, 4.293E+01, 3.250E+02, 9.499E+01
 2.550E+02, 4.439E+01, 3.250E+02, 9.934E+01
 2.700E+02, 4.596E+01, 3.250E+02, 1.036E+02
 2.850E+02, 4.742E+01, 3.250E+02, 1.078E+02
 3.000E+02, 4.911E+01, 3.250E+02, 1.119E+02
 3.150E+02, 5.071E+01, 3.250E+02, 1.160E+02
 3.300E+02, 5.227E+01, 3.250E+02, 1.199E+02
 3.450E+02, 5.394E+01, 3.250E+02, 1.239E+02
 3.600E+02, 5.579E+01, 3.250E+02, 1.277E+02
 3.750E+02, 5.750E+01, 3.250E+02, 1.315E+02
 3.900E+02, 5.913E+01, 3.250E+02, 1.352E+02
 4.050E+02, 6.091E+01, 3.250E+02, 1.388E+02
 4.200E+02, 6.269E+01, 3.250E+02, 1.423E+02
 4.350E+02, 6.478E+01, 3.250E+02, 1.458E+02
 4.500E+02, 6.678E+01, 3.250E+02, 1.493E+02
 4.650E+02, 6.882E+01, 3.250E+02, 1.526E+02
 4.800E+02, 7.090E+01, 3.250E+02, 1.560E+02
 4.950E+02, 7.328E+01, 3.250E+02, 1.593E+02
 5.100E+02, 7.536E+01, 3.250E+02, 1.624E+02
 5.250E+02, 7.726E+01, 3.250E+02, 1.655E+02
 5.400E+02, 7.948E+01, 3.250E+02, 1.686E+02
 5.550E+02, 8.177E+01, 3.250E+02, 1.716E+02
 5.700E+02, 8.396E+01, 3.250E+02, 1.746E+02
 5.850E+02, 8.619E+01, 3.250E+02, 1.774E+02
 6.000E+02, 8.870E+01, 3.250E+02, 1.802E+02
 6.150E+02, 9.091E+01, 3.250E+02, 1.830E+02
 6.300E+02, 9.304E+01, 3.250E+02, 1.857E+02
 6.450E+02, 9.559E+01, 3.250E+02, 1.884E+02
 6.600E+02, 9.781E+01, 3.250E+02, 1.909E+02
 6.750E+02, 1.005E+02, 3.250E+02, 1.935E+02
 6.900E+02, 1.030E+02, 3.250E+02, 1.960E+02
 7.050E+02, 1.055E+02, 3.250E+02, 1.984E+02
 7.200E+02, 1.078E+02, 3.250E+02, 2.008E+02
 7.350E+02, 1.104E+02, 3.250E+02, 2.031E+02
 7.500E+02, 1.128E+02, 3.250E+02, 2.054E+02
 7.650E+02, 1.155E+02, 3.250E+02, 2.077E+02
 7.800E+02, 1.180E+02, 3.250E+02, 2.099E+02
 7.950E+02, 1.206E+02, 3.250E+02, 2.121E+02
 8.100E+02, 1.232E+02, 3.250E+02, 2.142E+02
 8.250E+02, 1.259E+02, 3.250E+02, 2.163E+02
 8.400E+02, 1.285E+02, 3.250E+02, 2.183E+02
 8.550E+02, 1.311E+02, 3.250E+02, 2.203E+02
 8.700E+02, 1.334E+02, 3.250E+02, 2.221E+02
 8.850E+02, 1.358E+02, 3.250E+02, 2.239E+02
 9.000E+02, 1.381E+02, 3.250E+02, 2.256E+02
 9.150E+02, 1.406E+02, 3.250E+02, 2.273E+02
 9.300E+02, 1.429E+02, 3.250E+02, 2.290E+02
 9.450E+02, 1.455E+02, 3.250E+02, 2.306E+02
 9.600E+02, 1.481E+02, 3.250E+02, 2.322E+02
 9.750E+02, 1.504E+02, 3.250E+02, 2.337E+02
 9.900E+02, 1.529E+02, 3.250E+02, 2.354E+02
 1.005E+03, 1.551E+02, 3.250E+02, 2.368E+02
 1.020E+03, 1.574E+02, 3.250E+02, 2.383E+02
 1.035E+03, 1.597E+02, 3.250E+02, 2.397E+02
 1.050E+03, 1.622E+02, 3.250E+02, 2.411E+02
 1.065E+03, 1.649E+02, 3.250E+02, 2.425E+02
 1.080E+03, 1.676E+02, 3.250E+02, 2.439E+02
 1.095E+03, 1.701E+02, 3.250E+02, 2.453E+02
 1.110E+03, 1.723E+02, 3.250E+02, 2.466E+02
 1.125E+03, 1.747E+02, 3.250E+02, 2.479E+02
 1.140E+03, 1.769E+02, 3.250E+02, 2.490E+02
 1.155E+03, 1.786E+02, 3.250E+02, 2.501E+02
 1.170E+03, 1.802E+02, 3.250E+02, 2.510E+02
 1.185E+03, 1.822E+02, 3.250E+02, 2.520E+02
 1.200E+03, 1.842E+02, 3.250E+02, 2.530E+02
 1.215E+03, 1.863E+02, 3.250E+02, 2.540E+02
 1.230E+03, 1.889E+02, 3.250E+02, 2.551E+02
 1.245E+03, 1.912E+02, 3.250E+02, 2.562E+02
 1.260E+03, 1.926E+02, 3.250E+02, 2.571E+02
 1.275E+03, 1.945E+02, 3.250E+02, 2.580E+02
 1.290E+03, 1.968E+02, 3.250E+02, 2.590E+02
 1.305E+03, 1.988E+02, 3.250E+02, 2.599E+02
 1.320E+03, 2.009E+02, 3.250E+02, 2.608E+02
 1.335E+03, 2.032E+02, 3.250E+02, 2.617E+02
 1.350E+03, 2.052E+02, 3.250E+02, 2.627E+02
 1.365E+03, 2.072E+02, 3.250E+02, 2.635E+02
 1.380E+03, 2.091E+02, 3.250E+02, 2.644E+02
 1.395E+03, 2.111E+02, 3.250E+02, 2.653E+02
 1.410E+03, 2.130E+02, 3.250E+02, 2.661E+02
 1.425E+03, 2.148E+02, 3.250E+02, 2.669E+02
 1.440E+03, 2.166E+02, 3.250E+02, 2.677E+02
 1.455E+03, 2.181E+02, 3.250E+02, 2.684E+02
 1.470E+03, 2.196E+02, 3.250E+02, 2.691E+02
 1.485E+03, 2.213E+02, 3.250E+02, 2.698E+02
 1.500E+03, 2.231E+02, 3.250E+02, 2.705E+02
 1.515E+03, 2.248E+02, 3.250E+02, 2.712E+02
 1.530E+03, 2.266E+02, 3.250E+02, 2.719E+02
 1.545E+03, 2.282E+02, 3.250E+02, 2.726E+02
 1.560E+03, 2.297E+02, 3.250E+02, 2.732E+02
 1.575E+03, 2.310E+02, 3.250E+02, 2.738E+02
 1.590E+03, 2.317E+02, 3.250E+02, 2.742E+02
 1.605E+03, 2.325E+02, 3.250E+02, 2.745E+02
