s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PYROLYZATE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1,ZONE_2,ZONE_3,ZONE_4
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2862033E-003,-2.0391991E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.2862053E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0009213E+001, 5.4196479E+001, 4.3236750E-014,-3.4853943E+001,-2.1097626E+001,-1.2190467E+000,-3.4614520E-005, 4.7406370E-003, 1.3825914E+001, 8.2860935E+000, 1.0856484E+001,-9.9671680E-018, 3.5775209E-003, 1.1009759E-017, 3.3649293E-004, 4.7864818E+001, 1.0257642E+002, 7.8825060E+001, 7.7229842E+001
 2.0000463E+001, 8.2775346E+001, 1.0456727E-001,-4.1843663E+001,-3.1874769E+001,-9.9991762E-002, 8.6938748E-004,-4.9625840E-003, 3.1652269E-001, 6.4182633E+000, 9.2693522E+000,-2.3887054E-005, 5.6957571E-003, 2.6385700E-005, 8.3784157E-004,-2.9598661E-001,-2.9348058E-001,-2.9456850E-001,-2.9464157E-001
 3.0002155E+001, 1.0812267E+002, 6.7429638E-001,-4.7302740E+001,-5.5449775E+001, 3.1204198E-001, 8.2907380E-003,-2.2759778E-007,-5.0451600E+000,-8.2607625E-001, 6.4532596E-001,-1.5324697E-004, 7.2510388E-003, 1.6927699E-004, 1.7739228E-003,-2.9819259E-001,-2.9819248E-001,-2.9819253E-001,-2.9819253E-001
 4.0005352E+001, 1.1855124E+002, 1.2928357E+000,-4.8676237E+001,-5.9120856E+001, 8.4518807E-001, 9.1326416E-003,-1.0460073E-011,-7.5134529E+000, 2.0350198E+000, 4.0950146E+000,-2.9310210E-004, 9.4232947E-003, 3.2376132E-004, 2.2253262E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.0007114E+001, 1.4166028E+002, 2.2860978E+000,-5.7672898E+001,-8.5691570E+001, 1.1240763E+000, 1.1048262E-002,-4.9035039E-013, 3.2069351E+000, 8.4853147E-001, 2.6378715E+000,-5.1959607E-004, 1.2521950E-002, 5.7394713E-004, 2.1375689E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.0000305E+001, 1.3940050E+002, 3.3636372E+000,-5.6369872E+001,-8.9130243E+001, 1.6070838E+000, 1.0412239E-002,-4.9034080E-013, 7.6126674E+000, 4.6450989E-001, 3.1305533E+000,-7.6531713E-004, 1.2357695E-002, 8.4537122E-004, 1.9555549E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 7.0005318E+001, 1.5384763E+002, 4.9200219E+000,-5.9258415E+001,-9.6304677E+001, 1.8153391E+000, 1.7972598E-002,-4.9032614E-013, 3.6385090E+000, 5.1554902E-001, 3.7563579E+000,-1.1184277E-003, 1.2599406E-002, 1.2354180E-003, 2.0046195E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 8.0007324E+001, 1.6111413E+002, 6.6553884E+000,-6.0144855E+001,-1.0015545E+002, 2.0866107E+000, 2.1353377E-002,-4.9035079E-013, 1.7936879E+000, 9.5327169E-001, 4.7154732E+000,-1.5121288E-003, 1.2459891E-002, 1.6703013E-003, 2.1292580E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 9.0002235E+001, 1.7157892E+002, 8.2163657E+000,-6.2307145E+001,-1.0468724E+002, 2.1743346E+000, 1.9777784E-002,-4.9030536E-013, 3.9653026E-001, 2.7388989E+000, 7.1751850E+000,-1.8659805E-003, 1.3297502E-002, 2.0611667E-003, 2.1597585E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0000237E+002, 2.2133544E+002, 1.0287632E+001,-7.7822918E+001,-1.3924787E+002, 2.1222082E+000, 1.5589784E-002,-4.9041583E-013, 6.2967475E-001, 2.3817235E+000, 7.0321314E+000,-2.3363719E-003, 1.7354657E-002, 2.5807622E-003, 2.3322025E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.1000218E+002, 2.5438565E+002, 1.2527313E+001,-8.8785970E+001,-1.6306076E+002, 2.2596037E+000, 1.2837976E-002,-4.9035854E-013, 1.9187562E+000, 2.2132617E+000, 6.7301215E+000,-2.8462605E-003, 1.9063003E-002, 3.1439865E-003, 2.4609667E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.2000093E+002, 2.8061680E+002, 1.5073941E+001,-9.7102122E+001,-1.8305064E+002, 2.5152476E+000, 1.0403906E-002,-4.9050869E-013, 2.3724026E+000, 9.3629716E-001, 5.3620830E+000,-3.4267429E-003, 1.9595912E-002, 3.7851889E-003, 2.7270055E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.3000281E+002, 3.1271482E+002, 1.7599039E+001,-1.0761346E+002,-2.0464501E+002, 2.7594661E+000, 1.0634683E-002,-4.9042952E-013, 2.4014467E+000, 1.6891417E+000, 5.6278996E+000,-4.0017966E-003, 2.1345328E-002, 4.4203945E-003, 3.0251166E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.4000432E+002, 3.4784996E+002, 2.0298379E+001,-1.1814721E+002,-2.2654124E+002, 3.0516020E+000, 1.1611387E-002,-4.9037798E-013, 1.3360820E+000, 2.8073558E+000, 7.5607981E+000,-4.6165298E-003, 2.3255499E-002, 5.0994304E-003, 3.3585568E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.5000087E+002, 4.3342081E+002, 2.4047382E+001,-1.4454838E+002,-2.8002542E+002, 3.3581389E+000, 1.2290473E-002,-4.9041714E-013,-4.6401619E+000, 3.1655920E+000, 7.5772738E+000,-5.4688268E-003, 2.8630162E-002, 6.0408798E-003, 4.0326400E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.6000096E+002, 5.6095506E+002, 2.8848468E+001,-1.8667008E+002,-3.5983985E+002, 3.7053040E+000, 1.6740936E-002,-4.9028414E-013,-7.5977235E+000, 6.9692501E+000, 1.0569455E+001,-6.5585976E-003, 3.7949525E-002, 7.2446433E-003, 4.7475665E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.7000389E+002, 8.0874158E+002, 3.3773334E+001,-2.7336560E+002,-5.2027211E+002, 3.3859024E+000, 1.9389121E-002,-4.9051273E-013,-8.6515975E+000, 1.2075528E+001, 9.8575628E+000,-7.6790277E-003, 5.5472236E-002, 8.4822733E-003, 5.5159355E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.8000221E+002, 1.5958372E+003, 3.8335275E+001,-5.4766410E+002,-1.0613868E+003, 1.1409387E+000, 2.6307085E-002,-4.9013688E-013,-1.3935310E+001, 4.6745035E+000,-2.5981730E+001,-8.7183411E-003, 1.0857996E-001, 9.6303015E-003, 7.4550174E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.9000125E+002, 1.8210995E+003, 5.0479011E+001,-6.0830156E+002,-1.1979569E+003, 1.4396905E+000, 4.3200358E-002,-4.9104845E-013,-3.9004077E+001, 4.5969312E+000,-2.2680181E+001,-1.1462369E-002, 1.2465433E-001, 1.2661361E-002, 7.2069909E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.0000146E+002, 2.0870890E+003, 8.0942734E+001,-6.3372045E+002,-1.3176697E+003, 6.5556505E-001, 7.5556891E-002,-4.9032802E-013,-1.3655387E+002, 2.8877173E-001,-1.2390694E-001,-1.8307725E-002, 1.5901453E-001, 2.0222759E-002, 9.3245019E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.1000322E+002, 2.2218124E+003, 1.1344948E+002,-6.7922742E+002,-1.4258543E+003, 1.1782836E-001, 9.8020269E-002,-4.9035599E-013,-1.1086106E+002, 4.2291935E+000, 6.0854744E+000,-2.5585670E-002, 1.8113049E-001, 2.8261995E-002, 1.1667281E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.2000267E+002, 1.9591006E+003, 1.6248706E+002,-6.1035759E+002,-1.3029060E+003, 3.0758422E-001, 1.2085695E-001,-4.8894774E-013,-4.8897892E+001,-4.6845468E+000,-2.6324920E+000,-3.6480904E-002, 1.8425998E-001, 4.0296898E-002, 1.0657892E-002,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.3000107E+002, 1.5962706E+003, 2.1594082E+002,-5.1654549E+002,-1.1107743E+003, 7.5798696E-001, 1.2003218E-001,-4.8845908E-013, 2.8665345E+001,-7.0402877E+000,-1.5058179E+000,-4.8256003E-002, 1.6687969E-001, 5.3303702E-002, 9.2069114E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.4000166E+002, 1.2539627E+003, 2.5448325E+002,-4.3626397E+002,-9.0651526E+002, 1.2148406E+000, 1.2086443E-001,-4.8974820E-013, 9.2857468E+001,-3.5498888E+000, 5.3765893E+000,-5.6744417E-002, 1.4130950E-001, 6.2680026E-002, 8.5800202E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.5000226E+002, 1.1629533E+003, 2.6568828E+002,-4.2922836E+002,-8.5831623E+002, 1.3330362E+000, 1.1261954E-001,-4.9164558E-013, 1.3403840E+002, 1.9183539E+000, 1.0892787E+001,-5.9184237E-002, 1.3895696E-001, 6.5375056E-002, 6.8955108E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.6000003E+002, 1.0082096E+003, 2.7589453E+002,-3.9990025E+002,-7.7313173E+002, 1.4928795E+000, 1.1080265E-001,-4.9217565E-013, 1.6570994E+002,-3.9333047E+000, 2.4912495E+000,-6.1434379E-002, 1.2458604E-001, 6.7860569E-002, 6.0918074E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.7000061E+002, 9.5625953E+002, 2.8815099E+002,-3.9800230E+002,-7.5225368E+002, 1.8419705E+000, 1.0447540E-001,-4.9129194E-013, 1.9042098E+002,-1.1174824E+000,-1.6290329E+000,-6.4111203E-002, 1.1521226E-001, 7.0817396E-002, 5.0260591E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.8000146E+002, 7.8596829E+002, 3.1270257E+002,-3.5733826E+002,-6.5394368E+002, 2.2409672E+000, 1.0679596E-001,-4.9344210E-013, 2.2747356E+002,-2.9896993E+000, 4.5076702E+000,-6.9489006E-002, 9.1779320E-002, 7.6757731E-002, 4.3002413E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 2.9000122E+002, 7.3386208E+002, 3.2682166E+002,-3.4612054E+002,-6.2971161E+002, 2.4134055E+000, 7.9379670E-002,-4.9311437E-013, 2.5017336E+002, 4.5372807E-001, 1.0696077E+001,-7.2540109E-002, 8.2286292E-002, 8.0127987E-002, 3.5519079E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.0000021E+002, 7.1599365E+002, 3.4423215E+002,-3.4604549E+002,-6.3380882E+002, 2.2919910E+000, 4.4246164E-002,-4.9252033E-013, 2.7187778E+002, 6.3813217E-001, 1.0353368E+001,-7.6285594E-002, 7.6694391E-002, 8.4265259E-002, 3.2454128E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.1000104E+002, 5.3978446E+002, 3.7378866E+002,-3.0566793E+002,-5.4340499E+002, 2.6336388E+000, 3.0010903E-002,-4.9306248E-013, 3.1055970E+002,-4.6611219E+000, 3.9348907E+000,-8.2624714E-002, 6.1520104E-002, 9.1267466E-002, 3.0525132E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.2000174E+002, 5.2557078E+002, 3.6667081E+002,-2.9675499E+002,-5.3888542E+002, 2.5186612E+000, 2.2434573E-002,-4.9164753E-013, 3.1517807E+002, 2.4491705E-001, 7.6495307E+000,-8.0963664E-002, 6.1101242E-002, 8.9432666E-002, 2.6147151E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.3000308E+002, 4.9270139E+002, 3.5797431E+002,-2.8528926E+002,-5.2139787E+002, 2.3733047E+000, 1.9550873E-002,-4.9275582E-013, 3.1731112E+002,-9.4918642E-001, 5.7182362E+000,-7.9014786E-002, 5.3323842E-002, 8.7279931E-002, 2.2947481E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.4000070E+002, 4.5988656E+002, 3.5049971E+002,-2.7276470E+002,-5.0028594E+002, 2.2211770E+000, 1.5668007E-002,-4.9206840E-013, 3.1706899E+002,-6.8704991E-001, 6.1417540E+000,-7.7350058E-002, 4.5951729E-002, 8.5441068E-002, 2.0297372E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.5000311E+002, 4.1816829E+002, 3.3796143E+002,-2.5952880E+002,-4.7314702E+002, 2.1456514E+000, 1.1393413E-002,-4.9037300E-013, 3.1658171E+002,-7.7963108E-001, 4.2312214E+000,-7.4568597E-002, 4.4001786E-002, 8.2368660E-002, 1.6662987E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.6000125E+002, 3.7857506E+002, 3.3277080E+002,-2.4727771E+002,-4.4442352E+002, 2.0557902E+000, 6.5740209E-003,-4.9057201E-013, 3.1603038E+002,-8.5652263E-001, 4.9665735E+000,-7.3406131E-002, 3.4442917E-002, 8.1084596E-002, 1.4998250E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.7000079E+002, 3.7130094E+002, 3.0896844E+002,-2.3654435E+002,-4.4000344E+002, 1.9722025E+000, 1.1109187E-002,-4.9145162E-013, 3.0646605E+002,-4.8498511E-001, 3.2025006E+000,-6.8182741E-002, 3.5774634E-002, 7.5314827E-002, 1.0757389E-003,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.8000241E+002, 2.9635715E+002, 3.0635282E+002,-2.1955003E+002,-3.8328769E+002, 1.9193832E+000, 5.9331999E-003,-4.9171886E-013, 3.0551463E+002,-3.4092389E+000, 9.5939067E-001,-6.7590319E-002, 2.5367164E-002, 7.4660436E-002, 9.8825853E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 3.9000159E+002, 3.0692392E+002, 2.8280263E+002,-2.1231020E+002,-3.8848580E+002, 1.8742686E+000, 7.4520830E-003,-4.9283260E-013, 2.9342576E+002,-6.2315971E-001, 1.4354008E+000,-6.2403939E-002, 2.6914080E-002, 6.8931548E-002, 6.7775010E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.0000320E+002, 2.5767222E+002, 2.7429574E+002,-1.9685952E+002,-3.4771207E+002, 1.8646629E+000, 7.6828625E-003,-4.9334031E-013, 2.8601518E+002,-1.0566461E+000, 9.8815329E-001,-6.0513813E-002, 1.9373975E-002, 6.6843710E-002, 5.7419379E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.1000159E+002, 2.3017110E+002, 2.5540468E+002,-1.8332664E+002,-3.2130222E+002, 1.9056430E+000, 7.0631891E-003,-4.9096165E-013, 2.7334219E+002,-8.1107474E-001, 7.9712329E-001,-5.6356591E-002, 1.7374282E-002, 6.2251632E-002, 3.1077781E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.2000342E+002, 1.6209986E+002, 2.4953596E+002,-1.6682057E+002,-2.6544842E+002, 1.8944599E+000, 5.6209927E-003,-4.8645082E-013, 2.6850043E+002,-2.4564062E+000, 2.3138232E-001,-5.5031400E-002, 1.1146562E-002, 6.0787822E-002, 2.1776838E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.3000293E+002, 1.3771977E+002, 2.3447900E+002,-1.5469597E+002,-2.3993319E+002, 1.8569157E+000, 3.4553961E-003,-4.8916048E-013, 2.5692312E+002,-8.3771471E-001, 1.8740979E+000,-5.1697136E-002, 9.1942423E-003, 5.7104786E-002, 1.3630572E-004,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.4000174E+002, 1.0475078E+002, 2.2514310E+002,-1.4408699E+002,-2.0906871E+002, 1.8484616E+000, 3.4774012E-003,-4.9088673E-013, 2.4794466E+002,-1.5832059E+000, 1.3916816E+000,-4.9595358E-002, 6.9759365E-003, 5.4783156E-002, 8.0724249E-005,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.5000293E+002, 7.7693938E+001, 2.1252925E+002,-1.3226623E+002,-1.8176951E+002, 1.8263804E+000, 1.1734875E-003,-4.9157770E-013, 2.3689928E+002,-7.8096356E-001, 2.3850331E+000,-4.6791458E-002, 4.8993480E-003, 5.1685962E-002, 2.8089544E-005,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.6000018E+002, 5.7325632E+001, 1.9946342E+002,-1.2115936E+002,-1.6260296E+002, 1.7947562E+000, 6.3350136E-005,-4.9111458E-013, 2.2559990E+002,-1.9897808E+000, 9.5803544E-001,-4.3900122E-002, 3.6691586E-003, 4.8492185E-002, 1.1782094E-006,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.7000073E+002, 4.8415688E+001, 1.8436976E+002,-1.1086578E+002,-1.4937797E+002, 1.7781450E+000, 6.5118595E-007,-4.8971675E-013, 2.1204611E+002,-7.0376493E-001, 1.9961901E+000,-4.0577775E-002, 3.1614483E-003, 4.4822312E-002, 2.8546640E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.8000211E+002, 4.3603634E+001, 1.6906616E+002,-1.0083911E+002,-1.4128571E+002, 1.7490732E+000, 5.5802979E-007,-4.9047872E-013, 1.9800630E+002,-1.2629185E+000, 1.2341936E+000,-3.7222758E-002, 2.8450320E-003, 4.1116352E-002, 2.6024951E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 4.9000027E+002, 3.9022103E+001, 1.5483356E+002,-9.1620533E+001,-1.3288384E+002, 1.7354512E+000, 4.8485984E-007,-4.9088791E-013, 1.8499597E+002,-1.0397657E+000, 1.2491502E+000,-3.4101555E-002, 2.5463506E-003, 3.7668664E-002, 2.3981296E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.0000037E+002, 3.4726216E+001, 1.4136936E+002,-8.2869863E+001,-1.2469201E+002, 1.7170463E+000, 4.2685814E-007,-4.8904167E-013, 1.7224294E+002,-9.6038449E-001, 1.1243235E+000,-3.1149025E-002, 2.2676759E-003, 3.4407292E-002, 2.2290634E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.1000342E+002, 3.0871916E+001, 1.3057454E+002,-7.5708861E+001,-1.1751293E+002, 1.6959917E+000, 3.8071217E-007,-4.8947010E-013, 1.6135997E+002,-1.2079437E+000, 7.0608732E-001,-2.8776900E-002, 2.0153477E-003, 3.1787036E-002, 2.0878017E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.2000311E+002, 2.7456672E+001, 1.2109515E+002,-6.9149501E+001,-1.1038257E+002, 1.6811879E+000, 3.4301021E-007,-4.9032229E-013, 1.5176262E+002,-4.5449999E-001, 1.3684092E+000,-2.6696204E-002, 1.7911677E-003, 2.9488694E-002, 1.9691132E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.3000104E+002, 2.4287440E+001, 1.1145854E+002,-6.3123307E+001,-1.0466221E+002, 1.6665817E+000, 3.1312829E-007,-4.9117100E-013, 1.4264812E+002,-8.8846047E-001, 8.1662446E-001,-2.4582671E-002, 1.5858099E-003, 2.7154080E-002, 1.8685722E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.4000287E+002, 2.1443676E+001, 1.0334715E+002,-5.8098475E+001,-9.8660506E+001, 1.6530718E+000, 2.8835910E-007,-4.9163425E-013, 1.3455546E+002,-7.3777590E-001, 8.9322594E-001,-2.2800418E-002, 1.3991164E-003, 2.5185399E-002, 1.7841346E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.5000122E+002, 1.8810579E+001, 9.2226591E+001,-5.1483146E+001,-9.2149471E+001, 1.6390835E+000, 2.6745340E-007,-4.9082960E-013, 1.2389852E+002,-7.9662535E-001, 7.1556194E-001,-2.0358540E-002, 1.2273983E-003, 2.2488094E-002, 1.7119461E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.6000153E+002, 1.6398848E+001, 8.2466695E+001,-4.5790352E+001,-8.5699972E+001, 1.6283778E+000, 2.4996910E-007,-4.9105640E-013, 1.1422159E+002,-6.4612633E-001, 7.5848814E-001,-1.8218627E-002, 1.0702934E-003, 2.0124342E-002, 1.6496055E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.7000018E+002, 1.4207309E+001, 7.4223604E+001,-4.1099522E+001,-8.0368129E+001, 1.6173104E+000, 2.3496799E-007,-4.9028423E-013, 1.0607654E+002,-8.5864610E-001, 4.3350786E-001,-1.6401766E-002, 9.2729862E-004, 1.8117432E-002, 1.5956310E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.8000354E+002, 1.2081018E+001, 6.2717447E+001,-3.4679832E+001,-7.4488569E+001, 1.6076985E+000, 2.2179461E-007,-4.8939765E-013, 9.5783496E+001,-8.4738357E-001, 3.0381161E-001,-1.3872609E-002, 7.8869676E-004, 1.5323719E-002, 1.5480046E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 5.9000281E+002, 1.0025352E+001, 5.2808635E+001,-2.9659705E+001,-6.8296767E+001, 1.6005224E+000, 2.1056416E-007,-4.9009101E-013, 8.6523490E+001,-7.8530947E-001, 1.9289254E-001,-1.1690720E-002, 6.5423329E-004, 1.2913599E-002, 1.5057585E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.0000555E+002, 8.1118866E+000, 4.3963833E+001,-2.6038879E+001,-6.1596786E+001, 1.5880526E+000, 2.0100200E-007,-4.9093464E-013, 7.7901209E+001,-8.6832215E-001,-3.4516963E-002,-9.7387640E-003, 5.2939032E-004, 1.0757463E-002, 1.4684384E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.1000171E+002, 6.4080816E+000, 3.5648710E+001,-2.2978002E+001,-5.5329596E+001, 1.5803844E+000, 1.9300967E-007,-4.9082951E-013, 6.9833554E+001,-1.1614702E+000,-4.8557865E-001,-7.8950657E-003, 4.1796912E-004, 8.7209094E-003, 1.4356619E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.2000690E+002, 4.7509109E+000, 2.1936719E+001,-1.7411201E+001,-4.6842200E+001, 1.5765776E+000, 1.8542865E-007,-4.9051995E-013, 5.7345533E+001,-1.0831521E+000,-5.8037888E-001,-4.8935988E-003, 3.0973119E-004, 5.4054815E-003, 1.4068586E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.3000201E+002, 3.3149450E+000, 9.6271188E+000,-1.3707256E+001,-3.5709079E+001, 1.5690478E+000, 1.7905452E-007,-4.8943275E-013, 4.3371646E+001,-1.4769115E+000,-1.1606954E+000,-2.1826547E-003, 2.1605586E-004, 2.4109659E-003, 1.3806978E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 6.4000964E+002, 2.4586017E+000, 4.7967375E+000,-1.4136627E+001,-2.4585354E+001, 1.5614197E+000, 1.7374687E-007,-3.9619519E-013, 3.3696069E+001,-1.2029983E+000,-1.0058902E+000,-1.1050503E-003, 1.6052650E-004, 1.2206414E-003, 1.3572851E-008,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
