s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PYROLYZATE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0652970E-003,-5.9512633E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0652970E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9537956E-001
 1.0008490E+001, 2.6869142E+001, 1.0580837E-014,-1.7153883E+001,-1.1688917E+001,-7.2268002E-001,-7.6414388E-006, 4.7205826E-003, 7.1173150E+000, 2.7647590E+000, 4.4256897E+000,-2.4391240E-018, 1.7706692E-003, 2.6942625E-018, 1.2504671E-004, 2.9627087E+002
 2.0011763E+001, 4.5199814E+001, 8.2716996E-002,-2.1591347E+001,-1.8501305E+001,-3.6801646E-001, 5.5713754E-004,-4.7716152E-003,-1.3946816E+000, 1.5561569E+000, 3.3402493E+000,-1.8906766E-005, 3.1010576E-003, 2.0884461E-005, 3.8792183E-004,-2.8195740E-001
 3.0007254E+001, 3.8155332E+001, 3.6947226E-001,-1.9742621E+001,-2.1154350E+001, 1.0662541E-001, 5.1797921E-003,-2.1624307E-007, 4.3338367E+000, 3.4836514E-001, 1.7040026E+000,-8.3724869E-005, 2.9066748E-003, 9.2482701E-005, 6.7205216E-004,-2.9537894E-001
 4.0007793E+001, 4.0301416E+001, 6.0194923E-001,-2.0372736E+001,-2.4395761E+001, 2.9211449E-001, 4.9643586E-003,-9.8850359E-012, 5.2053838E+000,-4.8416234E-001, 1.0353812E+000,-1.3633763E-004, 3.6639193E-003, 1.5059889E-004, 6.7473897E-004,-2.9537955E-001
 5.0002243E+001, 5.7499146E+001, 8.8359089E-001,-2.5675020E+001,-3.3824740E+001, 2.5477387E-001, 4.9857436E-003,-9.9001146E-014, 4.8748047E+000, 1.7235856E+000, 3.1339500E+000,-2.0056775E-004, 4.7796924E-003, 2.2154764E-004, 7.2863399E-004,-2.9537955E-001
 6.0003185E+001, 8.3752323E+001, 1.3608135E+000,-3.3671996E+001,-5.1614720E+001, 4.1709350E-001, 5.2394780E-003,-9.9047469E-014, 3.2118140E+000, 9.2774501E-001, 2.0997534E+000,-3.0898284E-004, 6.2677846E-003, 3.4130322E-004, 8.2917730E-004,-2.9537955E-001
 7.0007904E+001, 8.5325611E+001, 2.0219530E+000,-3.3784597E+001,-5.3546447E+001, 6.5812009E-001, 8.0528171E-003,-9.9026890E-014, 2.0789746E+000,-6.5056115E-001, 7.3971470E-001,-4.5946741E-004, 6.1192654E-003, 5.0752885E-004, 9.5127836E-004,-2.9537955E-001
 8.0006927E+001, 9.7761681E+001, 2.7343293E+000,-3.7272998E+001,-5.9740599E+001, 7.1119903E-001, 1.0847505E-002,-9.8946560E-014, 6.7977163E-001, 7.1340098E-001, 2.1499015E+000,-6.2069885E-004, 6.9452362E-003, 6.8562551E-004, 9.9085978E-004,-2.9537955E-001
 9.0004784E+001, 1.2217101E+002, 3.6624264E+000,-4.4351904E+001,-7.2151025E+001, 8.6477880E-001, 1.0365220E-002,-9.9049206E-014,-2.5188901E+000, 2.1962834E+000, 4.0243349E+000,-8.3084003E-004, 8.6044158E-003, 9.1774798E-004, 1.1394263E-003,-2.9537955E-001
 1.0000492E+002, 1.9827235E+002, 5.2248216E+000,-6.9811737E+001,-1.2148722E+002, 8.6740889E-001, 1.1669223E-002,-9.8879463E-014,-4.7371651E+000, 1.9582974E+000, 3.1153077E+000,-1.1859727E-003, 1.3664641E-002, 1.3100285E-003, 1.4474881E-003,-2.9537955E-001
 1.1000229E+002, 2.4412454E+002, 7.2968103E+000,-8.4535739E+001,-1.5039963E+002, 1.0791742E+000, 1.2186225E-002,-9.9072709E-014,-7.2382664E+000, 1.6450915E+000, 3.0422658E+000,-1.6576220E-003, 1.5945218E-002, 1.8310134E-003, 1.8786875E-003,-2.9537955E-001
 1.2000452E+002, 3.0846779E+002, 1.0560844E+001,-1.0487103E+002,-1.9177805E+002, 1.2351046E+000, 1.2772663E-002,-9.8994334E-014,-1.1884111E+001, 5.8630567E-002, 1.1824721E+000,-2.3976155E-003, 1.9241322E-002, 2.6484121E-003, 2.3086401E-003,-2.9537955E-001
 1.3000252E+002, 4.7621620E+002, 1.4074415E+001,-1.6351514E+002,-2.9945209E+002, 1.0945997E+000, 1.3622977E-002,-9.9263635E-014,-1.2742129E+001, 3.5797550E+000, 1.6150716E+000,-3.1932521E-003, 3.1651213E-002, 3.5272743E-003, 2.7474722E-003,-2.9537955E-001
 1.4000082E+002, 5.1674387E+002, 1.8105649E+001,-1.7696809E+002,-3.2613301E+002, 1.1371030E+000, 1.7905552E-002,-9.9408309E-014,-1.4743767E+001, 1.9914351E+000, 5.4008841E-002,-4.1077351E-003, 3.4613269E-002, 4.5374145E-003, 3.0109275E-003,-2.9537955E-001
 1.5000327E+002, 6.4036827E+002, 2.4295406E+001,-2.1285969E+002,-4.0308948E+002, 9.3374012E-001, 2.6436077E-002,-9.9304469E-014,-2.7479899E+001,-4.8226809E-001,-2.1006247E+000,-5.5051880E-003, 4.5215128E-002, 6.0810444E-003, 3.4154574E-003,-2.9537955E-001
 1.6000409E+002, 6.3877591E+002, 3.2683856E+001,-2.0816995E+002,-4.0186908E+002, 9.3797227E-001, 3.7119326E-002,-9.9013412E-014,-2.8866588E+001, 2.7864897E-002, 8.4538349E-001,-7.3920071E-003, 5.0774000E-002, 8.1652296E-003, 4.2017551E-003,-2.9537955E-001
 1.7000119E+002, 6.4989060E+002, 4.0142711E+001,-2.1257246E+002,-4.1632763E+002, 7.8441375E-001, 4.3613892E-002,-9.8690410E-014,-2.0583431E+001, 5.3136532E-001, 1.2351077E+000,-9.0592256E-003, 5.8210305E-002, 1.0006843E-002, 4.1528577E-003,-2.9537955E-001
 1.8000276E+002, 6.7378547E+002, 4.7709420E+001,-2.2387127E+002,-4.3923725E+002, 7.1796667E-001, 4.9039794E-002,-9.8346786E-014,-9.2015433E+000, 1.2914478E+000, 2.2424154E+000,-1.0742704E-002, 6.4481812E-002, 1.1866418E-002, 3.3803682E-003,-2.9537955E-001
 1.9000014E+002, 6.8930865E+002, 5.7039677E+001,-2.3518875E+002,-4.6048525E+002, 8.6304971E-001, 4.7222167E-002,-9.7777980E-014, 6.1792289E+000,-7.5313425E-001, 7.2415214E-001,-1.2807186E-002, 6.5982189E-002, 1.4146849E-002, 2.5246543E-003,-2.9537955E-001
 2.0000159E+002, 6.8186222E+002, 7.0042633E+001,-2.4145083E+002,-4.6865536E+002, 9.0050269E-001, 4.2944168E-002,-9.8268666E-014, 2.8981095E+001, 1.0486115E+000, 1.6805780E+000,-1.5664138E-002, 6.4535106E-002, 1.7302646E-002, 1.4439928E-003,-2.9537955E-001
 2.1000055E+002, 5.6801764E+002, 8.9079789E+001,-2.1924307E+002,-4.0687764E+002, 1.1855045E+000, 3.3393808E-002,-1.0016807E-013, 5.6698413E+001,-9.3509451E-001,-1.8575996E-001,-1.9858711E-002, 4.7031555E-002, 2.1935982E-002, 7.7928828E-004,-2.9537955E-001
 2.2000331E+002, 3.8618472E+002, 1.1582109E+002,-1.8528122E+002,-2.9719070E+002, 1.3608992E+000, 2.9136672E-002,-9.9157031E-014, 9.3987965E+001,-2.2710784E+000,-9.0919950E-001,-2.5711943E-002, 2.6055600E-002, 2.8401477E-002, 4.3460968E-004,-2.9537955E-001
 2.3000314E+002, 2.2948874E+002, 1.2981906E+002,-1.5380341E+002,-2.0032806E+002, 1.6254103E+000, 1.9512430E-002,-9.8910498E-014, 1.2351871E+002,-1.2628644E+000, 5.2090382E-001,-2.8738206E-002, 1.4856052E-002, 3.1744294E-002, 2.3197946E-004,-2.9537955E-001
 2.4000462E+002, 1.3514628E+002, 1.3547431E+002,-1.3208665E+002,-1.4173537E+002, 1.7633754E+000, 9.6843093E-003,-9.8882350E-014, 1.3727627E+002,-2.5355936E+000, 3.7358339E-001,-2.9950403E-002, 8.6129084E-003, 3.3083290E-002, 7.6005208E-005,-2.9537955E-001
 2.5000381E+002, 7.3588397E+001, 1.3737427E+002,-1.1470107E+002,-1.0083955E+002, 1.8158083E+000, 3.3503038E-003,-9.9049416E-014, 1.4251690E+002,-9.6842928E-001, 2.3838325E+000,-3.0334959E-002, 4.7808630E-003, 3.3508072E-002, 1.4539166E-005,-2.9537955E-001
 2.6000345E+002, 6.0922819E+001, 1.2743257E+002,-1.0366385E+002,-9.1158733E+001, 1.7477339E+000, 4.2614405E-004,-9.9315575E-014, 1.3511200E+002,-4.9697930E-001, 2.9603903E+000,-2.8151281E-002, 3.9810972E-003, 3.1095975E-002, 2.4763242E-006,-2.9537955E-001
 2.7000241E+002, 5.5098178E+001, 1.1766997E+002,-9.4503114E+001,-8.5945711E+001, 1.6646521E+000, 1.2269166E-004,-9.9561743E-014, 1.2687138E+002,-1.9853513E-001, 3.1855043E+000,-2.6021405E-002, 3.6052813E-003, 2.8743309E-002, 1.0750742E-006,-2.9537955E-001
 2.8000281E+002, 5.2168933E+001, 1.0998176E+002,-8.7444819E+001,-8.3453377E+001, 1.5892579E+000, 5.2958111E-005,-9.9783728E-014, 1.2008512E+002,-2.7939268E-001, 2.9451658E+000,-2.4347529E-002, 3.4122618E-003, 2.6894342E-002, 5.7014295E-007,-2.9537955E-001
 2.9000067E+002, 4.9428608E+001, 1.0331730E+002,-8.1130190E+001,-8.0916394E+001, 1.5202336E+000, 2.6532053E-005,-1.0000085E-013, 1.1399223E+002,-2.7730109E-001, 2.8945117E+000,-2.2893328E-002, 3.2332018E-003, 2.5288028E-002, 3.3751786E-007,-2.9537955E-001
 3.0000336E+002, 4.6909010E+001, 9.6314587E+001,-7.4661750E+001,-7.8308635E+001, 1.4627604E+000, 1.4919062E-005,-1.0021747E-013, 1.0752537E+002,-1.5851739E-001, 2.9267741E+000,-2.1362455E-002, 3.0683539E-003, 2.3597022E-002, 2.1818385E-007,-2.9537955E-001
 3.1000394E+002, 2.6352528E+001, 9.4007991E+001,-6.3939437E+001,-7.3296114E+001, 1.5400197E+000, 9.2124665E-006,-9.9459913E-014, 1.0916471E+002,-1.2253139E+000,-1.7828750E-001,-2.0845612E-002, 1.7135874E-003, 2.3026115E-002, 1.5148460E-007,-2.9537955E-001
 3.2000159E+002, 2.2414399E+001, 8.6800792E+001,-5.6184400E+001,-6.9459428E+001, 1.4473843E+000, 6.0917010E-006,-9.7452530E-014, 1.0218617E+002,-3.8051720E-001, 4.0412844E-001,-1.9257215E-002, 1.4659183E-003, 2.1271568E-002, 1.1145835E-007,-2.9537955E-001
