s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000,-2.0873490E-003,-4.0030899E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0873494E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9819269E-001,-2.9819269E-001
 1.0009053E+001, 7.4419934E+000,-2.2374481E+000,-3.8919637E+000,-1.4778695E-001,-1.6810111E-005, 4.5222928E-003,-1.8276899E-001, 9.4355185E-001, 9.8653117E-001,-1.3140106E-019, 5.5609537E-004, 1.4514594E-019, 1.0285965E-004, 3.5320379E+000, 2.7323291E+002
 2.0007589E+001, 1.3068036E+001,-3.7037796E+000,-7.4714528E+000,-1.5900303E-001, 2.4461328E-004, 4.0910723E-003,-1.4696953E+000, 2.4814800E-001, 2.6844090E-001,-4.6244769E-006, 9.8646110E-004, 5.1082088E-006, 1.6869862E-004,-2.9801850E-001, 5.2953743E+002
 3.0005775E+001, 1.7172755E+001,-4.7977710E+000,-9.0407123E+000,-1.1604648E-001,-6.1594676E-003, 4.1385039E-003,-2.5075496E+000, 6.9325704E-001, 7.0865511E-001,-2.1721265E-005, 1.2500738E-003, 2.3993364E-005, 2.1977194E-004,-2.9819268E-001, 7.8495417E+002
 4.0007427E+001, 1.2033273E+001,-2.7467644E+000,-6.0403238E+000, 7.0811096E-002,-1.8662642E-002, 4.1295306E-003,-2.8563281E+000, 2.0999841E-001, 4.4613423E-001,-4.3611802E-005, 9.2452302E-004, 4.8173706E-005, 2.9938546E-004,-2.9819269E-001, 1.0399065E+003
 5.0003456E+001, 4.0022075E+001,-1.1864610E+001,-2.0291174E+001,-1.6551278E-001,-1.6547393E-002, 4.1738692E-003,-6.9220540E+000, 5.3005309E-001, 7.6635057E-001,-8.8144532E-005, 3.0859465E-003, 9.7364672E-005, 4.2971608E-004,-2.9819269E-001, 1.2974496E+003
 6.0000080E+001, 2.7001964E+001,-7.2872764E+000,-1.4226541E+001, 6.4796737E-002,-1.5352428E-002, 4.2039412E-003,-5.3230164E+000,-4.9880853E-001, 2.1877805E-001,-1.6455149E-004, 2.3710763E-003, 1.8176399E-004, 4.7073215E-004,-2.9819269E-001, 1.5568632E+003
 7.0003052E+001, 1.6722183E+001,-4.3101746E+000,-9.3469420E+000, 1.9560718E-001,-2.8883140E-002, 4.1811397E-003,-2.6847452E+000,-4.9197357E-001, 5.5122606E-001,-2.1384701E-004, 1.6508099E-003, 2.3621594E-004, 3.6307503E-004,-2.9819269E-001, 1.8150370E+003
 8.0004791E+001, 1.3343931E+001,-3.3701685E+000,-7.8155411E+000, 1.8423023E-001,-2.0819523E-002, 4.1316561E-003,-1.2127210E+000, 3.1810291E-003, 1.1130427E+000,-2.3010347E-004, 1.5669023E-003, 2.5417287E-004, 2.9626753E-004,-2.9819269E-001, 2.0701239E+003
 9.0005966E+001, 1.2606611E+001,-3.1239380E+000,-7.4560818E+000, 1.9097478E-001,-1.4754139E-002, 4.0507319E-003,-9.5294418E-001, 1.0456846E-001, 1.2539187E+000,-2.3693572E-004, 1.2475732E-003, 2.6171979E-004, 2.6371883E-004,-2.9819269E-001, 2.3202013E+003
 1.0000400E+002, 1.5706794E+001,-4.0777835E+000,-9.3604729E+000, 1.3486508E-001,-3.3575310E-002, 3.9898716E-003,-1.1566769E+000, 4.0653421E-003, 1.2171407E+000,-2.5968644E-004, 1.3363062E-003, 2.8685030E-004, 2.6033522E-004,-2.9819269E-001, 2.5664425E+003
 1.1000346E+002, 1.5197852E+001,-3.9443366E+000,-9.0951005E+000, 1.4441414E-001,-3.8377147E-002, 3.9584833E-003,-9.5702555E-001, 1.2622986E-002, 1.3113848E+000,-2.8037979E-004, 1.2359831E-003, 3.0970822E-004, 2.5034587E-004,-2.9819269E-001, 2.8107806E+003
 1.2000768E+002, 1.2003829E+001,-2.8917890E+000,-7.3852741E+000, 1.7754961E-001,-6.7330061E-003, 3.9262747E-003,-6.8691729E-001,-1.2259232E-001, 1.2145912E+000,-2.8152743E-004, 9.5916245E-004, 3.1097590E-004, 2.5410079E-004,-2.9819269E-001, 3.0532472E+003
 1.3000882E+002, 1.1339461E+001,-2.6912140E+000,-6.9312816E+000, 1.5981506E-001,-4.1861021E-003, 3.8940914E-003,-6.3329429E-001,-9.3655242E-002, 1.2431940E+000,-2.8051907E-004, 8.8536159E-004, 3.0986207E-004, 2.5297933E-004,-2.9819269E-001, 3.2936513E+003
 1.4000401E+002, 1.0909044E+001,-2.5668820E+000,-6.5415849E+000, 1.4589318E-001,-4.0393459E-003, 3.8706508E-003,-5.7405138E-001, 5.1092287E-002, 1.3722504E+000,-2.7763125E-004, 8.0835612E-004, 3.0667218E-004, 2.5030719E-004,-2.9819269E-001, 3.5324669E+003
