s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-1.9377122E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9377122E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0006054E+001, 2.6631660E+001, 6.3371066E+000,-5.7199424E+000,-1.7710212E-002, 0.0000000E+000, 0.0000000E+000,-1.6441176E+001, 1.0175863E+001, 1.0789938E+001,-8.1652055E-006, 2.2408013E-003, 9.0193064E-006, 5.9950233E-004
 2.0003338E+001, 4.2286593E+001, 5.6232792E+000,-2.4402999E+001,-4.6480525E-002, 0.0000000E+000, 0.0000000E+000,-1.9896059E+001, 1.9291079E+000, 3.5643331E+000,-1.9320457E-004, 3.4268914E-003, 2.1341426E-004, 9.9012098E-004
 3.0006859E+001, 7.0398211E+001, 1.8506306E+000,-2.9911329E+001,-6.5703821E-002, 0.0000000E+000, 0.0000000E+000,-1.8428968E+001, 4.8604076E+000, 2.3842840E+001,-4.1390867E-003, 4.2771083E-003, 4.5720456E-003, 1.3852352E-003
 4.0002804E+001, 7.7371873E+001, 4.8016391E-001,-4.2547332E+001,-7.9319770E-002, 0.0000000E+000, 0.0000000E+000,-2.0675824E+001,-2.1535502E-001, 1.4549561E+001,-3.2437864E-003, 5.5941738E-003, 3.5830946E-003, 1.7384024E-003
 5.0007084E+001, 6.4638286E+001, 4.1842712E+000,-3.2802852E+001,-4.8760939E-002, 0.0000000E+000, 0.0000000E+000,-1.6419637E+001,-3.3144985E+000, 1.9551308E+001,-5.4877323E-003, 3.2112977E-003, 6.0617629E-003, 1.4978509E-003
 6.0006592E+001, 4.0919185E+001, 5.2373649E+000,-2.8239156E+001,-4.6685481E-002, 0.0000000E+000, 0.0000000E+000,-1.6303841E+001, 5.1436361E-001, 1.5668672E+000,-5.6986208E-005, 3.3551892E-003, 6.2947109E-005, 1.5834851E-003
 7.0010201E+001, 4.2369507E+001, 4.8937703E+000,-2.9835766E+001,-4.6327812E-002, 0.0000000E+000, 0.0000000E+000,-1.6405113E+001,-2.0088986E-001, 9.7607058E-001,-7.0971824E-005, 3.4725372E-003, 7.8395655E-005, 1.7200191E-003
 8.0001671E+001, 4.1877606E+001, 5.0423680E+000,-2.9163849E+001,-3.3334085E-002, 0.0000000E+000, 0.0000000E+000,-1.6189882E+001, 2.7226166E-001, 1.5329091E+000,-8.3792639E-005, 3.4237419E-003, 9.2557559E-005, 1.8040412E-003
 9.0009171E+001, 4.2930663E+001, 4.8224358E+000,-3.0288883E+001,-6.1314394E-002, 0.0000000E+000, 0.0000000E+000,-1.6157094E+001,-6.8342820E-002, 1.2458073E+000,-1.0313717E-004, 3.5046616E-003, 1.1392557E-004, 1.8329412E-003
 1.0000824E+002, 4.1428775E+001, 5.0407048E+000,-2.9664177E+001,-3.3883243E-002, 0.0000000E+000, 0.0000000E+000,-1.5578094E+001,-2.7093342E-001, 1.1933257E+000,-1.4190328E-004, 3.3604495E-003, 1.5674672E-004, 1.8407333E-003
