s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1,ZONE_2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0873490E-003,-4.0030931E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0873494E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9819269E-001,-2.9819269E-001
 1.0005679E+001, 4.3868187E+001, 1.8252645E-011,-2.7659593E+001,-2.2337621E+001,-3.1537112E-001,-1.6161550E-005, 3.4353870E-002, 1.1934067E+001, 4.9504740E+000, 5.5240072E+000,-4.0744542E-015, 3.6490108E-003, 4.5006523E-015, 2.6999780E-004, 8.2672924E+000, 8.8143835E+000
 2.0000685E+001, 6.4530337E+001, 8.7141153E-002,-3.3692978E+001,-2.9255077E+001, 5.2151422E-002, 6.0335313E-004,-2.8571270E-004, 2.6129625E+000, 4.5989642E+000, 4.3348550E+000,-1.9452119E-005, 5.8145861E-003, 2.1486860E-005, 7.2145687E-004,-2.9780186E-001,-2.9777690E-001
 3.0000319E+001, 1.0616785E+002, 7.6961074E-001,-4.5236440E+001,-5.7210624E+001,-5.0791396E-002,-1.1506911E-001,-1.3053685E-008,-4.9413215E+000, 8.2407420E-001,-6.1678531E-001,-1.7179667E-004, 9.6191888E-003, 1.8976703E-004, 1.3419732E-003,-2.9819267E-001,-2.9819267E-001
 4.0000290E+001, 1.2040609E+002, 1.8622545E+000,-4.7971812E+001,-6.7914787E+001, 2.8954875E-001,-2.5363817E-001,-1.2628982E-012,-5.2561125E+000, 2.6266078E+000, 1.1615488E+000,-4.1570252E-004, 1.1302640E-002, 4.5918604E-004, 1.6067755E-003,-2.9819269E-001,-2.9819269E-001
 5.0000324E+001, 1.3752698E+002, 2.6242798E+000,-5.4451511E+001,-9.1282202E+001, 6.4892680E-001,-2.6917450E-001,-8.2010098E-013, 6.2914629E+000, 2.6356582E-002, 1.0887651E+000,-5.8580592E-004, 1.1806228E-002, 6.4708269E-004, 1.4478736E-003,-2.9819269E-001,-2.9819269E-001
 6.0000999E+001, 1.0862555E+002, 3.2626889E+000,-4.3639176E+001,-7.5407563E+001, 1.1955716E+000,-1.8721662E-001,-8.2055868E-013, 5.5607339E+000,-1.7653144E+000,-5.8941212E-001,-7.2831504E-004, 1.0045179E-002, 8.0449862E-004, 1.2325516E-003,-2.9819269E-001,-2.9819269E-001
 7.0000626E+001, 1.2884165E+002, 4.3531413E+000,-4.9095069E+001,-8.5814158E+001, 1.0947184E+000,-1.2983527E-001,-8.2044177E-013, 4.4153914E+000, 1.9561432E+000, 3.6658373E+000,-9.7173173E-004, 1.2274891E-002, 1.0733773E-003, 1.4004347E-003,-2.9819269E-001,-2.9819269E-001
 8.0001305E+001, 1.0127840E+002, 5.4788535E+000,-4.0322909E+001,-7.3204553E+001, 1.3815900E+000,-2.0618958E-001,-8.2029543E-013, 7.3325966E+000,-1.6301517E+000, 1.7377838E+000,-1.2230193E-003, 8.6843303E-003, 1.3509502E-003, 1.3193840E-003,-2.9819269E-001,-2.9819269E-001
 9.0000465E+001, 1.0777028E+002, 6.3358213E+000,-4.2381743E+001,-7.4922863E+001, 9.0272210E-001,-9.7611542E-002,-8.2072770E-013, 7.8015086E+000, 1.0118329E+000, 5.4081114E+000,-1.4143163E-003, 9.4039621E-003, 1.5622573E-003, 1.3487419E-003,-2.9819269E-001,-2.9819269E-001
 1.0000110E+002, 1.0676036E+002, 7.4956106E+000,-4.1425703E+001,-7.3660200E+001, 9.2174628E-001,-1.2126226E-001,-8.2074126E-013, 5.2339032E+000, 2.6742421E-001, 5.2044589E+000,-1.6732107E-003, 1.0233367E-002, 1.8482328E-003, 1.3620222E-003,-2.9819269E-001,-2.9819269E-001
 1.1000052E+002, 1.3707370E+002, 9.0267129E+000,-5.1591737E+001,-8.9473102E+001, 1.0396436E+000,-2.1018655E-001,-8.1983374E-013, 3.1737807E+000, 2.6544478E+000, 9.0388165E+000,-2.0149916E-003, 1.3237065E-002, 2.2257648E-003, 1.5396242E-003,-2.9819269E-001,-2.9819269E-001
 1.2000078E+002, 1.5933570E+002, 1.0467459E+001,-5.8969216E+001,-1.0831277E+002, 1.1762904E+000,-1.9454547E-001,-8.1962598E-013, 4.4497916E+000,-9.6637334E-002, 7.9527059E+000,-2.3366028E-003, 1.4334326E-002, 2.5810173E-003, 1.7462730E-003,-2.9819269E-001,-2.9819269E-001
 1.3000052E+002, 1.7048081E+002, 1.1727401E+001,-6.1988462E+001,-1.1731054E+002, 1.2267632E+000,-1.7273217E-001,-8.1949791E-013, 6.5092237E+000, 1.4051172E+000, 1.0472472E+001,-2.6178539E-003, 1.4318576E-002, 2.8916880E-003, 1.7678970E-003,-2.9819269E-001,-2.9819269E-001
 1.4000072E+002, 1.9075434E+002, 1.2443265E+001,-6.8332077E+001,-1.3097314E+002, 1.4857678E+000,-1.3142899E-001,-8.2031836E-013, 6.9191041E+000, 2.3113505E+000, 1.2165836E+001,-2.7776530E-003, 1.5698856E-002, 3.0682024E-003, 1.9117479E-003,-2.9819269E-001,-2.9819269E-001
