s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR
 0.0000000E+000, 0.0000000E+000,-3.7711963E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7711963E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000369E+001, 1.3962201E+001,-8.5180811E-001,-2.0620667E+000,-1.0609877E-001, 0.0000000E+000, 0.0000000E+000,-8.8821274E+000, 1.8035313E+000, 2.0601005E+000,-2.9021966E-005, 1.6464131E-003, 3.2057737E-005, 3.5577986E-004
 2.0001612E+001, 2.8627902E+001,-4.6561895E+000,-9.0700743E+000,-1.6011225E-001, 0.0000000E+000, 0.0000000E+000,-1.2835212E+001, 1.2112725E+000, 1.9063144E+000,-1.2744756E-004, 3.0207105E-003, 1.4077889E-004, 7.2165227E-004
 3.0002048E+001, 4.5501249E+001,-9.0807595E+000,-1.9134655E+001,-1.4974810E-001, 0.0000000E+000, 0.0000000E+000,-1.4602432E+001, 1.2203534E+000, 2.5336547E+000,-2.6083988E-004, 3.9970066E-003, 2.8812439E-004, 7.9140902E-004
 4.0001953E+001, 4.8115486E+001,-9.6941309E+000,-2.2320744E+001,-1.4319431E-001, 0.0000000E+000, 0.0000000E+000,-1.3705713E+001, 2.6633745E-001, 2.2517038E+000,-4.0505527E-004, 3.8730552E-003, 4.4742507E-004, 8.5993550E-004
 5.0002338E+001, 5.2124899E+001,-1.0536524E+001,-2.6086776E+001,-1.3223199E-001, 0.0000000E+000, 0.0000000E+000,-1.2674861E+001, 6.7567269E-002, 2.6945056E+000,-5.4120907E-004, 3.8670335E-003, 5.9782090E-004, 9.8660480E-004
 6.0000172E+001, 4.8012667E+001,-9.3378113E+000,-2.5057671E+001,-9.9934944E-002, 0.0000000E+000, 0.0000000E+000,-1.0450707E+001,-8.7116414E-002, 3.0665419E+000,-6.5121596E-004, 3.4280795E-003, 7.1933478E-004, 1.1049896E-003
 7.0001732E+001, 4.2277112E+001,-7.5921986E+000,-2.2473143E+001,-8.6783693E-002, 0.0000000E+000, 0.0000000E+000,-8.9025391E+000,-2.0514320E-001, 3.2224478E+000,-7.0671928E-004, 2.9446415E-003, 7.8064389E-004, 1.2015974E-003
 8.0003197E+001, 4.1701903E+001,-7.2415740E+000,-2.1640867E+001,-8.2642679E-002, 0.0000000E+000, 0.0000000E+000,-8.9430438E+000, 8.6297242E-002, 3.7937761E+000,-7.6181300E-004, 3.0229410E-003, 8.4150055E-004, 1.2925035E-003
 9.0002884E+001, 3.9645376E+001,-6.5299309E+000,-2.0978707E+001,-5.4709347E-002, 0.0000000E+000, 0.0000000E+000,-8.2183736E+000,-2.2516439E-001, 3.8636555E+000,-8.3971969E-004, 2.6414527E-003, 9.2755648E-004, 1.3825720E-003
 1.0000191E+002, 2.8765682E+001,-4.0212723E+000,-1.6098831E+001, 5.4793766E-002, 0.0000000E+000, 0.0000000E+000,-5.8597804E+000,-7.5739047E-001, 2.8405928E+000,-7.2735632E-004, 1.9124711E-003, 8.0343961E-004, 1.4380465E-003
 1.1000143E+002, 2.1433681E+001,-2.7672304E+000,-1.2272523E+001, 1.3216919E-001, 0.0000000E+000, 0.0000000E+000,-4.5293873E+000,-3.5318405E-001, 1.9967092E+000,-4.5587805E-004, 1.5866951E-003, 5.0356404E-004, 1.3536516E-003
 1.2000315E+002, 2.0300431E+001,-2.6372463E+000,-1.1524379E+001, 1.4232535E-001, 0.0000000E+000, 0.0000000E+000,-4.5215605E+000,-9.2326663E-002, 1.7595707E+000,-3.5001104E-004, 1.5404300E-003, 3.8662307E-004, 1.2452343E-003
 1.3000302E+002, 2.0161012E+001,-2.6875477E+000,-1.1557038E+001, 1.4679993E-001, 0.0000000E+000, 0.0000000E+000,-4.6437991E+000,-2.0298623E-001, 1.4194273E+000,-3.0028281E-004, 1.5517485E-003, 3.3169315E-004, 1.1697457E-003
 1.4000191E+002, 2.0489846E+001,-2.7956624E+000,-1.1441546E+001, 1.4877789E-001, 0.0000000E+000, 0.0000000E+000,-4.8126666E+000, 6.4938408E-002, 1.5887488E+000,-2.7751729E-004, 1.5887364E-003, 3.0654630E-004, 1.1260781E-003
