s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa,Pa,Pa,Pa,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PYROLYZATE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1,ZONE_2,ZONE_3,ZONE_4,ZONE_5,ZONE_6,ZONE_7,ZONE_8
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6646906E-003,-1.9120623E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6646925E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0001862E+001, 5.4395542E+001, 1.3976188E-013,-3.4816050E+001,-2.0876051E+001,-1.2909573E+000,-3.4191114E-005,-7.5803111E-003, 1.2658031E+001, 7.9091282E+000, 1.0062900E+001,-3.2218950E-017, 3.5858167E-003, 3.5589133E-017, 4.9552871E-004, 8.8121031E+001,-2.0493171E+002, 7.4383546E+001, 1.0549234E+002, 8.0708330E+001,-3.3214090E+002, 6.5385400E+001,-3.0984293E+002
 2.0001446E+001, 9.3143410E+001, 1.1400073E-001,-4.6358228E+001,-3.6845161E+001,-1.1598933E+000, 7.6538749E-004,-2.0617526E-002, 8.7113556E-001, 7.2447697E+000, 9.6314107E+000,-2.6077640E-005, 6.3058366E-003, 2.8805427E-005, 1.0460002E-003,-2.9417643E-001,-5.4587323E+002,-2.9480043E-001,-2.3928174E+002,-2.9451314E-001,-4.4351029E+002,-2.9520915E-001,-4.5837720E+002
 3.0001661E+001, 9.1718913E+001, 6.8136130E-001,-4.2528096E+001,-4.8914762E+001,-2.7272591E-001, 8.4039499E-003, 3.6481144E-002,-1.3334643E+000,-2.8294519E+000,-1.2852501E+000,-1.5492235E-004, 6.1987670E-003, 1.7112762E-004, 1.8703503E-003,-2.9819251E-001,-6.9559875E+001,-2.9819254E-001, 5.5273962E+002,-2.9819252E-001, 1.5367815E+002,-2.9819255E-001,-7.5262080E+001
 4.0000072E+001, 1.2685077E+002, 1.3152818E+000,-5.2223520E+001,-6.0603168E+001, 1.1176038E-001, 9.4012589E-003, 6.4573281E-003,-1.0487089E+001, 2.4406341E+000, 3.6646071E+000,-2.9818326E-004, 9.9178851E-003, 3.2937398E-004, 2.4428693E-003,-2.9819269E-001, 8.7629627E+001,-2.9819269E-001, 6.4169859E+002,-2.9819269E-001, 5.6594814E+002,-2.9819269E-001,-3.3374982E+002
 5.0002934E+001, 1.3747612E+002, 2.3029558E+000,-5.7176524E+001,-7.8661028E+001, 4.0938783E-001, 1.0826480E-002, 3.1139376E-002, 2.1426978E-001, 1.1066330E+000, 2.3041951E+000,-5.2365534E-004, 1.2184897E-002, 5.7843101E-004, 2.5005116E-003,-2.9819269E-001, 7.8396106E+002,-2.9819269E-001, 1.3593650E+003,-2.9819269E-001, 2.6497263E+002,-2.9819269E-001, 4.7780967E+002
 6.0005924E+001, 1.1776466E+002, 3.3004969E+000,-5.0358380E+001,-7.3210129E+001, 1.1082190E+000, 8.6632937E-003, 4.8819794E-002, 7.1718330E+000, 2.6315539E-001, 2.5336812E+000,-7.5140850E-004, 1.1176745E-002, 8.3000772E-004, 2.3199066E-003,-2.9819269E-001, 1.2900395E+003,-2.9819269E-001, 2.1158491E+003,-2.9819269E-001, 1.0020529E+003,-2.9819269E-001, 1.5013345E+003
 7.0005005E+001, 1.4279730E+002, 4.6085991E+000,-5.7648930E+001,-8.5188215E+001, 1.0942086E+000, 1.4307849E-002, 4.3624852E-002, 3.4406609E+000, 2.3780293E+000, 4.5529579E+000,-1.0488319E-003, 1.1863466E-002, 1.1585424E-003, 2.3459063E-003,-2.9819269E-001, 1.7450406E+003,-2.9819269E-001, 2.9269542E+003,-2.9819269E-001, 1.7090666E+003,-2.9819269E-001, 2.2225287E+003
 8.0004410E+001, 1.5647300E+002, 6.2506572E+000,-6.1016042E+001,-9.5068155E+001, 1.5518355E+000, 1.9213710E-002, 6.2628807E-002, 9.1831479E-001, 4.7918853E-001, 2.9407927E+000,-1.4214988E-003, 1.2514634E-002, 1.5701911E-003, 2.6267716E-003,-2.9819269E-001, 2.5718557E+003,-2.9819269E-001, 3.2938252E+003,-2.9819269E-001, 2.8775932E+003,-2.9819269E-001, 3.7273292E+003
