s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1,ZONE_2,ZONE_3,ZONE_4
 0.0000000E+000, 0.0000000E+000,-4.1166678E-003,-2.0391975E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1166699E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001,-2.9819269E-001
 1.0003694E+001, 7.3397853E+000,-2.2006252E+000,-3.8095176E+000,-1.3526400E-001,-3.3913852E-005, 1.3581556E-002,-1.5586870E-001, 1.0049296E+000, 1.0520575E+000,-2.3070149E-020, 5.5005388E-004, 2.5483345E-020, 1.7133506E-004, 3.9807267E+000, 2.7711179E+002, 2.7636364E+002, 2.7627371E+002
 2.0006115E+001, 1.3176680E+001,-3.6815250E+000,-6.7288862E+000,-2.0684391E-001, 1.4019595E-004, 1.2593825E-002,-1.6139059E+000, 9.1534045E-001, 9.5825260E-001,-3.8040177E-006, 9.9181895E-004, 4.2019275E-006, 2.3199810E-004,-2.9799885E-001, 5.4116376E+002, 5.3625591E+002, 5.3416348E+002
 3.0004839E+001, 1.2088449E+001,-3.1176341E+000,-8.1765958E+000,-2.9785395E-002,-8.7417182E-003, 1.2621386E-002,-1.6608840E+000,-9.5478027E-001,-8.9257027E-001,-2.1197628E-005, 8.4851550E-004, 2.3414953E-005, 2.9650323E-004,-2.9819268E-001, 8.0522778E+002, 7.9453627E+002, 7.9082714E+002
 4.0007793E+001, 2.4981405E+001,-6.6519329E+000,-1.0926910E+001,-2.9829654E-002,-2.3522552E-002, 1.2663256E-002,-6.2930389E+000, 8.8829048E-001, 1.0688344E+000,-4.7885421E-005, 1.9625889E-003, 5.2894356E-005, 4.6126352E-004,-2.9819269E-001, 1.0722094E+003, 1.0534679E+003, 1.0468240E+003
 5.0003387E+001, 3.7805440E+001,-1.0804851E+001,-1.7438709E+001,-8.1665049E-002,-2.6396447E-002, 1.2826408E-002,-7.4205487E+000, 1.6712473E+000, 2.0460959E+000,-1.0672846E-004, 3.0481638E-003, 1.1789253E-004, 5.7077744E-004,-2.9819269E-001, 1.3471767E+003, 1.3147738E+003, 1.3019502E+003
 6.0005474E+001, 3.1058676E+001,-8.8442466E+000,-1.8160259E+001, 7.3159796E-002,-2.7899635E-002, 1.2912703E-002,-4.6926734E+000,-1.4059780E+000,-5.8033073E-001,-1.8846070E-004, 2.6609483E-003, 2.0817417E-004, 5.5669820E-004,-2.9819269E-001, 1.6260644E+003, 1.5784786E+003, 1.5566067E+003
 7.0005867E+001, 2.2568950E+001,-6.1398263E+000,-1.2877207E+001, 1.2190179E-001,-4.1913522E-002, 1.2679360E-002,-2.3700512E+000, 1.2699226E-001, 1.2745331E+000,-2.4630553E-004, 2.0498521E-003, 2.7206971E-004, 3.9182715E-004,-2.9819269E-001, 1.8951808E+003, 1.8387547E+003, 1.8099291E+003
 8.0008934E+001, 2.1431345E+001,-5.8120245E+000,-1.3331089E+001, 1.6648315E-001,-2.7896421E-002, 1.2518379E-002,-1.5349457E+000,-3.9337554E-001, 9.0439047E-001,-2.8168901E-004, 1.8994639E-003, 3.1115439E-004, 3.6773910E-004,-2.9819269E-001, 2.1590248E+003, 2.0955234E+003, 2.0622966E+003
 9.0005150E+001, 1.7205763E+001,-4.3853090E+000,-1.0296548E+001, 1.7658044E-001,-8.7702711E-003, 1.2367472E-002,-1.3020894E+000,-4.2535471E-002, 1.4019951E+000,-3.0419544E-004, 1.4602567E-003, 3.3601505E-004, 3.6466215E-004,-2.9819269E-001, 2.4186353E+003, 2.3479145E+003, 2.3134356E+003
 1.0000711E+002, 1.5077623E+001,-3.6805336E+000,-8.9067533E+000, 1.9740059E-001,-9.3599548E-003, 1.2235188E-002,-1.2433898E+000,-9.1523453E-002, 1.4472222E+000,-3.2414539E-004, 1.1871228E-003, 3.5805181E-004, 3.5823789E-004,-2.9819269E-001, 2.6738765E+003, 2.5978703E+003, 2.5636504E+003
 1.1000068E+002, 1.5613096E+001,-3.8286158E+000,-9.1968083E+000, 1.6967018E-001,-1.0425252E-002, 1.2141638E-002,-1.1124548E+000, 5.7780603E-002, 1.6466041E+000,-3.3431799E-004, 1.3040501E-003, 3.6928849E-004, 3.5940494E-004,-2.9819269E-001, 2.9259256E+003, 2.8458473E+003, 2.8126289E+003
 1.2000247E+002, 1.3628356E+001,-3.1721639E+000,-8.3178877E+000, 1.9540903E-001,-8.0531805E-003, 1.2071410E-002,-8.9124750E-001,-1.8835350E-001, 1.4464840E+000,-3.4193087E-004, 1.1434659E-003, 3.7769770E-004, 3.6074338E-004,-2.9819269E-001, 3.1761925E+003, 3.0925803E+003, 3.0609116E+003
 1.3000659E+002, 1.2900515E+001,-2.9458200E+000,-7.6992440E+000, 1.7422172E-001,-6.7567306E-004, 1.2001094E-002,-7.4402771E-001, 6.2726948E-002, 1.6969708E+000,-3.4372175E-004, 1.1043003E-003, 3.7967591E-004, 3.5598589E-004,-2.9819269E-001, 3.4245268E+003, 3.3379538E+003, 3.3083219E+003
 1.4000371E+002, 1.3613565E+001,-3.1652759E+000,-8.1609593E+000, 1.7249460E-001,-7.0036470E-004, 1.1940977E-002,-7.1302797E-001, 9.5115449E-002, 1.7580374E+000,-3.5161639E-004, 1.1555202E-003, 3.8839634E-004, 3.5417591E-004,-2.9819269E-001, 3.6714627E+003, 3.5816363E+003, 3.5545885E+003
 1.5001126E+002, 1.2587812E+001,-2.8929685E+000,-7.7368970E+000, 1.6758524E-001,-8.2759401E-004, 1.1896623E-002,-5.9274848E-001,-1.5585564E-001, 1.5438525E+000,-3.6014175E-004, 9.5567598E-004, 3.9781348E-004, 3.4838601E-004,-2.9819269E-001, 3.9181363E+003, 3.8241808E+003, 3.8002879E+003
 1.6000528E+002, 1.2496938E+001,-2.8846834E+000,-7.4164761E+000, 1.6453170E-001,-1.0452878E-003, 1.1807277E-002,-5.6444623E-001, 7.8568914E-002, 1.8066263E+000,-3.6403249E-004, 9.6132609E-004, 4.0211120E-004, 3.4279746E-004,-2.9819269E-001, 4.1619094E+003, 4.0641858E+003, 4.0449177E+003
 1.7000439E+002, 1.3272310E+001,-3.1013787E+000,-7.8937509E+000, 1.5689635E-001,-9.9881936E-004, 1.1791752E-002,-5.2284184E-001, 1.7651886E-001, 1.9220277E+000,-3.6851627E-004, 1.1016464E-003, 4.0706400E-004, 3.4089316E-004,-2.9819269E-001, 4.4067438E+003, 4.3035636E+003, 4.2885295E+003
 1.8000198E+002, 1.5003726E+001,-3.6255255E+000,-8.7876317E+000, 1.4103421E-001,-1.2540575E-003, 1.1657535E-002,-6.9366314E-001, 2.6160565E-001, 2.0483436E+000,-3.7508137E-004, 1.1856295E-003, 4.1431582E-004, 3.4836262E-004,-2.9819269E-001, 4.6470701E+003, 4.5398094E+003, 4.5313910E+003
 1.9000325E+002, 1.7786443E+001,-4.4392431E+000,-1.0749949E+001, 1.3713363E-001,-1.3142955E-003, 1.1636151E-002,-7.8599557E-001, 1.1619866E-001, 1.9587108E+000,-3.9360204E-004, 1.4469238E-003, 4.3477380E-004, 3.5550241E-004,-2.9819269E-001, 4.8880670E+003, 4.7748314E+003, 4.7737442E+003
 2.0000667E+002, 1.6458342E+001,-4.1050577E+000,-1.0133002E+001, 1.5137011E-001,-1.1117041E-003, 1.1538057E-002,-5.7793490E-001,-1.4146967E-001, 1.8041442E+000,-4.1426645E-004, 1.2899370E-003, 4.5759976E-004, 3.6098126E-004,-2.9819269E-001, 5.1264361E+003, 5.0072713E+003, 5.0154122E+003
 2.1000047E+002, 1.7289240E+001,-4.3770419E+000,-1.0365552E+001, 1.3747568E-001,-1.1741513E-003, 1.1444327E-002,-5.3545411E-001, 1.1835842E-001, 2.1589381E+000,-4.3380490E-004, 1.3963602E-003, 4.7918198E-004, 3.5988224E-004,-2.9819269E-001, 5.3624338E+003, 5.2367081E+003, 5.2559763E+003
 2.2000566E+002, 2.0664155E+001,-5.4321248E+000,-1.2157707E+001, 1.1342029E-001,-9.9226377E-004, 1.1302465E-002,-6.2330978E-001, 4.4476555E-001, 2.5747437E+000,-4.5910844E-004, 1.6956118E-003, 5.0713234E-004, 3.5863521E-004,-2.9819269E-001, 5.5943058E+003, 5.4627895E+003, 5.4960839E+003
 2.3000603E+002, 2.0822782E+001,-5.5314971E+000,-1.2873033E+001, 1.5185975E-001,-6.7072790E-004, 1.1151415E-002,-4.8724093E-001,-1.9732622E-001, 2.0933508E+000,-4.9670442E-004, 1.7759014E-003, 5.4866095E-004, 3.6465923E-004,-2.9819269E-001, 5.8214653E+003, 5.6847846E+003, 5.7353095E+003
 2.4000320E+002, 2.2261281E+001,-6.0837570E+000,-1.3169163E+001, 1.1133185E-001,-4.2366865E-004, 1.0981068E-002,-4.2771661E-001, 2.8680963E-001, 2.7025340E+000,-5.3310600E-004, 1.9106177E-003, 5.8887023E-004, 3.7348291E-004,-2.9819269E-001, 6.0404688E+003, 5.9050143E+003, 5.9737428E+003
 2.5000792E+002, 2.4204145E+001,-6.8224094E+000,-1.4670220E+001, 1.5359781E-001,-2.6701205E-004, 1.0692341E-002,-3.7309673E-001,-8.4447521E-002, 2.5024417E+000,-5.6972112E-004, 1.9729088E-003, 6.2931538E-004, 3.8074112E-004,-2.9819269E-001, 6.2493225E+003, 6.1182531E+003, 6.2119910E+003
 2.6000601E+002, 2.3497068E+001,-6.7751436E+000,-1.4122721E+001, 2.0974942E-001,-2.1465090E-004, 1.0487669E-002,-1.7372770E-001,-1.3452722E-001, 2.6454983E+000,-6.0485911E-004, 1.6672285E-003, 6.6812889E-004, 3.8268938E-004,-2.9819269E-001, 6.4505386E+003, 6.3257916E+003, 6.4505048E+003
 2.7000772E+002, 2.4016081E+001,-6.8907680E+000,-1.4163034E+001, 2.1214823E-001,-1.9736336E-004, 1.0101835E-002,-1.3397043E-001, 1.3997395E-001, 3.0503610E+000,-6.3229498E-004, 1.9792599E-003, 6.9843463E-004, 3.8273285E-004,-2.9819269E-001, 6.6373947E+003, 6.5240723E+003, 6.6890514E+003
