s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_CELLULOSE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.0652970E-003,-5.9512586E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0652970E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9537956E-001
 1.0006249E+001, 7.2757867E+000,-2.1783330E+000,-4.0869554E+000,-1.2105221E-001,-8.2480589E-006, 7.3499598E-005,-1.8587431E-001, 6.3818845E-001, 7.0363705E-001,-3.1458811E-019, 5.4495611E-004, 3.4749481E-019, 6.7626721E-005, 3.4713727E+000
 2.0004896E+001, 1.2867035E+001,-3.6389103E+000,-6.8421532E+000,-1.8921732E-001, 1.9665465E-004,-6.0579059E-005,-1.5860066E+000, 5.6394800E-001, 6.1088357E-001,-4.2750804E-006, 9.7397863E-004, 4.7222646E-006, 1.2579238E-004,-2.9520827E-001
 3.0001331E+001, 1.2628141E+001,-3.3121508E+000,-7.6172220E+000,-4.9297207E-003,-1.1311543E-002,-2.7588952E-009,-1.7520417E+000,-1.5700653E-001,-6.9514378E-002,-2.1262293E-005, 8.8845209E-004, 2.3486382E-005, 1.9868064E-004,-2.9537955E-001
 4.0008987E+001, 2.5713097E+001,-6.8833772E+000,-1.1586218E+001, 1.3624172E-002,-2.2045923E-002,-1.9659159E-013,-6.5806866E+000, 4.3583904E-001, 6.5439417E-001,-5.1463120E-005, 2.0462684E-003, 5.6846291E-005, 3.8530450E-004,-2.9537955E-001
 5.0001457E+001, 3.8601067E+001,-1.1073209E+001,-1.9378679E+001,-2.8742389E-002,-3.0764114E-002,-9.9010450E-014,-6.9958054E+000, 6.4099424E-001, 1.0938666E+000,-1.1559045E-004, 3.0963776E-003, 1.2768151E-004, 4.4834354E-004,-2.9537955E-001
 6.0007019E+001, 2.7607348E+001,-7.8258565E+000,-1.5354398E+001, 1.6309307E-001,-2.4205356E-002,-9.9011854E-014,-4.3486345E+000,-7.0436337E-001, 2.1734604E-001,-1.9368063E-004, 2.4929782E-003, 2.1394012E-004, 4.1187345E-004,-2.9537955E-001
 7.0001228E+001, 2.1948464E+001,-5.9628368E+000,-1.2670947E+001, 1.4490366E-001,-3.6998867E-002,-9.9012517E-014,-1.9236043E+000, 3.5985241E-001, 1.4989805E+000,-2.4024822E-004, 2.0384672E-003, 2.6537878E-004, 2.8726782E-004,-2.9537955E-001
 8.0006325E+001, 2.0629921E+001,-5.5355832E+000,-1.2721147E+001, 1.9469759E-001,-2.0378889E-002,-9.9009989E-014,-1.6548066E+000,-4.4277254E-001, 8.9270287E-001,-2.7943147E-004, 1.7685772E-003, 3.0866070E-004, 2.6927788E-004,-2.9537955E-001
 9.0009079E+001, 1.3625661E+001,-3.2492423E+000,-7.9926931E+000, 2.0733836E-001,-4.4397440E-003,-9.4889043E-014,-1.1687315E+000,-1.1773783E-002, 1.4178928E+000,-2.9656530E-004, 1.1147386E-003, 3.2758678E-004, 2.5995184E-004,-2.9537955E-001
 1.0000326E+002, 1.2800907E+001,-3.0286462E+000,-7.6055995E+000, 1.8777321E-001,-4.0441426E-003,-9.2418021E-014,-9.3920853E-001,-3.8496514E-002, 1.4111823E+000,-3.0054757E-004, 1.0758891E-003, 3.3198560E-004, 2.5416241E-004,-2.9537955E-001
 1.1000592E+002, 1.2929477E+001,-3.0127443E+000,-7.7437831E+000, 1.8407214E-001,-4.2716182E-003,-8.9577595E-014,-8.5243025E-001, 4.8587814E-002, 1.5003201E+000,-3.0014967E-004, 1.0641361E-003, 3.3154608E-004, 2.3341786E-004,-2.9537955E-001
 1.2000271E+002, 1.2313307E+001,-2.8464171E+000,-7.4221971E+000, 1.8538493E-001,-5.0570584E-003,-8.9581773E-014,-7.5539276E-001,-8.9701278E-003, 1.4696285E+000,-3.0331055E-004, 9.8643016E-004, 3.3503759E-004, 2.3732969E-004,-2.9537955E-001
 1.3000023E+002, 1.1545256E+001,-2.6254992E+000,-6.9536614E+000, 1.8239151E-001,-4.3644865E-003,-8.9574946E-014,-6.9912303E-001,-4.6097129E-002, 1.4449992E+000,-3.0769865E-004, 9.1696156E-004, 3.3988470E-004, 2.3836731E-004,-2.9537955E-001
 1.4000591E+002, 1.1242381E+001,-2.5418974E+000,-6.6468112E+000, 1.7585649E-001,-4.0097750E-003,-8.9575634E-014,-6.4499171E-001, 6.1454655E-002, 1.5805275E+000,-3.1123601E-004, 8.9554299E-004, 3.4379207E-004, 2.3251698E-004,-2.9537955E-001
 1.5000685E+002, 1.0986817E+001,-2.5427371E+000,-6.5318056E+000, 1.7309705E-001,-3.7297514E-003,-8.9579129E-014,-6.0349926E-001,-3.9093195E-002, 1.4781427E+000,-3.1225363E-004, 8.6207286E-004, 3.4491615E-004, 2.3503842E-004,-2.9537955E-001
 1.6000740E+002, 1.1012523E+001,-2.5180979E+000,-6.5644524E+000, 1.7344712E-001,-3.2115841E-003,-8.9557057E-014,-5.6469856E-001, 2.8450099E-003, 1.5355098E+000,-3.1347244E-004, 8.6810765E-004, 3.4626244E-004, 2.3798818E-004,-2.9537955E-001
 1.7000067E+002, 1.1123556E+001,-2.5387515E+000,-6.6205829E+000, 1.5765164E-001,-2.6236081E-003,-8.7258980E-014,-5.2937632E-001, 6.2353500E-002, 1.5898732E+000,-3.1368618E-004, 8.4807323E-004, 3.4649855E-004, 2.3487873E-004,-2.9537955E-001
 1.8000967E+002, 1.1280147E+001,-2.5950959E+000,-6.8228957E+000, 1.5961000E-001,-1.7445873E-003,-8.4866637E-014,-5.2864187E-001,-2.5820440E-002, 1.4913794E+000,-3.1402313E-004, 8.3174422E-004, 3.4687073E-004, 2.3361268E-004,-2.9537955E-001
 1.9000800E+002, 1.1207028E+001,-2.5867040E+000,-6.7250432E+000, 1.6869985E-001,-1.7086826E-003,-8.4876410E-014,-4.5337359E-001, 9.6666568E-002, 1.6088988E+000,-3.1094097E-004, 8.2296132E-004, 3.4346618E-004, 2.3589807E-004,-2.9537955E-001
 2.0000429E+002, 1.2017084E+001,-2.7702778E+000,-7.2368481E+000, 1.5685222E-001,-1.5878895E-003,-8.4863009E-014,-6.0805847E-001, 3.8090398E-002, 1.5571644E+000,-3.1520269E-004, 7.9639328E-004, 3.4817368E-004, 2.3663541E-004,-2.9537955E-001
 2.1000388E+002, 1.2332461E+001,-2.8677136E+000,-7.5708925E+000, 1.5403860E-001,-1.6581902E-003,-8.4862441E-014,-5.2140279E-001,-3.7715238E-002, 1.5248328E+000,-3.2280135E-004, 8.5896025E-004, 3.5656718E-004, 2.3448866E-004,-2.9537955E-001
 2.2000545E+002, 1.2720738E+001,-2.9970131E+000,-7.7796393E+000, 1.6253179E-001,-2.0340613E-003,-8.4873475E-014,-4.6611229E-001, 9.7552828E-002, 1.6384708E+000,-3.1963183E-004, 9.3179386E-004, 3.5306612E-004, 2.3237225E-004,-2.9537955E-001
 2.3000269E+002, 1.3169557E+001,-3.1399039E+000,-8.1340336E+000, 1.5623811E-001,-1.2192765E-003,-8.4864505E-014,-4.8568136E-001, 8.5626994E-003, 1.5649572E+000,-3.2518030E-004, 1.0041288E-003, 3.5919498E-004, 2.3332238E-004,-2.9537955E-001
 2.4000089E+002, 1.4555566E+001,-3.5463174E+000,-8.7718420E+000, 1.6614995E-001,-8.1247736E-004,-8.4856967E-014,-6.7368668E-001, 1.1663373E-001, 1.7290571E+000,-3.3720071E-004, 1.0818966E-003, 3.7247275E-004, 2.3582861E-004,-2.9537955E-001
 2.5000441E+002, 1.5277705E+001,-3.7910190E+000,-9.3959914E+000, 1.8141700E-001,-8.6127985E-004,-8.4869053E-014,-5.5468861E-001, 9.4435482E-003, 1.7165620E+000,-3.5539692E-004, 1.2150480E-003, 3.9257234E-004, 2.3903130E-004,-2.9537955E-001
 2.6000516E+002, 1.7276565E+001,-4.4263111E+000,-1.0457199E+001, 1.6632754E-001,-8.1799599E-004,-8.4867370E-014,-5.9751943E-001, 1.9044580E-001, 1.9610449E+000,-3.7336185E-004, 1.4210553E-003, 4.1241643E-004, 2.4346569E-004,-2.9537955E-001
 2.7000409E+002, 1.7109318E+001,-4.4144981E+000,-1.0588716E+001, 1.9197958E-001,-5.4670995E-004,-8.4884897E-014,-5.1306087E-001,-9.8541313E-002, 1.7844764E+000,-3.9978204E-004, 1.4256773E-003, 4.4160024E-004, 2.4796582E-004,-2.9537955E-001
 2.8000241E+002, 1.8510738E+001,-4.8903660E+000,-1.1022073E+001, 2.0060902E-001,-3.2977298E-004,-8.4870790E-014,-5.5592204E-001, 2.7249609E-001, 2.2426560E+000,-4.2317360E-004, 1.5236481E-003, 4.6743862E-004, 2.5163326E-004,-2.9537955E-001
 2.9000223E+002, 2.1331468E+001,-5.7510207E+000,-1.2940208E+001, 1.5981663E-001,-1.9510184E-004,-8.4853975E-014,-5.3928638E-001, 1.2297124E-001, 2.2605747E+000,-4.6359987E-004, 1.7396000E-003, 5.1209358E-004, 2.5744163E-004,-2.9537955E-001
 3.0000745E+002, 2.2011800E+001,-6.0778136E+000,-1.3552280E+001, 1.9172717E-001,-1.6044587E-004,-8.4856658E-014,-3.6783327E-001,-9.7396636E-002, 2.2054396E+000,-5.0009679E-004, 1.7247324E-003, 5.5240817E-004, 2.6482143E-004,-2.9537955E-001
 3.1000549E+002, 1.7481341E+001,-4.4128684E+000,-1.1071632E+001, 2.5150424E-001,-8.9183517E-005,-8.4840294E-014,-3.8479076E-002,-1.4270629E-001, 2.2097767E+000,-5.1525352E-004, 1.2722354E-003, 5.6915033E-004, 2.6872544E-004,-2.9537955E-001
 3.2000641E+002, 1.8120401E+001,-4.7059777E+000,-1.1209354E+001, 2.3752402E-001,-1.5669871E-005,-8.4866844E-014, 1.3561820E-002, 3.0181289E-002, 2.4561391E+000,-5.3060074E-004, 1.3423947E-003, 5.8610291E-004, 2.7034659E-004,-2.9537955E-001
 3.3000958E+002, 2.0817092E+001,-5.7450885E+000,-1.2423054E+001, 2.2583921E-001, 2.7790281E-006,-8.4893115E-014,-1.3501026E-001, 1.3824403E-001, 2.7397809E+000,-5.6983621E-004, 1.6407655E-003, 6.2944251E-004, 2.7138607E-004,-2.9537955E-001
 3.4000156E+002, 2.4243175E+001,-6.8186614E+000,-1.4623020E+001, 2.2394113E-001, 1.2844411E-005,-8.4869246E-014,-9.0872984E-002, 1.1606133E-001, 2.9345744E+000,-6.2110358E-004, 1.6979791E-003, 6.8607258E-004, 2.7393546E-004,-2.9537955E-001
 3.5000122E+002, 2.6405073E+001,-7.5535190E+000,-1.5897390E+001, 2.4753220E-001, 7.6781733E-006,-8.4847169E-014,-2.0765704E-002, 8.9346496E-002, 3.1809376E+000,-6.8344494E-004, 1.8812194E-003, 7.5493499E-004, 2.7732422E-004,-2.9537955E-001
 3.6000568E+002, 2.4886178E+001,-7.0146353E+000,-1.4888553E+001, 2.3312220E-001, 8.0156839E-007,-8.4831666E-014, 1.2603736E-001, 1.6912539E-002, 3.3421506E+000,-7.3832503E-004, 1.6364588E-003, 8.1555569E-004, 2.8044051E-004,-2.9537955E-001
 3.7000140E+002, 2.5308280E+001,-7.1703844E+000,-1.5176864E+001, 2.4996014E-001,-7.2777048E-006,-8.4879798E-014, 2.9039148E-001,-6.1079402E-002, 3.5013760E+000,-7.8943380E-004, 1.8142350E-003, 8.7201056E-004, 2.8511034E-004,-2.9537955E-001
 3.8000772E+002, 2.7404851E+001,-7.8347404E+000,-1.6026877E+001, 2.4511224E-001,-1.1525127E-005,-8.4888647E-014, 2.8112504E-001, 3.1057500E-001, 4.0694587E+000,-8.3607957E-004, 2.1467863E-003, 9.2353559E-004, 2.9163015E-004,-2.9537955E-001
 3.9000562E+002, 2.9495399E+001,-8.3893916E+000,-1.7386798E+001, 2.4877490E-001,-2.3332374E-005,-8.4859302E-014, 2.2420851E-001, 1.0572708E-001, 4.1921696E+000,-9.0781188E-004, 2.3806749E-003, 1.0027713E-003, 2.9892112E-004,-2.9537955E-001
 4.0000293E+002, 3.4441920E+001,-1.0180631E+001,-1.9716798E+001, 2.5155040E-001,-2.3814401E-005,-8.4880795E-014, 1.7770818E-001, 4.5676293E-001, 4.9737261E+000,-1.0070541E-003, 2.9040874E-003, 1.1123945E-003, 3.0653441E-004,-2.9537955E-001
 4.1000528E+002, 4.0037425E+001,-1.1980701E+001,-2.3583924E+001, 2.4011382E-001,-7.2952573E-006,-8.4903236E-014, 2.6851599E-001,-1.3772334E-001, 4.9814229E+000,-1.1408327E-003, 3.4475908E-003, 1.2601666E-003, 3.1638512E-004,-2.9537955E-001
