s,m,m
Time,"x","D"
 0.000E+00,-1.988E+01, 0.000E+00
 1.030E+00,-3.029E+00, 8.993E-01
 2.026E+00,-5.322E-01, 2.577E+00
 3.007E+00,-1.744E+00, 4.455E+00
 4.006E+00,-6.748E-01, 5.510E+00
 5.007E+00, 1.099E+00, 5.046E+00
 6.011E+00, 3.269E+00, 6.152E+00
 7.007E+00, 1.602E+00, 5.321E+00
 8.005E+00, 3.025E+00, 7.606E+00
 9.004E+00, 5.281E+00, 8.094E+00
 1.000E+01, 3.688E+00, 7.512E+00
 1.101E+01, 6.957E+00, 9.593E+00
 1.200E+01, 4.795E+00, 8.512E+00
 1.301E+01, 9.083E+00, 7.249E+00
 1.400E+01, 1.214E+01, 5.850E+00
 1.500E+01, 1.416E+01, 4.266E+00
 1.600E+01, 1.616E+01, 4.008E+00
 1.701E+01, 1.780E+01, 4.057E+00
 1.800E+01, 1.930E+01, 3.326E+00
 1.901E+01, 2.091E+01, 4.107E+00
 2.000E+01, 2.291E+01, 3.762E+00
 2.100E+01, 2.459E+01, 3.881E+00
 2.201E+01, 2.684E+01, 4.986E+00
 2.301E+01, 2.886E+01, 5.272E+00
 2.400E+01, 3.116E+01, 5.142E+00
 2.501E+01, 3.337E+01, 4.687E+00
 2.600E+01, 3.619E+01, 4.722E+00
 2.700E+01, 3.822E+01, 5.515E+00
 2.801E+01, 3.988E+01, 3.539E+00
 2.900E+01, 4.198E+01, 3.617E+00
 3.000E+01, 4.365E+01, 3.329E+00
 3.100E+01, 4.528E+01, 3.682E+00
 3.200E+01, 4.722E+01, 3.552E+00
 3.300E+01, 4.866E+01, 3.264E+00
 3.400E+01, 5.039E+01, 3.429E+00
 3.501E+01, 5.167E+01, 3.256E+00
 3.600E+01, 5.272E+01, 3.554E+00
 3.700E+01, 5.431E+01, 3.101E+00
 3.800E+01, 5.628E+01, 3.455E+00
 3.900E+01, 5.786E+01, 3.610E+00
 4.001E+01, 5.900E+01, 3.227E+00
 4.100E+01, 6.049E+01, 3.473E+00
 4.200E+01, 6.196E+01, 3.184E+00
 4.301E+01, 6.324E+01, 2.716E+00
 4.400E+01, 6.495E+01, 3.364E+00
 4.500E+01, 6.571E+01, 3.168E+00
 4.600E+01, 6.710E+01, 2.706E+00
 4.700E+01, 6.926E+01, 2.960E+00
 4.800E+01, 7.062E+01, 4.156E+00
 4.901E+01, 7.169E+01, 2.595E+00
 5.000E+01, 7.295E+01, 3.048E+00
 5.100E+01, 7.412E+01, 2.494E+00
 5.200E+01, 7.546E+01, 2.442E+00
 5.300E+01, 7.682E+01, 3.067E+00
 5.401E+01, 7.846E+01, 3.645E+00
 5.501E+01, 7.937E+01, 3.613E+00
 5.600E+01, 8.043E+01, 3.328E+00
 5.700E+01, 8.202E+01, 3.301E+00
 5.800E+01, 8.385E+01, 3.076E+00
 5.900E+01, 8.438E+01, 2.790E+00
 6.000E+01, 8.550E+01, 2.444E+00
 6.100E+01, 8.638E+01, 2.372E+00
 6.200E+01, 8.894E+01, 2.963E+00
 6.301E+01, 9.006E+01, 3.488E+00
 6.400E+01, 9.108E+01, 4.128E+00
 6.500E+01, 9.307E+01, 3.603E+00
 6.600E+01, 9.428E+01, 3.625E+00
 6.700E+01, 9.578E+01, 2.606E+00
 6.800E+01, 9.698E+01, 3.153E+00
 6.900E+01, 9.836E+01, 3.030E+00
 7.000E+01, 9.945E+01, 2.508E+00
 7.101E+01, 1.009E+02, 3.775E+00
 7.200E+01, 1.018E+02, 3.025E+00
 7.300E+01, 1.035E+02, 3.287E+00
 7.400E+01, 1.052E+02, 2.578E+00
 7.500E+01, 1.063E+02, 3.788E+00
 7.600E+01, 1.073E+02, 3.687E+00
 7.700E+01, 1.084E+02, 3.381E+00
 7.800E+01, 1.096E+02, 2.368E+00
 7.900E+01, 1.113E+02, 2.881E+00
 8.000E+01, 1.125E+02, 3.174E+00
 8.101E+01, 1.147E+02, 3.171E+00
 8.200E+01, 1.159E+02, 3.272E+00
 8.300E+01, 1.168E+02, 3.195E+00
 8.400E+01, 1.181E+02, 2.097E+00
 8.500E+01, 1.193E+02, 2.695E+00
 8.600E+01, 1.205E+02, 2.360E+00
 8.701E+01, 1.214E+02, 2.887E+00
 8.801E+01, 1.228E+02, 3.646E+00
 8.900E+01, 1.242E+02, 1.938E+00
 9.000E+01, 1.251E+02, 2.479E+00
 9.101E+01, 1.261E+02, 3.103E+00
 9.200E+01, 1.276E+02, 3.347E+00
 9.301E+01, 1.293E+02, 3.091E+00
 9.400E+01, 1.306E+02, 2.776E+00
 9.500E+01, 1.320E+02, 2.803E+00
 9.600E+01, 1.334E+02, 2.897E+00
 9.700E+01, 1.346E+02, 3.130E+00
 9.801E+01, 1.358E+02, 2.711E+00
 9.900E+01, 1.372E+02, 3.204E+00
 1.000E+02, 1.382E+02, 2.969E+00
 1.010E+02, 1.395E+02, 2.460E+00
 1.020E+02, 1.408E+02, 2.846E+00
