s,m,m
Time,x,D
 0.000E+00,-1.988E+01, 0.000E+00
 1.008E+00,-2.684E+00, 7.200E-01
 2.009E+00, 3.750E-01, 1.286E+00
 3.009E+00, 3.750E-01, 1.318E+00
 4.001E+00, 3.690E-01, 1.225E+00
 5.012E+00, 5.542E-01, 1.281E+00
 6.006E+00, 7.503E-01, 1.308E+00
 7.007E+00, 1.563E+00, 1.898E+00
 8.006E+00, 2.598E+00, 2.021E+00
 9.002E+00, 4.697E+00, 1.488E+00
 1.001E+01, 6.755E+00, 1.708E+00
 1.100E+01, 8.032E+00, 2.284E+00
 1.200E+01, 7.388E+00, 2.703E+00
 1.301E+01, 9.751E+00, 2.434E+00
 1.400E+01, 1.195E+01, 2.949E+00
 1.500E+01, 1.150E+01, 4.999E+00
 1.600E+01, 1.438E+01, 2.032E+00
 1.700E+01, 1.535E+01, 1.249E+00
 1.800E+01, 1.688E+01, 9.528E-01
 1.900E+01, 1.790E+01, 8.571E-01
 2.001E+01, 1.861E+01, 1.219E+00
 2.101E+01, 1.985E+01, 8.461E-01
 2.200E+01, 2.081E+01, 5.375E-01
 2.300E+01, 2.237E+01, 7.071E-01
 2.400E+01, 2.205E+01, 1.025E+00
 2.500E+01, 2.306E+01, 9.333E-01
 2.600E+01, 2.357E+01, 9.810E-01
 2.700E+01, 2.411E+01, 9.878E-01
 2.800E+01, 2.502E+01, 9.519E-01
 2.901E+01, 2.462E+01, 5.719E-01
 3.000E+01, 2.774E+01, 9.092E-01
 3.101E+01, 2.986E+01, 1.071E+00
 3.200E+01, 3.039E+01, 7.060E-01
 3.300E+01, 2.944E+01, 4.891E-01
 3.400E+01, 3.221E+01, 4.006E-01
 3.501E+01, 3.505E+01, 1.120E+00
 3.600E+01, 3.614E+01, 1.225E+00
 3.700E+01, 3.550E+01, 7.624E-01
 3.800E+01, 3.721E+01, 1.129E+00
 3.901E+01, 3.818E+01, 9.450E-01
 4.000E+01, 3.732E+01, 4.524E-01
 4.100E+01, 3.856E+01, 1.654E+00
 4.200E+01, 4.239E+01, 6.767E-01
 4.300E+01, 4.405E+01, 4.457E-01
 4.401E+01, 4.380E+01, 7.867E-01
 4.500E+01, 4.460E+01, 6.819E-01
 4.601E+01, 4.713E+01, 7.569E-01
 4.701E+01, 4.654E+01, 1.531E+00
 4.800E+01, 4.880E+01, 1.032E+00
 4.901E+01, 5.137E+01, 9.563E-01
 5.000E+01, 5.259E+01, 1.343E+00
 5.101E+01, 5.394E+01, 1.464E+00
 5.200E+01, 5.496E+01, 6.612E-01
 5.300E+01, 5.476E+01, 8.075E-01
 5.400E+01, 5.730E+01, 5.084E-01
 5.500E+01, 5.844E+01, 4.721E-01
 5.600E+01, 6.039E+01, 5.267E-01
 5.701E+01, 6.168E+01, 1.073E+00
 5.800E+01, 6.104E+01, 1.331E+00
 5.901E+01, 6.372E+01, 8.956E-01
 6.000E+01, 6.533E+01, 1.643E+00
 6.100E+01, 6.634E+01, 1.918E+00
 6.200E+01, 6.840E+01, 6.443E-01
 6.301E+01, 6.802E+01, 1.028E+00
 6.400E+01, 7.084E+01, 8.460E-01
 6.500E+01, 7.140E+01, 1.650E+00
 6.601E+01, 7.258E+01, 1.967E+00
 6.700E+01, 7.411E+01, 8.454E-01
 6.800E+01, 7.497E+01, 1.264E+00
 6.901E+01, 7.603E+01, 1.650E+00
 7.001E+01, 7.843E+01, 1.124E+00
 7.100E+01, 7.916E+01, 2.066E+00
 7.200E+01, 8.032E+01, 1.835E+00
 7.300E+01, 8.067E+01, 1.347E+00
 7.400E+01, 8.246E+01, 1.131E+00
 7.500E+01, 8.384E+01, 1.273E+00
 7.601E+01, 8.485E+01, 1.592E+00
 7.700E+01, 8.589E+01, 4.160E-01
 7.801E+01, 8.808E+01, 7.439E-01
 7.900E+01, 8.791E+01, 4.880E-01
 8.001E+01, 8.914E+01, 2.589E-01
 8.100E+01, 9.160E+01, 6.177E-01
 8.200E+01, 9.164E+01, 7.235E-01
 8.300E+01, 9.243E+01, 1.588E+00
 8.401E+01, 9.342E+01, 2.411E-01
 8.501E+01, 9.315E+01, 9.399E-01
 8.600E+01, 9.538E+01, 1.031E+00
 8.700E+01, 9.741E+01, 6.813E-01
 8.801E+01, 9.855E+01, 1.041E+00
 8.900E+01, 1.004E+02, 8.184E-01
 9.000E+01, 1.003E+02, 5.007E-01
 9.100E+01, 1.025E+02, 8.460E-01
 9.200E+01, 1.050E+02, 5.608E-01
 9.301E+01, 1.060E+02, 4.993E-01
 9.400E+01, 1.043E+02, 1.387E+00
 9.500E+01, 1.071E+02, 1.780E+00
 9.601E+01, 1.076E+02, 5.329E-01
 9.700E+01, 1.091E+02, 1.061E+00
 9.800E+01, 1.100E+02, 1.018E+00
 9.900E+01, 1.123E+02, 2.787E-01
 1.000E+02, 1.126E+02, 3.463E-01
 1.010E+02, 1.140E+02, 3.105E-01
 1.020E+02, 1.174E+02, 1.070E+00
