s,m,m
Time,x,D
 0.000E+00,-1.000E+01, 0.000E+00
 1.002E+00,-1.000E+01, 0.000E+00
 2.051E+00,-1.000E+01, 0.000E+00
 3.101E+00,-1.000E+01, 0.000E+00
 4.151E+00,-1.000E+01, 0.000E+00
 5.200E+00,-1.000E+01, 0.000E+00
 6.302E+00,-1.000E+01, 0.000E+00
 7.457E+00,-3.750E+00, 0.000E+00
 8.034E+00, 2.500E+00, 0.000E+00
 9.188E+00, 2.500E+00, 5.004E+00
 1.034E+01, 2.500E+00, 1.001E+01
 1.150E+01, 2.500E+00, 1.001E+01
 1.207E+01, 2.500E+00, 1.001E+01
 1.323E+01, 2.500E+00, 1.500E+01
 1.438E+01, 2.500E+00, 1.500E+01
 1.554E+01, 2.500E+00, 1.500E+01
 1.612E+01, 2.500E+00, 1.500E+01
 1.727E+01, 2.500E+00, 1.500E+01
 1.842E+01, 2.500E+00, 1.500E+01
 1.900E+01, 2.500E+00, 2.000E+01
 2.004E+01, 2.500E+00, 2.000E+01
 2.108E+01, 5.000E+00, 2.000E+01
 2.212E+01, 7.500E+00, 2.000E+01
 2.315E+01, 7.500E+00, 1.750E+01
 2.408E+01, 7.500E+00, 1.500E+01
 2.546E+01, 7.500E+00, 1.500E+01
 2.638E+01, 7.500E+00, 1.500E+01
 2.730E+01, 7.500E+00, 1.500E+01
 2.823E+01, 7.500E+00, 1.750E+01
 2.915E+01, 7.500E+00, 2.000E+01
 3.007E+01, 1.000E+01, 2.000E+01
 3.136E+01, 1.250E+01, 2.000E+01
 3.218E+01, 1.250E+01, 1.750E+01
 3.300E+01, 1.250E+01, 1.500E+01
 3.424E+01, 1.250E+01, 1.500E+01
 3.506E+01, 1.250E+01, 1.500E+01
 3.630E+01, 1.250E+01, 1.500E+01
 3.712E+01, 1.250E+01, 1.500E+01
 3.836E+01, 1.250E+01, 1.666E+01
 3.918E+01, 1.500E+01, 1.999E+01
 4.001E+01, 1.750E+01, 1.999E+01
 4.124E+01, 1.750E+01, 1.666E+01
 4.207E+01, 1.750E+01, 1.500E+01
 4.330E+01, 1.750E+01, 1.500E+01
 4.413E+01, 1.750E+01, 1.500E+01
 4.536E+01, 1.750E+01, 1.500E+01
 4.619E+01, 1.750E+01, 1.500E+01
 4.701E+01, 1.750E+01, 1.500E+01
 4.824E+01, 1.750E+01, 1.500E+01
 4.907E+01, 1.750E+01, 1.750E+01
 5.030E+01, 1.917E+01, 2.000E+01
