s,m,m
Time,"x","D"
 0.000E+00,-1.975E+01, 0.000E+00
 1.032E+00,-5.632E+00, 6.819E-01
 2.003E+00, 7.500E-01, 1.972E+00
 3.035E+00, 8.382E-01, 2.088E+00
 4.006E+00, 1.375E+00, 2.142E+00
 5.009E+00, 8.312E-01, 3.849E+00
 6.026E+00, 1.175E+00, 4.467E+00
 7.008E+00, 1.915E+00, 5.176E+00
 8.005E+00, 1.974E+00, 6.141E+00
 9.004E+00, 1.250E+00, 6.041E+00
 1.002E+01, 2.119E+00, 6.819E+00
 1.101E+01, 3.158E+00, 8.149E+00
 1.201E+01, 4.818E+00, 8.236E+00
 1.301E+01, 4.588E+00, 1.011E+01
 1.401E+01, 9.507E+00, 1.080E+01
 1.502E+01, 8.397E+00, 9.771E+00
 1.600E+01, 5.052E+00, 7.387E+00
 1.701E+01, 5.279E+00, 3.942E+00
 1.800E+01, 4.533E+00, 3.084E+00
 1.902E+01, 9.242E+00, 3.646E+00
 2.001E+01, 1.433E+01, 3.166E+00
 2.101E+01, 1.572E+01, 3.549E+00
 2.200E+01, 1.690E+01, 3.087E+00
 2.302E+01, 1.798E+01, 2.816E+00
 2.402E+01, 1.921E+01, 2.503E+00
 2.500E+01, 2.041E+01, 2.967E+00
 2.600E+01, 2.125E+01, 3.042E+00
 2.701E+01, 2.217E+01, 2.890E+00
 2.802E+01, 2.285E+01, 2.624E+00
 2.900E+01, 2.364E+01, 2.743E+00
 3.001E+01, 2.489E+01, 3.803E+00
 3.102E+01, 2.520E+01, 4.296E+00
 3.200E+01, 2.561E+01, 4.424E+00
 3.301E+01, 2.628E+01, 5.295E+00
 3.401E+01, 2.719E+01, 5.136E+00
 3.501E+01, 2.811E+01, 5.106E+00
 3.601E+01, 3.069E+01, 5.365E+00
 3.701E+01, 3.125E+01, 5.385E+00
 3.801E+01, 3.091E+01, 4.542E+00
 3.900E+01, 3.309E+01, 4.766E+00
 4.001E+01, 3.359E+01, 4.144E+00
 4.101E+01, 3.505E+01, 3.293E+00
 4.201E+01, 3.703E+01, 3.031E+00
 4.301E+01, 3.918E+01, 3.064E+00
 4.401E+01, 4.045E+01, 2.926E+00
 4.501E+01, 4.153E+01, 3.274E+00
 4.601E+01, 4.236E+01, 2.887E+00
 4.701E+01, 4.329E+01, 3.388E+00
 4.801E+01, 4.417E+01, 3.331E+00
 4.900E+01, 4.499E+01, 3.045E+00
 5.001E+01, 4.563E+01, 2.812E+00
 5.101E+01, 4.660E+01, 2.737E+00
 5.201E+01, 4.775E+01, 2.708E+00
 5.300E+01, 4.903E+01, 2.953E+00
 5.400E+01, 5.018E+01, 3.230E+00
 5.501E+01, 5.110E+01, 3.332E+00
 5.601E+01, 5.268E+01, 2.858E+00
 5.701E+01, 5.324E+01, 2.258E+00
 5.801E+01, 5.451E+01, 2.327E+00
 5.901E+01, 5.542E+01, 2.031E+00
 6.000E+01, 5.639E+01, 2.008E+00
 6.101E+01, 5.722E+01, 2.306E+00
 6.200E+01, 5.820E+01, 2.676E+00
 6.301E+01, 5.890E+01, 2.773E+00
 6.401E+01, 6.042E+01, 2.962E+00
 6.501E+01, 6.060E+01, 3.375E+00
 6.601E+01, 6.187E+01, 3.732E+00
 6.701E+01, 6.271E+01, 2.981E+00
 6.801E+01, 6.356E+01, 3.318E+00
 6.901E+01, 6.470E+01, 3.550E+00
 7.001E+01, 6.537E+01, 3.864E+00
 7.101E+01, 6.636E+01, 4.047E+00
 7.201E+01, 6.703E+01, 3.934E+00
 7.302E+01, 6.757E+01, 3.254E+00
 7.402E+01, 6.849E+01, 3.635E+00
 7.501E+01, 6.928E+01, 3.796E+00
 7.601E+01, 7.018E+01, 2.114E+00
 7.701E+01, 7.091E+01, 2.869E+00
 7.801E+01, 7.163E+01, 4.029E+00
 7.900E+01, 7.250E+01, 4.821E+00
 8.002E+01, 7.349E+01, 4.665E+00
 8.101E+01, 7.434E+01, 4.490E+00
 8.201E+01, 7.558E+01, 5.069E+00
 8.302E+01, 7.680E+01, 5.148E+00
 8.402E+01, 7.766E+01, 5.883E+00
 8.501E+01, 7.861E+01, 6.788E+00
 8.601E+01, 7.970E+01, 5.567E+00
 8.701E+01, 8.013E+01, 5.809E+00
 8.801E+01, 8.107E+01, 6.248E+00
 8.902E+01, 8.249E+01, 5.153E+00
 9.000E+01, 8.447E+01, 3.728E+00
 9.101E+01, 8.644E+01, 3.144E+00
 9.202E+01, 8.826E+01, 2.600E+00
 9.300E+01, 8.973E+01, 2.164E+00
 9.401E+01, 9.064E+01, 2.078E+00
 9.501E+01, 9.162E+01, 2.389E+00
 9.602E+01, 9.257E+01, 2.024E+00
 9.701E+01, 9.341E+01, 2.593E+00
 9.802E+01, 9.402E+01, 2.440E+00
 9.900E+01, 9.475E+01, 2.860E+00
 1.000E+02, 9.532E+01, 2.737E+00
 1.010E+02, 9.593E+01, 3.408E+00
 1.020E+02, 9.656E+01, 3.525E+00
 1.030E+02, 9.720E+01, 3.813E+00
 1.040E+02, 9.787E+01, 3.585E+00
 1.050E+02, 9.851E+01, 4.352E+00
 1.060E+02, 9.941E+01, 4.854E+00
 1.070E+02, 1.004E+02, 4.800E+00
 1.080E+02, 1.010E+02, 4.499E+00
 1.090E+02, 1.016E+02, 4.658E+00
 1.100E+02, 1.022E+02, 4.689E+00
 1.110E+02, 1.040E+02, 5.501E+00
 1.120E+02, 1.094E+02, 6.435E+00
 1.130E+02, 1.081E+02, 7.624E+00
 1.140E+02, 1.079E+02, 5.934E+00
 1.150E+02, 1.106E+02, 7.487E+00
 1.160E+02, 1.158E+02, 7.166E+00
 1.170E+02, 1.117E+02, 4.310E+00
 1.180E+02, 1.115E+02, 6.841E+00
 1.190E+02, 1.111E+02, 6.703E+00
 1.200E+02, 1.139E+02, 6.789E+00
 1.210E+02, 1.176E+02, 4.671E+00
 1.220E+02, 1.213E+02, 5.921E+00
 1.230E+02, 1.238E+02, 7.223E+00
 1.240E+02, 1.262E+02, 8.224E+00
 1.250E+02, 1.273E+02, 6.289E+00
 1.260E+02, 1.292E+02, 6.883E+00
 1.270E+02, 1.294E+02, 5.662E+00
 1.280E+02, 1.324E+02, 5.449E+00
 1.290E+02, 1.325E+02, 4.897E+00
 1.300E+02, 1.342E+02, 5.135E+00
 1.310E+02, 1.363E+02, 6.213E+00
 1.320E+02, 1.331E+02, 5.216E+00
 1.330E+02, 1.353E+02, 5.164E+00
 1.340E+02, 1.373E+02, 4.460E+00
 1.350E+02, 1.385E+02, 3.106E+00
 1.360E+02, 1.404E+02, 2.754E+00
 1.370E+02, 1.422E+02, 2.612E+00
 1.380E+02, 1.434E+02, 2.834E+00
 1.390E+02, 1.443E+02, 2.458E+00
 1.400E+02, 1.452E+02, 1.924E+00
 1.410E+02, 1.461E+02, 1.953E+00
 1.420E+02, 1.470E+02, 1.752E+00
 1.430E+02, 1.477E+02, 1.918E+00
 1.440E+02, 1.483E+02, 2.194E+00
 1.450E+02, 1.488E+02, 2.266E+00
 1.460E+02, 1.493E+02, 2.401E+00
 1.470E+02, 1.498E+02, 2.250E+00
 1.480E+02, 1.505E+02, 2.094E+00
 1.490E+02, 1.513E+02, 2.556E+00
 1.500E+02, 1.519E+02, 4.496E+00
 1.510E+02, 1.524E+02, 4.836E+00
 1.520E+02, 1.530E+02, 6.294E+00
