s,m,m
Time,"x","D"
 0.000E+00,-9.750E+00, 0.000E+00
 1.052E+00,-4.750E+00, 4.620E-01
 2.017E+00, 6.136E-01, 1.319E+00
 3.069E+00, 7.500E-01, 1.339E+00
 4.006E+00, 8.804E-01, 1.914E+00
 5.023E+00, 1.184E+00, 3.168E+00
 6.023E+00, 8.037E-01, 3.241E+00
 7.006E+00, 1.153E+00, 3.418E+00
 8.012E+00, 1.814E+00, 2.998E+00
 9.002E+00, 2.531E+00, 2.642E+00
 1.002E+01, 2.956E+00, 2.585E+00
 1.100E+01, 3.792E+00, 2.531E+00
 1.201E+01, 4.516E+00, 2.755E+00
 1.302E+01, 5.364E+00, 2.350E+00
 1.402E+01, 6.072E+00, 2.511E+00
 1.503E+01, 6.848E+00, 2.153E+00
 1.600E+01, 7.453E+00, 2.733E+00
 1.702E+01, 8.263E+00, 2.802E+00
 1.800E+01, 8.896E+00, 2.472E+00
 1.901E+01, 9.680E+00, 2.730E+00
 2.001E+01, 1.045E+01, 2.938E+00
 2.100E+01, 1.160E+01, 2.510E+00
 2.201E+01, 1.193E+01, 3.080E+00
 2.302E+01, 1.288E+01, 2.855E+00
 2.402E+01, 1.342E+01, 3.403E+00
 2.501E+01, 1.446E+01, 3.591E+00
 2.601E+01, 1.512E+01, 3.767E+00
 2.701E+01, 1.647E+01, 3.279E+00
 2.800E+01, 1.750E+01, 4.123E+00
 2.902E+01, 1.833E+01, 4.003E+00
 3.002E+01, 1.964E+01, 4.038E+00
 3.100E+01, 2.084E+01, 4.346E+00
 3.201E+01, 2.186E+01, 4.305E+00
 3.302E+01, 2.346E+01, 3.466E+00
 3.401E+01, 2.499E+01, 4.006E+00
 3.501E+01, 2.635E+01, 3.374E+00
 3.602E+01, 2.774E+01, 3.172E+00
 3.700E+01, 2.905E+01, 3.193E+00
 3.801E+01, 3.011E+01, 3.203E+00
 3.901E+01, 3.110E+01, 3.023E+00
 4.002E+01, 3.209E+01, 3.049E+00
 4.102E+01, 3.327E+01, 2.905E+00
 4.202E+01, 3.431E+01, 2.922E+00
 4.302E+01, 3.519E+01, 3.318E+00
 4.401E+01, 3.610E+01, 3.312E+00
 4.501E+01, 3.679E+01, 3.047E+00
 4.601E+01, 3.756E+01, 2.687E+00
 4.700E+01, 3.890E+01, 2.711E+00
 4.802E+01, 3.974E+01, 2.632E+00
 4.902E+01, 4.080E+01, 2.135E+00
 5.001E+01, 4.216E+01, 2.576E+00
 5.101E+01, 4.309E+01, 2.212E+00
 5.200E+01, 4.396E+01, 2.172E+00
 5.302E+01, 4.457E+01, 2.341E+00
 5.401E+01, 4.521E+01, 2.381E+00
 5.502E+01, 4.575E+01, 2.297E+00
 5.600E+01, 4.644E+01, 2.249E+00
 5.702E+01, 4.700E+01, 2.382E+00
 5.801E+01, 4.758E+01, 2.563E+00
 5.900E+01, 4.838E+01, 2.091E+00
 6.001E+01, 4.900E+01, 3.039E+00
 6.101E+01, 4.979E+01, 2.758E+00
 6.202E+01, 5.034E+01, 3.126E+00
 6.300E+01, 5.092E+01, 2.972E+00
 6.401E+01, 5.162E+01, 3.303E+00
 6.501E+01, 5.250E+01, 2.953E+00
 6.601E+01, 5.320E+01, 2.813E+00
 6.702E+01, 5.391E+01, 3.051E+00
 6.801E+01, 5.484E+01, 2.420E+00
 6.901E+01, 5.575E+01, 2.459E+00
 7.002E+01, 5.655E+01, 2.692E+00
 7.100E+01, 5.719E+01, 2.326E+00
 7.200E+01, 5.818E+01, 2.201E+00
 7.302E+01, 5.860E+01, 2.364E+00
 7.402E+01, 5.921E+01, 1.981E+00
