s,m,m
Time,x,D
 0.000E+00,-9.875E+00, 0.000E+00
 1.010E+00,-2.258E+00, 6.000E-01
 2.021E+00,-7.031E-02, 1.510E+00
 3.010E+00,-7.530E-01, 1.812E+00
 4.020E+00,-8.313E-01, 3.162E+00
 5.001E+00,-3.854E-01, 3.602E+00
 6.012E+00, 7.028E-01, 3.935E+00
 7.004E+00, 1.825E+00, 5.882E+00
 8.003E+00, 4.322E+00, 3.742E+00
 9.010E+00, 5.736E+00, 2.627E+00
 1.001E+01, 6.980E+00, 2.428E+00
 1.100E+01, 8.404E+00, 2.346E+00
 1.200E+01, 9.914E+00, 3.350E+00
 1.300E+01, 1.097E+01, 2.938E+00
 1.401E+01, 1.243E+01, 2.388E+00
 1.501E+01, 1.378E+01, 2.605E+00
 1.601E+01, 1.575E+01, 2.561E+00
 1.701E+01, 1.688E+01, 3.881E+00
 1.800E+01, 1.840E+01, 3.370E+00
 1.901E+01, 1.973E+01, 3.422E+00
 2.001E+01, 2.212E+01, 3.326E+00
 2.101E+01, 2.355E+01, 4.045E+00
 2.200E+01, 2.556E+01, 3.401E+00
 2.301E+01, 2.670E+01, 3.915E+00
 2.401E+01, 2.831E+01, 4.115E+00
 2.501E+01, 2.997E+01, 4.269E+00
 2.601E+01, 3.143E+01, 4.493E+00
 2.700E+01, 3.371E+01, 4.796E+00
 2.800E+01, 3.567E+01, 4.227E+00
 2.900E+01, 3.781E+01, 3.164E+00
 3.000E+01, 3.868E+01, 3.437E+00
 3.101E+01, 4.083E+01, 3.592E+00
 3.200E+01, 4.213E+01, 3.352E+00
 3.301E+01, 4.327E+01, 2.780E+00
 3.400E+01, 4.494E+01, 3.715E+00
 3.501E+01, 4.660E+01, 3.649E+00
 3.600E+01, 4.802E+01, 3.554E+00
 3.701E+01, 4.995E+01, 2.485E+00
 3.800E+01, 5.144E+01, 2.072E+00
 3.901E+01, 5.289E+01, 2.267E+00
 4.000E+01, 5.434E+01, 3.080E+00
 4.100E+01, 5.562E+01, 3.171E+00
 4.201E+01, 5.708E+01, 2.859E+00
 4.300E+01, 5.841E+01, 3.110E+00
 4.400E+01, 6.016E+01, 2.945E+00
 4.500E+01, 6.158E+01, 2.235E+00
 4.601E+01, 6.308E+01, 3.026E+00
 4.700E+01, 6.417E+01, 3.495E+00
 4.800E+01, 6.613E+01, 3.899E+00
 4.901E+01, 6.771E+01, 2.696E+00
 5.000E+01, 6.907E+01, 2.877E+00
 5.100E+01, 7.025E+01, 3.259E+00
 5.201E+01, 7.175E+01, 3.232E+00
 5.300E+01, 7.300E+01, 3.359E+00
 5.400E+01, 7.401E+01, 2.664E+00
 5.501E+01, 7.511E+01, 2.357E+00
 5.600E+01, 7.668E+01, 2.946E+00
 5.700E+01, 7.803E+01, 3.583E+00
 5.800E+01, 7.920E+01, 2.702E+00
 5.901E+01, 8.068E+01, 2.935E+00
 6.000E+01, 8.180E+01, 3.055E+00
 6.101E+01, 8.367E+01, 3.988E+00
 6.200E+01, 8.508E+01, 3.578E+00
 6.300E+01, 8.690E+01, 2.864E+00
 6.400E+01, 8.833E+01, 1.857E+00
 6.500E+01, 8.952E+01, 1.991E+00
 6.600E+01, 9.086E+01, 2.379E+00
 6.700E+01, 9.243E+01, 2.813E+00
 6.801E+01, 9.393E+01, 3.796E+00
 6.900E+01, 9.591E+01, 3.824E+00
 7.001E+01, 9.765E+01, 3.558E+00
 7.101E+01, 9.972E+01, 3.928E+00
 7.200E+01, 1.003E+02, 2.700E+00
 7.301E+01, 9.971E+01, 1.700E-01
 7.401E+01, 9.986E+01, 0.000E+00
 7.501E+01, 9.953E+01, 0.000E+00
 7.602E+01, 9.835E+01, 0.000E+00
 7.702E+01, 9.851E+01, 0.000E+00
 7.800E+01, 9.903E+01, 0.000E+00
 7.900E+01, 1.065E+02, 0.000E+00
 8.000E+01, 1.002E+02, 0.000E+00
 8.100E+01, 1.020E+02, 0.000E+00
 8.202E+01, 1.087E+02, 0.000E+00
 8.301E+01, 1.004E+02, 0.000E+00
 8.400E+01, 1.010E+02, 0.000E+00
 8.502E+01, 1.025E+02, 0.000E+00
 8.602E+01, 1.036E+02, 0.000E+00
 8.701E+01, 1.008E+02, 0.000E+00
 8.801E+01, 1.013E+02, 0.000E+00
 8.901E+01, 1.013E+02, 0.000E+00
 9.001E+01, 1.004E+02, 0.000E+00
 9.102E+01, 1.002E+02, 0.000E+00
 9.201E+01, 1.004E+02, 0.000E+00
 9.302E+01, 1.011E+02, 0.000E+00
 9.401E+01, 1.022E+02, 0.000E+00
 9.502E+01, 1.008E+02, 0.000E+00
 9.601E+01, 1.006E+02, 0.000E+00
 9.700E+01, 1.009E+02, 0.000E+00
 9.802E+01, 1.007E+02, 0.000E+00
 9.901E+01, 1.004E+02, 0.000E+00
 1.000E+02, 1.004E+02, 0.000E+00
 1.010E+02, 1.005E+02, 0.000E+00
 1.020E+02, 1.008E+02, 0.000E+00
 1.030E+02, 1.012E+02, 0.000E+00
 1.040E+02, 1.011E+02, 0.000E+00
 1.050E+02, 7.159E+01, 0.000E+00
 1.060E+02, 5.888E+01, 0.000E+00
 1.070E+02, 1.006E+02, 0.000E+00
 1.080E+02, 1.007E+02, 0.000E+00
 1.090E+02, 9.425E+01, 0.000E+00
 1.100E+02, 3.423E+01, 0.000E+00
 1.110E+02,-1.250E-01, 0.000E+00
 1.120E+02,-1.250E-01, 0.000E+00
 1.130E+02,-1.250E-01, 0.000E+00
 1.140E+02,-1.250E-01, 0.000E+00
 1.150E+02,-1.250E-01, 0.000E+00
 1.160E+02,-1.250E-01, 0.000E+00
 1.170E+02,-1.250E-01, 0.000E+00
 1.180E+02,-1.250E-01, 0.000E+00
 1.190E+02,-1.250E-01, 0.000E+00
 1.200E+02,-1.250E-01, 0.000E+00
