s,m,m
Time,x,D
 0.000E+00,-1.000E+01, 0.000E+00
 1.018E+00,-1.000E+01, 0.000E+00
 2.059E+00,-1.000E+01, 0.000E+00
 3.100E+00,-1.000E+01, 0.000E+00
 4.142E+00,-1.563E+00, 0.000E+00
 5.183E+00, 1.250E+00, 0.000E+00
 6.225E+00, 1.250E+00, 1.881E+00
 7.006E+00, 1.250E+00, 3.340E+00
 8.047E+00, 1.250E+00, 5.004E+00
 9.088E+00, 1.250E+00, 5.628E+00
 1.013E+01, 1.250E+00, 7.500E+00
 1.117E+01, 1.250E+00, 8.754E+00
 1.221E+01, 2.500E+00, 1.001E+01
 1.316E+01, 3.750E+00, 8.193E+00
 1.404E+01, 3.750E+00, 7.500E+00
 1.504E+01, 3.750E+00, 7.500E+00
 1.614E+01, 3.750E+00, 9.996E+00
 1.704E+01, 6.250E+00, 9.996E+00
 1.812E+01, 6.250E+00, 7.916E+00
 1.902E+01, 6.250E+00, 7.500E+00
 2.010E+01, 6.250E+00, 9.164E+00
 2.118E+01, 7.500E+00, 9.996E+00
 2.208E+01, 8.750E+00, 9.497E+00
 2.315E+01, 8.750E+00, 7.500E+00
 2.405E+01, 8.750E+00, 7.500E+00
 2.513E+01, 8.750E+00, 9.590E+00
 2.603E+01, 1.075E+01, 1.001E+01
 2.711E+01, 1.125E+01, 8.754E+00
 2.801E+01, 1.125E+01, 7.500E+00
 2.909E+01, 1.125E+01, 7.500E+00
 3.014E+01, 1.125E+01, 7.500E+00
 3.108E+01, 1.333E+01, 9.580E+00
 3.212E+01, 1.375E+01, 7.916E+00
 3.315E+01, 1.375E+01, 7.500E+00
 3.401E+01, 1.375E+01, 7.500E+00
 3.505E+01, 1.375E+01, 7.500E+00
 3.610E+01, 1.502E+01, 9.587E+00
 3.705E+01, 1.625E+01, 9.996E+00
 3.801E+01, 1.625E+01, 7.500E+00
 3.906E+01, 1.625E+01, 7.500E+00
 4.010E+01, 1.625E+01, 7.500E+00
 4.118E+01, 1.678E+01, 7.500E+00
 4.210E+01, 1.875E+01, 8.127E+00
 4.302E+01, 1.875E+01, 7.500E+00
 4.416E+01, 1.875E+01, 7.500E+00
 4.508E+01, 1.875E+01, 7.500E+00
 4.623E+01, 1.875E+01, 7.500E+00
 4.715E+01, 2.125E+01, 8.748E+00
 4.806E+01, 2.125E+01, 7.500E+00
 4.921E+01, 2.125E+01, 7.500E+00
 5.013E+01, 2.125E+01, 7.500E+00
