s,m,m
Time,"x","D"
 0.000E+00,-9.875E+00, 0.000E+00
 1.011E+00,-2.000E+00, 4.095E-01
 2.023E+00, 5.703E-01, 8.572E-01
 3.025E+00, 1.454E+00, 8.956E-01
 4.024E+00, 1.494E+00, 1.548E+00
 5.020E+00, 1.426E+00, 1.708E+00
 6.007E+00, 5.156E-01, 1.371E+00
 7.001E+00, 1.461E+00, 1.611E+00
 8.011E+00, 2.785E+00, 2.126E+00
 9.008E+00, 4.067E+00, 2.561E+00
 1.000E+01, 4.696E+00, 3.039E+00
 1.101E+01, 4.998E+00, 3.409E+00
 1.202E+01, 5.791E+00, 3.960E+00
 1.301E+01, 6.305E+00, 3.966E+00
 1.401E+01, 6.017E+00, 1.763E+00
 1.500E+01, 6.544E+00, 2.411E+00
 1.601E+01, 5.035E+00, 2.026E+00
 1.701E+01, 8.193E+00, 1.772E+00
 1.800E+01, 6.352E+00, 2.368E+00
 1.900E+01, 1.058E+01, 2.702E+00
 2.000E+01, 1.015E+01, 2.736E+00
 2.100E+01, 1.072E+01, 3.178E+00
 2.200E+01, 1.288E+01, 2.878E+00
 2.301E+01, 1.344E+01, 2.406E+00
 2.401E+01, 1.450E+01, 2.845E+00
 2.500E+01, 1.508E+01, 3.166E+00
 2.600E+01, 1.549E+01, 3.099E+00
 2.700E+01, 1.638E+01, 3.177E+00
 2.800E+01, 1.617E+01, 1.406E+00
 2.901E+01, 1.752E+01, 6.416E-01
 3.000E+01, 1.688E+01, 1.416E+00
 3.100E+01, 1.696E+01, 6.504E-01
 3.201E+01, 2.080E+01, 1.399E+00
 3.300E+01, 2.150E+01, 1.377E+00
 3.401E+01, 2.192E+01, 2.329E+00
 3.500E+01, 2.265E+01, 3.072E+00
 3.601E+01, 2.362E+01, 2.980E+00
 3.700E+01, 2.469E+01, 3.350E+00
 3.801E+01, 2.399E+01, 3.629E+00
 3.901E+01, 2.782E+01, 3.160E+00
 4.001E+01, 2.921E+01, 4.540E+00
 4.100E+01, 3.066E+01, 4.329E+00
 4.200E+01, 3.145E+01, 3.111E+00
 4.300E+01, 3.261E+01, 3.583E+00
 4.400E+01, 3.374E+01, 4.027E+00
 4.501E+01, 3.323E+01, 4.245E+00
 4.601E+01, 3.270E+01, 2.801E+00
 4.700E+01, 3.499E+01, 3.444E+00
 4.801E+01, 3.557E+01, 3.975E+00
 4.900E+01, 3.635E+01, 2.679E+00
 5.000E+01, 3.715E+01, 2.287E+00
 5.100E+01, 3.769E+01, 2.424E+00
 5.201E+01, 3.995E+01, 3.101E+00
 5.300E+01, 3.951E+01, 3.713E+00
 5.400E+01, 3.911E+01, 2.791E+00
 5.501E+01, 3.949E+01, 2.552E+00
 5.600E+01, 4.015E+01, 2.716E+00
 5.701E+01, 4.065E+01, 2.482E+00
 5.800E+01, 4.142E+01, 2.549E+00
 5.901E+01, 4.232E+01, 2.327E+00
 6.001E+01, 4.416E+01, 2.317E+00
 6.100E+01, 4.361E+01, 1.899E+00
 6.200E+01, 4.484E+01, 2.014E+00
 6.301E+01, 4.591E+01, 2.029E+00
 6.401E+01, 4.750E+01, 2.167E+00
 6.501E+01, 4.849E+01, 2.387E+00
 6.601E+01, 4.863E+01, 2.743E+00
 6.700E+01, 4.956E+01, 2.968E+00
 6.801E+01, 5.015E+01, 3.149E+00
 6.901E+01, 5.036E+01, 2.718E+00
 7.000E+01, 5.143E+01, 2.934E+00
 7.101E+01, 5.202E+01, 3.357E+00
 7.200E+01, 5.236E+01, 3.509E+00
 7.300E+01, 5.431E+01, 3.172E+00
 7.401E+01, 5.441E+01, 3.388E+00
 7.501E+01, 5.560E+01, 3.592E+00
 7.601E+01, 5.905E+01, 2.994E+00
 7.701E+01, 5.756E+01, 3.454E+00
 7.800E+01, 5.837E+01, 3.445E+00
 7.901E+01, 5.992E+01, 3.372E+00
 8.001E+01, 6.052E+01, 3.255E+00
 8.101E+01, 6.118E+01, 3.664E+00
 8.201E+01, 6.148E+01, 3.553E+00
 8.300E+01, 6.271E+01, 2.536E+00
 8.400E+01, 6.478E+01, 4.159E+00
 8.500E+01, 6.711E+01, 3.556E+00
 8.601E+01, 6.767E+01, 2.956E+00
 8.700E+01, 6.955E+01, 4.693E+00
 8.800E+01, 6.973E+01, 3.479E+00
 8.900E+01, 7.064E+01, 4.502E+00
 9.001E+01, 6.904E+01, 3.611E+00
 9.100E+01, 7.158E+01, 2.144E+00
 9.201E+01, 7.445E+01, 3.636E+00
 9.301E+01, 7.477E+01, 5.037E+00
 9.401E+01, 7.507E+01, 2.730E+00
 9.501E+01, 7.730E+01, 3.846E+00
 9.600E+01, 7.623E+01, 3.140E+00
 9.701E+01, 7.681E+01, 2.487E+00
 9.801E+01, 7.867E+01, 2.614E+00
 9.901E+01, 7.852E+01, 1.674E+00
 1.000E+02, 7.978E+01, 2.909E+00
 1.010E+02, 7.847E+01, 2.673E+00
 1.020E+02, 8.092E+01, 1.784E+00
 1.030E+02, 8.123E+01, 2.287E+00
 1.040E+02, 8.142E+01, 2.257E+00
 1.050E+02, 8.181E+01, 1.705E+00
 1.060E+02, 8.308E+01, 1.449E+00
 1.070E+02, 8.424E+01, 1.697E+00
 1.080E+02, 8.527E+01, 1.667E+00
 1.090E+02, 8.572E+01, 1.305E+00
 1.100E+02, 8.638E+01, 1.127E+00
 1.110E+02, 8.686E+01, 1.490E+00
 1.120E+02, 8.735E+01, 2.245E+00
 1.130E+02, 8.839E+01, 2.688E+00
 1.140E+02, 8.806E+01, 2.601E+00
 1.150E+02, 8.868E+01, 1.846E+00
 1.160E+02, 8.876E+01, 1.568E+00
 1.170E+02, 8.951E+01, 1.923E+00
 1.180E+02, 9.021E+01, 2.104E+00
 1.190E+02, 9.041E+01, 3.046E+00
 1.200E+02, 9.074E+01, 2.941E+00
