s,m,m
Time,"x","D"
 0.000E+00,-1.000E+01, 0.000E+00
 1.193E+00,-1.000E+01, 0.000E+00
 2.386E+00,-1.000E+01, 0.000E+00
 3.579E+00,-1.000E+01, 0.000E+00
 4.772E+00,-1.000E+01, 0.000E+00
 5.966E+00,-1.000E+01, 0.000E+00
 7.159E+00,-1.000E+01, 0.000E+00
 8.352E+00,-1.000E+01, 0.000E+00
 9.545E+00,-1.000E+01, 0.000E+00
 1.074E+01,-1.000E+01, 0.000E+00
 1.193E+01, 5.000E+00, 0.000E+00
 1.312E+01, 5.000E+00, 0.000E+00
 1.432E+01, 5.000E+00, 0.000E+00
 1.551E+01, 5.000E+00, 0.000E+00
 1.670E+01, 5.000E+00, 0.000E+00
 1.790E+01, 5.000E+00, 0.000E+00
 1.909E+01, 5.000E+00, 0.000E+00
 2.028E+01, 5.000E+00, 0.000E+00
 2.148E+01, 5.000E+00, 0.000E+00
 2.267E+01, 5.000E+00, 0.000E+00
 2.386E+01, 5.000E+00, 0.000E+00
 2.506E+01, 5.000E+00, 0.000E+00
 2.625E+01, 5.000E+00, 0.000E+00
 2.744E+01, 5.000E+00, 0.000E+00
 2.863E+01, 5.000E+00, 9.996E+00
 2.983E+01, 1.500E+01, 9.996E+00
 3.102E+01, 1.500E+01, 9.996E+00
 3.221E+01, 1.500E+01, 9.996E+00
 3.341E+01, 1.500E+01, 9.996E+00
 3.460E+01, 1.500E+01, 9.996E+00
 3.579E+01, 1.500E+01, 9.996E+00
 3.699E+01, 1.500E+01, 9.996E+00
 3.818E+01, 1.500E+01, 0.000E+00
 3.937E+01, 1.500E+01, 0.000E+00
 4.057E+01, 1.500E+01, 0.000E+00
 4.176E+01, 1.500E+01, 0.000E+00
 4.295E+01, 1.500E+01, 0.000E+00
 4.414E+01, 1.500E+01, 9.996E+00
 4.520E+01, 1.500E+01, 9.996E+00
 4.625E+01, 1.500E+01, 9.996E+00
 4.730E+01, 1.500E+01, 9.996E+00
 4.835E+01, 1.500E+01, 9.996E+00
 4.941E+01, 1.500E+01, 9.996E+00
 5.046E+01, 2.500E+01, 9.996E+00
 5.151E+01, 2.500E+01, 9.996E+00
 5.256E+01, 2.500E+01, 9.996E+00
 5.362E+01, 2.500E+01, 0.000E+00
 5.467E+01, 2.500E+01, 0.000E+00
 5.572E+01, 2.500E+01, 0.000E+00
 5.677E+01, 2.500E+01, 0.000E+00
 5.783E+01, 2.500E+01, 0.000E+00
 5.888E+01, 2.500E+01, 0.000E+00
 5.993E+01, 2.500E+01, 1.001E+01
 6.098E+01, 3.500E+01, 1.001E+01
 6.204E+01, 3.500E+01, 1.001E+01
 6.309E+01, 3.500E+01, 1.001E+01
 6.414E+01, 3.500E+01, 1.001E+01
 6.519E+01, 3.500E+01, 1.001E+01
 6.625E+01, 3.500E+01, 1.001E+01
 6.730E+01, 3.500E+01, 2.000E+01
 6.835E+01, 3.500E+01, 1.001E+01
 6.940E+01, 3.500E+01, 1.001E+01
 7.046E+01, 3.500E+01, 0.000E+00
 7.151E+01, 3.500E+01, 0.000E+00
 7.256E+01, 3.500E+01, 0.000E+00
 7.361E+01, 3.500E+01, 0.000E+00
 7.467E+01, 3.500E+01, 0.000E+00
 7.572E+01, 3.500E+01, 2.000E+01
 7.677E+01, 3.500E+01, 9.996E+00
 7.782E+01, 3.500E+01, 9.996E+00
 7.888E+01, 3.500E+01, 9.996E+00
 7.993E+01, 3.500E+01, 9.996E+00
 8.098E+01, 3.500E+01, 9.996E+00
 8.203E+01, 4.500E+01, 9.996E+00
 8.309E+01, 4.500E+01, 9.996E+00
 8.414E+01, 4.500E+01, 0.000E+00
 8.519E+01, 4.500E+01, 0.000E+00
 8.624E+01, 4.500E+01, 0.000E+00
 8.730E+01, 4.500E+01, 0.000E+00
 8.835E+01, 4.500E+01, 0.000E+00
 8.940E+01, 4.500E+01, 0.000E+00
 9.045E+01, 4.500E+01, 0.000E+00
 9.151E+01, 4.500E+01, 0.000E+00
 9.256E+01, 4.500E+01, 9.996E+00
 9.361E+01, 5.500E+01, 9.996E+00
 9.466E+01, 5.500E+01, 9.996E+00
 9.572E+01, 5.500E+01, 9.996E+00
 9.677E+01, 5.500E+01, 9.996E+00
 9.782E+01, 5.500E+01, 9.996E+00
 9.887E+01, 5.500E+01, 9.996E+00
 9.993E+01, 5.500E+01, 9.996E+00
 1.010E+02, 5.500E+01, 9.996E+00
 1.020E+02, 5.500E+01, 9.996E+00
 1.031E+02, 5.500E+01, 9.996E+00
 1.041E+02, 5.500E+01, 9.996E+00
 1.052E+02, 5.500E+01, 9.996E+00
 1.062E+02, 5.500E+01, 9.996E+00
 1.073E+02, 5.500E+01, 9.996E+00
 1.083E+02, 5.500E+01, 0.000E+00
 1.094E+02, 5.500E+01, 1.001E+01
 1.105E+02, 5.500E+01, 1.001E+01
 1.115E+02, 5.500E+01, 1.001E+01
 1.126E+02, 5.500E+01, 1.001E+01
 1.136E+02, 5.500E+01, 1.001E+01
 1.147E+02, 6.500E+01, 1.001E+01
 1.157E+02, 6.500E+01, 1.001E+01
 1.168E+02, 6.500E+01, 0.000E+00
 1.178E+02, 6.500E+01, 0.000E+00
 1.189E+02, 6.500E+01, 0.000E+00
 1.199E+02, 6.500E+01, 0.000E+00
 1.200E+02, 6.500E+01, 1.001E+01
