s,m,m
Time,"x","D"
 0.000E+00,-1.975E+01, 0.000E+00
 1.032E+00,-5.985E+00, 8.795E-01
 2.003E+00,-2.500E-01, 3.000E+00
 3.035E+00,-3.971E-01, 4.156E+00
 4.029E+00,-9.331E-01, 5.150E+00
 5.014E+00,-2.977E-01, 6.125E+00
 6.007E+00, 2.700E-01, 7.131E+00
 7.010E+00, 9.158E-01, 6.934E+00
 8.020E+00, 7.066E-01, 9.037E+00
 9.023E+00, 1.303E+00, 1.068E+01
 1.001E+01, 3.081E+00, 1.183E+01
 1.101E+01, 6.851E+00, 1.329E+01
 1.201E+01, 5.924E+00, 1.143E+01
 1.301E+01, 1.090E+01, 8.840E+00
 1.400E+01, 1.309E+01, 8.408E+00
 1.500E+01, 1.416E+01, 4.950E+00
 1.600E+01, 1.547E+01, 3.159E+00
 1.700E+01, 1.633E+01, 3.395E+00
 1.801E+01, 1.922E+01, 4.307E+00
 1.902E+01, 2.075E+01, 5.022E+00
 2.000E+01, 2.241E+01, 5.163E+00
 2.100E+01, 2.412E+01, 6.618E+00
 2.202E+01, 2.561E+01, 5.803E+00
 2.301E+01, 2.799E+01, 6.047E+00
 2.400E+01, 2.929E+01, 6.864E+00
 2.501E+01, 3.142E+01, 6.554E+00
 2.601E+01, 3.346E+01, 6.020E+00
 2.701E+01, 3.628E+01, 6.062E+00
 2.801E+01, 3.873E+01, 6.883E+00
 2.900E+01, 4.070E+01, 7.179E+00
 3.001E+01, 4.386E+01, 8.036E+00
 3.101E+01, 4.672E+01, 9.014E+00
 3.201E+01, 4.902E+01, 8.823E+00
 3.301E+01, 5.160E+01, 6.939E+00
 3.401E+01, 5.418E+01, 6.307E+00
 3.501E+01, 5.574E+01, 5.234E+00
 3.601E+01, 5.749E+01, 4.381E+00
 3.700E+01, 5.881E+01, 4.023E+00
 3.801E+01, 6.044E+01, 3.913E+00
 3.900E+01, 6.174E+01, 4.404E+00
 4.001E+01, 6.298E+01, 4.794E+00
 4.101E+01, 6.503E+01, 4.114E+00
 4.201E+01, 6.675E+01, 5.048E+00
 4.301E+01, 6.826E+01, 4.701E+00
 4.400E+01, 7.012E+01, 5.781E+00
 4.501E+01, 7.296E+01, 7.307E+00
 4.601E+01, 7.520E+01, 7.111E+00
 4.700E+01, 7.694E+01, 5.824E+00
 4.801E+01, 7.894E+01, 6.322E+00
 4.900E+01, 8.069E+01, 4.716E+00
 5.001E+01, 8.273E+01, 4.728E+00
 5.101E+01, 8.386E+01, 3.627E+00
 5.201E+01, 8.541E+01, 3.327E+00
 5.301E+01, 8.657E+01, 3.257E+00
 5.401E+01, 8.824E+01, 4.262E+00
 5.500E+01, 8.969E+01, 4.850E+00
 5.600E+01, 9.101E+01, 4.453E+00
 5.700E+01, 9.211E+01, 4.337E+00
 5.801E+01, 9.333E+01, 3.801E+00
 5.900E+01, 9.503E+01, 4.267E+00
 6.000E+01, 9.694E+01, 4.302E+00
 6.101E+01, 9.805E+01, 4.062E+00
 6.200E+01, 9.870E+01, 3.875E+00
 6.301E+01, 1.010E+02, 4.206E+00
 6.400E+01, 1.022E+02, 4.409E+00
 6.500E+01, 1.037E+02, 4.157E+00
 6.600E+01, 1.049E+02, 3.679E+00
 6.700E+01, 1.062E+02, 4.000E+00
 6.801E+01, 1.073E+02, 3.435E+00
 6.900E+01, 1.088E+02, 3.263E+00
 7.001E+01, 1.100E+02, 2.992E+00
 7.101E+01, 1.113E+02, 2.757E+00
 7.201E+01, 1.126E+02, 3.368E+00
 7.301E+01, 1.133E+02, 3.439E+00
 7.401E+01, 1.149E+02, 3.258E+00
 7.501E+01, 1.159E+02, 3.448E+00
 7.601E+01, 1.168E+02, 3.315E+00
 7.700E+01, 1.178E+02, 3.826E+00
 7.801E+01, 1.196E+02, 3.264E+00
 7.901E+01, 1.211E+02, 3.710E+00
 8.000E+01, 1.222E+02, 3.551E+00
 8.100E+01, 1.235E+02, 4.069E+00
 8.201E+01, 1.249E+02, 3.451E+00
 8.301E+01, 1.264E+02, 3.532E+00
 8.401E+01, 1.274E+02, 4.014E+00
 8.500E+01, 1.290E+02, 3.972E+00
 8.600E+01, 1.299E+02, 3.476E+00
 8.701E+01, 1.311E+02, 3.041E+00
 8.800E+01, 1.322E+02, 2.941E+00
 8.900E+01, 1.329E+02, 2.682E+00
 9.000E+01, 1.347E+02, 3.153E+00
 9.101E+01, 1.366E+02, 4.154E+00
 9.201E+01, 1.377E+02, 4.133E+00
 9.300E+01, 1.387E+02, 3.870E+00
 9.401E+01, 1.399E+02, 3.996E+00
 9.500E+01, 1.417E+02, 3.723E+00
 9.601E+01, 1.435E+02, 3.823E+00
 9.701E+01, 1.442E+02, 3.923E+00
 9.801E+01, 1.456E+02, 3.969E+00
 9.900E+01, 1.473E+02, 4.112E+00
 1.000E+02, 1.481E+02, 3.532E+00
 1.010E+02, 1.492E+02, 3.079E+00
 1.020E+02, 1.504E+02, 2.928E+00
 1.030E+02, 1.525E+02, 3.786E+00
 1.040E+02, 1.539E+02, 4.017E+00
 1.050E+02, 1.558E+02, 3.929E+00
 1.060E+02, 1.568E+02, 3.216E+00
 1.070E+02, 1.578E+02, 2.551E+00
 1.080E+02, 1.591E+02, 2.729E+00
 1.090E+02, 1.599E+02, 3.195E+00
 1.100E+02, 1.618E+02, 3.531E+00
 1.110E+02, 1.636E+02, 3.400E+00
 1.120E+02, 1.651E+02, 4.123E+00
 1.130E+02, 1.663E+02, 3.904E+00
 1.140E+02, 1.681E+02, 4.243E+00
 1.150E+02, 1.693E+02, 3.591E+00
 1.160E+02, 1.709E+02, 4.241E+00
 1.170E+02, 1.735E+02, 4.596E+00
 1.180E+02, 1.754E+02, 5.416E+00
 1.190E+02, 1.776E+02, 4.577E+00
 1.200E+02, 1.792E+02, 3.608E+00
 1.210E+02, 1.800E+02, 3.941E+00
 1.220E+02, 1.822E+02, 4.610E+00
 1.230E+02, 1.842E+02, 4.386E+00
 1.240E+02, 1.862E+02, 4.813E+00
 1.250E+02, 1.877E+02, 4.619E+00
 1.260E+02, 1.882E+02, 3.594E+00
 1.270E+02, 1.917E+02, 4.375E+00
 1.280E+02, 1.929E+02, 6.303E+00
 1.290E+02, 1.953E+02, 6.225E+00
 1.300E+02, 1.984E+02, 9.277E+00
 1.310E+02, 2.002E+02, 8.226E+00
 1.320E+02, 1.997E+02, 6.490E+00
 1.330E+02, 1.995E+02, 2.231E-01
 1.340E+02, 1.997E+02, 0.000E+00
 1.350E+02, 1.998E+02, 0.000E+00
 1.360E+02, 1.992E+02, 0.000E+00
 1.370E+02, 1.997E+02, 0.000E+00
 1.380E+02, 1.998E+02, 0.000E+00
 1.390E+02, 2.002E+02, 0.000E+00
 1.400E+02, 2.002E+02, 0.000E+00
 1.410E+02, 2.002E+02, 0.000E+00
 1.420E+02, 2.002E+02, 0.000E+00
 1.430E+02, 2.002E+02, 0.000E+00
 1.440E+02, 2.001E+02, 0.000E+00
 1.450E+02, 1.998E+02, 0.000E+00
 1.460E+02, 2.003E+02, 0.000E+00
 1.470E+02, 2.003E+02, 0.000E+00
 1.480E+02, 2.004E+02, 0.000E+00
 1.490E+02, 2.008E+02, 0.000E+00
 1.500E+02, 2.008E+02, 0.000E+00
 1.510E+02, 2.008E+02, 0.000E+00
 1.520E+02, 2.005E+02, 0.000E+00
