s,m,m
Time,"x","D"
 0.000E+00,-9.500E+00, 0.000E+00
 1.006E+00, 6.125E+00, 1.245E-01
 2.012E+00,-5.000E-01, 2.127E+00
 3.018E+00,-5.000E-01, 3.623E+00
 4.024E+00,-1.250E-01, 3.996E+00
 5.030E+00, 5.000E-01, 3.996E+00
 6.036E+00, 5.000E-01, 3.996E+00
 7.042E+00, 5.000E-01, 4.121E+00
 8.048E+00, 1.375E+00, 4.494E+00
 9.002E+00, 1.854E+00, 2.496E+00
 1.002E+01, 2.500E+00, 2.115E+00
 1.101E+01, 2.993E+00, 2.004E+00
 1.208E+01, 3.829E+00, 2.004E+00
 1.302E+01, 4.830E+00, 1.755E+00
 1.403E+01, 5.808E+00, 9.960E-01
 1.504E+01, 4.654E+00, 9.960E-01
 1.606E+01, 4.346E+00, 9.960E-01
 1.707E+01, 3.500E+00, 9.960E-01
 1.800E+01, 3.500E+00, 2.490E-01
 1.901E+01, 3.500E+00, 0.000E+00
 2.006E+01, 3.500E+00, 0.000E+00
 2.103E+01, 3.500E+00, 0.000E+00
 2.203E+01, 3.500E+00, 0.000E+00
 2.307E+01, 3.500E+00, 0.000E+00
 2.406E+01, 3.500E+00, 0.000E+00
 2.505E+01, 3.500E+00, 0.000E+00
 2.604E+01, 3.500E+00, 0.000E+00
 2.701E+01, 3.500E+00, 0.000E+00
 2.802E+01, 3.500E+00, 0.000E+00
 2.908E+01, 3.500E+00, 0.000E+00
 3.005E+01, 3.500E+00, 0.000E+00
 3.103E+01, 3.500E+00, 0.000E+00
 3.206E+01, 3.500E+00, 0.000E+00
 3.304E+01, 3.500E+00, 0.000E+00
 3.405E+01, 3.500E+00, 0.000E+00
 3.506E+01, 3.500E+00, 0.000E+00
 3.600E+01, 3.500E+00, 0.000E+00
 3.703E+01, 3.500E+00, 0.000E+00
 3.806E+01, 1.775E+01, 0.000E+00
 3.900E+01, 3.050E+01, 0.000E+00
 4.003E+01, 3.175E+01, 0.000E+00
 4.106E+01, 3.192E+01, 0.000E+00
 4.209E+01, 3.150E+01, 0.000E+00
 4.303E+01, 3.586E+01, 0.000E+00
 4.406E+01, 5.550E+01, 0.000E+00
 4.508E+01, 5.650E+01, 0.000E+00
 4.603E+01, 5.750E+01, 0.000E+00
 4.706E+01, 5.930E+01, 0.000E+00
 4.800E+01, 6.650E+01, 0.000E+00
 4.904E+01, 6.714E+01, 0.000E+00
 5.008E+01, 6.777E+01, 0.000E+00
 5.102E+01, 6.850E+01, 0.000E+00
 5.206E+01, 6.050E+01, 0.000E+00
 5.309E+01, 5.823E+01, 0.000E+00
 5.403E+01, 5.910E+01, 0.000E+00
 5.507E+01, 5.968E+01, 0.000E+00
 5.601E+01, 5.850E+01, 0.000E+00
 5.705E+01, 5.850E+01, 0.000E+00
 5.809E+01, 5.932E+01, 0.000E+00
 5.903E+01, 5.950E+01, 0.000E+00
 6.006E+01, 5.968E+01, 0.000E+00
 6.101E+01, 6.100E+01, 0.000E+00
 6.204E+01, 6.314E+01, 0.000E+00
 6.308E+01, 6.832E+01, 0.000E+00
 6.402E+01, 7.000E+01, 0.000E+00
 6.506E+01, 7.014E+01, 0.000E+00
 6.609E+01, 6.095E+01, 0.000E+00
 6.704E+01, 6.230E+01, 0.000E+00
 6.807E+01, 6.405E+01, 0.000E+00
 6.901E+01, 6.830E+01, 0.000E+00
 7.005E+01, 7.214E+01, 0.000E+00
 7.109E+01, 7.250E+01, 0.000E+00
 7.203E+01, 7.290E+01, 0.000E+00
 7.307E+01, 7.214E+01, 0.000E+00
 7.401E+01, 7.280E+01, 0.000E+00
 7.504E+01, 7.386E+01, 0.000E+00
 7.603E+01, 7.538E+01, 0.000E+00
 7.705E+01, 7.475E+01, 0.000E+00
 7.806E+01, 7.117E+01, 0.000E+00
 7.907E+01, 7.333E+01, 0.000E+00
 8.000E+01, 7.468E+01, 0.000E+00
 8.102E+01, 7.395E+01, 0.000E+00
 8.205E+01, 7.450E+01, 0.000E+00
 8.307E+01, 7.486E+01, 0.000E+00
 8.409E+01, 7.550E+01, 0.000E+00
 8.502E+01, 7.620E+01, 0.000E+00
 8.604E+01, 7.705E+01, 0.000E+00
 8.706E+01, 6.950E+01, 0.000E+00
 8.809E+01, 6.577E+01, 0.000E+00
 8.901E+01, 7.750E+01, 0.000E+00
 9.004E+01, 9.623E+01, 0.000E+00
 9.106E+01, 9.005E+01, 0.000E+00
 9.208E+01, 7.550E+01, 0.000E+00
 9.301E+01, 7.580E+01, 0.000E+00
 9.403E+01, 7.650E+01, 0.000E+00
 9.505E+01, 7.650E+01, 0.000E+00
 9.608E+01, 7.768E+01, 0.000E+00
 9.700E+01, 7.900E+01, 0.000E+00
 9.803E+01, 7.950E+01, 0.000E+00
 9.905E+01, 8.005E+01, 0.000E+00
 1.001E+02, 7.259E+01, 0.000E+00
 1.011E+02, 6.750E+01, 0.000E+00
 1.020E+02, 6.830E+01, 0.000E+00
 1.030E+02, 7.505E+01, 0.000E+00
 1.041E+02, 7.832E+01, 0.000E+00
 1.051E+02, 7.941E+01, 0.000E+00
 1.060E+02, 7.990E+01, 0.000E+00
 1.070E+02, 8.095E+01, 0.000E+00
 1.081E+02, 8.059E+01, 0.000E+00
 1.091E+02, 8.150E+01, 0.000E+00
 1.100E+02, 8.150E+01, 0.000E+00
 1.110E+02, 8.150E+01, 0.000E+00
 1.121E+02, 8.223E+01, 0.000E+00
 1.131E+02, 6.777E+01, 0.000E+00
 1.140E+02, 1.500E+00, 0.000E+00
 1.150E+02, 1.500E+00, 0.000E+00
 1.161E+02, 1.500E+00, 0.000E+00
 1.171E+02, 1.500E+00, 0.000E+00
 1.180E+02, 1.500E+00, 0.000E+00
 1.190E+02, 1.500E+00, 0.000E+00
 1.200E+02, 1.500E+00, 0.000E+00
