s,m,m
Time,x,D
 0.000E+00,-9.750E+00, 0.000E+00
 1.010E+00,-3.813E+00, 6.233E-01
 2.020E+00,-2.500E-01, 2.504E+00
 3.055E+00, 5.981E-03, 2.386E+00
 4.033E+00, 1.651E-01, 2.675E+00
 5.018E+00,-1.410E-01, 3.984E+00
 6.020E+00, 9.498E-02, 4.960E+00
 7.014E+00, 1.810E+00, 5.951E+00
 8.010E+00, 3.665E+00, 4.340E+00
 9.009E+00, 5.507E+00, 3.201E+00
 1.002E+01, 7.345E+00, 3.583E+00
 1.102E+01, 9.435E+00, 2.732E+00
 1.201E+01, 1.105E+01, 2.595E+00
 1.300E+01, 1.265E+01, 2.870E+00
 1.401E+01, 1.447E+01, 3.084E+00
 1.502E+01, 1.661E+01, 2.637E+00
 1.602E+01, 1.814E+01, 2.508E+00
 1.702E+01, 1.961E+01, 2.704E+00
 1.800E+01, 2.111E+01, 3.301E+00
 1.901E+01, 2.306E+01, 2.960E+00
 2.001E+01, 2.521E+01, 2.990E+00
 2.101E+01, 2.675E+01, 2.864E+00
 2.201E+01, 2.867E+01, 2.870E+00
 2.301E+01, 3.061E+01, 2.664E+00
 2.401E+01, 3.202E+01, 2.489E+00
 2.501E+01, 3.363E+01, 2.459E+00
 2.601E+01, 3.523E+01, 2.519E+00
 2.702E+01, 3.684E+01, 2.795E+00
 2.801E+01, 3.873E+01, 3.224E+00
 2.901E+01, 4.022E+01, 3.264E+00
 3.002E+01, 4.229E+01, 3.010E+00
 3.101E+01, 4.366E+01, 2.889E+00
 3.202E+01, 4.539E+01, 2.989E+00
 3.302E+01, 4.732E+01, 2.842E+00
 3.400E+01, 4.861E+01, 2.950E+00
 3.502E+01, 5.012E+01, 2.766E+00
 3.601E+01, 5.152E+01, 2.719E+00
 3.701E+01, 5.300E+01, 2.833E+00
 3.801E+01, 5.488E+01, 2.526E+00
 3.901E+01, 5.664E+01, 2.814E+00
 4.001E+01, 5.832E+01, 2.823E+00
 4.101E+01, 5.992E+01, 2.386E+00
 4.201E+01, 6.160E+01, 2.261E+00
 4.302E+01, 6.289E+01, 2.479E+00
 4.401E+01, 6.458E+01, 3.265E+00
 4.500E+01, 6.629E+01, 2.816E+00
 4.601E+01, 6.832E+01, 3.038E+00
 4.701E+01, 6.966E+01, 2.482E+00
 4.802E+01, 7.135E+01, 2.509E+00
 4.900E+01, 7.296E+01, 2.383E+00
 5.002E+01, 7.446E+01, 1.902E+00
 5.100E+01, 7.540E+01, 2.753E+00
 5.200E+01, 7.694E+01, 3.007E+00
 5.301E+01, 7.856E+01, 3.036E+00
 5.401E+01, 8.023E+01, 2.730E+00
 5.500E+01, 8.231E+01, 2.718E+00
 5.602E+01, 8.379E+01, 2.829E+00
 5.701E+01, 8.548E+01, 2.684E+00
 5.802E+01, 8.705E+01, 2.529E+00
 5.901E+01, 8.839E+01, 2.758E+00
 6.000E+01, 9.027E+01, 2.875E+00
 6.102E+01, 9.204E+01, 2.538E+00
 6.201E+01, 9.381E+01, 2.839E+00
 6.300E+01, 9.555E+01, 3.087E+00
 6.401E+01, 9.687E+01, 3.355E+00
 6.501E+01, 9.838E+01, 2.311E+00
 6.601E+01, 9.932E+01, 2.960E+00
 6.702E+01, 9.984E+01, 1.418E+00
 6.801E+01, 1.004E+02, 0.000E+00
 6.902E+01, 1.017E+02, 0.000E+00
 7.000E+01, 1.041E+02, 0.000E+00
 7.101E+01, 1.086E+02, 0.000E+00
 7.200E+01, 1.070E+02, 0.000E+00
 7.302E+01, 1.071E+02, 0.000E+00
 7.404E+01, 1.059E+02, 0.000E+00
