s,m,m
Time,"x","D"
 0.000E+00,-2.000E+01, 0.000E+00
 1.202E+00,-2.000E+01, 0.000E+00
 2.524E+00,-2.000E+01, 0.000E+00
 3.978E+00,-2.000E+01, 0.000E+00
 5.432E+00,-2.000E+01, 0.000E+00
 6.886E+00,-2.000E+01, 0.000E+00
 8.340E+00,-2.000E+01, 0.000E+00
 9.794E+00,-2.000E+01, 0.000E+00
 1.125E+01, 5.000E+00, 1.001E+01
 1.254E+01, 5.000E+00, 1.001E+01
 1.382E+01, 5.000E+00, 1.001E+01
 1.511E+01, 5.000E+00, 1.001E+01
 1.640E+01, 5.000E+00, 1.001E+01
 1.755E+01, 5.000E+00, 1.001E+01
 1.870E+01, 5.000E+00, 1.001E+01
 1.986E+01, 5.000E+00, 1.001E+01
 2.101E+01, 5.000E+00, 2.002E+01
 2.216E+01, 1.500E+01, 2.002E+01
 2.332E+01, 1.500E+01, 2.002E+01
 2.447E+01, 1.500E+01, 2.002E+01
 2.563E+01, 1.500E+01, 2.002E+01
 2.678E+01, 1.500E+01, 2.002E+01
 2.793E+01, 1.500E+01, 2.002E+01
 2.909E+01, 1.500E+01, 2.002E+01
 3.024E+01, 1.500E+01, 3.000E+01
 3.139E+01, 1.500E+01, 3.000E+01
 3.255E+01, 1.500E+01, 3.000E+01
 3.370E+01, 1.500E+01, 3.000E+01
 3.486E+01, 1.500E+01, 3.000E+01
 3.601E+01, 1.500E+01, 3.000E+01
 3.716E+01, 1.500E+01, 3.000E+01
 3.832E+01, 1.500E+01, 3.000E+01
 3.947E+01, 1.500E+01, 3.000E+01
 4.049E+01, 1.500E+01, 1.999E+01
 4.151E+01, 1.500E+01, 3.000E+01
 4.252E+01, 1.500E+01, 3.000E+01
 4.354E+01, 1.500E+01, 3.000E+01
 4.445E+01, 1.500E+01, 3.000E+01
 4.535E+01, 2.500E+01, 3.000E+01
 4.626E+01, 2.500E+01, 3.000E+01
 4.716E+01, 2.500E+01, 1.999E+01
 4.807E+01, 2.500E+01, 1.999E+01
 4.897E+01, 2.500E+01, 1.999E+01
 4.988E+01, 2.500E+01, 1.999E+01
 5.078E+01, 2.500E+01, 3.000E+01
 5.169E+01, 4.500E+01, 3.000E+01
 5.259E+01, 4.500E+01, 3.000E+01
 5.350E+01, 4.500E+01, 3.000E+01
 5.440E+01, 4.500E+01, 3.000E+01
 5.530E+01, 4.500E+01, 3.000E+01
 5.621E+01, 4.500E+01, 3.000E+01
 5.711E+01, 4.500E+01, 2.002E+01
 5.802E+01, 4.500E+01, 2.002E+01
 5.892E+01, 4.500E+01, 2.002E+01
 5.983E+01, 4.500E+01, 3.000E+01
 6.073E+01, 4.500E+01, 3.000E+01
 6.164E+01, 5.500E+01, 3.000E+01
 6.254E+01, 5.500E+01, 3.000E+01
 6.345E+01, 5.500E+01, 3.000E+01
 6.435E+01, 5.500E+01, 3.000E+01
 6.526E+01, 5.500E+01, 3.000E+01
 6.616E+01, 5.500E+01, 3.000E+01
 6.707E+01, 5.500E+01, 3.000E+01
 6.797E+01, 5.500E+01, 4.001E+01
 6.888E+01, 5.500E+01, 4.001E+01
 6.978E+01, 5.500E+01, 4.001E+01
 7.069E+01, 6.500E+01, 3.000E+01
 7.159E+01, 6.500E+01, 3.000E+01
 7.250E+01, 6.500E+01, 3.000E+01
 7.340E+01, 6.500E+01, 3.000E+01
 7.431E+01, 6.500E+01, 3.000E+01
 7.521E+01, 6.500E+01, 3.000E+01
 7.612E+01, 6.500E+01, 3.000E+01
 7.702E+01, 6.500E+01, 4.001E+01
 7.779E+01, 6.500E+01, 3.000E+01
 7.856E+01, 6.500E+01, 3.000E+01
 7.933E+01, 6.500E+01, 3.000E+01
 8.010E+01, 6.500E+01, 3.000E+01
 8.087E+01, 6.500E+01, 3.000E+01
 8.164E+01, 6.500E+01, 3.000E+01
 8.241E+01, 6.500E+01, 3.000E+01
 8.318E+01, 6.500E+01, 3.000E+01
 8.395E+01, 6.500E+01, 3.000E+01
 8.472E+01, 6.500E+01, 3.000E+01
 8.549E+01, 6.500E+01, 3.000E+01
 8.626E+01, 6.500E+01, 3.000E+01
 8.703E+01, 6.500E+01, 3.000E+01
 8.780E+01, 6.500E+01, 3.000E+01
 8.857E+01, 6.500E+01, 3.000E+01
 8.934E+01, 6.500E+01, 3.000E+01
 9.011E+01, 6.500E+01, 3.000E+01
 9.165E+01, 7.500E+01, 3.000E+01
 9.242E+01, 7.500E+01, 3.000E+01
 9.320E+01, 7.500E+01, 1.999E+01
 9.474E+01, 7.500E+01, 2.500E+01
 9.551E+01, 7.500E+01, 3.000E+01
 9.628E+01, 9.500E+01, 3.000E+01
 9.705E+01, 9.500E+01, 3.000E+01
 9.859E+01, 9.500E+01, 3.000E+01
 9.936E+01, 9.500E+01, 3.000E+01
 1.001E+02, 9.500E+01, 3.000E+01
 1.017E+02, 9.500E+01, 3.500E+01
 1.024E+02, 9.500E+01, 4.001E+01
 1.032E+02, 9.500E+01, 4.001E+01
 1.047E+02, 1.050E+02, 3.000E+01
 1.055E+02, 1.050E+02, 3.000E+01
 1.063E+02, 1.050E+02, 3.998E+01
 1.071E+02, 1.050E+02, 3.998E+01
 1.086E+02, 1.050E+02, 3.998E+01
 1.094E+02, 1.050E+02, 3.998E+01
 1.101E+02, 1.050E+02, 3.998E+01
 1.117E+02, 1.050E+02, 3.998E+01
 1.124E+02, 1.050E+02, 3.000E+01
 1.132E+02, 1.050E+02, 3.000E+01
 1.148E+02, 1.050E+02, 3.000E+01
 1.155E+02, 1.050E+02, 3.000E+01
 1.163E+02, 1.050E+02, 3.000E+01
 1.171E+02, 1.050E+02, 3.000E+01
 1.186E+02, 1.050E+02, 3.500E+01
 1.194E+02, 1.050E+02, 4.001E+01
 1.201E+02, 1.050E+02, 3.000E+01
 1.217E+02, 1.050E+02, 3.000E+01
 1.225E+02, 1.050E+02, 3.000E+01
 1.232E+02, 1.050E+02, 3.000E+01
 1.248E+02, 1.150E+02, 3.000E+01
 1.255E+02, 1.150E+02, 3.000E+01
 1.263E+02, 1.150E+02, 1.999E+01
 1.271E+02, 1.150E+02, 3.000E+01
 1.286E+02, 1.250E+02, 3.000E+01
 1.294E+02, 1.350E+02, 3.000E+01
 1.302E+02, 1.350E+02, 3.000E+01
