s,m,m
Time,"x","D"
 0.000E+00,-2.000E+01, 0.000E+00
 1.128E+00,-2.000E+01, 0.000E+00
 2.257E+00,-1.469E+01, 6.240E-01
 3.103E+00, 1.250E+00, 4.176E+00
 4.231E+00, 1.250E+00, 8.136E+00
 5.078E+00, 1.250E+00, 1.001E+01
 6.206E+00, 1.250E+00, 1.126E+01
 7.052E+00, 1.250E+00, 1.417E+01
 8.181E+00, 1.875E+00, 1.500E+01
 9.027E+00, 3.750E+00, 1.583E+01
 1.016E+01, 3.750E+00, 1.750E+01
 1.100E+01, 3.750E+00, 2.002E+01
 1.213E+01, 3.750E+00, 1.939E+01
 1.326E+01, 3.750E+00, 2.251E+01
 1.401E+01, 8.750E+00, 2.168E+01
 1.502E+01, 8.750E+00, 2.189E+01
 1.603E+01, 8.750E+00, 2.314E+01
 1.706E+01, 8.750E+00, 2.495E+01
 1.808E+01, 8.750E+00, 2.294E+01
 1.904E+01, 8.750E+00, 2.501E+01
 2.000E+01, 8.750E+00, 2.501E+01
 2.115E+01, 8.750E+00, 2.459E+01
 2.211E+01, 8.750E+00, 2.451E+01
 2.308E+01, 8.750E+00, 2.630E+01
 2.411E+01, 8.750E+00, 2.071E+01
 2.515E+01, 1.054E+01, 2.498E+01
 2.604E+01, 2.125E+01, 2.457E+01
 2.701E+01, 2.125E+01, 2.281E+01
 2.802E+01, 2.156E+01, 2.656E+01
 2.910E+01, 2.375E+01, 2.783E+01
 3.000E+01, 2.375E+01, 2.415E+01
 3.109E+01, 2.375E+01, 2.712E+01
 3.204E+01, 2.375E+01, 3.000E+01
 3.308E+01, 2.691E+01, 2.501E+01
 3.400E+01, 2.875E+01, 3.071E+01
 3.505E+01, 2.875E+01, 3.125E+01
 3.610E+01, 3.125E+01, 2.688E+01
 3.708E+01, 3.125E+01, 3.163E+01
 3.812E+01, 3.125E+01, 3.189E+01
 3.902E+01, 3.125E+01, 2.715E+01
 4.007E+01, 3.125E+01, 2.955E+01
 4.101E+01, 3.125E+01, 3.253E+01
 4.206E+01, 3.125E+01, 2.475E+01
 4.310E+01, 3.125E+01, 3.048E+01
 4.403E+01, 3.125E+01, 2.843E+01
 4.507E+01, 3.125E+01, 2.500E+01
 4.600E+01, 3.125E+01, 3.031E+01
 4.705E+01, 3.125E+01, 3.028E+01
 4.809E+01, 3.125E+01, 2.223E+01
 4.902E+01, 3.125E+01, 2.782E+01
 5.007E+01, 3.375E+01, 2.695E+01
 5.111E+01, 3.375E+01, 2.196E+01
 5.204E+01, 3.406E+01, 2.876E+01
 5.301E+01, 3.625E+01, 2.929E+01
 5.404E+01, 3.625E+01, 2.374E+01
 5.506E+01, 4.125E+01, 2.561E+01
 5.608E+01, 4.625E+01, 2.906E+01
 5.710E+01, 4.625E+01, 3.406E+01
 5.812E+01, 4.625E+01, 2.468E+01
 5.902E+01, 4.625E+01, 2.786E+01
 6.004E+01, 5.125E+01, 3.156E+01
 6.108E+01, 5.625E+01, 2.568E+01
 6.207E+01, 5.625E+01, 3.071E+01
 6.305E+01, 5.625E+01, 2.501E+01
 6.403E+01, 5.625E+01, 2.465E+01
 6.502E+01, 5.625E+01, 2.822E+01
 6.600E+01, 5.625E+01, 2.358E+01
 6.712E+01, 5.625E+01, 2.563E+01
 6.811E+01, 5.625E+01, 2.678E+01
 6.909E+01, 5.625E+01, 2.320E+01
 7.007E+01, 5.625E+01, 2.820E+01
 7.106E+01, 5.625E+01, 2.536E+01
 7.204E+01, 6.161E+01, 2.499E+01
 7.309E+01, 6.875E+01, 2.714E+01
 7.413E+01, 6.942E+01, 2.710E+01
 7.510E+01, 7.125E+01, 2.608E+01
 7.607E+01, 7.125E+01, 2.857E+01
 7.704E+01, 7.125E+01, 2.465E+01
 7.801E+01, 7.339E+01, 2.429E+01
 7.912E+01, 7.375E+01, 2.813E+01
 8.009E+01, 7.375E+01, 2.536E+01
 8.106E+01, 7.375E+01, 2.750E+01
 8.203E+01, 7.375E+01, 3.144E+01
 8.302E+01, 7.375E+01, 2.410E+01
 8.403E+01, 7.375E+01, 2.851E+01
 8.508E+01, 7.375E+01, 3.218E+01
 8.612E+01, 7.375E+01, 2.562E+01
 8.703E+01, 7.375E+01, 2.929E+01
 8.808E+01, 7.375E+01, 3.062E+01
 8.912E+01, 7.375E+01, 2.626E+01
 9.003E+01, 7.375E+01, 3.107E+01
 9.110E+01, 7.851E+01, 2.680E+01
 9.210E+01, 8.125E+01, 2.608E+01
 9.308E+01, 8.125E+01, 2.992E+01
 9.409E+01, 8.125E+01, 2.688E+01
 9.511E+01, 8.125E+01, 2.782E+01
 9.600E+01, 8.125E+01, 3.072E+01
 9.702E+01, 8.156E+01, 2.405E+01
 9.804E+01, 8.375E+01, 2.749E+01
 9.906E+01, 8.375E+01, 3.000E+01
 1.001E+02, 8.531E+01, 2.436E+01
 1.011E+02, 8.625E+01, 2.626E+01
 1.021E+02, 8.625E+01, 2.844E+01
 1.031E+02, 9.532E+01, 2.501E+01
 1.040E+02, 1.012E+02, 2.707E+01
 1.050E+02, 1.028E+02, 2.906E+01
 1.061E+02, 1.038E+02, 2.445E+01
 1.071E+02, 1.038E+02, 2.756E+01
 1.081E+02, 1.038E+02, 2.964E+01
 1.090E+02, 1.074E+02, 2.538E+01
 1.101E+02, 1.087E+02, 2.904E+01
 1.110E+02, 1.087E+02, 2.786E+01
 1.120E+02, 1.087E+02, 2.655E+01
 1.131E+02, 1.087E+02, 2.906E+01
 1.141E+02, 1.087E+02, 2.655E+01
 1.150E+02, 1.087E+02, 2.643E+01
 1.161E+02, 1.087E+02, 3.000E+01
 1.171E+02, 1.087E+02, 2.750E+01
 1.180E+02, 1.087E+02, 2.572E+01
 1.191E+02, 1.087E+02, 3.000E+01
 1.201E+02, 1.087E+02, 2.906E+01
 1.210E+02, 1.087E+02, 2.536E+01
 1.221E+02, 1.087E+02, 2.875E+01
 1.230E+02, 1.160E+02, 2.788E+01
 1.240E+02, 1.187E+02, 3.158E+01
 1.251E+02, 1.187E+02, 3.250E+01
 1.261E+02, 1.187E+02, 2.843E+01
 1.271E+02, 1.187E+02, 2.969E+01
 1.281E+02, 1.187E+02, 2.811E+01
 1.290E+02, 1.188E+02, 2.715E+01
 1.301E+02, 1.188E+02, 3.062E+01
