s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9979974E+001, 1.9979969E+001, 1.9979954E+001, 1.9999977E+001, 1.9999973E+001, 1.9999973E+001, 1.9999972E+001, 1.9999966E+001, 1.9999968E+001, 1.9999955E+001, 1.9999949E+001, 1.9999958E+001
 1.0022925E+001, 1.9987947E+001, 1.9961260E+001, 1.9959213E+001, 2.0003120E+001, 2.0004939E+001, 2.0005806E+001, 1.9997712E+001, 1.9997472E+001, 1.9998095E+001, 1.9997542E+001, 1.9997121E+001, 1.9997399E+001
 2.0019671E+001, 2.1004190E+001, 1.9880265E+001, 1.9886406E+001, 2.0059962E+001, 2.0094465E+001, 2.0769373E+001, 1.9938210E+001, 1.9938562E+001, 1.9937510E+001, 1.9942617E+001, 1.9946678E+001, 1.9938107E+001
 3.0019973E+001, 2.7555804E+001, 1.9830629E+001, 1.9823922E+001, 2.2966854E+001, 2.3784054E+001, 2.3832336E+001, 1.9892855E+001, 1.9869202E+001, 1.9863852E+001, 1.9884782E+001, 1.9868953E+001, 1.9873952E+001
 4.0004402E+001, 3.9762310E+001, 2.4903357E+001, 1.9780656E+001, 3.4556194E+001, 3.7784430E+001, 3.2376969E+001, 2.0747509E+001, 2.0348453E+001, 2.0055947E+001, 1.9820946E+001, 1.9813698E+001, 1.9831945E+001
 5.0011333E+001, 4.6229214E+001, 3.9165367E+001, 1.9749965E+001, 4.2456387E+001, 4.5315159E+001, 4.0809997E+001, 3.5695754E+001, 3.3642275E+001, 3.1472570E+001, 1.9722949E+001, 1.9784791E+001, 1.9814450E+001
 6.0018622E+001, 4.8759180E+001, 4.4824136E+001, 3.4426895E+001, 4.7107511E+001, 4.9101207E+001, 4.3980608E+001, 4.3415385E+001, 4.2802490E+001, 4.1546208E+001, 2.6274502E+001, 2.5664190E+001, 2.4013430E+001
 7.0010491E+001, 5.4065931E+001, 4.9451850E+001, 4.2821990E+001, 5.1329298E+001, 5.5265227E+001, 4.8084736E+001, 4.7562771E+001, 4.7651697E+001, 4.5062980E+001, 4.0607323E+001, 3.9884803E+001, 3.7860180E+001
 8.0013027E+001, 5.5885639E+001, 5.3235707E+001, 4.7798349E+001, 5.4422958E+001, 5.9989316E+001, 5.2408777E+001, 5.1848934E+001, 5.2088686E+001, 4.9599578E+001, 4.5674621E+001, 4.6079465E+001, 4.4010568E+001
 9.0020107E+001, 5.8583000E+001, 5.4885221E+001, 5.0745145E+001, 5.7477141E+001, 5.9385989E+001, 5.5424664E+001, 5.4468986E+001, 5.5637467E+001, 5.2181034E+001, 4.9891686E+001, 4.9770891E+001, 4.8300770E+001
 1.0000703E+002, 6.0831614E+001, 5.6637096E+001, 5.1999458E+001, 6.0160579E+001, 6.0098235E+001, 5.8372822E+001, 5.6549402E+001, 5.7250542E+001, 5.4497382E+001, 5.2227427E+001, 5.1937852E+001, 5.0088297E+001
 1.1000461E+002, 6.5889176E+001, 5.8952983E+001, 5.3398084E+001, 6.3790330E+001, 6.3980199E+001, 6.0755008E+001, 5.7696593E+001, 5.9027530E+001, 5.6616209E+001, 5.3418178E+001, 5.3621312E+001, 5.1809211E+001
 1.2000025E+002, 7.5993449E+001, 6.7543040E+001, 5.6258628E+001, 7.0671507E+001, 7.1706592E+001, 7.0132592E+001, 6.3360918E+001, 6.4362471E+001, 6.1232893E+001, 5.4648958E+001, 5.5289601E+001, 5.3922067E+001
 1.3000281E+002, 8.1964394E+001, 7.6788096E+001, 6.5058345E+001, 8.0984832E+001, 8.0341594E+001, 7.6759056E+001, 7.2299945E+001, 7.3173796E+001, 7.1564193E+001, 6.0580767E+001, 6.1197535E+001, 5.9535006E+001
 1.4000827E+002, 8.9143723E+001, 8.2960162E+001, 7.3758070E+001, 8.7874534E+001, 8.9314439E+001, 8.1416338E+001, 8.1368521E+001, 8.0112632E+001, 7.8493328E+001, 7.0178385E+001, 7.0348116E+001, 6.8913454E+001
