s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9979935E+001, 1.9979921E+001, 1.9979938E+001, 1.9999942E+001, 1.9999933E+001, 1.9999931E+001, 1.9999929E+001, 1.9999914E+001, 1.9999919E+001, 1.9999942E+001, 1.9999930E+001, 1.9999942E+001
 1.0023691E+001, 1.9985829E+001, 1.9962068E+001, 1.9959932E+001, 2.0002047E+001, 2.0003522E+001, 2.0004226E+001, 1.9997693E+001, 1.9997289E+001, 1.9998008E+001, 1.9997788E+001, 1.9997406E+001, 1.9997626E+001
 2.0010378E+001, 2.1043181E+001, 1.9878307E+001, 1.9877145E+001, 2.0041759E+001, 2.0091662E+001, 2.0640041E+001, 1.9939914E+001, 1.9937449E+001, 1.9938526E+001, 1.9937874E+001, 1.9941695E+001, 1.9937572E+001
 3.0002625E+001, 2.9062114E+001, 1.9839096E+001, 1.9829211E+001, 2.3005447E+001, 2.3014611E+001, 2.5116622E+001, 1.9892361E+001, 1.9878000E+001, 1.9874442E+001, 1.9883847E+001, 1.9859697E+001, 1.9883711E+001
 4.0002777E+001, 3.8754434E+001, 2.4510015E+001, 1.9790471E+001, 3.6403251E+001, 3.6636061E+001, 3.3631568E+001, 2.1174333E+001, 2.0122318E+001, 1.9981245E+001, 1.9819591E+001, 1.9798801E+001, 1.9841099E+001
 5.0010876E+001, 4.3991935E+001, 3.8393630E+001, 1.9812278E+001, 4.1005147E+001, 4.4761995E+001, 3.9265171E+001, 3.4904037E+001, 3.3204873E+001, 3.0210113E+001, 1.9800872E+001, 1.9819711E+001, 1.9847951E+001
 6.0011487E+001, 4.9271760E+001, 4.3821220E+001, 3.4432963E+001, 4.8392792E+001, 4.8260600E+001, 4.3829367E+001, 4.3236966E+001, 4.1593077E+001, 3.9746930E+001, 2.8046685E+001, 2.5908387E+001, 2.3752117E+001
 7.0007188E+001, 5.5717396E+001, 4.9277473E+001, 4.2408851E+001, 5.2098970E+001, 5.2747079E+001, 5.0724750E+001, 4.7502401E+001, 4.6763710E+001, 4.5043589E+001, 4.0677493E+001, 3.9108192E+001, 3.7250754E+001
 8.0002738E+001, 5.6111604E+001, 5.2920924E+001, 4.8033457E+001, 5.6498687E+001, 5.6699851E+001, 5.4782064E+001, 5.1098057E+001, 5.2001509E+001, 5.1574593E+001, 4.5650345E+001, 4.5739051E+001, 4.4465176E+001
 9.0004893E+001, 5.9592941E+001, 5.4652897E+001, 5.0491522E+001, 5.7217391E+001, 5.9027565E+001, 5.7561435E+001, 5.4155547E+001, 5.4137548E+001, 5.2365114E+001, 4.9606798E+001, 4.9965849E+001, 4.9822973E+001
 1.0001412E+002, 6.0926744E+001, 5.6277770E+001, 5.2085328E+001, 5.7548159E+001, 6.1291322E+001, 5.9089922E+001, 5.5328066E+001, 5.6364316E+001, 5.4299154E+001, 5.1918838E+001, 5.2404851E+001, 5.0450277E+001
 1.1001501E+002, 6.1143019E+001, 5.8025443E+001, 5.3323445E+001, 5.9193968E+001, 6.0725860E+001, 6.3042452E+001, 5.7471190E+001, 5.7104431E+001, 5.6498641E+001, 5.3803497E+001, 5.3572635E+001, 5.2047747E+001
 1.2000861E+002, 6.4795421E+001, 5.9527366E+001, 5.5146764E+001, 6.0316771E+001, 6.2596828E+001, 6.6078372E+001, 5.7586752E+001, 5.8014188E+001, 6.0165023E+001, 5.4056603E+001, 5.4858960E+001, 5.4422597E+001
 1.3001319E+002, 6.9303257E+001, 6.1979077E+001, 5.6410061E+001, 6.6946691E+001, 6.5766891E+001, 6.7164583E+001, 6.0282922E+001, 6.0886719E+001, 6.0511078E+001, 5.5026761E+001, 5.6300969E+001, 5.6194195E+001
 1.4000634E+002, 7.3694002E+001, 6.7817347E+001, 5.9482339E+001, 6.8514449E+001, 7.5557529E+001, 7.0215983E+001, 6.6617259E+001, 6.5810751E+001, 6.3238585E+001, 5.8288287E+001, 5.8248353E+001, 5.7272534E+001
 1.5001207E+002, 7.7940813E+001, 7.1965566E+001, 6.5792612E+001, 7.4124811E+001, 7.7309266E+001, 7.7324377E+001, 7.0522556E+001, 7.0578139E+001, 6.8033779E+001, 6.4275504E+001, 6.3898417E+001, 6.1644284E+001
 1.6000319E+002, 7.9693359E+001, 7.4820777E+001, 6.9232701E+001, 7.7953272E+001, 8.0251831E+001, 7.8537274E+001, 7.4453526E+001, 7.3636184E+001, 7.2596877E+001, 6.8383353E+001, 6.7762633E+001, 6.5729745E+001
 1.7000084E+002, 8.5922040E+001, 7.7941442E+001, 7.1278605E+001, 8.1657996E+001, 8.5825664E+001, 8.1969112E+001, 7.7818197E+001, 7.6927639E+001, 7.3411689E+001, 7.1262428E+001, 7.1200304E+001, 6.8971575E+001
 1.8001094E+002, 9.2913764E+001, 8.3958344E+001, 7.6201836E+001, 9.0382951E+001, 9.2169513E+001, 8.6525796E+001, 8.4334542E+001, 8.3233574E+001, 7.7287702E+001, 7.4764832E+001, 7.4912827E+001, 7.0704944E+001
 1.9000951E+002, 9.6561225E+001, 8.7547926E+001, 8.1839017E+001, 9.6637097E+001, 9.3676710E+001, 9.6531677E+001, 8.8249281E+001, 8.6588891E+001, 8.4539378E+001, 8.0743457E+001, 8.0013524E+001, 7.7144009E+001
 2.0000440E+002, 1.0295141E+002, 9.3094141E+001, 8.5361802E+001, 9.6427875E+001, 9.7696332E+001, 1.0425485E+002, 8.9909828E+001, 9.1255328E+001, 9.0183284E+001, 8.3994914E+001, 8.3729845E+001, 8.2271649E+001
 2.1001005E+002, 1.0451204E+002, 9.7351704E+001, 9.0468994E+001, 9.8709672E+001, 1.0499922E+002, 1.0774255E+002, 9.3620024E+001, 9.5922586E+001, 9.7744618E+001, 8.6275873E+001, 8.8100085E+001, 8.8937242E+001
 2.2001377E+002, 1.1210289E+002, 1.0177846E+002, 9.3381015E+001, 1.0664399E+002, 1.1144686E+002, 1.0909932E+002, 9.8477749E+001, 1.0007279E+002, 9.9494830E+001, 9.0339809E+001, 9.2926914E+001, 9.2216473E+001
 2.3000582E+002, 1.1962943E+002, 1.0667334E+002, 9.9548078E+001, 1.1513960E+002, 1.1475419E+002, 1.1458467E+002, 1.0521147E+002, 1.0449252E+002, 1.0492455E+002, 9.6115748E+001, 9.7436554E+001, 9.5846374E+001
 2.4001133E+002, 1.1905785E+002, 1.1220996E+002, 1.0343034E+002, 1.1837191E+002, 1.2089530E+002, 1.1565988E+002, 1.1114589E+002, 1.0897936E+002, 1.0885497E+002, 1.0153557E+002, 1.0065742E+002, 1.0178155E+002
 2.5000132E+002, 1.2300604E+002, 1.1598768E+002, 1.0779891E+002, 1.2290553E+002, 1.2254027E+002, 1.2188647E+002, 1.1389444E+002, 1.1586546E+002, 1.1418109E+002, 1.0659433E+002, 1.0614485E+002, 1.0550590E+002
 2.6001116E+002, 1.2561656E+002, 1.2199235E+002, 1.1144521E+002, 1.2824292E+002, 1.3002882E+002, 1.2309863E+002, 1.2008820E+002, 1.1842129E+002, 1.1622741E+002, 1.0977931E+002, 1.1015005E+002, 1.1040464E+002
 2.7000585E+002, 1.3252986E+002, 1.2315741E+002, 1.1466321E+002, 1.2498965E+002, 1.3625784E+002, 1.3091271E+002, 1.2240302E+002, 1.2352716E+002, 1.2011031E+002, 1.1497097E+002, 1.1355319E+002, 1.1223490E+002
 2.8000279E+002, 1.4164644E+002, 1.3206409E+002, 1.2048567E+002, 1.3182199E+002, 1.4869141E+002, 1.3343427E+002, 1.2567492E+002, 1.3052999E+002, 1.2417904E+002, 1.1844522E+002, 1.1841374E+002, 1.1660990E+002
 2.9000931E+002, 1.4252821E+002, 1.3458847E+002, 1.2532125E+002, 1.3981065E+002, 1.4616040E+002, 1.3646797E+002, 1.3348475E+002, 1.3564667E+002, 1.3263614E+002, 1.2391267E+002, 1.2456018E+002, 1.2324677E+002
 3.0001288E+002, 1.4707698E+002, 1.3807959E+002, 1.2723639E+002, 1.4557547E+002, 1.4501176E+002, 1.4608019E+002, 1.3647143E+002, 1.3702119E+002, 1.3562258E+002, 1.2787251E+002, 1.2639795E+002, 1.2513820E+002
 3.1000518E+002, 1.5133610E+002, 1.4202402E+002, 1.2992931E+002, 1.5415856E+002, 1.5201614E+002, 1.4357052E+002, 1.3970691E+002, 1.3840101E+002, 1.3757966E+002, 1.2897714E+002, 1.2905387E+002, 1.3015958E+002
 3.2001126E+002, 1.5653876E+002, 1.4489199E+002, 1.3376009E+002, 1.5170110E+002, 1.5735081E+002, 1.5152405E+002, 1.4379477E+002, 1.4318603E+002, 1.4026682E+002, 1.3197711E+002, 1.3240593E+002, 1.3208981E+002
