s,m,mu-m,C,m/s
Time,z,d,t,v
 0.0000000E+000, 1.4995000E+002, 5.5700000E+002, 2.4300000E+001, 2.3000000E+000
 1.0000000E+000, 1.4762589E+002, 5.5010129E+002, 1.0199442E+001, 2.3173970E+000
 2.0000000E+000, 1.4531332E+002, 5.4551025E+002, 8.2816648E+000, 2.3055983E+000
 3.0000000E+000, 1.4302193E+002, 5.4117111E+002, 7.9574425E+000, 2.2791550E+000
 4.0000000E+000, 1.4075066E+002, 5.3686392E+002, 7.9007023E+000, 2.2663778E+000
 5.0000000E+000, 1.3849017E+002, 5.3255064E+002, 7.8912027E+000, 2.2491579E+000
 6.0000000E+000, 1.3625232E+002, 5.2822957E+002, 7.8899658E+000, 2.2296335E+000
 7.0000000E+000, 1.3402992E+002, 5.2389756E+002, 7.8902095E+000, 2.2152359E+000
 8.0000000E+000, 1.3182762E+002, 5.1955326E+002, 7.8895571E+000, 2.1878318E+000
 8.9900000E+000, 1.2967018E+002, 5.1524263E+002, 7.8900862E+000, 2.1717956E+000
 9.9900000E+000, 1.2750387E+002, 5.1087580E+002, 7.8906131E+000, 2.1586131E+000
 1.0990000E+001, 1.2536158E+002, 5.0649864E+002, 7.8910821E+000, 2.1292563E+000
 1.1990000E+001, 1.2323620E+002, 5.0210899E+002, 7.8915922E+000, 2.1197786E+000
 1.2990000E+001, 1.2112545E+002, 4.9770742E+002, 7.8922381E+000, 2.1021058E+000
 1.3990000E+001, 1.1903139E+002, 4.9329320E+002, 7.8927604E+000, 2.0855615E+000
 1.4990000E+001, 1.1695495E+002, 4.8886618E+002, 7.8931894E+000, 2.0668424E+000
 1.5990000E+001, 1.1489747E+002, 4.8442734E+002, 7.8937315E+000, 2.0497693E+000
 1.6980000E+001, 1.1287560E+002, 4.8001819E+002, 7.8940985E+000, 2.0320105E+000
 1.7980000E+001, 1.1085549E+002, 4.7555259E+002, 7.8943376E+000, 2.0098110E+000
 1.8980000E+001, 1.0885593E+002, 4.7107177E+002, 7.8942917E+000, 1.9868034E+000
 1.9980000E+001, 1.0688032E+002, 4.6658221E+002, 7.8950083E+000, 1.9718763E+000
 2.0980000E+001, 1.0491065E+002, 4.6207147E+002, 7.8953771E+000, 1.9582381E+000
 2.1980000E+001, 1.0296852E+002, 4.5755161E+002, 7.8955997E+000, 1.9317638E+000
 2.2980000E+001, 1.0104250E+002, 4.5301586E+002, 7.8962609E+000, 1.9199390E+000
 2.3980000E+001, 9.9129993E+001, 4.4846280E+002, 7.8965371E+000, 1.9015784E+000
 2.4970000E+001, 9.7261347E+001, 4.4394231E+002, 7.8964508E+000, 1.8753540E+000
 2.5970000E+001, 9.5395316E+001, 4.3936066E+002, 7.8965603E+000, 1.8571182E+000
 2.6970000E+001, 9.3546205E+001, 4.3476283E+002, 7.8969357E+000, 1.8408857E+000
 2.7970000E+001, 9.1714020E+001, 4.3014835E+002, 7.8972049E+000, 1.8231382E+000
 2.8970000E+001, 8.9901638E+001, 4.2551701E+002, 7.8970561E+000, 1.8014464E+000
 2.9970000E+001, 8.8113741E+001, 4.2086810E+002, 7.8979861E+000, 1.7740964E+000
 3.0970000E+001, 8.6348036E+001, 4.1620423E+002, 7.8982099E+000, 1.7596649E+000
 3.1970000E+001, 8.4598096E+001, 4.1151900E+002, 7.8984363E+000, 1.7368395E+000
 3.2960000E+001, 8.2889637E+001, 4.0686752E+002, 7.8989783E+000, 1.7191845E+000
 3.3960000E+001, 8.1176335E+001, 4.0214461E+002, 7.8991337E+000, 1.7026694E+000
 3.4960000E+001, 7.9488323E+001, 3.9740407E+002, 7.8895258E+000, 1.6755844E+000
 3.5960000E+001, 7.7820109E+001, 3.9263893E+002, 7.8816550E+000, 1.6607871E+000
 3.6960000E+001, 7.6167599E+001, 3.8785473E+002, 7.8830307E+000, 1.6441789E+000
 3.7960000E+001, 7.4536114E+001, 3.8304720E+002, 7.8828311E+000, 1.6167506E+000
 3.8960000E+001, 7.2932166E+001, 3.7822287E+002, 7.8825572E+000, 1.5946442E+000
 3.9960000E+001, 7.1346396E+001, 3.7337073E+002, 7.8815689E+000, 1.5726444E+000
 4.0950000E+001, 6.9807160E+001, 3.6855106E+002, 7.8810440E+000, 1.5382763E+000
 4.1950000E+001, 6.8272341E+001, 3.6365943E+002, 7.8822113E+000, 1.5321704E+000
 4.2950000E+001, 6.6747531E+001, 3.5874035E+002, 7.8838292E+000, 1.5139886E+000
 4.3950000E+001, 6.5245723E+001, 3.5379653E+002, 7.8831409E+000, 1.4883358E+000
 4.4950000E+001, 6.3771817E+001, 3.4882943E+002, 7.8818144E+000, 1.4595897E+000
 4.5950000E+001, 6.2325330E+001, 3.4383545E+002, 7.8819428E+000, 1.4334447E+000
 4.6950000E+001, 6.0901469E+001, 3.3881970E+002, 7.8831781E+000, 1.4175656E+000
 4.7950000E+001, 5.9490127E+001, 3.3376781E+002, 7.8831693E+000, 1.4014634E+000
 4.8940000E+001, 5.8117465E+001, 3.2874224E+002, 7.8838791E+000, 1.3715581E+000
 4.9940000E+001, 5.6757495E+001, 3.2363800E+002, 7.8835873E+000, 1.3499586E+000
 5.0940000E+001, 5.5417969E+001, 3.1849919E+002, 7.8830465E+000, 1.3272002E+000
 5.1940000E+001, 5.4104952E+001, 3.1333132E+002, 7.8832830E+000, 1.2988344E+000
 5.2940000E+001, 5.2817110E+001, 3.0813263E+002, 7.8833765E+000, 1.2782140E+000
 5.3940000E+001, 5.1548924E+001, 3.0289445E+002, 7.8827025E+000, 1.2561092E+000
 5.4940000E+001, 5.0307730E+001, 2.9762352E+002, 7.8830655E+000, 1.2262622E+000
 5.5940000E+001, 4.9094545E+001, 2.9231884E+002, 7.8827542E+000, 1.2020564E+000
 5.6930000E+001, 4.7914965E+001, 2.8702564E+002, 7.8813791E+000, 1.1807891E+000
 5.7930000E+001, 4.6746346E+001, 2.8164046E+002, 7.8837715E+000, 1.1563505E+000
