s,mu-m,C
Time,"d","t"
 0.0000000E+000, 1.4100000E+002, 4.5000000E+001
 1.0000000E-004, 1.4089586E+002, 4.4368659E+001
 2.0000000E-004, 1.4079587E+002, 4.3759010E+001
 3.0000000E-004, 1.4069954E+002, 4.3166017E+001
 4.0000000E-004, 1.4060666E+002, 4.2591523E+001
 5.0000000E-004, 1.4051721E+002, 4.2034733E+001
 6.0000000E-004, 1.4043080E+002, 4.1494005E+001
 7.0000000E-004, 1.4034743E+002, 4.0969514E+001
 8.0000000E-004, 1.4026676E+002, 4.0459212E+001
 9.0000000E-004, 1.4018848E+002, 3.9961740E+001
 1.0000000E-003, 1.4011294E+002, 3.9479052E+001
 1.1000000E-003, 1.4003953E+002, 3.9007918E+001
 1.2000000E-003, 1.3996830E+002, 3.8548536E+001
 1.3000000E-003, 1.3989899E+002, 3.8099554E+001
 1.4000000E-003, 1.3983195E+002, 3.7663329E+001
 1.5000000E-003, 1.3976664E+002, 3.7236309E+001
 1.6000000E-003, 1.3970312E+002, 3.6819671E+001
 1.7000000E-003, 1.3964145E+002, 3.6413869E+001
 1.8000000E-003, 1.3958127E+002, 3.6016714E+001
 1.9000000E-003, 1.3952265E+002, 3.5628222E+001
 2.0000000E-003, 1.3946541E+002, 3.5247284E+001
 2.1000000E-003, 1.3940985E+002, 3.4876390E+001
 2.2000000E-003, 1.3935553E+002, 3.4513025E+001
 2.3000000E-003, 1.3930242E+002, 3.4156603E+001
 2.4000000E-003, 1.3925058E+002, 3.3807615E+001
 2.5000000E-003, 1.3920006E+002, 3.3466807E+001
 2.6000000E-003, 1.3915060E+002, 3.3132303E+001
 2.7000000E-003, 1.3910227E+002, 3.2804421E+001
 2.8000000E-003, 1.3905493E+002, 3.2482644E+001
 2.9000000E-003, 1.3900872E+002, 3.2167853E+001
 3.0000000E-003, 1.3896353E+002, 3.1859092E+001
 3.1000000E-003, 1.3891921E+002, 3.1555855E+001
 3.2000000E-003, 1.3887573E+002, 3.1257637E+001
 3.3000000E-003, 1.3883316E+002, 3.0965071E+001
 3.4000000E-003, 1.3879156E+002, 3.0678746E+001
 3.5000000E-003, 1.3875072E+002, 3.0397290E+001
 3.6000000E-003, 1.3871060E+002, 3.0120500E+001
 3.7000000E-003, 1.3867129E+002, 2.9848497E+001
 3.8000000E-003, 1.3863265E+002, 2.9580969E+001
 3.9000000E-003, 1.3859468E+002, 2.9317467E+001
 4.0000000E-003, 1.3855760E+002, 2.9059739E+001
 4.1000000E-003, 1.3852114E+002, 2.8806110E+001
 4.2000000E-003, 1.3848528E+002, 2.8556472E+001
 4.3000000E-003, 1.3844999E+002, 2.8310449E+001
 4.4000000E-003, 1.3841536E+002, 2.8068616E+001
 4.5000000E-003, 1.3838127E+002, 2.7830482E+001
 4.6000000E-003, 1.3834785E+002, 2.7596936E+001
 4.7000000E-003, 1.3831495E+002, 2.7366885E+001
 4.8000000E-003, 1.3828255E+002, 2.7140222E+001
 4.9000000E-003, 1.3825071E+002, 2.6917025E+001
 5.0000000E-003, 1.3821935E+002, 2.6697076E+001
 5.1000000E-003, 1.3818843E+002, 2.6480296E+001
 5.2000000E-003, 1.3815810E+002, 2.6267375E+001
 5.3000000E-003, 1.3812828E+002, 2.6057731E+001
 5.4000000E-003, 1.3809887E+002, 2.5851024E+001
 5.5000000E-003, 1.3806987E+002, 2.5647188E+001
 5.6000000E-003, 1.3804127E+002, 2.5446159E+001
 5.7000000E-003, 1.3801306E+002, 2.5247774E+001
 5.8000000E-003, 1.3798529E+002, 2.5052301E+001
 5.9000000E-003, 1.3795789E+002, 2.4859456E+001
 6.0000000E-003, 1.3793097E+002, 2.4670004E+001
 6.1000000E-003, 1.3790440E+002, 2.4483049E+001
 6.2000000E-003, 1.3787817E+002, 2.4298412E+001
 6.3000000E-003, 1.3785234E+002, 2.4116426E+001
 6.4000000E-003, 1.3782683E+002, 2.3936787E+001
 6.5000000E-003, 1.3780164E+002, 2.3759448E+001
 6.6000000E-003, 1.3777675E+002, 2.3584360E+001
 6.7000000E-003, 1.3775217E+002, 2.3411482E+001
 6.8000000E-003, 1.3772799E+002, 2.3241461E+001
 6.9000000E-003, 1.3770416E+002, 2.3073722E+001
 7.0000000E-003, 1.3768060E+002, 2.2908049E+001
 7.1000000E-003, 1.3765733E+002, 2.2744402E+001
 7.2000000E-003, 1.3763431E+002, 2.2582740E+001
