s,mu-m,C,mm^2
Time,d,t,c_d2
 0.0000000E+000, 1.1590000E+003, 4.9000000E+001, 1.3432810E+000
 1.0000000E+000, 1.1197520E+003, 4.1932378E+001, 1.2538445E+000
 2.0000000E+000, 1.0877916E+003, 3.8944690E+001, 1.1832905E+000
 3.0100000E+000, 1.0579138E+003, 3.7626820E+001, 1.1191816E+000
 4.0100000E+000, 1.0290058E+003, 3.7064756E+001, 1.0588530E+000
 5.0100000E+000, 9.9996194E+002, 3.6806575E+001, 9.9992388E-001
 6.0100000E+000, 9.7044282E+002, 3.6677401E+001, 9.4175927E-001
 7.0100000E+000, 9.4028212E+002, 3.6602112E+001, 8.8413047E-001
 8.0100000E+000, 9.0936545E+002, 3.6547568E+001, 8.2694553E-001
 9.0100000E+000, 8.7759382E+002, 3.6499618E+001, 7.7017092E-001
 1.0010000E+001, 8.4486544E+002, 3.6452410E+001, 7.1379761E-001
 1.1010000E+001, 8.1106521E+002, 3.6403561E+001, 6.5782678E-001
 1.2010000E+001, 7.7605699E+002, 3.6352100E+001, 6.0226445E-001
 1.3010000E+001, 7.3974121E+002, 3.6306242E+001, 5.4721706E-001
 1.4010000E+001, 7.0184893E+002, 3.6250205E+001, 4.9259193E-001
 1.5010000E+001, 6.6212544E+002, 3.6188500E+001, 4.3841010E-001
 1.6010000E+001, 6.2023725E+002, 3.6121886E+001, 3.8469425E-001
 1.7010000E+001, 5.7573574E+002, 3.6049852E+001, 3.3147164E-001
 1.8000000E+001, 5.2863404E+002, 3.6011635E+001, 2.7945395E-001
 1.9000000E+001, 4.7697568E+002, 3.5931852E+001, 2.2750580E-001
 2.0000000E+001, 4.1975197E+002, 3.5835848E+001, 1.7619171E-001
 2.1000000E+001, 3.5441936E+002, 3.5725157E+001, 1.2561308E-001
 2.2000000E+001, 2.7555210E+002, 3.5591107E+001, 7.5928960E-002
 2.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
