s,mu-m,,C
Time,"d","d^2/d0^2","t"
 0.0000000E+000, 1.2000000E+003, 1.0000000E+000, 0.0000000E+000
 3.0000000E-001, 1.1988503E+003, 9.9808478E-001,-6.3340446E-001
 6.0000000E-001, 1.1977436E+003, 9.9624286E-001,-1.1637926E+000
 9.0000000E-001, 1.1966717E+003, 9.9446046E-001,-1.6099402E+000
 1.2000000E+000, 1.1956283E+003, 9.9272713E-001,-1.9851022E+000
 1.5000000E+000, 1.1946084E+003, 9.9103423E-001,-2.3012051E+000
 1.8000000E+000, 1.1936078E+003, 9.8937466E-001,-2.5688239E+000
 2.1100000E+000, 1.1925905E+003, 9.8768889E-001,-2.8032805E+000
 2.4100000E+000, 1.1916196E+003, 9.8608137E-001,-2.9947040E+000
 2.7100000E+000, 1.1906597E+003, 9.8449350E-001,-3.1568107E+000
 3.0100000E+000, 1.1897092E+003, 9.8292218E-001,-3.2941896E+000
 3.3100000E+000, 1.1887663E+003, 9.8136485E-001,-3.4106813E+000
 3.6100000E+000, 1.1878299E+003, 9.7981937E-001,-3.5095075E+000
 3.9100000E+000, 1.1868989E+003, 9.7828395E-001,-3.5933784E+000
 4.2100000E+000, 1.1859723E+003, 9.7675709E-001,-3.6645781E+000
 4.5100000E+000, 1.1850494E+003, 9.7523754E-001,-3.7250350E+000
 4.8100000E+000, 1.1841296E+003, 9.7372424E-001,-3.7763791E+000
 5.1100000E+000, 1.1832124E+003, 9.7221631E-001,-3.8199903E+000
 5.4100000E+000, 1.1822972E+003, 9.7071299E-001,-3.8570370E+000
 5.7100000E+000, 1.1813838E+003, 9.6921365E-001,-3.8885101E+000
 6.0100000E+000, 1.1804718E+003, 9.6771775E-001,-3.9152498E+000
 6.3100000E+000, 1.1795608E+003, 9.6622484E-001,-3.9379695E+000
 6.6100000E+000, 1.1786508E+003, 9.6473454E-001,-3.9572746E+000
 6.9100000E+000, 1.1777414E+003, 9.6324645E-001,-3.9740972E+000
 7.2100000E+000, 1.1768324E+003, 9.6176012E-001,-3.9903210E+000
 7.5100000E+000, 1.1759240E+003, 9.6027579E-001,-4.0041081E+000
