s,mu-m,C,mm^2
Time,"d","t","c_d2"
 0.0000000E+000, 1.4220000E+003, 1.5500000E+001, 2.0220840E+000
 1.0000000E+000, 1.4063521E+003, 1.2088731E+001, 1.9778264E+000
 2.0000000E+000, 1.3928429E+003, 9.9860444E+000, 1.9400112E+000
 3.0100000E+000, 1.3803836E+003, 8.6585631E+000, 1.9054589E+000
 4.0100000E+000, 1.3687076E+003, 7.8296903E+000, 1.8733605E+000
 5.0100000E+000, 1.3574151E+003, 7.3061731E+000, 1.8425757E+000
 6.0100000E+000, 1.3463343E+003, 6.9745745E+000, 1.8126160E+000
 7.0100000E+000, 1.3353422E+003, 6.7616915E+000, 1.7831387E+000
 8.0100000E+000, 1.3243827E+003, 6.6253746E+000, 1.7539895E+000
 9.0100000E+000, 1.3134195E+003, 6.5382676E+000, 1.7250709E+000
 1.0010000E+001, 1.3024720E+003, 6.4916441E+000, 1.6964333E+000
 1.1010000E+001, 1.2914860E+003, 6.4630998E+000, 1.6679362E+000
 1.2010000E+001, 1.2804436E+003, 6.4445368E+000, 1.6395357E+000
 1.3010000E+001, 1.2693385E+003, 6.4322525E+000, 1.6112202E+000
 1.4010000E+001, 1.2581663E+003, 6.4238894E+000, 1.5829825E+000
 1.5010000E+001, 1.2469234E+003, 6.4179561E+000, 1.5548181E+000
 1.6010000E+001, 1.2356070E+003, 6.4135158E+000, 1.5267247E+000
 1.7010000E+001, 1.2242145E+003, 6.4099846E+000, 1.4987011E+000
 1.8000000E+001, 1.2128586E+003, 6.4070293E+000, 1.4710260E+000
 1.9000000E+001, 1.2013078E+003, 6.4043702E+000, 1.4431404E+000
 2.0000000E+001, 1.1896741E+003, 6.4019044E+000, 1.4153244E+000
 2.1000000E+001, 1.1779553E+003, 6.3995507E+000, 1.3875787E+000
 2.2000000E+001, 1.1661492E+003, 6.3972610E+000, 1.3599040E+000
 2.3000000E+001, 1.1542535E+003, 6.3950072E+000, 1.3323011E+000
 2.4000000E+001, 1.1422657E+003, 6.3927732E+000, 1.3047709E+000
 2.5000000E+001, 1.1301834E+003, 6.3905524E+000, 1.2773145E+000
 2.6000000E+001, 1.1180039E+003, 6.3883419E+000, 1.2499328E+000
 2.7000000E+001, 1.1057247E+003, 6.3861380E+000, 1.2226271E+000
 2.8000000E+001, 1.0933428E+003, 6.3839390E+000, 1.1953985E+000
 2.9000000E+001, 1.0808554E+003, 6.3817444E+000, 1.1682483E+000
 3.0000000E+001, 1.0682593E+003, 6.3795545E+000, 1.1411778E+000
 3.1000000E+001, 1.0555512E+003, 6.3773700E+000, 1.1141884E+000
 3.2000000E+001, 1.0427279E+003, 6.3751916E+000, 1.0872815E+000
 3.3000000E+001, 1.0297857E+003, 6.3730204E+000, 1.0604585E+000
 3.4000000E+001, 1.0167208E+003, 6.3708573E+000, 1.0337211E+000
 3.5000000E+001, 1.0035293E+003, 6.3687032E+000, 1.0070710E+000
 3.6000000E+001, 9.9020687E+002, 6.3665591E+000, 9.8050965E-001
 3.7000000E+001, 9.7674919E+002, 6.3644258E+000, 9.5403898E-001
 3.8000000E+001, 9.6315148E+002, 6.3623081E+000, 9.2766078E-001
 3.9000000E+001, 9.4940873E+002, 6.3602086E+000, 9.0137694E-001
 4.0000000E+001, 9.3551561E+002, 6.3581257E+000, 8.7518946E-001
 4.1000000E+001, 9.2146644E+002, 6.3560591E+000, 8.4910039E-001
 4.2000000E+001, 9.0725515E+002, 6.3540094E+000, 8.2311191E-001
 4.3000000E+001, 8.9287528E+002, 6.3519778E+000, 7.9722627E-001
 4.4010000E+001, 8.7817391E+002, 6.3500974E+000, 7.7118941E-001
 4.5010000E+001, 8.6344219E+002, 6.3500187E+000, 7.4553242E-001
 4.6010000E+001, 8.4852407E+002, 6.3499973E+000, 7.1999310E-001
 4.7010000E+001, 8.3341110E+002, 6.3500633E+000, 6.9457406E-001
 4.8010000E+001, 8.1809312E+002, 6.3499087E+000, 6.6927636E-001
 4.9010000E+001, 8.0256125E+002, 6.3499315E+000, 6.4410456E-001
 5.0010000E+001, 7.8680420E+002, 6.3499810E+000, 6.1906085E-001
 5.1010000E+001, 7.7080970E+002, 6.3499106E+000, 5.9414759E-001
 5.2010000E+001, 7.5456541E+002, 6.3499197E+000, 5.6936896E-001
 5.3010000E+001, 7.3805320E+002, 6.3489529E+000, 5.4472252E-001
 5.4010000E+001, 7.2125639E+002, 6.3474751E+000, 5.2021078E-001
 5.5010000E+001, 7.0415783E+002, 6.3458843E+000, 4.9583825E-001
 5.6010000E+001, 6.8673824E+002, 6.3443095E+000, 4.7160940E-001
 5.7010000E+001, 6.6897606E+002, 6.3427837E+000, 4.4752897E-001
 5.8010000E+001, 6.5084714E+002, 6.3413206E+000, 4.2360200E-001
 5.9010000E+001, 6.3232423E+002, 6.3399305E+000, 3.9983393E-001
 6.0010000E+001, 6.1337645E+002, 6.3386245E+000, 3.7623066E-001
 6.1010000E+001, 5.9396855E+002, 6.3374227E+000, 3.5279864E-001
 6.2010000E+001, 5.7406000E+002, 6.3363426E+000, 3.2954488E-001
 6.3010000E+001, 5.5360380E+002, 6.3353957E+000, 3.0647716E-001
 6.4010000E+001, 5.3254494E+002, 6.3346046E+000, 2.8360411E-001
 6.5010000E+001, 5.1081834E+002, 6.3340017E+000, 2.6093538E-001
 6.6010000E+001, 4.8834605E+002, 6.3336303E+000, 2.3848186E-001
 6.7010000E+001, 4.6503331E+002, 6.3335354E+000, 2.1625598E-001
 6.8010000E+001, 4.4076305E+002, 6.3337834E+000, 1.9427207E-001
 6.9010000E+001, 4.1538768E+002, 6.3344625E+000, 1.7254692E-001
 7.0010000E+001, 3.8871650E+002, 6.3357042E+000, 1.5110051E-001
 7.1010000E+001, 3.6049567E+002, 6.3376780E+000, 1.2995713E-001
 7.2010000E+001, 3.3037415E+002, 6.3406675E+000, 1.0914708E-001
 7.3000000E+001, 2.9817924E+002, 6.3449319E+000, 8.8910860E-002
 7.4000000E+001, 2.6246850E+002, 6.3493176E+000, 6.8889715E-002
 7.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
