s,mu-m,C
Time,d,t
 0.0000000E+000, 5.6600000E+001, 1.0000000E+001
 2.5000000E-002, 5.6343225E+001, 3.9145533E+000
 5.0000000E-002, 5.6144754E+001, 1.7409689E+000
 7.4000000E-002, 5.5971063E+001, 9.2439758E-001
 9.9000000E-002, 5.5795902E+001, 5.7466709E-001
 1.2400000E-001, 5.5622621E+001, 4.3140765E-001
 1.4800000E-001, 5.5456698E+001, 3.7424726E-001
 1.7300000E-001, 5.5283736E+001, 3.4943229E-001
 1.9700000E-001, 5.5117720E+001, 3.4495199E-001
 2.2200000E-001, 5.4944284E+001, 3.4298094E-001
 2.4700000E-001, 5.4770314E+001, 3.4214116E-001
 2.7100000E-001, 5.4602786E+001, 3.4176799E-001
 2.9600000E-001, 5.4427732E+001, 3.4156214E-001
 3.2000000E-001, 5.4259151E+001, 3.4143617E-001
 3.4500000E-001, 5.4082988E+001, 3.4133479E-001
 3.7000000E-001, 5.3906249E+001, 3.4124544E-001
 3.9400000E-001, 5.3736035E+001, 3.4116365E-001
 4.1900000E-001, 5.3558153E+001, 3.4107986E-001
 4.4300000E-001, 5.3386830E+001, 3.4099985E-001
 4.6800000E-001, 5.3207783E+001, 3.4091656E-001
 4.9300000E-001, 5.3028132E+001, 3.4083317E-001
 5.1700000E-001, 5.2855093E+001, 3.4075295E-001
 5.4200000E-001, 5.2674241E+001, 3.4066920E-001
 5.6700000E-001, 5.2492766E+001, 3.4058524E-001
 5.9100000E-001, 5.2317959E+001, 3.4050444E-001
 6.1600000E-001, 5.2135246E+001, 3.4042007E-001
 6.4000000E-001, 5.1959237E+001, 3.4033887E-001
 6.6500000E-001, 5.1775260E+001, 3.4025407E-001
 6.9000000E-001, 5.1590627E+001, 3.4016905E-001
 7.1400000E-001, 5.1412757E+001, 3.4008722E-001
 7.3900000E-001, 5.1226819E+001, 3.4000176E-001
 7.6300000E-001, 5.1047682E+001, 3.3991950E-001
 7.8800000E-001, 5.0860412E+001, 3.3983358E-001
 8.1300000E-001, 5.0672450E+001, 3.3974744E-001
 8.3700000E-001, 5.0491349E+001, 3.3966451E-001
 8.6200000E-001, 5.0302010E+001, 3.3957790E-001
 8.8600000E-001, 5.0119572E+001, 3.3949452E-001
 9.1100000E-001, 4.9928825E+001, 3.3940744E-001
 9.3600000E-001, 4.9737347E+001, 3.3932010E-001
 9.6000000E-001, 4.9552832E+001, 3.3923602E-001
 9.8500000E-001, 4.9359898E+001, 3.3914819E-001
 1.0100000E+000, 4.9166206E+001, 3.3905985E-001
 1.0340000E+000, 4.8979543E+001, 3.3897395E-001
 1.0590000E+000, 4.8784344E+001, 3.3888388E-001
 1.0830000E+000, 4.8596216E+001, 3.3879706E-001
 1.1080000E+000, 4.8399472E+001, 3.3870633E-001
 1.1330000E+000, 4.8201927E+001, 3.3861532E-001
 1.1570000E+000, 4.8011519E+001, 3.3852770E-001
 1.1820000E+000, 4.7812373E+001, 3.3843616E-001
 1.2060000E+000, 4.7620409E+001, 3.3834802E-001
 1.2310000E+000, 4.7419622E+001, 3.3825594E-001
 1.2560000E+000, 4.7217982E+001, 3.3816357E-001
 1.2800000E+000, 4.7023595E+001, 3.3807464E-001
 1.3050000E+000, 4.6820251E+001, 3.3798171E-001
 1.3290000E+000, 4.6624208E+001, 3.3789223E-001
 1.3540000E+000, 4.6419117E+001, 3.3779873E-001
 1.3790000E+000, 4.6213117E+001, 3.3770493E-001
 1.4030000E+000, 4.6014490E+001, 3.3761460E-001
 1.4280000E+000, 4.5806672E+001, 3.3752020E-001
 1.4520000E+000, 4.5606276E+001, 3.3742928E-001
 1.4770000E+000, 4.5396592E+001, 3.3733427E-001
 1.5020000E+000, 4.5185935E+001, 3.3723894E-001
 1.5260000E+000, 4.4982777E+001, 3.3714710E-001
 1.5510000E+000, 4.4770176E+001, 3.3705060E-001
 1.5760000E+000, 4.4556561E+001, 3.3695344E-001
 1.6000000E+000, 4.4350523E+001, 3.3685976E-001
 1.6250000E+000, 4.4134879E+001, 3.3676183E-001
 1.6490000E+000, 4.3926866E+001, 3.3666749E-001
 1.6740000E+000, 4.3709134E+001, 3.3656887E-001
 1.6990000E+000, 4.3490314E+001, 3.3646990E-001
 1.7230000E+000, 4.3279206E+001, 3.3637454E-001
 1.7480000E+000, 4.3058202E+001, 3.3627486E-001
 1.7720000E+000, 4.2844967E+001, 3.3617882E-001
 1.7970000E+000, 4.2621715E+001, 3.3607841E-001
 1.8220000E+000, 4.2397287E+001, 3.3597762E-001
 1.8460000E+000, 4.2180715E+001, 3.3588049E-001
 1.8710000E+000, 4.1953931E+001, 3.3577894E-001
 1.8950000E+000, 4.1735060E+001, 3.3568107E-001
 1.9200000E+000, 4.1505843E+001, 3.3557872E-001
 1.9450000E+000, 4.1275355E+001, 3.3547596E-001
 1.9690000E+000, 4.1052870E+001, 3.3537684E-001
 1.9940000E+000, 4.0819827E+001, 3.3527197E-001
 2.0190000E+000, 4.0585446E+001, 3.3516615E-001
 2.0430000E+000, 4.0359161E+001, 3.3506405E-001
 2.0680000E+000, 4.0122092E+001, 3.3495724E-001
 2.0920000E+000, 3.9893182E+001, 3.3485429E-001
 2.1170000E+000, 3.9653330E+001, 3.3474660E-001
 2.1420000E+000, 3.9412019E+001, 3.3463845E-001
 2.1660000E+000, 3.9178964E+001, 3.3453418E-001
 2.1910000E+000, 3.8934716E+001, 3.3442511E-001
 2.2150000E+000, 3.8698789E+001, 3.3431993E-001
 2.2400000E+000, 3.8451494E+001, 3.3420989E-001
 2.2650000E+000, 3.8202599E+001, 3.3409935E-001
 2.2890000E+000, 3.7962126E+001, 3.3399274E-001
 2.3140000E+000, 3.7710004E+001, 3.3388118E-001
 2.3380000E+000, 3.7466372E+001, 3.3377348E-001
 2.3630000E+000, 3.7210893E+001, 3.3365995E-001
 2.3880000E+000, 3.6953650E+001, 3.3354562E-001
