s,mu-m,C
Time,"d","t"
 0.0000000E+000, 1.4300000E+002, 4.5000000E+001
 1.0000000E-004, 1.4248785E+002, 4.2211731E+001
 2.0000000E-004, 1.4206322E+002, 3.9879155E+001
 3.0000000E-004, 1.4169751E+002, 3.7854974E+001
 4.0000000E-004, 1.4137521E+002, 3.6059453E+001
 5.0000000E-004, 1.4108653E+002, 3.4442214E+001
 6.0000000E-004, 1.4082484E+002, 3.2969029E+001
 7.0000000E-004, 1.4058538E+002, 3.1615318E+001
 8.0000000E-004, 1.4036461E+002, 3.0362734E+001
 9.0000000E-004, 1.4015978E+002, 2.9196946E+001
 1.0000000E-003, 1.3996875E+002, 2.8106684E+001
 1.1000000E-003, 1.3978983E+002, 2.7083249E+001
 1.2000000E-003, 1.3962154E+002, 2.6118824E+001
 1.3000000E-003, 1.3946270E+002, 2.5207174E+001
 1.4000000E-003, 1.3931237E+002, 2.4343296E+001
 1.5000000E-003, 1.3916966E+002, 2.3522689E+001
 1.6000000E-003, 1.3903383E+002, 2.2741223E+001
 1.7000000E-003, 1.3890432E+002, 2.1995784E+001
 1.8000000E-003, 1.3878054E+002, 2.1283196E+001
 1.9000000E-003, 1.3866205E+002, 2.0601359E+001
 2.0000000E-003, 1.3854843E+002, 1.9947741E+001
 2.1000000E-003, 1.3843927E+002, 1.9320073E+001
 2.2000000E-003, 1.3833427E+002, 1.8717011E+001
 2.3000000E-003, 1.3823311E+002, 1.8136461E+001
 2.4000000E-003, 1.3813555E+002, 1.7577356E+001
 2.5000000E-003, 1.3804135E+002, 1.7038208E+001
 2.6000000E-003, 1.3795027E+002, 1.6517730E+001
 2.7000000E-003, 1.3786214E+002, 1.6014919E+001
 2.8000000E-003, 1.3777674E+002, 1.5528664E+001
 2.9000000E-003, 1.3769395E+002, 1.5058150E+001
 3.0000000E-003, 1.3761362E+002, 1.4602615E+001
 3.1000000E-003, 1.3753560E+002, 1.4161171E+001
 3.2000000E-003, 1.3745975E+002, 1.3733037E+001
 3.3000000E-003, 1.3738597E+002, 1.3317583E+001
 3.4000000E-003, 1.3731416E+002, 1.2914362E+001
 3.5000000E-003, 1.3724419E+002, 1.2522536E+001
 3.6000000E-003, 1.3717600E+002, 1.2141708E+001
 3.7000000E-003, 1.3710949E+002, 1.1771455E+001
 3.8000000E-003, 1.3704459E+002, 1.1411271E+001
 3.9000000E-003, 1.3698120E+002, 1.1060534E+001
 4.0000000E-003, 1.3691928E+002, 1.0719034E+001
 4.1000000E-003, 1.3685875E+002, 1.0386375E+001
 4.2000000E-003, 1.3679956E+002, 1.0062185E+001
 4.3000000E-003, 1.3674164E+002, 9.7461403E+000
 4.4000000E-003, 1.3668494E+002, 9.4377456E+000
 4.5000000E-003, 1.3662941E+002, 9.1368517E+000
 4.6000000E-003, 1.3657500E+002, 8.8432062E+000
 4.7000000E-003, 1.3652168E+002, 8.5565228E+000
 4.8000000E-003, 1.3646940E+002, 8.2765076E+000
 4.9000000E-003, 1.3641810E+002, 8.0028282E+000
 5.0000000E-003, 1.3636776E+002, 7.7353859E+000
 5.1000000E-003, 1.3631835E+002, 7.4739619E+000
 5.2000000E-003, 1.3626984E+002, 7.2183278E+000
 5.3000000E-003, 1.3622218E+002, 6.9683278E+000
 5.4000000E-003, 1.3617534E+002, 6.7235919E+000
 5.5000000E-003, 1.3612930E+002, 6.4841061E+000
 5.6000000E-003, 1.3608403E+002, 6.2496786E+000
 5.7000000E-003, 1.3603951E+002, 6.0201890E+000
 5.8000000E-003, 1.3599572E+002, 5.7954610E+000
 5.9000000E-003, 1.3595262E+002, 5.5753461E+000
 6.0000000E-003, 1.3591020E+002, 5.3597018E+000
 6.1000000E-003, 1.3586842E+002, 5.1482308E+000
 6.2000000E-003, 1.3582728E+002, 4.9409698E+000
 6.3000000E-003, 1.3578675E+002, 4.7377928E+000
