s,mu-m,,C
Time,"d","d^2/d0^2","t"
 0.0000000E+000, 1.2000000E+003, 1.0000000E+000, 0.0000000E+000
 3.0000000E-001, 1.1997684E+003, 9.9961400E-001, 4.0361804E-001
 6.0000000E-001, 1.1995156E+003, 9.9919285E-001, 7.5790261E-001
 9.0000000E-001, 1.1992439E+003, 9.9874018E-001, 1.0679186E+000
 1.2000000E+000, 1.1989552E+003, 9.9825942E-001, 1.3384295E+000
 1.5000000E+000, 1.1986515E+003, 9.9775378E-001, 1.5741369E+000
 1.8000000E+000, 1.1983345E+003, 9.9722615E-001, 1.7792610E+000
 2.1100000E+000, 1.1979947E+003, 9.9666064E-001, 1.9630928E+000
 2.4100000E+000, 1.1976554E+003, 9.9609623E-001, 2.1179010E+000
 2.7100000E+000, 1.1973072E+003, 9.9551698E-001, 2.2526385E+000
 3.0100000E+000, 1.1969509E+003, 9.9492470E-001, 2.3694412E+000
 3.3100000E+000, 1.1965878E+003, 9.9432106E-001, 2.4706261E+000
 3.6100000E+000, 1.1962186E+003, 9.9370753E-001, 2.5582273E+000
 3.9100000E+000, 1.1958441E+003, 9.9308542E-001, 2.6340267E+000
 4.2100000E+000, 1.1954649E+003, 9.9245585E-001, 2.6995819E+000
 4.5100000E+000, 1.1950818E+003, 9.9181983E-001, 2.7562525E+000
 4.8100000E+000, 1.1946952E+003, 9.9117822E-001, 2.8052232E+000
 5.1100000E+000, 1.1943056E+003, 9.9053178E-001, 2.8475250E+000
 5.4100000E+000, 1.1939133E+003, 9.8988116E-001, 2.8840541E+000
 5.7100000E+000, 1.1935187E+003, 9.8922696E-001, 2.9155886E+000
 6.0100000E+000, 1.1931221E+003, 9.8856965E-001, 2.9428040E+000
 6.3100000E+000, 1.1927237E+003, 9.8790968E-001, 2.9662859E+000
 6.6100000E+000, 1.1923239E+003, 9.8724742E-001, 2.9865416E+000
 6.9100000E+000, 1.1919227E+003, 9.8658319E-001, 3.0040103E+000
 7.2100000E+000, 1.1915204E+003, 9.8591728E-001, 3.0190723E+000
 7.5100000E+000, 1.1911171E+003, 9.8524993E-001, 3.0320563E+000
