s,mu-m,C,mm^2
Time,d,t,c_d2
 0.0000000E+000, 1.2610000E+003, 3.4200000E+001, 1.5901210E+000
 1.0000000E+000, 1.2457328E+003, 2.9218558E+001, 1.5518503E+000
 2.0000000E+000, 1.2331439E+003, 2.7130493E+001, 1.5206439E+000
 3.0100000E+000, 1.2214258E+003, 2.6196398E+001, 1.4918811E+000
 4.0100000E+000, 1.2101822E+003, 2.5765818E+001, 1.4645410E+000
 5.0100000E+000, 1.1990568E+003, 2.5560319E+001, 1.4377373E+000
 6.0100000E+000, 1.1879892E+003, 2.5481028E+001, 1.4113184E+000
 7.0100000E+000, 1.1768944E+003, 2.5444254E+001, 1.3850804E+000
 8.0100000E+000, 1.1657408E+003, 2.5422704E+001, 1.3589516E+000
 9.0100000E+000, 1.1545191E+003, 2.5407953E+001, 1.3329144E+000
 1.0010000E+001, 1.1432234E+003, 2.5396044E+001, 1.3069597E+000
 1.1010000E+001, 1.1318490E+003, 2.5385125E+001, 1.2810821E+000
 1.2010000E+001, 1.1203918E+003, 2.5374323E+001, 1.2552778E+000
 1.3010000E+001, 1.1088479E+003, 2.5363225E+001, 1.2295436E+000
 1.4010000E+001, 1.0972131E+003, 2.5351645E+001, 1.2038766E+000
 1.5010000E+001, 1.0854974E+003, 2.5343192E+001, 1.1783045E+000
 1.6010000E+001, 1.0736830E+003, 2.5332284E+001, 1.1527951E+000
 1.7010000E+001, 1.0617640E+003, 2.5319574E+001, 1.1273428E+000
 1.8000000E+001, 1.0498568E+003, 2.5305849E+001, 1.1021993E+000
 1.9000000E+001, 1.0377160E+003, 2.5291092E+001, 1.0768545E+000
 2.0000000E+001, 1.0254560E+003, 2.5275548E+001, 1.0515601E+000
 2.1000000E+001, 1.0130713E+003, 2.5259278E+001, 1.0263135E+000
 2.2000000E+001, 1.0005561E+003, 2.5242331E+001, 1.0011125E+000
 2.3000000E+001, 9.8790440E+002, 2.5224729E+001, 9.7595509E-001
 2.4000000E+001, 9.7511003E+002, 2.5206508E+001, 9.5083957E-001
 2.5000000E+001, 9.6216662E+002, 2.5187706E+001, 9.2576460E-001
 2.6000000E+001, 9.4906755E+002, 2.5168369E+001, 9.0072921E-001
 2.7000000E+001, 9.3580596E+002, 2.5148543E+001, 8.7573280E-001
 2.8000000E+001, 9.2237474E+002, 2.5128275E+001, 8.5077517E-001
 2.9000000E+001, 9.0876647E+002, 2.5107610E+001, 8.2585650E-001
 3.0000000E+001, 8.9497338E+002, 2.5086593E+001, 8.0097736E-001
 3.1000000E+001, 8.8098732E+002, 2.5065263E+001, 7.7613866E-001
 3.2000000E+001, 8.6679966E+002, 2.5043665E+001, 7.5134165E-001
 3.3000000E+001, 8.5240123E+002, 2.5021845E+001, 7.2658786E-001
 3.4000000E+001, 8.3778227E+002, 2.4999806E+001, 7.0187913E-001
 3.5000000E+001, 8.2293230E+002, 2.4977555E+001, 6.7721757E-001
 3.6000000E+001, 8.0784006E+002, 2.4955102E+001, 6.5260556E-001
 3.7000000E+001, 7.9249335E+002, 2.4932452E+001, 6.2804571E-001
 3.8000000E+001, 7.7687891E+002, 2.4909601E+001, 6.0354085E-001
 3.9000000E+001, 7.6098224E+002, 2.4886542E+001, 5.7909397E-001
 4.0000000E+001, 7.4478741E+002, 2.4863266E+001, 5.5470828E-001
 4.1000000E+001, 7.2827681E+002, 2.4839783E+001, 5.3038711E-001
 4.2000000E+001, 7.1143090E+002, 2.4816039E+001, 5.0613393E-001
 4.3000000E+001, 6.9422780E+002, 2.4791967E+001, 4.8195224E-001
 4.4010000E+001, 6.7646511E+002, 2.4767291E+001, 4.5760505E-001
 4.5010000E+001, 6.5846684E+002, 2.4742472E+001, 4.3357858E-001
 4.6010000E+001, 6.4002779E+002, 2.4717214E+001, 4.0963558E-001
 4.7010000E+001, 6.2111222E+002, 2.4691488E+001, 3.8578038E-001
 4.8010000E+001, 6.0167891E+002, 2.4665189E+001, 3.6201751E-001
 4.9010000E+001, 5.8168011E+002, 2.4638225E+001, 3.3835174E-001
 5.0000000E+001, 5.6126931E+002, 2.4610775E+001, 3.1502324E-001
