s,mu-m,C,mm^2
Time,"d","t","c_d2"
 0.0000000E+000, 1.1370000E+003, 7.3800000E+001, 1.2927690E+000
 1.0000000E+000, 1.1313266E+003, 7.5198565E+001, 1.2798999E+000
 2.0000000E+000, 1.1252192E+003, 7.6179903E+001, 1.2661182E+000
 3.0100000E+000, 1.1187160E+003, 7.6870074E+001, 1.2515254E+000
 4.0100000E+000, 1.1120285E+003, 7.7341615E+001, 1.2366074E+000
 5.0100000E+000, 1.1051571E+003, 7.7663459E+001, 1.2213723E+000
 6.0100000E+000, 1.0981484E+003, 7.7881594E+001, 1.2059300E+000
 7.0100000E+000, 1.0910355E+003, 7.8028514E+001, 1.1903584E+000
 8.0100000E+000, 1.0838404E+003, 7.8132216E+001, 1.1747101E+000
 9.0100000E+000, 1.0765779E+003, 7.8201005E+001, 1.1590201E+000
 1.0010000E+001, 1.0692593E+003, 7.8246178E+001, 1.1433154E+000
 1.1010000E+001, 1.0618917E+003, 7.8275490E+001, 1.1276140E+000
 1.2010000E+001, 1.0544800E+003, 7.8294198E+001, 1.1119281E+000
 1.3010000E+001, 1.0470269E+003, 7.8305842E+001, 1.0962654E+000
 1.4010000E+001, 1.0395341E+003, 7.8312795E+001, 1.0806311E+000
 1.5010000E+001, 1.0320020E+003, 7.8316637E+001, 1.0650282E+000
 1.6010000E+001, 1.0244309E+003, 7.8318411E+001, 1.0494587E+000
 1.7010000E+001, 1.0168204E+003, 7.8318806E+001, 1.0339236E+000
 1.8000000E+001, 1.0092463E+003, 7.8318276E+001, 1.0185782E+000
 1.9000000E+001, 1.0015550E+003, 7.8317101E+001, 1.0031124E+000
 2.0000000E+001, 9.9382158E+002, 7.8315464E+001, 9.8768133E-001
 2.1000000E+001, 9.8604483E+002, 7.8313484E+001, 9.7228441E-001
 2.2000000E+001, 9.7822345E+002, 7.8311230E+001, 9.5692112E-001
 2.3000000E+001, 9.7035599E+002, 7.8308743E+001, 9.4159075E-001
 2.4000000E+001, 9.6244093E+002, 7.8306046E+001, 9.2629254E-001
 2.5000000E+001, 9.5447664E+002, 7.8303150E+001, 9.1102565E-001
 2.6000000E+001, 9.4646145E+002, 7.8300061E+001, 8.9578927E-001
 2.7000000E+001, 9.3839362E+002, 7.8296784E+001, 8.8058259E-001
 2.8000000E+001, 9.3027135E+002, 7.8293320E+001, 8.6540479E-001
 2.9000000E+001, 9.2209274E+002, 7.8289628E+001, 8.5025501E-001
 3.0000000E+001, 9.1385582E+002, 7.8285661E+001, 8.3513247E-001
 3.1000000E+001, 9.0555857E+002, 7.8281449E+001, 8.2003632E-001
