s,mu-m,C
Time,"d","t"
 0.0000000E+000, 4.3900000E+001, 2.0000000E+001
 1.5000000E-002, 4.3565376E+001, 9.9696073E+000
 2.9000000E-002, 4.3347449E+001, 7.2734945E+000
 4.3000000E-002, 4.3150701E+001, 6.3332279E+000
 5.7000000E-002, 4.2960224E+001, 5.9910144E+000
 7.1000000E-002, 4.2771224E+001, 5.8623243E+000
 8.5000000E-002, 4.2582252E+001, 5.8140617E+000
 9.9000000E-002, 4.2392763E+001, 5.7960310E+000
 1.1300000E-001, 4.2202544E+001, 5.7892995E+000
 1.2700000E-001, 4.2011509E+001, 5.7867603E+000
 1.4100000E-001, 4.1819619E+001, 5.7857638E+000
 1.5500000E-001, 4.1626852E+001, 5.7853301E+000
 1.6900000E-001, 4.1433190E+001, 5.7850998E+000
 1.8400000E-001, 4.1224688E+001, 5.7849323E+000
 1.9800000E-001, 4.1029132E+001, 5.7848013E+000
 2.1200000E-001, 4.0832641E+001, 5.7846783E+000
 2.2600000E-001, 4.0635200E+001, 5.7845580E+000
 2.4000000E-001, 4.0436796E+001, 5.7844382E+000
 2.5400000E-001, 4.0237416E+001, 5.7843183E+000
 2.6800000E-001, 4.0037043E+001, 5.7841981E+000
 2.8200000E-001, 3.9835664E+001, 5.7840776E+000
 2.9600000E-001, 3.9633263E+001, 5.7839565E+000
 3.1000000E-001, 3.9429824E+001, 5.7838351E+000
 3.2400000E-001, 3.9225331E+001, 5.7837119E+000
 3.3800000E-001, 3.9019767E+001, 5.7835868E+000
 3.5200000E-001, 3.8813116E+001, 5.7834609E+000
 3.6700000E-001, 3.8590478E+001, 5.7833253E+000
 3.8100000E-001, 3.8381518E+001, 5.7831982E+000
 3.9500000E-001, 3.8171415E+001, 5.7830707E+000
 4.0900000E-001, 3.7960151E+001, 5.7829426E+000
 4.2300000E-001, 3.7747706E+001, 5.7828140E+000
 4.3700000E-001, 3.7534059E+001, 5.7826850E+000
 4.5100000E-001, 3.7319191E+001, 5.7825554E+000
 4.6500000E-001, 3.7103079E+001, 5.7824253E+000
 4.7900000E-001, 3.6885703E+001, 5.7822946E+000
 4.9300000E-001, 3.6667039E+001, 5.7821634E+000
 5.0700000E-001, 3.6447064E+001, 5.7820317E+000
