s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B2","B4","B5","L1","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0023361E+000, 3.1771428E-001, 3.1694595E-001, 2.7302875E-001, 9.0937268E-001, 6.5773642E-001, 8.8435213E-001, 6.4632394E-001, 5.0097560E-001, 3.7502317E-001, 1.6365322E-001, 6.1432998E-001
 1.0002798E+001, 9.7263722E-001, 9.8304427E-001, 8.8748431E-001, 2.6229155E+000, 2.0528851E+000, 2.5766476E+000, 2.0960852E+000, 1.6238245E+000, 1.2175197E+000, 5.3440028E-001, 1.8326719E+000
 1.5002470E+001, 9.4087835E-001, 9.6003280E-001, 8.3323283E-001, 2.5490036E+000, 1.9937504E+000, 2.5119773E+000, 2.0037014E+000, 1.5394773E+000, 1.1470049E+000, 5.0191835E-001, 1.7871243E+000
 2.0002944E+001, 9.2842404E-001, 9.6489953E-001, 7.7616096E-001, 2.5304763E+000, 1.9583444E+000, 2.4997168E+000, 1.8886293E+000, 1.4319980E+000, 1.0637453E+000, 4.7328868E-001, 1.7831929E+000
 2.5003520E+001, 9.5613613E-001, 9.3023214E-001, 7.6924039E-001, 2.5654962E+000, 2.0113367E+000, 2.4414528E+000, 1.8157075E+000, 1.3978004E+000, 1.0497295E+000, 4.6606815E-001, 1.7357558E+000
 3.0004661E+001, 9.3239012E-001, 9.4064094E-001, 7.0984136E-001, 2.5349476E+000, 1.9711821E+000, 2.4535669E+000, 1.6994706E+000, 1.2938262E+000, 9.6576478E-001, 4.3825486E-001, 1.7493344E+000
 3.5004551E+001, 9.1031186E-001, 9.4887364E-001, 6.7717045E-001, 2.4816418E+000, 1.9160372E+000, 2.4530742E+000, 1.5899745E+000, 1.2116840E+000, 9.1072100E-001, 4.2495743E-001, 1.7519574E+000
 4.0001146E+001, 9.3276517E-001, 9.3791372E-001, 6.9276014E-001, 2.5257873E+000, 1.9624938E+000, 2.4419676E+000, 1.6212387E+000, 1.2388333E+000, 9.3344759E-001, 4.3043648E-001, 1.7426721E+000
 4.5005834E+001, 9.2433282E-001, 9.4530406E-001, 6.8369774E-001, 2.5188486E+000, 1.9502524E+000, 2.4780906E+000, 1.6197116E+000, 1.2342703E+000, 9.2405801E-001, 4.2543050E-001, 1.7658052E+000
 5.0002189E+001, 9.4087512E-001, 9.2615698E-001, 6.8965461E-001, 2.5632498E+000, 1.9955939E+000, 2.4416723E+000, 1.6347317E+000, 1.2476511E+000, 9.3488129E-001, 4.2649785E-001, 1.7334770E+000
 5.5000029E+001, 9.0977839E-001, 9.4072298E-001, 6.7886709E-001, 2.4857024E+000, 1.9233567E+000, 2.4492421E+000, 1.6108852E+000, 1.2289208E+000, 9.1862969E-001, 4.2364419E-001, 1.7466896E+000
 6.0000774E+001, 9.2349263E-001, 9.3239644E-001, 6.7874126E-001, 2.5817017E+000, 1.9913420E+000, 2.4451117E+000, 1.6429044E+000, 1.2490842E+000, 9.2768261E-001, 4.1789150E-001, 1.7391097E+000
 6.5001519E+001, 9.5747405E-001, 9.3096212E-001, 6.9799295E-001, 2.5967317E+000, 2.0379574E+000, 2.4390976E+000, 1.6267527E+000, 1.2600819E+000, 9.4920760E-001, 4.2834608E-001, 1.7349246E+000
 7.0002263E+001, 9.4341731E-001, 9.2585900E-001, 6.8063697E-001, 2.5868036E+000, 2.0166987E+000, 2.4340015E+000, 1.6197706E+000, 1.2409302E+000, 9.2761345E-001, 4.1767875E-001, 1.7305263E+000
 7.5005155E+001, 9.2460757E-001, 9.3219390E-001, 6.7828145E-001, 2.5240759E+000, 1.9579741E+000, 2.4424234E+000, 1.6130335E+000, 1.2285538E+000, 9.1806052E-001, 4.2187924E-001, 1.7391812E+000
 8.0002815E+001, 9.0873358E-001, 9.2825870E-001, 6.7473127E-001, 2.4619420E+000, 1.9082807E+000, 2.4516112E+000, 1.5833086E+000, 1.2101808E+000, 9.0999523E-001, 4.2131001E-001, 1.7417915E+000
 8.5001582E+001, 9.2376880E-001, 9.4098469E-001, 6.8065973E-001, 2.5412307E+000, 1.9707369E+000, 2.4459082E+000, 1.6183852E+000, 1.2374082E+000, 9.2485013E-001, 4.2083168E-001, 1.7480086E+000
 9.0001561E+001, 9.2355045E-001, 9.3634220E-001, 6.7466949E-001, 2.5564948E+000, 1.9756462E+000, 2.4465080E+000, 1.6076911E+000, 1.2258937E+000, 9.1559158E-001, 4.1810679E-001, 1.7431991E+000
 9.5003954E+001, 9.3154251E-001, 9.3377074E-001, 6.9272267E-001, 2.5409674E+000, 1.9774857E+000, 2.4530496E+000, 1.6339446E+000, 1.2535791E+000, 9.4035445E-001, 4.2778285E-001, 1.7450209E+000
 1.0000000E+002, 9.4202180E-001, 9.4101742E-001, 6.8542452E-001, 2.5543532E+000, 1.9918884E+000, 2.4535988E+000, 1.6150795E+000, 1.2401093E+000, 9.3021033E-001, 4.2410891E-001, 1.7512108E+000
