s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B3","B4","B5","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0066073E+000, 4.1811263E-001, 1.6696905E+000, 8.9038199E-001, 1.7596342E+000, 3.0248452E-001, 1.2827654E+000, 7.9520345E-001, 2.5186674E-001, 2.9950967E+000, 1.8226296E-001
 1.0003173E+001, 2.2655728E+000, 5.3313459E+000, 3.1724589E+000, 1.6647799E+001, 4.2456472E+000, 5.4789717E+000, 3.7406333E+000, 1.2839329E+000, 9.0101554E+000, 1.2616598E+000
 1.5003400E+001, 2.1049882E+000, 4.6879882E+000, 2.7873400E+000, 2.2284806E+001, 5.5052133E+000, 5.1319798E+000, 3.5042465E+000, 1.0927720E+000, 7.9143208E+000, 1.1603079E+000
 2.0003582E+001, 1.9912626E+000, 4.4489187E+000, 2.5902244E+000, 2.2261717E+001, 5.3731017E+000, 4.9376779E+000, 3.3515608E+000, 9.8565392E-001, 7.6012989E+000, 1.0828601E+000
 2.5003042E+001, 1.8422981E+000, 4.1502565E+000, 2.4303571E+000, 2.6990787E+001, 5.9046577E+000, 4.6320329E+000, 3.1226775E+000, 9.2343698E-001, 7.0566314E+000, 9.9380370E-001
 3.0000225E+001, 1.7900900E+000, 4.0841722E+000, 2.3577313E+000, 3.1011202E+001, 6.1398262E+000, 4.4946683E+000, 3.0343833E+000, 8.8940151E-001, 6.9838047E+000, 9.6511358E-001
 3.5000590E+001, 1.8755350E+000, 4.0922891E+000, 2.3858203E+000, 3.2956482E+001, 6.1965624E+000, 4.7242392E+000, 3.1815694E+000, 9.1742704E-001, 6.9561340E+000, 1.0100916E+000
 4.0000989E+001, 1.9326483E+000, 4.1877541E+000, 2.4302102E+000, 2.9724148E+001, 5.6293226E+000, 4.8634397E+000, 3.2759333E+000, 9.1893573E-001, 7.1319862E+000, 1.0437184E+000
 4.5003259E+001, 2.0082289E+000, 4.2707024E+000, 2.5035917E+000, 2.7175420E+001, 5.2458817E+000, 4.9498338E+000, 3.3576540E+000, 9.5917525E-001, 7.2480124E+000, 1.1102180E+000
 5.0001594E+001, 2.0379897E+000, 4.2980184E+000, 2.5240364E+000, 3.1317033E+001, 5.7690450E+000, 5.0279987E+000, 3.4118505E+000, 9.4869492E-001, 7.2771938E+000, 1.1132326E+000
 5.5002524E+001, 2.0115198E+000, 4.3615921E+000, 2.5419661E+000, 2.6929015E+001, 5.4465598E+000, 4.9628602E+000, 3.3662124E+000, 9.5859411E-001, 7.4188962E+000, 1.1064319E+000
 6.0002140E+001, 2.0613002E+000, 4.3699653E+000, 2.5680435E+000, 2.5763959E+001, 5.1357300E+000, 5.1223700E+000, 3.4608326E+000, 9.8759976E-001, 7.4489825E+000, 1.1326850E+000
 6.5000027E+001, 2.2186776E+000, 4.5401588E+000, 2.6628798E+000, 2.2846636E+001, 4.8235953E+000, 5.4406200E+000, 3.6960721E+000, 1.0274664E+000, 7.7290185E+000, 1.2306282E+000
 7.0003205E+001, 2.1499733E+000, 4.6144359E+000, 2.7056628E+000, 2.5279583E+001, 5.0527204E+000, 5.2651660E+000, 3.5794638E+000, 1.0345919E+000, 7.8838348E+000, 1.1883643E+000
 7.5003580E+001, 2.0762472E+000, 4.7501963E+000, 2.7658921E+000, 2.4419492E+001, 5.1262847E+000, 5.1417702E+000, 3.4807022E+000, 1.0425323E+000, 8.1243596E+000, 1.1420595E+000
 8.0001296E+001, 2.1361395E+000, 4.7372802E+000, 2.7821970E+000, 2.2413501E+001, 4.6628019E+000, 5.2627369E+000, 3.5671536E+000, 1.0820556E+000, 8.0595563E+000, 1.1789663E+000
 8.5004193E+001, 2.0806594E+000, 4.7751501E+000, 2.8054282E+000, 2.1766981E+001, 4.7271470E+000, 5.1445878E+000, 3.4795020E+000, 1.0925961E+000, 8.1759544E+000, 1.1551419E+000
 9.0002833E+001, 2.1052553E+000, 4.7420100E+000, 2.7701876E+000, 2.2286552E+001, 4.8720759E+000, 5.2009794E+000, 3.5224973E+000, 1.0608475E+000, 8.1378569E+000, 1.1623059E+000
 9.5001157E+001, 2.0919238E+000, 4.8077167E+000, 2.8274502E+000, 2.1035042E+001, 4.2880535E+000, 5.1643989E+000, 3.4972750E+000, 1.1136440E+000, 8.2382538E+000, 1.1535407E+000
 1.0000000E+002, 2.1955360E+000, 4.8712379E+000, 2.8661819E+000, 2.1991370E+001, 4.5572600E+000, 5.3525118E+000, 3.6449477E+000, 1.1437611E+000, 8.3067899E+000, 1.2211648E+000
