s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","L6","L7","L8","L9"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0079372E+000, 1.1445123E+000, 5.3223904E-001, 7.8664157E-001, 3.7133449E-001, 2.3323976E+000, 2.5148498E+000, 1.3548321E-001, 1.4646246E+000, 2.2768668E-001, 1.9166462E+000, 1.0110385E+000, 3.7133449E-001, 1.1469087E-001, 3.7215569E-002
 1.0004190E+001, 2.2145812E+000, 1.0113501E+000, 1.8417386E+000, 1.1788864E+000, 5.0470238E+000, 4.8475718E+000, 2.9462980E-001, 3.4138747E+000, 5.9641581E-001, 7.3622115E+000, 3.2238361E+000, 1.1788864E+000, 4.2312300E-001, 1.4627856E-001
 1.5006486E+001, 2.2520484E+000, 1.0359498E+000, 1.9307312E+000, 1.1842261E+000, 5.1885976E+000, 4.8931523E+000, 3.0747742E-001, 3.5548937E+000, 6.3997873E-001, 9.5252605E+000, 3.4869011E+000, 1.1842261E+000, 4.4702145E-001, 1.6410092E-001
 2.0005455E+001, 2.2751167E+000, 1.0438017E+000, 1.9308714E+000, 1.1546532E+000, 5.1850400E+000, 4.9336895E+000, 3.0917447E-001, 3.5513086E+000, 6.4164323E-001, 8.8403936E+000, 3.3490214E+000, 1.1546532E+000, 4.3456322E-001, 1.5906304E-001
 2.5003122E+001, 2.2555433E+000, 1.0339289E+000, 1.9154766E+000, 1.1674171E+000, 5.1622884E+000, 4.8909632E+000, 3.0713631E-001, 3.5303709E+000, 6.3365711E-001, 9.0588617E+000, 3.4738370E+000, 1.1674171E+000, 4.3088438E-001, 1.5750773E-001
 3.0008153E+001, 2.2334728E+000, 1.0254219E+000, 1.9064000E+000, 1.1654143E+000, 5.1265474E+000, 4.8511419E+000, 3.0548284E-001, 3.5130219E+000, 6.3368557E-001, 8.5020075E+000, 3.4551055E+000, 1.1654143E+000, 4.2705980E-001, 1.5741950E-001
 3.5007484E+001, 2.2077246E+000, 1.0103604E+000, 1.8976859E+000, 1.2443889E+000, 5.1026904E+000, 4.8119905E+000, 2.9970852E-001, 3.4909838E+000, 6.3233649E-001, 9.3217553E+000, 3.6394907E+000, 1.2443889E+000, 4.5427100E-001, 1.6291054E-001
 4.0004757E+001, 2.2264133E+000, 1.0235894E+000, 1.9205525E+000, 1.2638854E+000, 5.1499840E+000, 4.8428348E+000, 3.0567556E-001, 3.5315439E+000, 6.3910568E-001, 1.0090323E+001, 3.7793401E+000, 1.2638854E+000, 4.6508538E-001, 1.6743826E-001
 4.5008057E+001, 2.2192364E+000, 1.0186595E+000, 1.9172209E+000, 1.2332184E+000, 5.1366152E+000, 4.8341119E+000, 3.0420462E-001, 3.5186867E+000, 6.3930092E-001, 9.0919650E+000, 3.5497074E+000, 1.2332184E+000, 4.5421326E-001, 1.6592141E-001
 5.0007379E+001, 2.2060692E+000, 1.0125552E+000, 1.9226394E+000, 1.3233840E+000, 5.1178071E+000, 4.8176197E+000, 3.0416376E-001, 3.5171600E+000, 6.5118717E-001, 9.5732756E+000, 3.7929925E+000, 1.3233840E+000, 4.9346792E-001, 1.8230258E-001
 5.5003456E+001, 2.1822602E+000, 9.9969012E-001, 1.9053263E+000, 1.3761501E+000, 5.0726304E+000, 4.7614549E+000, 2.9875975E-001, 3.4867810E+000, 6.4113174E-001, 1.0549196E+001, 4.0538448E+000, 1.3761501E+000, 5.1098403E-001, 1.8315746E-001
 6.0001521E+001, 2.1804887E+000, 9.9860928E-001, 1.9044157E+000, 1.3161804E+000, 5.0905356E+000, 4.7860373E+000, 2.9960233E-001, 3.4914136E+000, 6.3996718E-001, 9.9864698E+000, 3.8252717E+000, 1.3161804E+000, 4.7826510E-001, 1.7284097E-001
 6.5005195E+001, 2.2093651E+000, 1.0098339E+000, 1.9221412E+000, 1.3461904E+000, 5.1441252E+000, 4.8411997E+000, 3.0219599E-001, 3.5256998E+000, 6.4475616E-001, 9.6328867E+000, 3.8843783E+000, 1.3461904E+000, 4.9547919E-001, 1.7885699E-001
 7.0001997E+001, 2.2040578E+000, 1.0094712E+000, 1.9001007E+000, 1.3292076E+000, 5.0573161E+000, 4.8243999E+000, 3.0137912E-001, 3.4771965E+000, 6.4089039E-001, 9.8029808E+000, 3.7951327E+000, 1.3292076E+000, 4.9754391E-001, 1.8059333E-001
 7.5007020E+001, 2.1901078E+000, 1.0022769E+000, 1.8914365E+000, 1.2992854E+000, 5.0689611E+000, 4.8100104E+000, 2.9928260E-001, 3.4700979E+000, 6.3202274E-001, 1.0806893E+001, 3.8752153E+000, 1.2992854E+000, 4.7338030E-001, 1.7072062E-001
 8.0001624E+001, 2.1856989E+000, 1.0009791E+000, 1.8915335E+000, 1.3202262E+000, 5.0399743E+000, 4.7726995E+000, 2.9882818E-001, 3.4665645E+000, 6.3374938E-001, 1.1050923E+001, 3.8863993E+000, 1.3202262E+000, 4.8440060E-001, 1.7267472E-001
 8.5009457E+001, 2.1847765E+000, 9.9865663E-001, 1.8939588E+000, 1.3239951E+000, 5.0829687E+000, 4.7906387E+000, 2.9992840E-001, 3.4768759E+000, 6.3762131E-001, 1.1150692E+001, 3.9300017E+000, 1.3239951E+000, 4.9045410E-001, 1.7802858E-001
 9.0005312E+001, 2.1822857E+000, 9.9621100E-001, 1.8886922E+000, 1.3250773E+000, 5.0813191E+000, 4.8027571E+000, 2.9775987E-001, 3.4749915E+000, 6.3242364E-001, 9.9104948E+000, 3.8123339E+000, 1.3250773E+000, 4.8213585E-001, 1.7098570E-001
 9.5005228E+001, 2.2064446E+000, 1.0146005E+000, 1.9137126E+000, 1.3046658E+000, 5.1314296E+000, 4.8450369E+000, 3.0361538E-001, 3.5158016E+000, 6.4104832E-001, 9.4828380E+000, 3.7674959E+000, 1.3046658E+000, 4.8712033E-001, 1.7672182E-001
 1.0000000E+002, 2.1896207E+000, 1.0049393E+000, 1.8936166E+000, 1.3122681E+000, 5.0519037E+000, 4.7856212E+000, 3.0126601E-001, 3.4717386E+000, 6.3788443E-001, 1.0253322E+001, 3.8373255E+000, 1.3122681E+000, 4.8541605E-001, 1.7690404E-001
