s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B2","B3","B4","B5","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0028369E+000, 2.3182836E-001, 3.0167761E-001, 8.6715823E-001, 5.0429087E-001, 5.0835745E-001, 7.9794723E-002, 1.3822769E+000, 7.4379605E-001, 2.0011190E-001, 1.4048395E+000, 1.1820642E-001
 1.0010393E+001, 9.2359098E-001, 1.0549719E+000, 2.9295369E+000, 1.6528473E+000, 1.8565647E+000, 2.7944923E-001, 3.9860115E+000, 2.2340902E+000, 6.7910362E-001, 4.7883081E+000, 4.4878828E-001
 1.5002746E+001, 8.9797625E-001, 1.0499142E+000, 2.8056344E+000, 1.5803572E+000, 1.7726026E+000, 2.9103925E-001, 3.9559981E+000, 2.1995443E+000, 6.6431609E-001, 4.5891328E+000, 4.5592311E-001
 2.0004237E+001, 9.2806312E-001, 1.0660631E+000, 2.8734473E+000, 1.6461930E+000, 1.7908599E+000, 2.9751901E-001, 3.9673831E+000, 2.2261728E+000, 7.0783951E-001, 4.6198361E+000, 4.5785818E-001
 2.5000900E+001, 9.4845691E-001, 1.0554389E+000, 2.8372264E+000, 1.6357452E+000, 1.7930417E+000, 3.0891656E-001, 3.9637057E+000, 2.1992569E+000, 7.0486397E-001, 4.6040098E+000, 4.6616328E-001
 3.0008398E+001, 9.4903820E-001, 1.1055460E+000, 2.8961993E+000, 1.6465043E+000, 1.8235796E+000, 3.1355395E-001, 4.0836085E+000, 2.2739498E+000, 7.0346917E-001, 4.6792552E+000, 4.8767940E-001
 3.5001839E+001, 9.1130014E-001, 1.0456193E+000, 2.8167300E+000, 1.6455478E+000, 1.7503293E+000, 2.8640202E-001, 3.9480964E+000, 2.2023242E+000, 7.0275682E-001, 4.5213257E+000, 4.4893244E-001
 4.0004340E+001, 8.9835969E-001, 1.0383721E+000, 2.7902048E+000, 1.5664017E+000, 1.7484330E+000, 3.0065644E-001, 3.9384858E+000, 2.1818733E+000, 6.7118540E-001, 4.6010167E+000, 4.5316931E-001
 4.5008538E+001, 9.3850614E-001, 1.0623264E+000, 2.8693810E+000, 1.6335497E+000, 1.8009591E+000, 3.0638046E-001, 3.9303641E+000, 2.2001019E+000, 7.0061758E-001, 4.6398237E+000, 4.6856623E-001
 5.0009125E+001, 9.2900860E-001, 1.0536380E+000, 2.8394488E+000, 1.6133000E+000, 1.8069939E+000, 2.8980138E-001, 3.9110409E+000, 2.1910805E+000, 6.7721950E-001, 4.6180364E+000, 4.6179969E-001
 5.5000082E+001, 9.0283277E-001, 1.0729006E+000, 2.8315478E+000, 1.5992843E+000, 1.7695048E+000, 2.8533895E-001, 3.9807810E+000, 2.2350735E+000, 6.7117745E-001, 4.6256758E+000, 4.6826827E-001
 6.0004441E+001, 8.7835533E-001, 1.0745839E+000, 2.8068944E+000, 1.5878499E+000, 1.7124889E+000, 2.8586699E-001, 3.9888363E+000, 2.2350326E+000, 6.7466635E-001, 4.5813945E+000, 4.6551746E-001
 6.5002404E+001, 9.1854352E-001, 1.0862965E+000, 2.8102739E+000, 1.5979272E+000, 1.7637983E+000, 3.0364151E-001, 4.0018541E+000, 2.2592430E+000, 6.9503944E-001, 4.5676398E+000, 4.7325871E-001
 7.0001502E+001, 9.3803432E-001, 1.1032199E+000, 2.8482468E+000, 1.6260730E+000, 1.7941915E+000, 3.0972720E-001, 4.0434672E+000, 2.2749636E+000, 7.0054988E-001, 4.6073612E+000, 4.8704023E-001
 7.5008093E+001, 8.9632533E-001, 1.0565873E+000, 2.8474432E+000, 1.6015625E+000, 1.8006994E+000, 2.7548050E-001, 3.9553828E+000, 2.2056858E+000, 6.5613238E-001, 4.6335274E+000, 4.6073463E-001
 8.0001790E+001, 9.0249335E-001, 1.0798415E+000, 2.8270816E+000, 1.5985330E+000, 1.7480133E+000, 2.8953180E-001, 3.9466769E+000, 2.2270400E+000, 6.7119317E-001, 4.6146420E+000, 4.7218357E-001
 8.5006282E+001, 9.2646371E-001, 1.0739311E+000, 2.8634790E+000, 1.6392875E+000, 1.8003671E+000, 2.9996845E-001, 4.0291835E+000, 2.2551977E+000, 6.9408090E-001, 4.6062699E+000, 4.6642069E-001
 9.0008014E+001, 9.3591251E-001, 1.0690926E+000, 2.8429970E+000, 1.6524620E+000, 1.8125917E+000, 2.9263858E-001, 3.9026893E+000, 2.2041855E+000, 7.0160405E-001, 4.5659307E+000, 4.7042018E-001
 9.5000278E+001, 9.3188483E-001, 1.0876473E+000, 2.8655139E+000, 1.6611927E+000, 1.7810915E+000, 2.9831426E-001, 4.0194455E+000, 2.2587400E+000, 7.1567673E-001, 4.6193387E+000, 4.7179852E-001
 1.0000000E+002, 9.0526272E-001, 1.0921453E+000, 2.8201298E+000, 1.6121907E+000, 1.7340196E+000, 3.0096318E-001, 4.0148319E+000, 2.2542253E+000, 6.9106579E-001, 4.5290835E+000, 4.7851972E-001
