s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B3","B5","L1","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0033508E+000, 8.0181849E-001, 2.5534504E+000, 2.5830975E+000, 1.6615375E-001, 1.6665654E+000, 2.5695267E-001, 3.0088998E+000, 1.7038415E+000, 4.4543965E-001, 1.4113110E-001
 1.0002127E+001, 1.9458992E+000, 5.5666361E+000, 4.9962763E+000, 3.9984352E-001, 3.6822891E+000, 6.5497729E-001, 1.0721053E+001, 5.4383046E+000, 1.6745043E+000, 5.7554829E-001
 1.5002383E+001, 2.0120860E+000, 5.6562802E+000, 5.1158292E+000, 4.2517506E-001, 3.7538870E+000, 6.8971379E-001, 2.0553848E+001, 8.6662472E+000, 2.1842645E+000, 7.8160892E-001
 2.0007084E+001, 1.9994007E+000, 5.6294055E+000, 5.0844705E+000, 4.2154275E-001, 3.7352187E+000, 6.8435875E-001, 2.2202021E+001, 8.7046328E+000, 2.0113426E+000, 7.0858745E-001
 2.5005542E+001, 1.9785508E+000, 5.5963398E+000, 5.0919157E+000, 4.2421751E-001, 3.7049155E+000, 6.7956477E-001, 2.1057059E+001, 8.5872133E+000, 2.0683120E+000, 7.1682358E-001
 3.0002270E+001, 1.9801604E+000, 5.5754677E+000, 5.0897576E+000, 4.2430883E-001, 3.7004871E+000, 6.7870870E-001, 2.0452961E+001, 8.2679654E+000, 2.0435500E+000, 7.0058850E-001
 3.5004270E+001, 1.9952264E+000, 5.6335841E+000, 5.0636863E+000, 4.2146606E-001, 3.7332520E+000, 6.8635550E-001, 2.2094896E+001, 9.0840371E+000, 2.1883244E+000, 7.5234080E-001
 4.0002862E+001, 1.9857904E+000, 5.6125266E+000, 5.0349193E+000, 4.1912258E-001, 3.7180676E+000, 6.8188682E-001, 1.8339143E+001, 8.8420625E+000, 2.1728909E+000, 7.4813745E-001
 4.5004561E+001, 1.9835092E+000, 5.5971549E+000, 5.0387576E+000, 4.1983478E-001, 3.7103170E+000, 6.8305299E-001, 2.0229796E+001, 8.4653879E+000, 2.1131038E+000, 7.3616583E-001
 5.0004692E+001, 1.9798552E+000, 5.5934977E+000, 5.0459974E+000, 4.2039875E-001, 3.7030548E+000, 6.7989976E-001, 1.9459506E+001, 8.3255268E+000, 2.0521255E+000, 7.1250261E-001
 5.5002655E+001, 1.9842432E+000, 5.5982686E+000, 5.0724606E+000, 4.2198997E-001, 3.7094141E+000, 6.8430433E-001, 2.1256108E+001, 8.5714566E+000, 2.1262762E+000, 7.3626053E-001
 6.0005161E+001, 1.9858870E+000, 5.6025098E+000, 5.0311500E+000, 4.1804391E-001, 3.7113937E+000, 6.8492290E-001, 1.9408163E+001, 7.9159557E+000, 1.9875770E+000, 6.8596899E-001
 6.5004994E+001, 1.9758208E+000, 5.5627033E+000, 5.0204308E+000, 4.1900271E-001, 3.6877636E+000, 6.8165319E-001, 1.7167922E+001, 7.5045112E+000, 1.9929461E+000, 6.8645104E-001
 7.0001316E+001, 1.9906944E+000, 5.6300098E+000, 5.0188162E+000, 4.1826174E-001, 3.7259133E+000, 6.8575190E-001, 1.6622683E+001, 7.4325477E+000, 1.9865501E+000, 6.8642990E-001
 7.5003386E+001, 2.0054522E+000, 5.6555717E+000, 5.0404397E+000, 4.1988373E-001, 3.7461504E+000, 6.9222871E-001, 1.7388815E+001, 7.3975113E+000, 1.9443303E+000, 6.6216988E-001
 8.0002510E+001, 1.9890521E+000, 5.6160892E+000, 5.0380159E+000, 4.1844368E-001, 3.7199118E+000, 6.8589504E-001, 1.8955326E+001, 8.2066049E+000, 2.0687680E+000, 7.1371857E-001
 8.5004127E+001, 1.9842569E+000, 5.5870629E+000, 5.0119234E+000, 4.1850459E-001, 3.7027627E+000, 6.8324945E-001, 2.0015320E+001, 7.7577820E+000, 1.9950928E+000, 6.8718400E-001
 9.0006842E+001, 1.9862394E+000, 5.5901475E+000, 5.0018291E+000, 4.1840413E-001, 3.7090576E+000, 6.8416447E-001, 2.0702542E+001, 8.2547292E+000, 2.0299940E+000, 7.0235443E-001
 9.5008422E+001, 1.9855165E+000, 5.6000601E+000, 4.9985665E+000, 4.1793392E-001, 3.7113348E+000, 6.8531916E-001, 1.9043871E+001, 7.2836883E+000, 1.9486155E+000, 6.5951650E-001
 1.0000000E+002, 1.9998734E+000, 5.6320672E+000, 5.0377341E+000, 4.1971904E-001, 3.7341522E+000, 6.8924989E-001, 1.7476660E+001, 7.4973292E+000, 1.9748425E+000, 6.7071382E-001
