s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B2","B3","B4","B5","L1","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0051448E+000, 4.0447493E-001, 1.0639980E-001, 1.6325169E-001, 8.4374016E-001, 1.4908942E+000, 3.4845071E-001, 1.9202990E-001, 5.3266714E-001, 2.6886663E-001, 6.8885437E-002, 7.5638203E-001, 4.2601227E-002
 1.0005598E+001, 1.4434823E+000, 5.8612848E-001, 6.7657949E-001, 2.8526646E+000, 5.3632721E+000, 1.3888685E+000, 6.9220550E-001, 2.2609944E+000, 1.2699724E+000, 3.3003407E-001, 2.7847937E+000, 2.8392696E-001
 1.5001089E+001, 1.4726461E+000, 6.1696989E-001, 7.1567408E-001, 2.8005389E+000, 5.1687700E+000, 1.4141196E+000, 7.3567339E-001, 2.3281023E+000, 1.3171701E+000, 3.7511410E-001, 2.7376720E+000, 3.0533211E-001
 2.0006426E+001, 1.4113910E+000, 6.4203792E-001, 6.7854177E-001, 2.7909054E+000, 5.4018421E+000, 1.3535194E+000, 6.9810901E-001, 2.4295721E+000, 1.3729366E+000, 3.5670586E-001, 2.7127797E+000, 3.2053155E-001
 2.5000617E+001, 1.4299752E+000, 5.9002811E-001, 6.7561200E-001, 2.7931924E+000, 5.2726081E+000, 1.3570778E+000, 7.0038076E-001, 2.3683280E+000, 1.3157537E+000, 3.4175743E-001, 2.6961683E+000, 2.8197129E-001
 3.0000431E+001, 1.4370155E+000, 6.1569701E-001, 6.8839420E-001, 2.7770049E+000, 5.2352563E+000, 1.3478222E+000, 7.2392876E-001, 2.4153171E+000, 1.3394100E+000, 3.7109311E-001, 2.6526847E+000, 3.1188246E-001
 3.5007476E+001, 1.5095470E+000, 6.3794040E-001, 7.1382459E-001, 2.8945580E+000, 5.4041401E+000, 1.4157674E+000, 7.4597104E-001, 2.3888532E+000, 1.3483523E+000, 3.5452225E-001, 2.7521983E+000, 3.2167885E-001
 4.0001078E+001, 1.5345981E+000, 6.6881633E-001, 7.5203456E-001, 2.8700934E+000, 5.4306869E+000, 1.4459512E+000, 7.8206258E-001, 2.4301660E+000, 1.3860356E+000, 4.0652340E-001, 2.7362397E+000, 3.5365100E-001
