s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B2","B3","B4","L1","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0018988E+000, 1.1088658E+000, 5.3736236E-001, 4.7160648E-001, 2.8486117E+000, 1.8438202E+000, 1.4804631E+000, 1.9229337E+000, 2.3112677E+000, 1.3158861E+000, 1.3418998E+000, 4.7160648E-001
 1.0005425E+001, 5.5470446E+000, 3.2973125E+000, 3.5800531E+000, 1.2696505E+001, 8.6551494E+000, 7.1580508E+000, 8.9197734E+000, 1.2128081E+001, 7.8283436E+000, 6.3652244E+000, 3.5800531E+000
 1.5000597E+001, 5.6459321E+000, 3.1970562E+000, 3.4906432E+000, 1.3082446E+001, 8.9021560E+000, 7.3844993E+000, 9.3592649E+000, 1.1455637E+001, 7.5886283E+000, 6.5383822E+000, 3.4906432E+000
 2.0004978E+001, 5.2639005E+000, 2.9395466E+000, 3.2969308E+000, 1.2815013E+001, 8.8297319E+000, 7.3471247E+000, 8.8562710E+000, 1.0771332E+001, 7.1341951E+000, 6.4505018E+000, 3.2969308E+000
 2.5001039E+001, 5.4366498E+000, 3.0730575E+000, 3.4253944E+000, 1.2959537E+001, 9.0237106E+000, 7.5497339E+000, 9.0976078E+000, 1.0962393E+001, 7.3357399E+000, 6.5437934E+000, 3.4253944E+000
 3.0004681E+001, 5.6843939E+000, 3.2814129E+000, 3.4796538E+000, 1.3528899E+001, 9.2429047E+000, 7.7941674E+000, 9.4244147E+000, 1.1506330E+001, 7.5205055E+000, 6.7907468E+000, 3.4796538E+000
 3.5004647E+001, 5.8207610E+000, 3.3710966E+000, 3.6182477E+000, 1.3380061E+001, 9.3752003E+000, 7.9123833E+000, 9.6066865E+000, 1.1392461E+001, 7.5910279E+000, 6.7453375E+000, 3.6182477E+000
 4.0004774E+001, 5.7225902E+000, 3.3004401E+000, 3.3464670E+000, 1.2955034E+001, 9.0783096E+000, 7.7362643E+000, 9.5318091E+000, 1.0990498E+001, 7.2041542E+000, 6.4994119E+000, 3.3464670E+000
 4.5002259E+001, 6.0412615E+000, 3.4407547E+000, 3.5605879E+000, 1.3629019E+001, 9.5443556E+000, 8.1436707E+000, 1.0075472E+001, 1.1559498E+001, 7.5983715E+000, 6.8055342E+000, 3.5605879E+000
 5.0000057E+001, 5.9428837E+000, 3.4251259E+000, 3.5026062E+000, 1.3248569E+001, 9.2701633E+000, 7.8836217E+000, 9.8600955E+000, 1.1347837E+001, 7.4920933E+000, 6.6397317E+000, 3.5026062E+000
 5.5000320E+001, 6.0815824E+000, 3.5339967E+000, 3.4600685E+000, 1.3128818E+001, 9.3173514E+000, 7.9801073E+000, 1.0058439E+001, 1.1338266E+001, 7.4671943E+000, 6.6114417E+000, 3.4600685E+000
 6.0004735E+001, 5.6057987E+000, 3.1831455E+000, 3.3424087E+000, 1.2857961E+001, 8.9602935E+000, 7.5799036E+000, 9.3465942E+000, 1.0918069E+001, 7.2072054E+000, 6.4014554E+000, 3.3424087E+000
 6.5004800E+001, 5.8564897E+000, 3.2963699E+000, 3.3988294E+000, 1.2988573E+001, 9.1697602E+000, 7.8666191E+000, 9.8424913E+000, 1.1088945E+001, 7.2977507E+000, 6.4937221E+000, 3.3988294E+000
 7.0004365E+001, 5.7592119E+000, 3.2010238E+000, 3.4373310E+000, 1.3142040E+001, 9.2483675E+000, 7.8746000E+000, 9.7961499E+000, 1.1014318E+001, 7.2941306E+000, 6.5519502E+000, 3.4373310E+000
 7.5006150E+001, 5.6404533E+000, 3.1254837E+000, 3.5486467E+000, 1.3607411E+001, 9.3928363E+000, 7.9422692E+000, 9.6247415E+000, 1.1248425E+001, 7.4407407E+000, 6.8409798E+000, 3.5486467E+000
 8.0006229E+001, 5.5969414E+000, 3.1468799E+000, 3.4300545E+000, 1.3025991E+001, 9.1059522E+000, 7.7333796E+000, 9.4617894E+000, 1.1002018E+001, 7.3045302E+000, 6.5330186E+000, 3.4300545E+000
 8.5000445E+001, 5.5803153E+000, 3.1022530E+000, 3.4993822E+000, 1.3328497E+001, 9.3037895E+000, 7.8487266E+000, 9.4661175E+000, 1.1173613E+001, 7.4725318E+000, 6.7600122E+000, 3.4993822E+000
 9.0000808E+001, 5.5854762E+000, 3.0688472E+000, 3.4292990E+000, 1.3491995E+001, 9.4265193E+000, 7.9984317E+000, 9.5809896E+000, 1.1098218E+001, 7.3558948E+000, 6.7058218E+000, 3.4292990E+000
 9.5001820E+001, 5.3461468E+000, 2.9161178E+000, 3.4613054E+000, 1.3096272E+001, 9.0115014E+000, 7.6635771E+000, 9.2000550E+000, 1.1018442E+001, 7.3115195E+000, 6.5848449E+000, 3.4613054E+000
 1.0000000E+002, 5.4117307E+000, 3.0220048E+000, 3.3342985E+000, 1.3211210E+001, 9.1128516E+000, 7.6851973E+000, 9.1846551E+000, 1.0878804E+001, 7.2409776E+000, 6.6161058E+000, 3.3342985E+000
