s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","L1","L2","L3","L4","L5","L6","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0004257E+000, 1.8642057E-001, 1.3976425E+000, 5.8615107E-001, 2.9418488E-001, 2.1396713E+000, 2.1386709E+000, 3.7404411E-001, 2.3974656E+000, 2.4501610E+000, 1.1231421E+000, 2.9418488E-001
 1.0006128E+001, 1.1452811E+000, 5.4339694E+000, 2.8870627E+000, 2.6391600E+000, 8.7551648E+000, 8.8199792E+000, 1.9955055E+000, 9.1459253E+000, 1.4017258E+001, 7.9050097E+000, 2.6391600E+000
 1.5000747E+001, 1.0315820E+000, 5.4503027E+000, 2.8156609E+000, 2.2296545E+000, 8.4003858E+000, 8.5648000E+000, 1.7812341E+000, 9.2996324E+000, 1.2485793E+001, 7.0084632E+000, 2.2296545E+000
 2.0004182E+001, 1.0010129E+000, 5.4167310E+000, 2.8008296E+000, 2.1438954E+000, 8.3568028E+000, 8.4859079E+000, 1.7904259E+000, 9.2207703E+000, 1.2344617E+001, 6.9101473E+000, 2.1438954E+000
 2.5001177E+001, 9.3254416E-001, 5.2757124E+000, 2.6796777E+000, 2.1524043E+000, 8.2856486E+000, 8.3759078E+000, 1.6561790E+000, 9.0243279E+000, 1.2463513E+001, 7.0391383E+000, 2.1524043E+000
 3.0004554E+001, 7.9602172E-001, 5.2246895E+000, 2.6343766E+000, 2.1415385E+000, 8.0586670E+000, 8.1935712E+000, 1.5458568E+000, 8.9507708E+000, 1.2666924E+001, 7.1627099E+000, 2.1415385E+000
 3.5007766E+001, 7.0738930E-001, 5.1323120E+000, 2.5716940E+000, 2.1986890E+000, 7.9734967E+000, 8.0691541E+000, 1.4672424E+000, 8.8464777E+000, 1.3177805E+001, 7.5043236E+000, 2.1986890E+000
 4.0000189E+001, 6.3567115E-001, 4.8881726E+000, 2.4035134E+000, 2.1568654E+000, 7.8165601E+000, 7.8552857E+000, 1.3383377E+000, 8.4701257E+000, 1.3296719E+001, 7.5031150E+000, 2.1568654E+000
 4.5004920E+001, 7.0340235E-001, 5.0375031E+000, 2.5221445E+000, 2.3874543E+000, 8.0677060E+000, 8.0723451E+000, 1.4263304E+000, 8.6579163E+000, 1.3865767E+001, 7.9055749E+000, 2.3874543E+000
 5.0006926E+001, 6.9337774E-001, 4.9246108E+000, 2.4668340E+000, 2.2578303E+000, 8.0579253E+000, 7.9897514E+000, 1.3990854E+000, 8.4927062E+000, 1.3270681E+001, 7.5744654E+000, 2.2578303E+000
 5.5002891E+001, 6.8359519E-001, 4.9455935E+000, 2.4699571E+000, 2.3306921E+000, 7.9680204E+000, 8.0065468E+000, 1.4233021E+000, 8.5413560E+000, 1.3721818E+001, 7.8169007E+000, 2.3306921E+000
 6.0000209E+001, 6.4342520E-001, 4.9483329E+000, 2.4387455E+000, 2.2355151E+000, 7.9944038E+000, 8.0001509E+000, 1.3654745E+000, 8.6226836E+000, 1.3825298E+001, 7.7946480E+000, 2.2355151E+000
 6.5006314E+001, 6.4209197E-001, 4.8928884E+000, 2.4147029E+000, 2.2491907E+000, 7.8925632E+000, 7.9338836E+000, 1.3444765E+000, 8.4842356E+000, 1.3728001E+001, 7.7236087E+000, 2.2491907E+000
 7.0005597E+001, 6.8160463E-001, 4.9470864E+000, 2.4510803E+000, 2.2252843E+000, 8.0358800E+000, 8.0163738E+000, 1.3828508E+000, 8.5533102E+000, 1.3148154E+001, 7.4905596E+000, 2.2252843E+000
 7.5005393E+001, 6.7227931E-001, 4.9934144E+000, 2.4871221E+000, 2.2459663E+000, 7.9865477E+000, 8.0243721E+000, 1.3871848E+000, 8.6553890E+000, 1.3429497E+001, 7.6298894E+000, 2.2459663E+000
 8.0004899E+001, 6.4381459E-001, 4.9242964E+000, 2.4290103E+000, 2.2104560E+000, 7.8903082E+000, 7.9586924E+000, 1.3726498E+000, 8.5285949E+000, 1.3437461E+001, 7.6223052E+000, 2.2104560E+000
 8.5008549E+001, 6.7207977E-001, 4.9931008E+000, 2.4905337E+000, 2.2700568E+000, 7.9132692E+000, 8.0437722E+000, 1.4090055E+000, 8.6329420E+000, 1.3476088E+001, 7.6511841E+000, 2.2700568E+000
 9.0003478E+001, 6.7135040E-001, 4.9473599E+000, 2.4583251E+000, 2.2566798E+000, 8.0472041E+000, 7.9729205E+000, 1.3875899E+000, 8.5501187E+000, 1.3788023E+001, 7.7363456E+000, 2.2566798E+000
 9.5007141E+001, 6.5958146E-001, 4.9045636E+000, 2.4244539E+000, 2.2079899E+000, 7.8771943E+000, 7.9726134E+000, 1.3818780E+000, 8.4789147E+000, 1.3678669E+001, 7.6960234E+000, 2.2079899E+000
 1.0000000E+002, 6.9070124E-001, 4.9361202E+000, 2.4655745E+000, 2.3426694E+000, 7.9046429E+000, 7.9017694E+000, 1.3898220E+000, 8.5022060E+000, 1.3869359E+001, 7.7939087E+000, 2.3426694E+000
