s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B2","B3","B4","B5","L1","L2","L3","L4","L5","L6","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0052261E+000, 2.2633094E-001, 7.8141865E-002, 1.3088624E-001, 4.4394524E-001, 9.8453279E-001, 2.8316957E-001, 8.8171278E-002, 3.3654407E-001, 1.7103195E-001, 5.3539593E-001, 2.7476721E-002
 1.0002957E+001, 6.6252198E-001, 2.7523690E-001, 4.2919320E-001, 1.2986798E+000, 2.7249257E+000, 8.4220981E-001, 2.8845844E-001, 9.7087675E-001, 5.6389285E-001, 1.5994571E+000, 1.0667274E-001
 1.5002768E+001, 6.6244491E-001, 2.6096885E-001, 4.3064465E-001, 1.2835953E+000, 2.6177307E+000, 8.3270212E-001, 2.8745650E-001, 9.4215313E-001, 5.4220479E-001, 1.5350712E+000, 1.0225959E-001
 2.0001157E+001, 6.4863518E-001, 2.5881655E-001, 3.9542913E-001, 1.2576937E+000, 2.6199409E+000, 7.5450380E-001, 2.8505190E-001, 9.4459345E-001, 5.4079664E-001, 1.4021237E+000, 1.0152498E-001
 2.5001165E+001, 6.5015059E-001, 2.6213860E-001, 3.7810186E-001, 1.2538288E+000, 2.6088390E+000, 7.1540050E-001, 2.8560825E-001, 9.3876595E-001, 5.4309891E-001, 1.3111370E+000, 1.0194608E-001
 3.0001173E+001, 6.4942144E-001, 2.5259744E-001, 3.5737250E-001, 1.2630411E+000, 2.6448423E+000, 6.7328427E-001, 2.8473528E-001, 9.2485279E-001, 5.2867716E-001, 1.2463513E+000, 9.9397791E-002
 3.5001181E+001, 6.4779267E-001, 2.5819701E-001, 3.5020106E-001, 1.2476611E+000, 2.5905260E+000, 6.5519136E-001, 2.8604016E-001, 9.4218427E-001, 5.4026150E-001, 1.2075836E+000, 1.0084523E-001
 4.0001189E+001, 6.3998016E-001, 2.5665887E-001, 3.4978724E-001, 1.2269923E+000, 2.5532286E+000, 6.5092335E-001, 2.8315817E-001, 9.4369183E-001, 5.4029936E-001, 1.1905090E+000, 9.9853919E-002
 4.5002138E+001, 6.4140039E-001, 2.6078243E-001, 3.4876743E-001, 1.2281781E+000, 2.5525343E+000, 6.4611658E-001, 2.8458016E-001, 9.4653675E-001, 5.4616574E-001, 1.1834408E+000, 1.0095862E-001
 5.0002358E+001, 6.4439424E-001, 2.6383760E-001, 3.4786361E-001, 1.2343682E+000, 2.5514368E+000, 6.4685067E-001, 2.8537905E-001, 9.4298408E-001, 5.4756044E-001, 1.1824016E+000, 1.0206300E-001
 5.5000796E+001, 6.4583482E-001, 2.5395268E-001, 3.4201180E-001, 1.2376676E+000, 2.5723851E+000, 6.3064532E-001, 2.8617195E-001, 9.3589388E-001, 5.3374909E-001, 1.1575500E+000, 9.9739843E-002
 6.0002182E+001, 6.4755126E-001, 2.3927013E-001, 3.5286265E-001, 1.2458949E+000, 2.5912758E+000, 6.5755087E-001, 2.8634921E-001, 9.0309127E-001, 5.0621087E-001, 1.2138115E+000, 9.6286437E-002
 6.5004342E+001, 6.5422852E-001, 2.3987765E-001, 3.5466071E-001, 1.2527770E+000, 2.5850480E+000, 6.6197544E-001, 2.8884240E-001, 9.0201181E-001, 5.0601512E-001, 1.2132133E+000, 9.6601213E-002
 7.0004090E+001, 6.4778293E-001, 2.3619033E-001, 3.4695653E-001, 1.2375018E+000, 2.5518493E+000, 6.4178903E-001, 2.8693836E-001, 8.8801457E-001, 4.9783898E-001, 1.1682425E+000, 9.5744065E-002
 7.5001274E+001, 6.5273181E-001, 2.3944048E-001, 3.4878523E-001, 1.2466581E+000, 2.5617222E+000, 6.4813047E-001, 2.8895226E-001, 9.0154158E-001, 5.0587678E-001, 1.1829760E+000, 9.6375613E-002
 8.0004009E+001, 6.4933520E-001, 2.4034870E-001, 3.5125661E-001, 1.2549406E+000, 2.6117226E+000, 6.5979856E-001, 2.8609336E-001, 8.9638595E-001, 5.0554276E-001, 1.2215065E+000, 9.6643090E-002
 8.5001136E+001, 6.7090888E-001, 2.3740519E-001, 3.5773747E-001, 1.3129039E+000, 2.7010178E+000, 6.7792391E-001, 2.8997589E-001, 8.9066733E-001, 4.9992661E-001, 1.2501981E+000, 9.5995182E-002
 9.0000406E+001, 6.5685704E-001, 2.3602531E-001, 3.4919552E-001, 1.2818391E+000, 2.6594589E+000, 6.6259950E-001, 2.8684809E-001, 8.8789638E-001, 4.9800727E-001, 1.2292087E+000, 9.5865992E-002
 9.5003313E+001, 6.6020874E-001, 2.3307716E-001, 3.5800073E-001, 1.2923515E+000, 2.6714168E+000, 6.7949692E-001, 2.8655325E-001, 8.7752108E-001, 4.8978399E-001, 1.2569362E+000, 9.5302325E-002
 1.0000000E+002, 6.5207143E-001, 2.3517933E-001, 3.4940119E-001, 1.2792606E+000, 2.6630588E+000, 6.6346070E-001, 2.8428666E-001, 8.8389137E-001, 4.9513172E-001, 1.2319700E+000, 9.5729370E-002
