s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","L1","L2","L3","L4","L5","L6","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0058757E+000, 2.6375618E-001, 1.1872560E+000, 5.9546435E-001, 9.5178119E-001, 4.5702976E+000, 1.5468297E+000, 1.5401833E+000, 2.3490566E+000, 3.2355680E+000, 1.9866455E+000, 9.5178119E-001
 1.0005675E+001, 1.7475238E+000, 5.6003986E+000, 3.3693454E+000, 5.0111984E+000, 1.6154451E+001, 7.7537378E+000, 7.4784094E+000, 9.2283094E+000, 1.3925842E+001, 8.7639150E+000, 5.0111984E+000
 1.5004071E+001, 1.8256828E+000, 5.9649101E+000, 3.5340406E+000, 5.3873878E+000, 1.7235416E+001, 8.3934626E+000, 8.1457623E+000, 9.8837009E+000, 1.4457461E+001, 9.1749390E+000, 5.3873878E+000
 2.0003851E+001, 1.9222061E+000, 5.9649032E+000, 3.5170742E+000, 5.2644248E+000, 1.7125107E+001, 8.3468462E+000, 8.1433516E+000, 9.9340298E+000, 1.4087497E+001, 8.9672938E+000, 5.2644248E+000
 2.5005961E+001, 1.6796876E+000, 5.7287364E+000, 3.4020125E+000, 5.0727001E+000, 1.6691389E+001, 8.0645930E+000, 7.8660075E+000, 9.4990678E+000, 1.3704314E+001, 8.7325765E+000, 5.0727001E+000
 3.0002717E+001, 1.8114491E+000, 6.0685793E+000, 3.6277381E+000, 5.4719246E+000, 1.7735782E+001, 8.5178827E+000, 8.3023066E+000, 1.0041927E+001, 1.4680586E+001, 9.3505459E+000, 5.4719246E+000
 3.5002211E+001, 1.8677246E+000, 5.6760524E+000, 3.3060343E+000, 5.1951330E+000, 1.7143612E+001, 8.0446471E+000, 7.8523417E+000, 9.5128007E+000, 1.3703073E+001, 8.7521570E+000, 5.1951330E+000
 4.0002037E+001, 1.8606696E+000, 5.6446734E+000, 3.1443793E+000, 5.0692615E+000, 1.7868911E+001, 8.1290862E+000, 8.0409955E+000, 9.7217383E+000, 1.3292898E+001, 8.5246157E+000, 5.0692615E+000
 4.5001482E+001, 1.8707688E+000, 5.3131703E+000, 2.8725167E+000, 4.8947096E+000, 1.8571916E+001, 7.8487950E+000, 7.7830423E+000, 9.3997315E+000, 1.2851894E+001, 8.2816165E+000, 4.8947096E+000
 5.0004434E+001, 1.9156629E+000, 5.2986483E+000, 2.9184324E+000, 5.0236047E+000, 1.8357046E+001, 7.7814865E+000, 7.6434785E+000, 9.2114626E+000, 1.3219108E+001, 8.4794506E+000, 5.0236047E+000
 5.5001080E+001, 1.9962255E+000, 5.5319606E+000, 3.1654845E+000, 5.0609698E+000, 1.7686454E+001, 7.9996549E+000, 7.8540561E+000, 9.4029420E+000, 1.3328682E+001, 8.5790187E+000, 5.0609698E+000
 6.0003055E+001, 2.0772880E+000, 5.4074278E+000, 3.0788459E+000, 5.2371072E+000, 1.7589528E+001, 7.8107952E+000, 7.6488116E+000, 9.1798295E+000, 1.3299444E+001, 8.6627825E+000, 5.2371072E+000
 6.5005458E+001, 1.8257735E+000, 5.0451433E+000, 2.7461714E+000, 4.8073847E+000, 1.7626615E+001, 7.4976426E+000, 7.3877354E+000, 8.9097283E+000, 1.2797216E+001, 8.2501680E+000, 4.8073847E+000
 7.0005626E+001, 1.9752866E+000, 5.2787415E+000, 2.9562715E+000, 5.0474237E+000, 1.7957061E+001, 7.7103094E+000, 7.5608298E+000, 9.0852472E+000, 1.3235321E+001, 8.5682819E+000, 5.0474237E+000
 7.5005046E+001, 2.0183914E+000, 5.0620963E+000, 2.7747903E+000, 5.0497555E+000, 1.7861020E+001, 7.7256729E+000, 7.5646498E+000, 8.8486617E+000, 1.3058531E+001, 8.4853125E+000, 5.0497555E+000
 8.0004405E+001, 1.8818134E+000, 4.9435144E+000, 2.7223446E+000, 4.6985001E+000, 1.7275776E+001, 7.2716941E+000, 7.1659841E+000, 8.6213958E+000, 1.2235424E+001, 7.9119796E+000, 4.6985001E+000
 8.5003797E+001, 1.9611383E+000, 5.0944365E+000, 2.7831369E+000, 5.0236073E+000, 1.8655938E+001, 7.9414833E+000, 7.8191536E+000, 9.0843874E+000, 1.3190672E+001, 8.5268832E+000, 5.0236073E+000
 9.0001416E+001, 2.0216176E+000, 5.0911339E+000, 2.7832996E+000, 4.7360815E+000, 1.7756913E+001, 7.7531809E+000, 7.6756442E+000, 9.0733794E+000, 1.2544203E+001, 8.0761812E+000, 4.7360815E+000
 9.5005666E+001, 1.9541749E+000, 5.4360065E+000, 3.1143834E+000, 5.0601614E+000, 1.7484896E+001, 8.0792276E+000, 7.9111894E+000, 9.2665186E+000, 1.3373721E+001, 8.5615712E+000, 5.0601614E+000
 1.0000000E+002, 1.9534060E+000, 5.6979389E+000, 3.2788352E+000, 5.2764376E+000, 1.7395882E+001, 8.5196358E+000, 8.3141322E+000, 9.7453086E+000, 1.4049530E+001, 8.9844101E+000, 5.2764376E+000
