s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","B5","L1","L3","L5","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0033904E+000, 2.9256681E-001, 6.9443070E-001, 4.1147706E-001, 2.9763893E-001, 4.1760334E-001, 6.7536008E-001, 7.5127319E-001, 1.2495967E+000, 3.6306258E-001, 5.2701408E-001
 1.0004313E+001, 8.2184789E-001, 1.8401242E+000, 1.0687805E+000, 7.7437186E-001, 1.1567458E+000, 1.8930108E+000, 1.9143949E+000, 3.1363628E+000, 1.0227283E+000, 1.3644636E+000
 1.5003984E+001, 7.9363329E-001, 1.8206697E+000, 1.0556595E+000, 7.6763323E-001, 1.1549553E+000, 1.8247166E+000, 1.9041967E+000, 3.1061589E+000, 9.8113340E-001, 1.3485774E+000
 2.0003102E+001, 7.0500301E-001, 1.7491812E+000, 1.0473251E+000, 7.6603576E-001, 1.0840181E+000, 1.6994428E+000, 1.8862415E+000, 3.0361183E+000, 8.8841517E-001, 1.3348328E+000
 2.5004936E+001, 7.6591026E-001, 1.8111660E+000, 1.0631751E+000, 7.7489194E-001, 1.1457534E+000, 1.8215689E+000, 1.9041287E+000, 3.0941411E+000, 9.5981487E-001, 1.3546318E+000
 3.0001383E+001, 8.1154204E-001, 1.8177333E+000, 1.0567500E+000, 7.6970829E-001, 1.1643014E+000, 1.8390714E+000, 1.8925775E+000, 3.0947726E+000, 9.9253549E-001, 1.3467002E+000
 3.5002000E+001, 7.4437741E-001, 1.8320480E+000, 1.0522957E+000, 7.6881046E-001, 1.1466154E+000, 1.7407383E+000, 1.8897581E+000, 3.1305801E+000, 9.3691114E-001, 1.3408657E+000
 4.0004627E+001, 7.1157696E-001, 1.8194717E+000, 1.0676750E+000, 7.8176025E-001, 1.1273555E+000, 1.7551832E+000, 1.9231313E+000, 3.1388470E+000, 8.9933917E-001, 1.3607333E+000
 4.5004452E+001, 8.0095599E-001, 1.8648898E+000, 1.0724726E+000, 7.8280552E-001, 1.1975366E+000, 1.8164172E+000, 1.9255239E+000, 3.1522841E+000, 9.9448644E-001, 1.3671134E+000
 5.0000953E+001, 8.0083074E-001, 1.8429882E+000, 1.0603854E+000, 7.7174749E-001, 1.1650913E+000, 1.8430609E+000, 1.9086633E+000, 3.1240424E+000, 9.9951416E-001, 1.3538000E+000
 5.5001636E+001, 7.2450124E-001, 1.7882662E+000, 1.0639581E+000, 7.8116651E-001, 1.1291350E+000, 1.7152283E+000, 1.8958584E+000, 3.0576238E+000, 9.0491551E-001, 1.3500611E+000
 6.0005495E+001, 7.7728647E-001, 1.8244903E+000, 1.0610459E+000, 7.7497487E-001, 1.1441790E+000, 1.8330608E+000, 1.9061694E+000, 3.1164724E+000, 9.7867893E-001, 1.3518808E+000
 6.5002302E+001, 7.3515438E-001, 1.8272949E+000, 1.0672808E+000, 7.8059318E-001, 1.1406712E+000, 1.7474324E+000, 1.9136080E+000, 3.1341022E+000, 9.2488816E-001, 1.3583237E+000
 7.0001627E+001, 7.8233866E-001, 1.8151715E+000, 1.0638029E+000, 7.8080671E-001, 1.1367117E+000, 1.8598148E+000, 1.8926962E+000, 3.0914168E+000, 9.8296157E-001, 1.3502737E+000
 7.5004093E+001, 8.0899787E-001, 1.8343878E+000, 1.0763699E+000, 7.8150034E-001, 1.1596323E+000, 1.8992054E+000, 1.9222783E+000, 3.1039990E+000, 1.0086402E+000, 1.3723611E+000
 8.0000193E+001, 8.1556487E-001, 1.8297087E+000, 1.0651213E+000, 7.7269737E-001, 1.1541104E+000, 1.8995600E+000, 1.9178109E+000, 3.1353229E+000, 1.0079542E+000, 1.3613340E+000
 8.5001267E+001, 7.1198576E-001, 1.7562747E+000, 1.0565500E+000, 7.7501558E-001, 1.0942061E+000, 1.7139081E+000, 1.8939197E+000, 3.0412733E+000, 8.9300267E-001, 1.3433942E+000
 9.0003986E+001, 7.4729281E-001, 1.7593954E+000, 1.0458099E+000, 7.6548644E-001, 1.1064078E+000, 1.7792382E+000, 1.8760790E+000, 3.0284201E+000, 9.3546127E-001, 1.3313396E+000
 9.5003945E+001, 8.0569315E-001, 1.8111398E+000, 1.0636386E+000, 7.7382839E-001, 1.1448234E+000, 1.8836002E+000, 1.9077607E+000, 3.0955529E+000, 9.9770011E-001, 1.3564351E+000
 1.0000000E+002, 7.0490763E-001, 1.7667253E+000, 1.0643246E+000, 7.7991941E-001, 1.0895898E+000, 1.7226145E+000, 1.9108942E+000, 3.0649526E+000, 8.8914074E-001, 1.3546774E+000
