s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B2","B3","B4","B5","L1","L2","L3","L4","L5","L6","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0009941E+000, 2.5231340E-002, 9.1494947E-001, 1.8457678E-001, 1.7221334E-002, 1.5673730E-001, 7.9130961E-002, 2.2295349E+000, 6.9729812E-002, 3.7810905E-002, 2.2655462E-002, 1.1430266E-002, 1.6025705E+000
 1.0002235E+001, 1.1362139E-001, 2.3584973E+000, 6.0833315E-001, 1.0736554E-001, 4.8541271E-001, 2.7368498E-001, 5.6230720E+000, 4.3213340E-001, 2.3995584E-001, 1.5014941E-001, 7.1796726E-002, 4.0411997E+000
 1.5007192E+001, 1.1329661E-001, 2.4601681E+000, 6.3755868E-001, 1.1036333E-001, 4.8018747E-001, 2.6937754E-001, 5.8062155E+000, 4.5634002E-001, 2.4560277E-001, 1.5456724E-001, 7.4744888E-002, 4.1970402E+000
 2.0008479E+001, 1.1467812E-001, 2.4495792E+000, 6.4291243E-001, 1.1173369E-001, 4.8690295E-001, 2.7191901E-001, 5.7567266E+000, 4.7256027E-001, 2.5352366E-001, 1.5795122E-001, 7.6026320E-002, 4.1679773E+000
 2.5003180E+001, 1.1409706E-001, 2.4124254E+000, 6.4436054E-001, 1.1180450E-001, 4.8521860E-001, 2.7284730E-001, 5.6605082E+000, 4.7192097E-001, 2.5053283E-001, 1.5719144E-001, 7.5266985E-002, 4.0960368E+000
 3.0008869E+001, 1.1400708E-001, 2.4068858E+000, 6.4300708E-001, 1.1147630E-001, 4.8018162E-001, 2.6964758E-001, 5.6790477E+000, 4.7532955E-001, 2.5240082E-001, 1.5707495E-001, 7.5401928E-002, 4.0989676E+000
 3.5006232E+001, 1.1184237E-001, 2.4850274E+000, 6.5755576E-001, 1.0763275E-001, 4.7253603E-001, 2.6369862E-001, 5.8178027E+000, 4.6426665E-001, 2.4414896E-001, 1.5107849E-001, 7.3830743E-002, 4.2162013E+000
 4.0006086E+001, 1.1301971E-001, 2.4481273E+000, 6.4049751E-001, 1.1057581E-001, 4.8301626E-001, 2.6907450E-001, 5.7888555E+000, 4.9052438E-001, 2.5714985E-001, 1.5741297E-001, 7.4971154E-002, 4.1781636E+000
