s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"B1","B2","B3","B4","L1","L2","L3","L4","L5","L7","L8"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0010348E+000, 1.3635273E-001, 5.0680728E-002, 2.6394548E-001, 8.9234422E-002, 3.8990858E-001, 1.9896508E-001, 1.4484949E+000, 2.9436706E-001, 1.6204152E-001, 1.5287946E-002, 7.0751207E-001
 1.0000547E+001, 7.5104567E-001, 3.1731557E-001, 1.2298283E+000, 5.4534818E-001, 1.6589512E+000, 1.0418227E+000, 4.8111203E+000, 2.5868120E+000, 1.4417764E+000, 1.6653643E-001, 2.7683645E+000
 1.5002838E+001, 5.9234795E-001, 2.6901865E-001, 1.1138708E+000, 4.9964309E-001, 1.2616452E+000, 8.0662315E-001, 4.3366848E+000, 3.3159216E+000, 1.7218650E+000, 1.7738914E-001, 2.5150090E+000
 2.0003809E+001, 5.8209559E-001, 2.6505703E-001, 1.0939803E+000, 4.9522959E-001, 1.2311179E+000, 7.9002929E-001, 4.2224423E+000, 3.5051187E+000, 1.8045137E+000, 1.8251024E-001, 2.4572969E+000
 2.5002459E+001, 5.7377209E-001, 2.6281290E-001, 1.0940741E+000, 4.9929369E-001, 1.2117137E+000, 7.7695901E-001, 4.1748326E+000, 3.6146124E+000, 1.7753350E+000, 1.6911585E-001, 2.4378100E+000
 3.0005009E+001, 5.7794943E-001, 2.6334755E-001, 1.0810257E+000, 4.9389712E-001, 1.2189931E+000, 7.8297539E-001, 4.1375527E+000, 3.4175324E+000, 1.7025548E+000, 1.6682316E-001, 2.4166591E+000
 3.5001991E+001, 5.7846727E-001, 2.6469885E-001, 1.0830807E+000, 4.9389625E-001, 1.2190549E+000, 7.8276872E-001, 4.1305622E+000, 3.3989994E+000, 1.6763405E+000, 1.5025163E-001, 2.4118204E+000
 4.0004883E+001, 5.8587344E-001, 2.6683118E-001, 1.1089560E+000, 5.0791528E-001, 1.2407077E+000, 7.9516721E-001, 4.2055263E+000, 3.4048570E+000, 1.6826641E+000, 1.4588485E-001, 2.4606795E+000
 4.5003543E+001, 5.8921142E-001, 2.6920397E-001, 1.2193464E+000, 5.5393359E-001, 1.2433235E+000, 7.9795794E-001, 4.6199874E+000, 3.2841567E+000, 1.6216462E+000, 1.3964022E-001, 2.6929117E+000
 5.0001612E+001, 6.2968008E-001, 2.8376555E-001, 1.2626708E+000, 5.8621066E-001, 1.3322338E+000, 8.5421243E-001, 4.7333442E+000, 3.0831546E+000, 1.5457746E+000, 1.4102712E-001, 2.7714471E+000
 5.5007161E+001, 6.2749438E-001, 2.8602339E-001, 1.1861401E+000, 5.4043944E-001, 1.3330381E+000, 8.5326736E-001, 4.5165712E+000, 2.6396816E+000, 1.3567011E+000, 1.2871105E-001, 2.6324153E+000
 6.0001033E+001, 5.8361758E-001, 2.6598447E-001, 1.1023020E+000, 4.9807372E-001, 1.2367401E+000, 7.9239604E-001, 4.2526436E+000, 2.8809442E+000, 1.4209237E+000, 1.2790395E-001, 2.4712319E+000
 6.5003920E+001, 6.0598838E-001, 2.7480443E-001, 1.1510244E+000, 5.2828321E-001, 1.2861034E+000, 8.2447406E-001, 4.3589798E+000, 3.4250538E+000, 1.6788199E+000, 1.4886286E-001, 2.5435460E+000
